quote_date,paper,exch,open,high,low,close,volume,value
20171109,FI-USCAS,Fonds,11.751,11.751,11.751,11.751,0,0
20171108,FI-USCAS,Fonds,11.7507,11.7507,11.7507,11.7507,0,0
20171107,FI-USCAS,Fonds,11.7504,11.7504,11.7504,11.7504,0,0
20171106,FI-USCAS,Fonds,11.7497,11.7497,11.7497,11.7497,0,0
20171103,FI-USCAS,Fonds,11.7494,11.7494,11.7494,11.7494,0,0
20171102,FI-USCAS,Fonds,11.7489,11.7489,11.7489,11.7489,0,0
20171031,FI-USCAS,Fonds,11.7486,11.7486,11.7486,11.7486,0,0
20171030,FI-USCAS,Fonds,11.7479,11.7479,11.7479,11.7479,0,0
20171027,FI-USCAS,Fonds,11.7476,11.7476,11.7476,11.7476,0,0
20171026,FI-USCAS,Fonds,11.7474,11.7474,11.7474,11.7474,0,0
20171025,FI-USCAS,Fonds,11.7471,11.7471,11.7471,11.7471,0,0
20171024,FI-USCAS,Fonds,11.7469,11.7469,11.7469,11.7469,0,0
20171023,FI-USCAS,Fonds,11.7461,11.7461,11.7461,11.7461,0,0
20171020,FI-USCAS,Fonds,11.7459,11.7459,11.7459,11.7459,0,0
20171019,FI-USCAS,Fonds,11.7456,11.7456,11.7456,11.7456,0,0
20171018,FI-USCAS,Fonds,11.7454,11.7454,11.7454,11.7454,0,0
20171017,FI-USCAS,Fonds,11.7451,11.7451,11.7451,11.7451,0,0
20171016,FI-USCAS,Fonds,11.7444,11.7444,11.7444,11.7444,0,0
20171013,FI-USCAS,Fonds,11.7441,11.7441,11.7441,11.7441,0,0
20171012,FI-USCAS,Fonds,11.7439,11.7439,11.7439,11.7439,0,0
20171011,FI-USCAS,Fonds,11.7436,11.7436,11.7436,11.7436,0,0
20171010,FI-USCAS,Fonds,11.7434,11.7434,11.7434,11.7434,0,0
20171009,FI-USCAS,Fonds,11.7427,11.7427,11.7427,11.7427,0,0
20171006,FI-USCAS,Fonds,11.7424,11.7424,11.7424,11.7424,0,0
20171005,FI-USCAS,Fonds,11.7422,11.7422,11.7422,11.7422,0,0
20171004,FI-USCAS,Fonds,11.7419,11.7419,11.7419,11.7419,0,0
20171003,FI-USCAS,Fonds,11.7417,11.7417,11.7417,11.7417,0,0
20171002,FI-USCAS,Fonds,11.7409,11.7409,11.7409,11.7409,0,0
20170929,FI-USCAS,Fonds,11.7407,11.7407,11.7407,11.7407,0,0
20170928,FI-USCAS,Fonds,11.7404,11.7404,11.7404,11.7404,0,0
20170927,FI-USCAS,Fonds,11.7402,11.7402,11.7402,11.7402,0,0
20170926,FI-USCAS,Fonds,11.74,11.74,11.74,11.74,0,0
20170925,FI-USCAS,Fonds,11.7393,11.7393,11.7393,11.7393,0,0
20170921,FI-USCAS,Fonds,11.7388,11.7388,11.7388,11.7388,0,0
20170920,FI-USCAS,Fonds,11.7386,11.7386,11.7386,11.7386,0,0
20170919,FI-USCAS,Fonds,11.7383,11.7383,11.7383,11.7383,0,0
20170918,FI-USCAS,Fonds,11.7375,11.7375,11.7375,11.7375,0,0
20170915,FI-USCAS,Fonds,11.7373,11.7373,11.7373,11.7373,0,0
20170914,FI-USCAS,Fonds,11.737,11.737,11.737,11.737,0,0
20170913,FI-USCAS,Fonds,11.7368,11.7368,11.7368,11.7368,0,0
20170911,FI-USCAS,Fonds,11.7358,11.7358,11.7358,11.7358,0,0
20170908,FI-USCAS,Fonds,11.7356,11.7356,11.7356,11.7356,0,0
20170907,FI-USCAS,Fonds,11.7353,11.7353,11.7353,11.7353,0,0
20170906,FI-USCAS,Fonds,11.7351,11.7351,11.7351,11.7351,0,0
20170905,FI-USCAS,Fonds,11.7348,11.7348,11.7348,11.7348,0,0
20170904,FI-USCAS,Fonds,11.7341,11.7341,11.7341,11.7341,0,0
20170901,FI-USCAS,Fonds,11.7339,11.7339,11.7339,11.7339,0,0
20170831,FI-USCAS,Fonds,11.7337,11.7337,11.7337,11.7337,0,0
20170830,FI-USCAS,Fonds,11.7334,11.7334,11.7334,11.7334,0,0
20170829,FI-USCAS,Fonds,11.7332,11.7332,11.7332,11.7332,0,0
20170825,FI-USCAS,Fonds,11.7322,11.7322,11.7322,11.7322,0,0
20170824,FI-USCAS,Fonds,11.732,11.732,11.732,11.732,0,0
20170823,FI-USCAS,Fonds,11.7318,11.7318,11.7318,11.7318,0,0
20170822,FI-USCAS,Fonds,11.7316,11.7316,11.7316,11.7316,0,0
20170821,FI-USCAS,Fonds,11.7308,11.7308,11.7308,11.7308,0,0
20170818,FI-USCAS,Fonds,11.7306,11.7306,11.7306,11.7306,0,0
20170817,FI-USCAS,Fonds,11.7304,11.7304,11.7304,11.7304,0,0
20170816,FI-USCAS,Fonds,11.7301,11.7301,11.7301,11.7301,0,0
20170815,FI-USCAS,Fonds,11.7299,11.7299,11.7299,11.7299,0,0
20170814,FI-USCAS,Fonds,11.7292,11.7292,11.7292,11.7292,0,0
20170811,FI-USCAS,Fonds,11.729,11.729,11.729,11.729,0,0
20170810,FI-USCAS,Fonds,11.7287,11.7287,11.7287,11.7287,0,0
20170809,FI-USCAS,Fonds,11.7285,11.7285,11.7285,11.7285,0,0
20170808,FI-USCAS,Fonds,11.7283,11.7283,11.7283,11.7283,0,0
20170807,FI-USCAS,Fonds,11.7276,11.7276,11.7276,11.7276,0,0
20170804,FI-USCAS,Fonds,11.7273,11.7273,11.7273,11.7273,0,0
20170803,FI-USCAS,Fonds,11.7271,11.7271,11.7271,11.7271,0,0
20170802,FI-USCAS,Fonds,11.7269,11.7269,11.7269,11.7269,0,0
20170801,FI-USCAS,Fonds,11.7515,11.7515,11.7515,11.7515,0,0
20170731,FI-USCAS,Fonds,11.7509,11.7509,11.7509,11.7509,0,0
20170727,FI-USCAS,Fonds,11.7506,11.7506,11.7506,11.7506,0,0
20170725,FI-USCAS,Fonds,11.7502,11.7502,11.7502,11.7502,0,0
20170724,FI-USCAS,Fonds,11.7493,11.7493,11.7493,11.7493,0,0
20170720,FI-USCAS,Fonds,11.7491,11.7491,11.7491,11.7491,0,0
20170719,FI-USCAS,Fonds,11.7486,11.7486,11.7486,11.7486,0,0
20170718,FI-USCAS,Fonds,11.7484,11.7484,11.7484,11.7484,0,0
20170717,FI-USCAS,Fonds,11.7477,11.7477,11.7477,11.7477,0,0
20170714,FI-USCAS,Fonds,11.7475,11.7475,11.7475,11.7475,0,0
20170713,FI-USCAS,Fonds,11.7473,11.7473,11.7473,11.7473,0,0
20170712,FI-USCAS,Fonds,11.7471,11.7471,11.7471,11.7471,0,0
20170711,FI-USCAS,Fonds,11.7469,11.7469,11.7469,11.7469,0,0
20170710,FI-USCAS,Fonds,11.7462,11.7462,11.7462,11.7462,0,0
20170707,FI-USCAS,Fonds,11.746,11.746,11.746,11.746,0,0
20170706,FI-USCAS,Fonds,11.7458,11.7458,11.7458,11.7458,0,0
20170705,FI-USCAS,Fonds,11.7456,11.7456,11.7456,11.7456,0,0
20170704,FI-USCAS,Fonds,11.7454,11.7454,11.7454,11.7454,0,0
20170703,FI-USCAS,Fonds,11.7448,11.7448,11.7448,11.7448,0,0
20170630,FI-USCAS,Fonds,11.7446,11.7446,11.7446,11.7446,0,0
20170629,FI-USCAS,Fonds,11.7444,11.7444,11.7444,11.7444,0,0
20170628,FI-USCAS,Fonds,11.7442,11.7442,11.7442,11.7442,0,0
20170627,FI-USCAS,Fonds,11.744,11.744,11.744,11.744,0,0
20170626,FI-USCAS,Fonds,11.7434,11.7434,11.7434,11.7434,0,0
