quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-AMEEQ,Fonds,23.77,23.77,23.77,23.77,0,0
20171108,FL-AMEEQ,Fonds,23.85,23.85,23.85,23.85,0,0
20171107,FL-AMEEQ,Fonds,24.02,24.02,24.02,24.02,0,0
20171106,FL-AMEEQ,Fonds,23.96,23.96,23.96,23.96,0,0
20171103,FL-AMEEQ,Fonds,23.82,23.82,23.82,23.82,0,0
20171102,FL-AMEEQ,Fonds,23.76,23.76,23.76,23.76,0,0
20171101,FL-AMEEQ,Fonds,23.85,23.85,23.85,23.85,0,0
20171031,FL-AMEEQ,Fonds,23.77,23.77,23.77,23.77,0,0
20171030,FL-AMEEQ,Fonds,23.82,23.82,23.82,23.82,0,0
20171027,FL-AMEEQ,Fonds,23.60,23.60,23.60,23.60,0,0
20171026,FL-AMEEQ,Fonds,23.52,23.52,23.52,23.52,0,0
20171025,FL-AMEEQ,Fonds,23.49,23.49,23.49,23.49,0,0
20171024,FL-AMEEQ,Fonds,23.56,23.56,23.56,23.56,0,0
20171023,FL-AMEEQ,Fonds,23.69,23.69,23.69,23.69,0,0
20171020,FL-AMEEQ,Fonds,23.65,23.65,23.65,23.65,0,0
20171019,FL-AMEEQ,Fonds,23.42,23.42,23.42,23.42,0,0
20171018,FL-AMEEQ,Fonds,23.58,23.58,23.58,23.58,0,0
20171017,FL-AMEEQ,Fonds,23.56,23.56,23.56,23.56,0,0
20171016,FL-AMEEQ,Fonds,23.51,23.51,23.51,23.51,0,0
20171013,FL-AMEEQ,Fonds,23.46,23.46,23.46,23.46,0,0
20171012,FL-AMEEQ,Fonds,23.44,23.44,23.44,23.44,0,0
20171011,FL-AMEEQ,Fonds,23.42,23.42,23.42,23.42,0,0
20171010,FL-AMEEQ,Fonds,23.50,23.50,23.50,23.50,0,0
20171009,FL-AMEEQ,Fonds,23.51,23.51,23.51,23.51,0,0
20171006,FL-AMEEQ,Fonds,23.53,23.53,23.53,23.53,0,0
20171005,FL-AMEEQ,Fonds,23.45,23.45,23.45,23.45,0,0
20171004,FL-AMEEQ,Fonds,23.38,23.38,23.38,23.38,0,0
20171003,FL-AMEEQ,Fonds,23.31,23.31,23.31,23.31,0,0
20171002,FL-AMEEQ,Fonds,23.25,23.25,23.25,23.25,0,0
20170929,FL-AMEEQ,Fonds,23.15,23.15,23.15,23.15,0,0
20170928,FL-AMEEQ,Fonds,23.02,23.02,23.02,23.02,0,0
20170927,FL-AMEEQ,Fonds,22.98,22.98,22.98,22.98,0,0
20170926,FL-AMEEQ,Fonds,22.91,22.91,22.91,22.91,0,0
20170925,FL-AMEEQ,Fonds,22.91,22.91,22.91,22.91,0,0
20170922,FL-AMEEQ,Fonds,22.91,22.91,22.91,22.91,0,0
20170921,FL-AMEEQ,Fonds,22.92,22.92,22.92,22.92,0,0
20170920,FL-AMEEQ,Fonds,23.01,23.01,23.01,23.01,0,0
20170919,FL-AMEEQ,Fonds,23.03,23.03,23.03,23.03,0,0
20170918,FL-AMEEQ,Fonds,23.07,23.07,23.07,23.07,0,0
20170915,FL-AMEEQ,Fonds,22.94,22.94,22.94,22.94,0,0
20170914,FL-AMEEQ,Fonds,22.96,22.96,22.96,22.96,0,0
20170913,FL-AMEEQ,Fonds,23.00,23.00,23.00,23.00,0,0
20170912,FL-AMEEQ,Fonds,23.03,23.03,23.03,23.03,0,0
20170911,FL-AMEEQ,Fonds,22.93,22.93,22.93,22.93,0,0
20170908,FL-AMEEQ,Fonds,22.73,22.73,22.73,22.73,0,0
20170907,FL-AMEEQ,Fonds,22.71,22.71,22.71,22.71,0,0
20170906,FL-AMEEQ,Fonds,22.69,22.69,22.69,22.69,0,0
20170905,FL-AMEEQ,Fonds,22.82,22.82,22.82,22.82,0,0
20170901,FL-AMEEQ,Fonds,22.86,22.86,22.86,22.86,0,0
20170831,FL-AMEEQ,Fonds,22.76,22.76,22.76,22.76,0,0
20170830,FL-AMEEQ,Fonds,22.54,22.54,22.54,22.54,0,0
20170829,FL-AMEEQ,Fonds,22.39,22.39,22.39,22.39,0,0
20170828,FL-AMEEQ,Fonds,22.49,22.49,22.49,22.49,0,0
20170825,FL-AMEEQ,Fonds,22.57,22.57,22.57,22.57,0,0
20170824,FL-AMEEQ,Fonds,22.46,22.46,22.46,22.46,0,0
20170823,FL-AMEEQ,Fonds,22.51,22.51,22.51,22.51,0,0
20170822,FL-AMEEQ,Fonds,22.45,22.45,22.45,22.45,0,0
20170821,FL-AMEEQ,Fonds,22.30,22.30,22.30,22.30,0,0
20170818,FL-AMEEQ,Fonds,22.27,22.27,22.27,22.27,0,0
20170817,FL-AMEEQ,Fonds,22.72,22.72,22.72,22.72,0,0
20170816,FL-AMEEQ,Fonds,22.85,22.85,22.85,22.85,0,0
20170815,FL-AMEEQ,Fonds,22.80,22.80,22.80,22.80,0,0
20170814,FL-AMEEQ,Fonds,22.82,22.82,22.82,22.82,0,0
20170811,FL-AMEEQ,Fonds,22.57,22.57,22.57,22.57,0,0
20170810,FL-AMEEQ,Fonds,22.79,22.79,22.79,22.79,0,0
20170809,FL-AMEEQ,Fonds,22.99,22.99,22.99,22.99,0,0
20170808,FL-AMEEQ,Fonds,23.15,23.15,23.15,23.15,0,0
20170807,FL-AMEEQ,Fonds,23.15,23.15,23.15,23.15,0,0
20170804,FL-AMEEQ,Fonds,23.12,23.12,23.12,23.12,0,0
20170803,FL-AMEEQ,Fonds,23.17,23.17,23.17,23.17,0,0
20170802,FL-AMEEQ,Fonds,23.22,23.22,23.22,23.22,0,0
20170801,FL-AMEEQ,Fonds,23.16,23.16,23.16,23.16,0,0
20170731,FL-AMEEQ,Fonds,23.10,23.10,23.10,23.10,0,0
20170728,FL-AMEEQ,Fonds,23.13,23.13,23.13,23.13,0,0
20170727,FL-AMEEQ,Fonds,23.26,23.26,23.26,23.26,0,0
20170726,FL-AMEEQ,Fonds,23.21,23.21,23.21,23.21,0,0
20170725,FL-AMEEQ,Fonds,23.21,23.21,23.21,23.21,0,0
20170724,FL-AMEEQ,Fonds,23.11,23.11,23.11,23.11,0,0
20170721,FL-AMEEQ,Fonds,23.05,23.05,23.05,23.05,0,0
20170720,FL-AMEEQ,Fonds,23.10,23.10,23.10,23.10,0,0
20170719,FL-AMEEQ,Fonds,23.00,23.00,23.00,23.00,0,0
20170718,FL-AMEEQ,Fonds,22.76,22.76,22.76,22.76,0,0
20170717,FL-AMEEQ,Fonds,22.79,22.79,22.79,22.79,0,0
20170714,FL-AMEEQ,Fonds,22.71,22.71,22.71,22.71,0,0
20170713,FL-AMEEQ,Fonds,22.67,22.67,22.67,22.67,0,0
20170712,FL-AMEEQ,Fonds,22.56,22.56,22.56,22.56,0,0
20170711,FL-AMEEQ,Fonds,22.39,22.39,22.39,22.39,0,0
20170710,FL-AMEEQ,Fonds,22.36,22.36,22.36,22.36,0,0
20170707,FL-AMEEQ,Fonds,22.29,22.29,22.29,22.29,0,0
20170706,FL-AMEEQ,Fonds,22.20,22.20,22.20,22.20,0,0
20170705,FL-AMEEQ,Fonds,22.26,22.26,22.26,22.26,0,0
20170703,FL-AMEEQ,Fonds,22.38,22.38,22.38,22.38,0,0
20170630,FL-AMEEQ,Fonds,22.28,22.28,22.28,22.28,0,0
20170629,FL-AMEEQ,Fonds,22.43,22.43,22.43,22.43,0,0
20170628,FL-AMEEQ,Fonds,22.35,22.35,22.35,22.35,0,0
20170627,FL-AMEEQ,Fonds,22.40,22.40,22.40,22.40,0,0
20170626,FL-AMEEQ,Fonds,22.51,22.51,22.51,22.51,0,0
20170623,FL-AMEEQ,Fonds,22.34,22.34,22.34,22.34,0,0
