quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-AMEMC,Fonds,21.73,21.73,21.73,21.73,0,0
20171108,FL-AMEMC,Fonds,21.85,21.85,21.85,21.85,0,0
20171107,FL-AMEMC,Fonds,22.05,22.05,22.05,22.05,0,0
20171106,FL-AMEMC,Fonds,22.20,22.20,22.20,22.20,0,0
20171103,FL-AMEMC,Fonds,22.22,22.22,22.22,22.22,0,0
20171102,FL-AMEMC,Fonds,22.28,22.28,22.28,22.28,0,0
20171101,FL-AMEMC,Fonds,22.35,22.35,22.35,22.35,0,0
20171031,FL-AMEMC,Fonds,22.36,22.36,22.36,22.36,0,0
20171030,FL-AMEMC,Fonds,22.33,22.33,22.33,22.33,0,0
20171027,FL-AMEMC,Fonds,22.30,22.30,22.30,22.30,0,0
20171026,FL-AMEMC,Fonds,22.29,22.29,22.29,22.29,0,0
20171025,FL-AMEMC,Fonds,22.21,22.21,22.21,22.21,0,0
20171024,FL-AMEMC,Fonds,22.27,22.27,22.27,22.27,0,0
20171023,FL-AMEMC,Fonds,22.35,22.35,22.35,22.35,0,0
20171020,FL-AMEMC,Fonds,22.36,22.36,22.36,22.36,0,0
20171019,FL-AMEMC,Fonds,22.12,22.12,22.12,22.12,0,0
20171018,FL-AMEMC,Fonds,22.18,22.18,22.18,22.18,0,0
20171017,FL-AMEMC,Fonds,22.15,22.15,22.15,22.15,0,0
20171016,FL-AMEMC,Fonds,22.20,22.20,22.20,22.20,0,0
20171013,FL-AMEMC,Fonds,22.14,22.14,22.14,22.14,0,0
20171012,FL-AMEMC,Fonds,22.12,22.12,22.12,22.12,0,0
20171011,FL-AMEMC,Fonds,22.15,22.15,22.15,22.15,0,0
20171010,FL-AMEMC,Fonds,22.19,22.19,22.19,22.19,0,0
20171009,FL-AMEMC,Fonds,22.18,22.18,22.18,22.18,0,0
20171006,FL-AMEMC,Fonds,22.24,22.24,22.24,22.24,0,0
20171005,FL-AMEMC,Fonds,22.21,22.21,22.21,22.21,0,0
20171004,FL-AMEMC,Fonds,22.24,22.24,22.24,22.24,0,0
20171003,FL-AMEMC,Fonds,22.28,22.28,22.28,22.28,0,0
20171002,FL-AMEMC,Fonds,22.16,22.16,22.16,22.16,0,0
20170929,FL-AMEMC,Fonds,22.09,22.09,22.09,22.09,0,0
20170928,FL-AMEMC,Fonds,21.97,21.97,21.97,21.97,0,0
20170927,FL-AMEMC,Fonds,21.77,21.77,21.77,21.77,0,0
20170926,FL-AMEMC,Fonds,21.63,21.63,21.63,21.63,0,0
20170925,FL-AMEMC,Fonds,21.61,21.61,21.61,21.61,0,0
20170922,FL-AMEMC,Fonds,21.51,21.51,21.51,21.51,0,0
20170921,FL-AMEMC,Fonds,21.49,21.49,21.49,21.49,0,0
20170920,FL-AMEMC,Fonds,21.41,21.41,21.41,21.41,0,0
20170919,FL-AMEMC,Fonds,21.37,21.37,21.37,21.37,0,0
20170918,FL-AMEMC,Fonds,21.35,21.35,21.35,21.35,0,0
