quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-ASEU,Fonds,19.39,19.39,19.39,19.39,0,0
20171108,FL-ASEU,Fonds,19.42,19.42,19.42,19.42,0,0
20171107,FL-ASEU,Fonds,19.47,19.47,19.47,19.47,0,0
20171106,FL-ASEU,Fonds,19.36,19.36,19.36,19.36,0,0
20171103,FL-ASEU,Fonds,19.28,19.28,19.28,19.28,0,0
20171102,FL-ASEU,Fonds,19.30,19.30,19.30,19.30,0,0
20171101,FL-ASEU,Fonds,19.28,19.28,19.28,19.28,0,0
20171031,FL-ASEU,Fonds,19.16,19.16,19.16,19.16,0,0
20171030,FL-ASEU,Fonds,19.16,19.16,19.16,19.16,0,0
20171027,FL-ASEU,Fonds,19.13,19.13,19.13,19.13,0,0
20171026,FL-ASEU,Fonds,18.91,18.91,18.91,18.91,0,0
20171025,FL-ASEU,Fonds,18.78,18.78,18.78,18.78,0,0
20171024,FL-ASEU,Fonds,18.78,18.78,18.78,18.78,0,0
20171023,FL-ASEU,Fonds,18.83,18.83,18.83,18.83,0,0
20171020,FL-ASEU,Fonds,18.85,18.85,18.85,18.85,0,0
20171019,FL-ASEU,Fonds,18.71,18.71,18.71,18.71,0,0
20171017,FL-ASEU,Fonds,18.98,18.98,18.98,18.98,0,0
20171016,FL-ASEU,Fonds,18.95,18.95,18.95,18.95,0,0
20171013,FL-ASEU,Fonds,18.79,18.79,18.79,18.79,0,0
20171012,FL-ASEU,Fonds,18.75,18.75,18.75,18.75,0,0
20171011,FL-ASEU,Fonds,18.63,18.63,18.63,18.63,0,0
20171010,FL-ASEU,Fonds,18.72,18.72,18.72,18.72,0,0
20171009,FL-ASEU,Fonds,18.71,18.71,18.71,18.71,0,0
20171006,FL-ASEU,Fonds,18.71,18.71,18.71,18.71,0,0
20171005,FL-ASEU,Fonds,18.66,18.66,18.66,18.66,0,0
20171004,FL-ASEU,Fonds,18.61,18.61,18.61,18.61,0,0
20171003,FL-ASEU,Fonds,18.59,18.59,18.59,18.59,0,0
20171002,FL-ASEU,Fonds,18.59,18.59,18.59,18.59,0,0
20170929,FL-ASEU,Fonds,18.45,18.45,18.45,18.45,0,0
20170928,FL-ASEU,Fonds,18.36,18.36,18.36,18.36,0,0
20170927,FL-ASEU,Fonds,18.55,18.55,18.55,18.55,0,0
20170926,FL-ASEU,Fonds,18.44,18.44,18.44,18.44,0,0
20170925,FL-ASEU,Fonds,18.35,18.35,18.35,18.35,0,0
20170922,FL-ASEU,Fonds,18.27,18.27,18.27,18.27,0,0
20170921,FL-ASEU,Fonds,18.34,18.34,18.34,18.34,0,0
20170920,FL-ASEU,Fonds,18.16,18.16,18.16,18.16,0,0
20170919,FL-ASEU,Fonds,18.24,18.24,18.24,18.24,0,0
20170918,FL-ASEU,Fonds,18.30,18.30,18.30,18.30,0,0
20170915,FL-ASEU,Fonds,18.20,18.20,18.20,18.20,0,0
20170914,FL-ASEU,Fonds,18.30,18.30,18.30,18.30,0,0
20170913,FL-ASEU,Fonds,18.25,18.25,18.25,18.25,0,0
20170912,FL-ASEU,Fonds,18.23,18.23,18.23,18.23,0,0
20170911,FL-ASEU,Fonds,18.18,18.18,18.18,18.18,0,0
20170908,FL-ASEU,Fonds,18.11,18.11,18.11,18.11,0,0
20170907,FL-ASEU,Fonds,18.05,18.05,18.05,18.05,0,0
20170906,FL-ASEU,Fonds,18.01,18.01,18.01,18.01,0,0
20170905,FL-ASEU,Fonds,18.10,18.10,18.10,18.10,0,0
20170904,FL-ASEU,Fonds,18.00,18.00,18.00,18.00,0,0
20170831,FL-ASEU,Fonds,18.17,18.17,18.17,18.17,0,0
20170830,FL-ASEU,Fonds,18.07,18.07,18.07,18.07,0,0
20170829,FL-ASEU,Fonds,17.88,17.88,17.88,17.88,0,0
20170828,FL-ASEU,Fonds,17.92,17.92,17.92,17.92,0,0
20170825,FL-ASEU,Fonds,18.14,18.14,18.14,18.14,0,0
20170824,FL-ASEU,Fonds,18.14,18.14,18.14,18.14,0,0
20170823,FL-ASEU,Fonds,18.13,18.13,18.13,18.13,0,0
20170822,FL-ASEU,Fonds,18.18,18.18,18.18,18.18,0,0
20170821,FL-ASEU,Fonds,18.04,18.04,18.04,18.04,0,0
20170818,FL-ASEU,Fonds,18.14,18.14,18.14,18.14,0,0
20170817,FL-ASEU,Fonds,18.21,18.21,18.21,18.21,0,0
20170816,FL-ASEU,Fonds,18.23,18.23,18.23,18.23,0,0
20170815,FL-ASEU,Fonds,18.14,18.14,18.14,18.14,0,0
20170814,FL-ASEU,Fonds,18.04,18.04,18.04,18.04,0,0
20170811,FL-ASEU,Fonds,18.00,18.00,18.00,18.00,0,0
20170810,FL-ASEU,Fonds,18.25,18.25,18.25,18.25,0,0
20170809,FL-ASEU,Fonds,18.27,18.27,18.27,18.27,0,0
20170808,FL-ASEU,Fonds,18.17,18.17,18.17,18.17,0,0
20170807,FL-ASEU,Fonds,18.11,18.11,18.11,18.11,0,0
20170804,FL-ASEU,Fonds,18.15,18.15,18.15,18.15,0,0
20170803,FL-ASEU,Fonds,18.12,18.12,18.12,18.12,0,0
20170802,FL-ASEU,Fonds,18.19,18.19,18.19,18.19,0,0
20170801,FL-ASEU,Fonds,18.16,18.16,18.16,18.16,0,0
20170731,FL-ASEU,Fonds,18.24,18.24,18.24,18.24,0,0
20170728,FL-ASEU,Fonds,18.28,18.28,18.28,18.28,0,0
20170727,FL-ASEU,Fonds,18.41,18.41,18.41,18.41,0,0
20170726,FL-ASEU,Fonds,18.39,18.39,18.39,18.39,0,0
20170725,FL-ASEU,Fonds,18.26,18.26,18.26,18.26,0,0
20170724,FL-ASEU,Fonds,18.27,18.27,18.27,18.27,0,0
20170721,FL-ASEU,Fonds,18.20,18.20,18.20,18.20,0,0
20170720,FL-ASEU,Fonds,18.29,18.29,18.29,18.29,0,0
20170719,FL-ASEU,Fonds,18.42,18.42,18.42,18.42,0,0
20170718,FL-ASEU,Fonds,18.29,18.29,18.29,18.29,0,0
20170717,FL-ASEU,Fonds,18.41,18.41,18.41,18.41,0,0
20170714,FL-ASEU,Fonds,18.43,18.43,18.43,18.43,0,0
20170713,FL-ASEU,Fonds,18.31,18.31,18.31,18.31,0,0
20170712,FL-ASEU,Fonds,18.27,18.27,18.27,18.27,0,0
20170711,FL-ASEU,Fonds,18.18,18.18,18.18,18.18,0,0
20170710,FL-ASEU,Fonds,18.23,18.23,18.23,18.23,0,0
20170707,FL-ASEU,Fonds,18.26,18.26,18.26,18.26,0,0
20170706,FL-ASEU,Fonds,18.30,18.30,18.30,18.30,0,0
20170705,FL-ASEU,Fonds,18.46,18.46,18.46,18.46,0,0
20170704,FL-ASEU,Fonds,18.44,18.44,18.44,18.44,0,0
20170703,FL-ASEU,Fonds,18.48,18.48,18.48,18.48,0,0
20170630,FL-ASEU,Fonds,18.35,18.35,18.35,18.35,0,0
20170629,FL-ASEU,Fonds,18.43,18.43,18.43,18.43,0,0
20170628,FL-ASEU,Fonds,18.41,18.41,18.41,18.41,0,0
20170627,FL-ASEU,Fonds,18.55,18.55,18.55,18.55,0,0
20170623,FL-ASEU,Fonds,18.68,18.68,18.68,18.68,0,0
20170622,FL-ASEU,Fonds,18.72,18.72,18.72,18.72,0,0
20170621,FL-ASEU,Fonds,18.74,18.74,18.74,18.74,0,0
20170620,FL-ASEU,Fonds,18.75,18.75,18.75,18.75,0,0
20170619,FL-ASEU,Fonds,18.69,18.69,18.69,18.69,0,0
20170616,FL-ASEU,Fonds,18.71,18.71,18.71,18.71,0,0
20170615,FL-ASEU,Fonds,18.83,18.83,18.83,18.83,0,0
20170614,FL-ASEU,Fonds,18.77,18.77,18.77,18.77,0,0
20170613,FL-ASEU,Fonds,18.75,18.75,18.75,18.75,0,0
20170612,FL-ASEU,Fonds,18.65,18.65,18.65,18.65,0,0
20170609,FL-ASEU,Fonds,18.69,18.69,18.69,18.69,0,0
20170608,FL-ASEU,Fonds,18.62,18.62,18.62,18.62,0,0
20170607,FL-ASEU,Fonds,18.56,18.56,18.56,18.56,0,0
20170606,FL-ASEU,Fonds,18.54,18.54,18.54,18.54,0,0
20170602,FL-ASEU,Fonds,18.54,18.54,18.54,18.54,0,0
20170601,FL-ASEU,Fonds,18.50,18.50,18.50,18.50,0,0
20170531,FL-ASEU,Fonds,18.43,18.43,18.43,18.43,0,0
20170530,FL-ASEU,Fonds,18.47,18.47,18.47,18.47,0,0
20170529,FL-ASEU,Fonds,18.56,18.56,18.56,18.56,0,0
20170526,FL-ASEU,Fonds,18.63,18.63,18.63,18.63,0,0
20170524,FL-ASEU,Fonds,18.44,18.44,18.44,18.44,0,0
20170523,FL-ASEU,Fonds,18.41,18.41,18.41,18.41,0,0
20170522,FL-ASEU,Fonds,18.37,18.37,18.37,18.37,0,0
20170519,FL-ASEU,Fonds,18.45,18.45,18.45,18.45,0,0
20170518,FL-ASEU,Fonds,18.32,18.32,18.32,18.32,0,0
20170516,FL-ASEU,Fonds,18.49,18.49,18.49,18.49,0,0
20170515,FL-ASEU,Fonds,18.70,18.70,18.70,18.70,0,0
20170512,FL-ASEU,Fonds,18.72,18.72,18.72,18.72,0,0
20170511,FL-ASEU,Fonds,18.86,18.86,18.86,18.86,0,0
20170509,FL-ASEU,Fonds,18.78,18.78,18.78,18.78,0,0
20170508,FL-ASEU,Fonds,18.79,18.79,18.79,18.79,0,0
