quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-BAPEU,Fonds,50.04,50.04,50.04,50.04,0,0
20171108,FL-BAPEU,Fonds,49.97,49.97,49.97,49.97,0,0
20171107,FL-BAPEU,Fonds,50.03,50.03,50.03,50.03,0,0
20171106,FL-BAPEU,Fonds,50.39,50.39,50.39,50.39,0,0
20171103,FL-BAPEU,Fonds,48.78,48.78,48.78,48.78,0,0
20171101,FL-BAPEU,Fonds,50.67,50.67,50.67,50.67,0,0
20171031,FL-BAPEU,Fonds,50.21,50.21,50.21,50.21,0,0
20171030,FL-BAPEU,Fonds,51.14,51.14,51.14,51.14,0,0
20171027,FL-BAPEU,Fonds,51.48,51.48,51.48,51.48,0,0
20171026,FL-BAPEU,Fonds,52.03,52.03,52.03,52.03,0,0
20171025,FL-BAPEU,Fonds,51.57,51.57,51.57,51.57,0,0
20171024,FL-BAPEU,Fonds,51.25,51.25,51.25,51.25,0,0
20171023,FL-BAPEU,Fonds,52.23,52.23,52.23,52.23,0,0
20171020,FL-BAPEU,Fonds,52.62,52.62,52.62,52.62,0,0
20171019,FL-BAPEU,Fonds,52.10,52.10,52.10,52.10,0,0
20171018,FL-BAPEU,Fonds,52.65,52.65,52.65,52.65,0,0
20171017,FL-BAPEU,Fonds,52.62,52.62,52.62,52.62,0,0
20171016,FL-BAPEU,Fonds,53.24,53.24,53.24,53.24,0,0
20171013,FL-BAPEU,Fonds,52.93,52.93,52.93,52.93,0,0
20171011,FL-BAPEU,Fonds,52.59,52.59,52.59,52.59,0,0
20171010,FL-BAPEU,Fonds,52.91,52.91,52.91,52.91,0,0
20171009,FL-BAPEU,Fonds,52.30,52.30,52.30,52.30,0,0
20171006,FL-BAPEU,Fonds,52.71,52.71,52.71,52.71,0,0
20171005,FL-BAPEU,Fonds,54.47,54.47,54.47,54.47,0,0
20171004,FL-BAPEU,Fonds,53.51,53.51,53.51,53.51,0,0
20171003,FL-BAPEU,Fonds,52.28,52.28,52.28,52.28,0,0
20171002,FL-BAPEU,Fonds,51.51,51.51,51.51,51.51,0,0
20170929,FL-BAPEU,Fonds,51.17,51.17,51.17,51.17,0,0
20170928,FL-BAPEU,Fonds,50.55,50.55,50.55,50.55,0,0
20170927,FL-BAPEU,Fonds,50.94,50.94,50.94,50.94,0,0
20170926,FL-BAPEU,Fonds,51.63,51.63,51.63,51.63,0,0
20170925,FL-BAPEU,Fonds,51.94,51.94,51.94,51.94,0,0
20170922,FL-BAPEU,Fonds,51.82,51.82,51.82,51.82,0,0
20170921,FL-BAPEU,Fonds,52.30,52.30,52.30,52.30,0,0
20170920,FL-BAPEU,Fonds,52.21,52.21,52.21,52.21,0,0
20170919,FL-BAPEU,Fonds,52.16,52.16,52.16,52.16,0,0
20170918,FL-BAPEU,Fonds,52.76,52.76,52.76,52.76,0,0
20170915,FL-BAPEU,Fonds,51.99,51.99,51.99,51.99,0,0
20170914,FL-BAPEU,Fonds,51.83,51.83,51.83,51.83,0,0
20170913,FL-BAPEU,Fonds,51.57,51.57,51.57,51.57,0,0
20170912,FL-BAPEU,Fonds,51.81,51.81,51.81,51.81,0,0
20170911,FL-BAPEU,Fonds,51.81,51.81,51.81,51.81,0,0
20170908,FL-BAPEU,Fonds,50.98,50.98,50.98,50.98,0,0
20170906,FL-BAPEU,Fonds,50.81,50.81,50.81,50.81,0,0
20170905,FL-BAPEU,Fonds,50.54,50.54,50.54,50.54,0,0
20170904,FL-BAPEU,Fonds,49.41,49.41,49.41,49.41,0,0
20170901,FL-BAPEU,Fonds,49.50,49.50,49.50,49.50,0,0
20170831,FL-BAPEU,Fonds,49.00,49.00,49.00,49.00,0,0
20170830,FL-BAPEU,Fonds,48.48,48.48,48.48,48.48,0,0
20170829,FL-BAPEU,Fonds,47.60,47.60,47.60,47.60,0,0
20170828,FL-BAPEU,Fonds,48.48,48.48,48.48,48.48,0,0
20170825,FL-BAPEU,Fonds,49.10,49.10,49.10,49.10,0,0
20170824,FL-BAPEU,Fonds,49.05,49.05,49.05,49.05,0,0
20170823,FL-BAPEU,Fonds,48.40,48.40,48.40,48.40,0,0
20170822,FL-BAPEU,Fonds,48.56,48.56,48.56,48.56,0,0
20170821,FL-BAPEU,Fonds,48.05,48.05,48.05,48.05,0,0
20170818,FL-BAPEU,Fonds,47.34,47.34,47.34,47.34,0,0
20170817,FL-BAPEU,Fonds,47.77,47.77,47.77,47.77,0,0
20170816,FL-BAPEU,Fonds,47.75,47.75,47.75,47.75,0,0
20170815,FL-BAPEU,Fonds,47.35,47.35,47.35,47.35,0,0
20170814,FL-BAPEU,Fonds,46.46,46.46,46.46,46.46,0,0
20170811,FL-BAPEU,Fonds,46.16,46.16,46.16,46.16,0,0
20170810,FL-BAPEU,Fonds,46.90,46.90,46.90,46.90,0,0
20170809,FL-BAPEU,Fonds,47.22,47.22,47.22,47.22,0,0
20170808,FL-BAPEU,Fonds,47.45,47.45,47.45,47.45,0,0
20170807,FL-BAPEU,Fonds,47.16,47.16,47.16,47.16,0,0
20170804,FL-BAPEU,Fonds,47.06,47.06,47.06,47.06,0,0
20170803,FL-BAPEU,Fonds,47.04,47.04,47.04,47.04,0,0
20170802,FL-BAPEU,Fonds,46.98,46.98,46.98,46.98,0,0
20170801,FL-BAPEU,Fonds,46.82,46.82,46.82,46.82,0,0
20170731,FL-BAPEU,Fonds,46.70,46.70,46.70,46.70,0,0
20170728,FL-BAPEU,Fonds,46.33,46.33,46.33,46.33,0,0
20170727,FL-BAPEU,Fonds,46.54,46.54,46.54,46.54,0,0
20170726,FL-BAPEU,Fonds,46.59,46.59,46.59,46.59,0,0
20170725,FL-BAPEU,Fonds,46.88,46.88,46.88,46.88,0,0
20170724,FL-BAPEU,Fonds,46.88,46.88,46.88,46.88,0,0
20170721,FL-BAPEU,Fonds,46.95,46.95,46.95,46.95,0,0
20170720,FL-BAPEU,Fonds,47.14,47.14,47.14,47.14,0,0
20170719,FL-BAPEU,Fonds,47.36,47.36,47.36,47.36,0,0
20170718,FL-BAPEU,Fonds,46.47,46.47,46.47,46.47,0,0
20170717,FL-BAPEU,Fonds,46.93,46.93,46.93,46.93,0,0
20170714,FL-BAPEU,Fonds,47.09,47.09,47.09,47.09,0,0
20170713,FL-BAPEU,Fonds,46.90,46.90,46.90,46.90,0,0
20170712,FL-BAPEU,Fonds,45.84,45.84,45.84,45.84,0,0
20170711,FL-BAPEU,Fonds,44.79,44.79,44.79,44.79,0,0
20170710,FL-BAPEU,Fonds,44.52,44.52,44.52,44.52,0,0
20170707,FL-BAPEU,Fonds,44.09,44.09,44.09,44.09,0,0
20170706,FL-BAPEU,Fonds,43.84,43.84,43.84,43.84,0,0
20170705,FL-BAPEU,Fonds,43.98,43.98,43.98,43.98,0,0
20170704,FL-BAPEU,Fonds,44.41,44.41,44.41,44.41,0,0
20170703,FL-BAPEU,Fonds,44.41,44.41,44.41,44.41,0,0
20170630,FL-BAPEU,Fonds,43.70,43.70,43.70,43.70,0,0
20170629,FL-BAPEU,Fonds,43.63,43.63,43.63,43.63,0,0
20170628,FL-BAPEU,Fonds,43.27,43.27,43.27,43.27,0,0
20170627,FL-BAPEU,Fonds,43.71,43.71,43.71,43.71,0,0
20170626,FL-BAPEU,Fonds,44.37,44.37,44.37,44.37,0,0
20170623,FL-BAPEU,Fonds,43.51,43.51,43.51,43.51,0,0
20170622,FL-BAPEU,Fonds,43.56,43.56,43.56,43.56,0,0
20170621,FL-BAPEU,Fonds,43.88,43.88,43.88,43.88,0,0
20170620,FL-BAPEU,Fonds,44.55,44.55,44.55,44.55,0,0
20170619,FL-BAPEU,Fonds,44.65,44.65,44.65,44.65,0,0
20170616,FL-BAPEU,Fonds,44.65,44.65,44.65,44.65,0,0
20170614,FL-BAPEU,Fonds,44.65,44.65,44.65,44.65,0,0
20170613,FL-BAPEU,Fonds,43.98,43.98,43.98,43.98,0,0
20170612,FL-BAPEU,Fonds,44.39,44.39,44.39,44.39,0,0
20170609,FL-BAPEU,Fonds,45.45,45.45,45.45,45.45,0,0
20170608,FL-BAPEU,Fonds,45.04,45.04,45.04,45.04,0,0
20170607,FL-BAPEU,Fonds,45.63,45.63,45.63,45.63,0,0
20170606,FL-BAPEU,Fonds,44.89,44.89,44.89,44.89,0,0
20170602,FL-BAPEU,Fonds,44.99,44.99,44.99,44.99,0,0
20170601,FL-BAPEU,Fonds,45.72,45.72,45.72,45.72,0,0
20170531,FL-BAPEU,Fonds,45.86,45.86,45.86,45.86,0,0
20170530,FL-BAPEU,Fonds,45.96,45.96,45.96,45.96,0,0
