quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-EMDEB,Fonds,9.03,9.03,9.03,9.03,0,0
20171108,FL-EMDEB,Fonds,9.03,9.03,9.03,9.03,0,0
20171107,FL-EMDEB,Fonds,9.07,9.07,9.07,9.07,0,0
20171106,FL-EMDEB,Fonds,9.09,9.09,9.09,9.09,0,0
20171103,FL-EMDEB,Fonds,9.11,9.11,9.11,9.11,0,0
20171102,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171101,FL-EMDEB,Fonds,9.13,9.13,9.13,9.13,0,0
20171031,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20171030,FL-EMDEB,Fonds,9.11,9.11,9.11,9.11,0,0
20171027,FL-EMDEB,Fonds,9.07,9.07,9.07,9.07,0,0
20171026,FL-EMDEB,Fonds,9.08,9.08,9.08,9.08,0,0
20171025,FL-EMDEB,Fonds,9.09,9.09,9.09,9.09,0,0
20171024,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20171023,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171020,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171019,FL-EMDEB,Fonds,9.15,9.15,9.15,9.15,0,0
20171018,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171017,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171016,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171013,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171012,FL-EMDEB,Fonds,9.13,9.13,9.13,9.13,0,0
20171011,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20171010,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20171009,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20171006,FL-EMDEB,Fonds,9.11,9.11,9.11,9.11,0,0
20171005,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171004,FL-EMDEB,Fonds,9.14,9.14,9.14,9.14,0,0
20171003,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20171002,FL-EMDEB,Fonds,9.11,9.11,9.11,9.11,0,0
20170929,FL-EMDEB,Fonds,9.11,9.11,9.11,9.11,0,0
20170928,FL-EMDEB,Fonds,9.08,9.08,9.08,9.08,0,0
20170927,FL-EMDEB,Fonds,9.09,9.09,9.09,9.09,0,0
20170926,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20170925,FL-EMDEB,Fonds,9.13,9.13,9.13,9.13,0,0
20170922,FL-EMDEB,Fonds,9.13,9.13,9.13,9.13,0,0
20170921,FL-EMDEB,Fonds,9.12,9.12,9.12,9.12,0,0
20170920,FL-EMDEB,Fonds,9.15,9.15,9.15,9.15,0,0
20170919,FL-EMDEB,Fonds,9.16,9.16,9.16,9.16,0,0
