quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-EMMAE,Fonds,27.87,27.87,27.87,27.87,0,0
20171108,FL-EMMAE,Fonds,27.86,27.86,27.86,27.86,0,0
20171107,FL-EMMAE,Fonds,27.83,27.83,27.83,27.83,0,0
20171106,FL-EMMAE,Fonds,27.66,27.66,27.66,27.66,0,0
20171103,FL-EMMAE,Fonds,27.31,27.31,27.31,27.31,0,0
20171102,FL-EMMAE,Fonds,27.40,27.40,27.40,27.40,0,0
20171101,FL-EMMAE,Fonds,27.44,27.44,27.44,27.44,0,0
20171031,FL-EMMAE,Fonds,27.11,27.11,27.11,27.11,0,0
20171030,FL-EMMAE,Fonds,27.13,27.13,27.13,27.13,0,0
20171027,FL-EMMAE,Fonds,26.93,26.93,26.93,26.93,0,0
20171026,FL-EMMAE,Fonds,26.92,26.92,26.92,26.92,0,0
20171025,FL-EMMAE,Fonds,27.09,27.09,27.09,27.09,0,0
20171024,FL-EMMAE,Fonds,27.11,27.11,27.11,27.11,0,0
20171023,FL-EMMAE,Fonds,27.31,27.31,27.31,27.31,0,0
20171020,FL-EMMAE,Fonds,27.40,27.40,27.40,27.40,0,0
20171019,FL-EMMAE,Fonds,27.39,27.39,27.39,27.39,0,0
20171018,FL-EMMAE,Fonds,27.62,27.62,27.62,27.62,0,0
20171017,FL-EMMAE,Fonds,27.66,27.66,27.66,27.66,0,0
20171016,FL-EMMAE,Fonds,27.80,27.80,27.80,27.80,0,0
20171013,FL-EMMAE,Fonds,27.72,27.72,27.72,27.72,0,0
20171012,FL-EMMAE,Fonds,27.57,27.57,27.57,27.57,0,0
20171011,FL-EMMAE,Fonds,27.43,27.43,27.43,27.43,0,0
20171010,FL-EMMAE,Fonds,27.36,27.36,27.36,27.36,0,0
20171009,FL-EMMAE,Fonds,27.09,27.09,27.09,27.09,0,0
20171006,FL-EMMAE,Fonds,27.09,27.09,27.09,27.09,0,0
20171005,FL-EMMAE,Fonds,27.19,27.19,27.19,27.19,0,0
20171004,FL-EMMAE,Fonds,27.20,27.20,27.20,27.20,0,0
20171003,FL-EMMAE,Fonds,27.01,27.01,27.01,27.01,0,0
20171002,FL-EMMAE,Fonds,26.73,26.73,26.73,26.73,0,0
20170929,FL-EMMAE,Fonds,26.65,26.65,26.65,26.65,0,0
20170928,FL-EMMAE,Fonds,26.48,26.48,26.48,26.48,0,0
20170927,FL-EMMAE,Fonds,26.54,26.54,26.54,26.54,0,0
20170926,FL-EMMAE,Fonds,26.71,26.71,26.71,26.71,0,0
20170925,FL-EMMAE,Fonds,27.01,27.01,27.01,27.01,0,0
20170922,FL-EMMAE,Fonds,27.23,27.23,27.23,27.23,0,0
20170921,FL-EMMAE,Fonds,27.30,27.30,27.30,27.30,0,0
20170920,FL-EMMAE,Fonds,27.49,27.49,27.49,27.49,0,0
20170919,FL-EMMAE,Fonds,27.42,27.42,27.42,27.42,0,0
20170918,FL-EMMAE,Fonds,27.54,27.54,27.54,27.54,0,0
20170915,FL-EMMAE,Fonds,27.24,27.24,27.24,27.24,0,0
20170914,FL-EMMAE,Fonds,27.18,27.18,27.18,27.18,0,0
20170913,FL-EMMAE,Fonds,27.21,27.21,27.21,27.21,0,0
20170912,FL-EMMAE,Fonds,27.14,27.14,27.14,27.14,0,0
20170911,FL-EMMAE,Fonds,27.11,27.11,27.11,27.11,0,0
20170908,FL-EMMAE,Fonds,26.88,26.88,26.88,26.88,0,0
20170907,FL-EMMAE,Fonds,26.80,26.80,26.80,26.80,0,0
20170906,FL-EMMAE,Fonds,26.72,26.72,26.72,26.72,0,0
20170905,FL-EMMAE,Fonds,26.73,26.73,26.73,26.73,0,0
