quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-ESEAD,Fonds,86.62,86.62,86.62,86.62,0,0
20171108,FL-ESEAD,Fonds,87.42,87.42,87.42,87.42,0,0
20171107,FL-ESEAD,Fonds,87.90,87.90,87.90,87.90,0,0
20171106,FL-ESEAD,Fonds,88.04,88.04,88.04,88.04,0,0
20171103,FL-ESEAD,Fonds,87.79,87.79,87.79,87.79,0,0
20171102,FL-ESEAD,Fonds,87.55,87.55,87.55,87.55,0,0
20171101,FL-ESEAD,Fonds,88.08,88.08,88.08,88.08,0,0
20171031,FL-ESEAD,Fonds,87.60,87.60,87.60,87.60,0,0
20171030,FL-ESEAD,Fonds,87.44,87.44,87.44,87.44,0,0
20171027,FL-ESEAD,Fonds,87.18,87.18,87.18,87.18,0,0
20171026,FL-ESEAD,Fonds,86.68,86.68,86.68,86.68,0,0
20171025,FL-ESEAD,Fonds,86.31,86.31,86.31,86.31,0,0
20171024,FL-ESEAD,Fonds,86.17,86.17,86.17,86.17,0,0
20171023,FL-ESEAD,Fonds,86.74,86.74,86.74,86.74,0,0
20171020,FL-ESEAD,Fonds,86.44,86.44,86.44,86.44,0,0
20171019,FL-ESEAD,Fonds,85.93,85.93,85.93,85.93,0,0
20171018,FL-ESEAD,Fonds,86.75,86.75,86.75,86.75,0,0
20171017,FL-ESEAD,Fonds,86.79,86.79,86.79,86.79,0,0
20171016,FL-ESEAD,Fonds,86.67,86.67,86.67,86.67,0,0
20171013,FL-ESEAD,Fonds,86.45,86.45,86.45,86.45,0,0
20171012,FL-ESEAD,Fonds,86.30,86.30,86.30,86.30,0,0
20171011,FL-ESEAD,Fonds,86.33,86.33,86.33,86.33,0,0
20171010,FL-ESEAD,Fonds,86.29,86.29,86.29,86.29,0,0
20171009,FL-ESEAD,Fonds,86.43,86.43,86.43,86.43,0,0
20171006,FL-ESEAD,Fonds,86.36,86.36,86.36,86.36,0,0
20171005,FL-ESEAD,Fonds,86.43,86.43,86.43,86.43,0,0
20171004,FL-ESEAD,Fonds,86.31,86.31,86.31,86.31,0,0
20171003,FL-ESEAD,Fonds,86.38,86.38,86.38,86.38,0,0
20171002,FL-ESEAD,Fonds,86.12,86.12,86.12,86.12,0,0
20170929,FL-ESEAD,Fonds,85.45,85.45,85.45,85.45,0,0
20170928,FL-ESEAD,Fonds,85.18,85.18,85.18,85.18,0,0
20170927,FL-ESEAD,Fonds,85.21,85.21,85.21,85.21,0,0
20170926,FL-ESEAD,Fonds,84.77,84.77,84.77,84.77,0,0
20170925,FL-ESEAD,Fonds,84.74,84.74,84.74,84.74,0,0
20170922,FL-ESEAD,Fonds,84.54,84.54,84.54,84.54,0,0
20170921,FL-ESEAD,Fonds,84.52,84.52,84.52,84.52,0,0
20170920,FL-ESEAD,Fonds,84.37,84.37,84.37,84.37,0,0
20170919,FL-ESEAD,Fonds,84.40,84.40,84.40,84.40,0,0
20170918,FL-ESEAD,Fonds,84.52,84.52,84.52,84.52,0,0
20170915,FL-ESEAD,Fonds,84.19,84.19,84.19,84.19,0,0
20170914,FL-ESEAD,Fonds,84.54,84.54,84.54,84.54,0,0
20170913,FL-ESEAD,Fonds,84.55,84.55,84.55,84.55,0,0
20170912,FL-ESEAD,Fonds,84.52,84.52,84.52,84.52,0,0
20170911,FL-ESEAD,Fonds,84.06,84.06,84.06,84.06,0,0
20170908,FL-ESEAD,Fonds,83.27,83.27,83.27,83.27,0,0
20170907,FL-ESEAD,Fonds,83.25,83.25,83.25,83.25,0,0
20170906,FL-ESEAD,Fonds,83.02,83.02,83.02,83.02,0,0
20170905,FL-ESEAD,Fonds,83.32,83.32,83.32,83.32,0,0
20170904,FL-ESEAD,Fonds,83.19,83.19,83.19,83.19,0,0
20170901,FL-ESEAD,Fonds,83.65,83.65,83.65,83.65,0,0
20170831,FL-ESEAD,Fonds,83.16,83.16,83.16,83.16,0,0
20170830,FL-ESEAD,Fonds,82.50,82.50,82.50,82.50,0,0
20170829,FL-ESEAD,Fonds,81.79,81.79,81.79,81.79,0,0
20170828,FL-ESEAD,Fonds,82.92,82.92,82.92,82.92,0,0
20170825,FL-ESEAD,Fonds,83.55,83.55,83.55,83.55,0,0
20170824,FL-ESEAD,Fonds,83.39,83.39,83.39,83.39,0,0
20170823,FL-ESEAD,Fonds,83.12,83.12,83.12,83.12,0,0
20170822,FL-ESEAD,Fonds,83.54,83.54,83.54,83.54,0,0
20170821,FL-ESEAD,Fonds,82.80,82.80,82.80,82.80,0,0
20170818,FL-ESEAD,Fonds,83.02,83.02,83.02,83.02,0,0
20170817,FL-ESEAD,Fonds,84.05,84.05,84.05,84.05,0,0
20170816,FL-ESEAD,Fonds,84.47,84.47,84.47,84.47,0,0
20170815,FL-ESEAD,Fonds,83.76,83.76,83.76,83.76,0,0
20170814,FL-ESEAD,Fonds,83.44,83.44,83.44,83.44,0,0
20170811,FL-ESEAD,Fonds,82.68,82.68,82.68,82.68,0,0
20170810,FL-ESEAD,Fonds,83.79,83.79,83.79,83.79,0,0
20170809,FL-ESEAD,Fonds,84.49,84.49,84.49,84.49,0,0
20170808,FL-ESEAD,Fonds,84.76,84.76,84.76,84.76,0,0
20170807,FL-ESEAD,Fonds,84.85,84.85,84.85,84.85,0,0
20170804,FL-ESEAD,Fonds,84.72,84.72,84.72,84.72,0,0
20170803,FL-ESEAD,Fonds,84.06,84.06,84.06,84.06,0,0
20170802,FL-ESEAD,Fonds,84.20,84.20,84.20,84.20,0,0
20170801,FL-ESEAD,Fonds,84.33,84.33,84.33,84.33,0,0
20170731,FL-ESEAD,Fonds,84.21,84.21,84.21,84.21,0,0
20170728,FL-ESEAD,Fonds,84.12,84.12,84.12,84.12,0,0
20170727,FL-ESEAD,Fonds,84.72,84.72,84.72,84.72,0,0
20170726,FL-ESEAD,Fonds,84.77,84.77,84.77,84.77,0,0
20170725,FL-ESEAD,Fonds,84.48,84.48,84.48,84.48,0,0
20170724,FL-ESEAD,Fonds,84.19,84.19,84.19,84.19,0,0
20170721,FL-ESEAD,Fonds,84.09,84.09,84.09,84.09,0,0
20170720,FL-ESEAD,Fonds,85.48,85.48,85.48,85.48,0,0
20170719,FL-ESEAD,Fonds,85.23,85.23,85.23,85.23,0,0
20170718,FL-ESEAD,Fonds,84.51,84.51,84.51,84.51,0,0
20170717,FL-ESEAD,Fonds,85.55,85.55,85.55,85.55,0,0
20170714,FL-ESEAD,Fonds,85.52,85.52,85.52,85.52,0,0
20170713,FL-ESEAD,Fonds,85.53,85.53,85.53,85.53,0,0
20170712,FL-ESEAD,Fonds,85.29,85.29,85.29,85.29,0,0
20170711,FL-ESEAD,Fonds,84.27,84.27,84.27,84.27,0,0
20170710,FL-ESEAD,Fonds,84.79,84.79,84.79,84.79,0,0
20170707,FL-ESEAD,Fonds,84.17,84.17,84.17,84.17,0,0
20170706,FL-ESEAD,Fonds,84.03,84.03,84.03,84.03,0,0
20170705,FL-ESEAD,Fonds,84.77,84.77,84.77,84.77,0,0
20170704,FL-ESEAD,Fonds,84.96,84.96,84.96,84.96,0,0
20170703,FL-ESEAD,Fonds,84.82,84.82,84.82,84.82,0,0
20170630,FL-ESEAD,Fonds,84.67,84.67,84.67,84.67,0,0
20170629,FL-ESEAD,Fonds,84.51,84.51,84.51,84.51,0,0
20170628,FL-ESEAD,Fonds,85.38,85.38,85.38,85.38,0,0
20170627,FL-ESEAD,Fonds,85.56,85.56,85.56,85.56,0,0
20170626,FL-ESEAD,Fonds,86.56,86.56,86.56,86.56,0,0
20170623,FL-ESEAD,Fonds,85.72,85.72,85.72,85.72,0,0
20170622,FL-ESEAD,Fonds,85.84,85.84,85.84,85.84,0,0
20170621,FL-ESEAD,Fonds,85.96,85.96,85.96,85.96,0,0
20170620,FL-ESEAD,Fonds,86.58,86.58,86.58,86.58,0,0
20170619,FL-ESEAD,Fonds,86.54,86.54,86.54,86.54,0,0
20170616,FL-ESEAD,Fonds,85.68,85.68,85.68,85.68,0,0
20170615,FL-ESEAD,Fonds,85.11,85.11,85.11,85.11,0,0
20170614,FL-ESEAD,Fonds,86.17,86.17,86.17,86.17,0,0
20170613,FL-ESEAD,Fonds,86.10,86.10,86.10,86.10,0,0
20170612,FL-ESEAD,Fonds,85.64,85.64,85.64,85.64,0,0
20170609,FL-ESEAD,Fonds,86.33,86.33,86.33,86.33,0,0
20170608,FL-ESEAD,Fonds,86.07,86.07,86.07,86.07,0,0
20170607,FL-ESEAD,Fonds,86.53,86.53,86.53,86.53,0,0
20170606,FL-ESEAD,Fonds,86.30,86.30,86.30,86.30,0,0
20170602,FL-ESEAD,Fonds,87.20,87.20,87.20,87.20,0,0
20170601,FL-ESEAD,Fonds,87.11,87.11,87.11,87.11,0,0
20170531,FL-ESEAD,Fonds,86.68,86.68,86.68,86.68,0,0
20170530,FL-ESEAD,Fonds,86.65,86.65,86.65,86.65,0,0
20170529,FL-ESEAD,Fonds,86.67,86.67,86.67,86.67,0,0
20170526,FL-ESEAD,Fonds,86.73,86.73,86.73,86.73,0,0
20170524,FL-ESEAD,Fonds,86.66,86.66,86.66,86.66,0,0
20170523,FL-ESEAD,Fonds,86.76,86.76,86.76,86.76,0,0
20170522,FL-ESEAD,Fonds,86.69,86.69,86.69,86.69,0,0
20170519,FL-ESEAD,Fonds,86.66,86.66,86.66,86.66,0,0
20170518,FL-ESEAD,Fonds,85.94,85.94,85.94,85.94,0,0
20170516,FL-ESEAD,Fonds,87.62,87.62,87.62,87.62,0,0
20170515,FL-ESEAD,Fonds,87.21,87.21,87.21,87.21,0,0
20170512,FL-ESEAD,Fonds,87.08,87.08,87.08,87.08,0,0
20170511,FL-ESEAD,Fonds,86.82,86.82,86.82,86.82,0,0
20170510,FL-ESEAD,Fonds,87.21,87.21,87.21,87.21,0,0
20170509,FL-ESEAD,Fonds,87.04,87.04,87.04,87.04,0,0
20170508,FL-ESEAD,Fonds,86.71,86.71,86.71,86.71,0,0
20170505,FL-ESEAD,Fonds,86.72,86.72,86.72,86.72,0,0
20170504,FL-ESEAD,Fonds,86.09,86.09,86.09,86.09,0,0
20170503,FL-ESEAD,Fonds,85.83,85.83,85.83,85.83,0,0
20170502,FL-ESEAD,Fonds,85.57,85.57,85.57,85.57,0,0
20170428,FL-ESEAD,Fonds,85.32,85.32,85.32,85.32,0,0
20170427,FL-ESEAD,Fonds,85.53,85.53,85.53,85.53,0,0
20170426,FL-ESEAD,Fonds,85.38,85.38,85.38,85.38,0,0
20170425,FL-ESEAD,Fonds,85.26,85.26,85.26,85.26,0,0
20170424,FL-ESEAD,Fonds,84.97,84.97,84.97,84.97,0,0
20170421,FL-ESEAD,Fonds,83.27,83.27,83.27,83.27,0,0
20170420,FL-ESEAD,Fonds,83.04,83.04,83.04,83.04,0,0
20170419,FL-ESEAD,Fonds,83.03,83.03,83.03,83.03,0,0
20170418,FL-ESEAD,Fonds,82.87,82.87,82.87,82.87,0,0
20170412,FL-ESEAD,Fonds,83.78,83.78,83.78,83.78,0,0
20170411,FL-ESEAD,Fonds,83.89,83.89,83.89,83.89,0,0
20170410,FL-ESEAD,Fonds,83.76,83.76,83.76,83.76,0,0
20170407,FL-ESEAD,Fonds,83.54,83.54,83.54,83.54,0,0
20170406,FL-ESEAD,Fonds,83.67,83.67,83.67,83.67,0,0
20170405,FL-ESEAD,Fonds,83.89,83.89,83.89,83.89,0,0
20170404,FL-ESEAD,Fonds,83.45,83.45,83.45,83.45,0,0
20170403,FL-ESEAD,Fonds,83.74,83.74,83.74,83.74,0,0
20170331,FL-ESEAD,Fonds,83.60,83.60,83.60,83.60,0,0
20170330,FL-ESEAD,Fonds,83.39,83.39,83.39,83.39,0,0
20170329,FL-ESEAD,Fonds,82.97,82.97,82.97,82.97,0,0
20170328,FL-ESEAD,Fonds,82.48,82.48,82.48,82.48,0,0
20170327,FL-ESEAD,Fonds,82.09,82.09,82.09,82.09,0,0
20170324,FL-ESEAD,Fonds,82.64,82.64,82.64,82.64,0,0
20170323,FL-ESEAD,Fonds,82.47,82.47,82.47,82.47,0,0
20170322,FL-ESEAD,Fonds,81.84,81.84,81.84,81.84,0,0
20170321,FL-ESEAD,Fonds,82.68,82.68,82.68,82.68,0,0
20170320,FL-ESEAD,Fonds,83.06,83.06,83.06,83.06,0,0
20170317,FL-ESEAD,Fonds,82.95,82.95,82.95,82.95,0,0
20170316,FL-ESEAD,Fonds,82.80,82.80,82.80,82.80,0,0
20170315,FL-ESEAD,Fonds,82.17,82.17,82.17,82.17,0,0
