quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-ESMCA,Fonds,30.32,30.32,30.32,30.32,0,0
20171108,FL-ESMCA,Fonds,30.82,30.82,30.82,30.82,0,0
20171107,FL-ESMCA,Fonds,31.17,31.17,31.17,31.17,0,0
20171106,FL-ESMCA,Fonds,31.16,31.16,31.16,31.16,0,0
20171103,FL-ESMCA,Fonds,31.03,31.03,31.03,31.03,0,0
20171102,FL-ESMCA,Fonds,30.88,30.88,30.88,30.88,0,0
20171101,FL-ESMCA,Fonds,31.30,31.30,31.30,31.30,0,0
20171031,FL-ESMCA,Fonds,31.08,31.08,31.08,31.08,0,0
20171030,FL-ESMCA,Fonds,30.97,30.97,30.97,30.97,0,0
20171027,FL-ESMCA,Fonds,30.82,30.82,30.82,30.82,0,0
20171026,FL-ESMCA,Fonds,30.57,30.57,30.57,30.57,0,0
20171025,FL-ESMCA,Fonds,30.43,30.43,30.43,30.43,0,0
20171024,FL-ESMCA,Fonds,30.31,30.31,30.31,30.31,0,0
20171023,FL-ESMCA,Fonds,30.37,30.37,30.37,30.37,0,0
20171020,FL-ESMCA,Fonds,30.30,30.30,30.30,30.30,0,0
20171019,FL-ESMCA,Fonds,30.19,30.19,30.19,30.19,0,0
20171018,FL-ESMCA,Fonds,30.65,30.65,30.65,30.65,0,0
20171017,FL-ESMCA,Fonds,30.59,30.59,30.59,30.59,0,0
20171016,FL-ESMCA,Fonds,30.63,30.63,30.63,30.63,0,0
20171013,FL-ESMCA,Fonds,30.66,30.66,30.66,30.66,0,0
20171012,FL-ESMCA,Fonds,30.51,30.51,30.51,30.51,0,0
20171011,FL-ESMCA,Fonds,30.42,30.42,30.42,30.42,0,0
20171010,FL-ESMCA,Fonds,30.45,30.45,30.45,30.45,0,0
20171009,FL-ESMCA,Fonds,30.47,30.47,30.47,30.47,0,0
20171006,FL-ESMCA,Fonds,30.45,30.45,30.45,30.45,0,0
20171005,FL-ESMCA,Fonds,30.61,30.61,30.61,30.61,0,0
20171004,FL-ESMCA,Fonds,30.61,30.61,30.61,30.61,0,0
20171003,FL-ESMCA,Fonds,30.62,30.62,30.62,30.62,0,0
20171002,FL-ESMCA,Fonds,30.56,30.56,30.56,30.56,0,0
20170929,FL-ESMCA,Fonds,30.43,30.43,30.43,30.43,0,0
20170928,FL-ESMCA,Fonds,30.11,30.11,30.11,30.11,0,0
20170927,FL-ESMCA,Fonds,30.02,30.02,30.02,30.02,0,0
20170926,FL-ESMCA,Fonds,29.90,29.90,29.90,29.90,0,0
20170925,FL-ESMCA,Fonds,30.05,30.05,30.05,30.05,0,0
20170922,FL-ESMCA,Fonds,29.95,29.95,29.95,29.95,0,0
20170921,FL-ESMCA,Fonds,29.89,29.89,29.89,29.89,0,0
20170920,FL-ESMCA,Fonds,29.86,29.86,29.86,29.86,0,0
20170919,FL-ESMCA,Fonds,29.98,29.98,29.98,29.98,0,0
20170918,FL-ESMCA,Fonds,29.93,29.93,29.93,29.93,0,0
20170915,FL-ESMCA,Fonds,29.79,29.79,29.79,29.79,0,0
20170914,FL-ESMCA,Fonds,29.82,29.82,29.82,29.82,0,0
20170913,FL-ESMCA,Fonds,29.72,29.72,29.72,29.72,0,0
20170912,FL-ESMCA,Fonds,29.72,29.72,29.72,29.72,0,0
20170911,FL-ESMCA,Fonds,29.49,29.49,29.49,29.49,0,0
20170908,FL-ESMCA,Fonds,29.17,29.17,29.17,29.17,0,0
20170907,FL-ESMCA,Fonds,29.21,29.21,29.21,29.21,0,0
20170906,FL-ESMCA,Fonds,29.08,29.08,29.08,29.08,0,0
20170905,FL-ESMCA,Fonds,29.21,29.21,29.21,29.21,0,0
20170904,FL-ESMCA,Fonds,29.02,29.02,29.02,29.02,0,0
20170901,FL-ESMCA,Fonds,29.21,29.21,29.21,29.21,0,0
20170831,FL-ESMCA,Fonds,28.93,28.93,28.93,28.93,0,0
20170830,FL-ESMCA,Fonds,28.61,28.61,28.61,28.61,0,0
20170829,FL-ESMCA,Fonds,28.24,28.24,28.24,28.24,0,0
20170828,FL-ESMCA,Fonds,28.70,28.70,28.70,28.70,0,0
20170825,FL-ESMCA,Fonds,28.99,28.99,28.99,28.99,0,0
20170824,FL-ESMCA,Fonds,28.91,28.91,28.91,28.91,0,0
20170823,FL-ESMCA,Fonds,28.95,28.95,28.95,28.95,0,0
20170822,FL-ESMCA,Fonds,28.95,28.95,28.95,28.95,0,0
20170821,FL-ESMCA,Fonds,28.80,28.80,28.80,28.80,0,0
20170818,FL-ESMCA,Fonds,28.90,28.90,28.90,28.90,0,0
20170817,FL-ESMCA,Fonds,29.19,29.19,29.19,29.19,0,0
20170816,FL-ESMCA,Fonds,29.16,29.16,29.16,29.16,0,0
20170815,FL-ESMCA,Fonds,28.91,28.91,28.91,28.91,0,0
20170814,FL-ESMCA,Fonds,29.04,29.04,29.04,29.04,0,0
20170811,FL-ESMCA,Fonds,28.47,28.47,28.47,28.47,0,0
20170810,FL-ESMCA,Fonds,29.11,29.11,29.11,29.11,0,0
20170809,FL-ESMCA,Fonds,29.24,29.24,29.24,29.24,0,0
20170808,FL-ESMCA,Fonds,29.37,29.37,29.37,29.37,0,0
20170807,FL-ESMCA,Fonds,29.50,29.50,29.50,29.50,0,0
20170804,FL-ESMCA,Fonds,29.21,29.21,29.21,29.21,0,0
20170803,FL-ESMCA,Fonds,29.08,29.08,29.08,29.08,0,0
