quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-EULRE,Fonds,106.83,106.83,106.83,106.83,0,0
20171108,FL-EULRE,Fonds,106.84,106.84,106.84,106.84,0,0
20171107,FL-EULRE,Fonds,106.84,106.84,106.84,106.84,0,0
20171106,FL-EULRE,Fonds,106.84,106.84,106.84,106.84,0,0
20171103,FL-EULRE,Fonds,106.84,106.84,106.84,106.84,0,0
20171102,FL-EULRE,Fonds,106.85,106.85,106.85,106.85,0,0
20171101,FL-EULRE,Fonds,106.85,106.85,106.85,106.85,0,0
20171031,FL-EULRE,Fonds,106.85,106.85,106.85,106.85,0,0
20171030,FL-EULRE,Fonds,106.85,106.85,106.85,106.85,0,0
20171027,FL-EULRE,Fonds,106.85,106.85,106.85,106.85,0,0
20171026,FL-EULRE,Fonds,106.86,106.86,106.86,106.86,0,0
20171025,FL-EULRE,Fonds,106.86,106.86,106.86,106.86,0,0
20171024,FL-EULRE,Fonds,106.86,106.86,106.86,106.86,0,0
20171023,FL-EULRE,Fonds,106.86,106.86,106.86,106.86,0,0
20171020,FL-EULRE,Fonds,106.86,106.86,106.86,106.86,0,0
20171019,FL-EULRE,Fonds,106.87,106.87,106.87,106.87,0,0
20171018,FL-EULRE,Fonds,106.87,106.87,106.87,106.87,0,0
20171017,FL-EULRE,Fonds,106.87,106.87,106.87,106.87,0,0
20171016,FL-EULRE,Fonds,106.87,106.87,106.87,106.87,0,0
20171013,FL-EULRE,Fonds,106.87,106.87,106.87,106.87,0,0
20171012,FL-EULRE,Fonds,106.88,106.88,106.88,106.88,0,0
20171011,FL-EULRE,Fonds,106.88,106.88,106.88,106.88,0,0
20171010,FL-EULRE,Fonds,106.88,106.88,106.88,106.88,0,0
20171009,FL-EULRE,Fonds,106.88,106.88,106.88,106.88,0,0
20171006,FL-EULRE,Fonds,106.88,106.88,106.88,106.88,0,0
20171005,FL-EULRE,Fonds,106.89,106.89,106.89,106.89,0,0
20171004,FL-EULRE,Fonds,106.89,106.89,106.89,106.89,0,0
20171003,FL-EULRE,Fonds,106.89,106.89,106.89,106.89,0,0
20171002,FL-EULRE,Fonds,106.89,106.89,106.89,106.89,0,0
20170929,FL-EULRE,Fonds,106.90,106.90,106.90,106.90,0,0
20170928,FL-EULRE,Fonds,106.90,106.90,106.90,106.90,0,0
20170927,FL-EULRE,Fonds,106.90,106.90,106.90,106.90,0,0
20170926,FL-EULRE,Fonds,106.90,106.90,106.90,106.90,0,0
20170925,FL-EULRE,Fonds,106.90,106.90,106.90,106.90,0,0
20170922,FL-EULRE,Fonds,106.91,106.91,106.91,106.91,0,0
20170921,FL-EULRE,Fonds,106.91,106.91,106.91,106.91,0,0
20170920,FL-EULRE,Fonds,106.91,106.91,106.91,106.91,0,0
20170919,FL-EULRE,Fonds,106.91,106.91,106.91,106.91,0,0
20170918,FL-EULRE,Fonds,106.92,106.92,106.92,106.92,0,0
20170915,FL-EULRE,Fonds,106.92,106.92,106.92,106.92,0,0
20170914,FL-EULRE,Fonds,106.92,106.92,106.92,106.92,0,0
20170913,FL-EULRE,Fonds,106.92,106.92,106.92,106.92,0,0
20170912,FL-EULRE,Fonds,106.92,106.92,106.92,106.92,0,0
20170911,FL-EULRE,Fonds,106.93,106.93,106.93,106.93,0,0
20170908,FL-EULRE,Fonds,106.93,106.93,106.93,106.93,0,0
20170907,FL-EULRE,Fonds,106.93,106.93,106.93,106.93,0,0
20170906,FL-EULRE,Fonds,106.93,106.93,106.93,106.93,0,0
20170905,FL-EULRE,Fonds,106.94,106.94,106.94,106.94,0,0
