quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-EURIA,Fonds,212.01,212.01,212.01,212.01,0,0
20171108,FL-EURIA,Fonds,213.77,213.77,213.77,213.77,0,0
20171107,FL-EURIA,Fonds,215.31,215.31,215.31,215.31,0,0
20171106,FL-EURIA,Fonds,215.06,215.06,215.06,215.06,0,0
20171103,FL-EURIA,Fonds,214.67,214.67,214.67,214.67,0,0
20171102,FL-EURIA,Fonds,214.96,214.96,214.96,214.96,0,0
20171101,FL-EURIA,Fonds,216.22,216.22,216.22,216.22,0,0
20171031,FL-EURIA,Fonds,214.64,214.64,214.64,214.64,0,0
20171030,FL-EURIA,Fonds,214.24,214.24,214.24,214.24,0,0
20171027,FL-EURIA,Fonds,213.50,213.50,213.50,213.50,0,0
20171026,FL-EURIA,Fonds,212.97,212.97,212.97,212.97,0,0
20171025,FL-EURIA,Fonds,211.98,211.98,211.98,211.98,0,0
20171024,FL-EURIA,Fonds,212.01,212.01,212.01,212.01,0,0
20171023,FL-EURIA,Fonds,212.92,212.92,212.92,212.92,0,0
20171020,FL-EURIA,Fonds,212.64,212.64,212.64,212.64,0,0
20171019,FL-EURIA,Fonds,211.38,211.38,211.38,211.38,0,0
20171018,FL-EURIA,Fonds,212.86,212.86,212.86,212.86,0,0
20171017,FL-EURIA,Fonds,212.68,212.68,212.68,212.68,0,0
20171016,FL-EURIA,Fonds,212.48,212.48,212.48,212.48,0,0
20171013,FL-EURIA,Fonds,212.20,212.20,212.20,212.20,0,0
20171012,FL-EURIA,Fonds,211.93,211.93,211.93,211.93,0,0
20171011,FL-EURIA,Fonds,211.66,211.66,211.66,211.66,0,0
20171010,FL-EURIA,Fonds,211.67,211.67,211.67,211.67,0,0
20171009,FL-EURIA,Fonds,211.83,211.83,211.83,211.83,0,0
20171006,FL-EURIA,Fonds,211.57,211.57,211.57,211.57,0,0
20171005,FL-EURIA,Fonds,211.83,211.83,211.83,211.83,0,0
20171004,FL-EURIA,Fonds,211.03,211.03,211.03,211.03,0,0
20171003,FL-EURIA,Fonds,211.94,211.94,211.94,211.94,0,0
20171002,FL-EURIA,Fonds,211.56,211.56,211.56,211.56,0,0
20170929,FL-EURIA,Fonds,210.89,210.89,210.89,210.89,0,0
20170928,FL-EURIA,Fonds,209.68,209.68,209.68,209.68,0,0
20170927,FL-EURIA,Fonds,210.21,210.21,210.21,210.21,0,0
20170926,FL-EURIA,Fonds,208.60,208.60,208.60,208.60,0,0
20170925,FL-EURIA,Fonds,208.59,208.59,208.59,208.59,0,0
20170922,FL-EURIA,Fonds,208.06,208.06,208.06,208.06,0,0
20170921,FL-EURIA,Fonds,208.07,208.07,208.07,208.07,0,0
20170920,FL-EURIA,Fonds,207.44,207.44,207.44,207.44,0,0
20170919,FL-EURIA,Fonds,207.70,207.70,207.70,207.70,0,0
20170918,FL-EURIA,Fonds,207.78,207.78,207.78,207.78,0,0
20170915,FL-EURIA,Fonds,206.72,206.72,206.72,206.72,0,0
20170914,FL-EURIA,Fonds,207.50,207.50,207.50,207.50,0,0
20170913,FL-EURIA,Fonds,207.63,207.63,207.63,207.63,0,0
20170912,FL-EURIA,Fonds,207.66,207.66,207.66,207.66,0,0
20170911,FL-EURIA,Fonds,206.48,206.48,206.48,206.48,0,0
20170908,FL-EURIA,Fonds,204.25,204.25,204.25,204.25,0,0
20170907,FL-EURIA,Fonds,204.61,204.61,204.61,204.61,0,0
20170906,FL-EURIA,Fonds,204.16,204.16,204.16,204.16,0,0
20170905,FL-EURIA,Fonds,205.15,205.15,205.15,205.15,0,0
20170904,FL-EURIA,Fonds,205.13,205.13,205.13,205.13,0,0
20170901,FL-EURIA,Fonds,206.30,206.30,206.30,206.30,0,0
20170831,FL-EURIA,Fonds,205.05,205.05,205.05,205.05,0,0
20170830,FL-EURIA,Fonds,203.36,203.36,203.36,203.36,0,0
20170829,FL-EURIA,Fonds,201.60,201.60,201.60,201.60,0,0
20170828,FL-EURIA,Fonds,204.57,204.57,204.57,204.57,0,0
20170825,FL-EURIA,Fonds,206.12,206.12,206.12,206.12,0,0
20170824,FL-EURIA,Fonds,205.68,205.68,205.68,205.68,0,0
20170823,FL-EURIA,Fonds,205.21,205.21,205.21,205.21,0,0
20170822,FL-EURIA,Fonds,206.00,206.00,206.00,206.00,0,0
20170821,FL-EURIA,Fonds,204.60,204.60,204.60,204.60,0,0
20170818,FL-EURIA,Fonds,205.16,205.16,205.16,205.16,0,0
20170817,FL-EURIA,Fonds,207.29,207.29,207.29,207.29,0,0
20170816,FL-EURIA,Fonds,208.25,208.25,208.25,208.25,0,0
20170815,FL-EURIA,Fonds,206.62,206.62,206.62,206.62,0,0
20170814,FL-EURIA,Fonds,206.02,206.02,206.02,206.02,0,0
20170811,FL-EURIA,Fonds,203.96,203.96,203.96,203.96,0,0
20170810,FL-EURIA,Fonds,207.18,207.18,207.18,207.18,0,0
20170809,FL-EURIA,Fonds,208.73,208.73,208.73,208.73,0,0
20170808,FL-EURIA,Fonds,209.15,209.15,209.15,209.15,0,0
20170807,FL-EURIA,Fonds,209.21,209.21,209.21,209.21,0,0
20170804,FL-EURIA,Fonds,208.94,208.94,208.94,208.94,0,0
20170803,FL-EURIA,Fonds,207.49,207.49,207.49,207.49,0,0
20170802,FL-EURIA,Fonds,207.97,207.97,207.97,207.97,0,0
20170801,FL-EURIA,Fonds,207.90,207.90,207.90,207.90,0,0
20170731,FL-EURIA,Fonds,207.32,207.32,207.32,207.32,0,0
20170728,FL-EURIA,Fonds,206.95,206.95,206.95,206.95,0,0
20170727,FL-EURIA,Fonds,208.81,208.81,208.81,208.81,0,0
20170726,FL-EURIA,Fonds,209.25,209.25,209.25,209.25,0,0
20170725,FL-EURIA,Fonds,208.45,208.45,208.45,208.45,0,0
20170724,FL-EURIA,Fonds,207.51,207.51,207.51,207.51,0,0
20170721,FL-EURIA,Fonds,207.26,207.26,207.26,207.26,0,0
20170720,FL-EURIA,Fonds,210.57,210.57,210.57,210.57,0,0
20170719,FL-EURIA,Fonds,210.49,210.49,210.49,210.49,0,0
20170718,FL-EURIA,Fonds,208.91,208.91,208.91,208.91,0,0
20170717,FL-EURIA,Fonds,211.12,211.12,211.12,211.12,0,0
20170714,FL-EURIA,Fonds,210.84,210.84,210.84,210.84,0,0
20170713,FL-EURIA,Fonds,211.23,211.23,211.23,211.23,0,0
20170712,FL-EURIA,Fonds,210.05,210.05,210.05,210.05,0,0
20170711,FL-EURIA,Fonds,207.88,207.88,207.88,207.88,0,0
20170710,FL-EURIA,Fonds,209.33,209.33,209.33,209.33,0,0
20170707,FL-EURIA,Fonds,207.78,207.78,207.78,207.78,0,0
20170706,FL-EURIA,Fonds,207.41,207.41,207.41,207.41,0,0
20170705,FL-EURIA,Fonds,209.00,209.00,209.00,209.00,0,0
20170704,FL-EURIA,Fonds,209.11,209.11,209.11,209.11,0,0
20170703,FL-EURIA,Fonds,208.72,208.72,208.72,208.72,0,0
20170630,FL-EURIA,Fonds,207.56,207.56,207.56,207.56,0,0
20170629,FL-EURIA,Fonds,207.78,207.78,207.78,207.78,0,0
20170628,FL-EURIA,Fonds,208.81,208.81,208.81,208.81,0,0
20170627,FL-EURIA,Fonds,208.75,208.75,208.75,208.75,0,0
20170626,FL-EURIA,Fonds,211.19,211.19,211.19,211.19,0,0
20170623,FL-EURIA,Fonds,209.49,209.49,209.49,209.49,0,0
20170622,FL-EURIA,Fonds,209.76,209.76,209.76,209.76,0,0
20170621,FL-EURIA,Fonds,210.72,210.72,210.72,210.72,0,0
20170620,FL-EURIA,Fonds,211.75,211.75,211.75,211.75,0,0
20170619,FL-EURIA,Fonds,212.80,212.80,212.80,212.80,0,0
20170616,FL-EURIA,Fonds,210.77,210.77,210.77,210.77,0,0
20170615,FL-EURIA,Fonds,209.27,209.27,209.27,209.27,0,0
20170614,FL-EURIA,Fonds,212.22,212.22,212.22,212.22,0,0
20170613,FL-EURIA,Fonds,212.21,212.21,212.21,212.21,0,0
20170612,FL-EURIA,Fonds,211.07,211.07,211.07,211.07,0,0
20170609,FL-EURIA,Fonds,212.40,212.40,212.40,212.40,0,0
20170608,FL-EURIA,Fonds,211.61,211.61,211.61,211.61,0,0
20170607,FL-EURIA,Fonds,212.33,212.33,212.33,212.33,0,0
20170606,FL-EURIA,Fonds,211.04,211.04,211.04,211.04,0,0
20170602,FL-EURIA,Fonds,212.44,212.44,212.44,212.44,0,0
20170601,FL-EURIA,Fonds,212.40,212.40,212.40,212.40,0,0
20170531,FL-EURIA,Fonds,212.29,212.29,212.29,212.29,0,0
20170530,FL-EURIA,Fonds,212.31,212.31,212.31,212.31,0,0
20170529,FL-EURIA,Fonds,212.35,212.35,212.35,212.35,0,0
20170526,FL-EURIA,Fonds,212.40,212.40,212.40,212.40,0,0
20170524,FL-EURIA,Fonds,213.12,213.12,213.12,213.12,0,0
20170523,FL-EURIA,Fonds,212.81,212.81,212.81,212.81,0,0
20170522,FL-EURIA,Fonds,212.32,212.32,212.32,212.32,0,0
20170519,FL-EURIA,Fonds,212.13,212.13,212.13,212.13,0,0
20170518,FL-EURIA,Fonds,210.05,210.05,210.05,210.05,0,0
20170516,FL-EURIA,Fonds,214.69,214.69,214.69,214.69,0,0
20170515,FL-EURIA,Fonds,214.16,214.16,214.16,214.16,0,0
20170512,FL-EURIA,Fonds,213.53,213.53,213.53,213.53,0,0
20170511,FL-EURIA,Fonds,213.42,213.42,213.42,213.42,0,0
20170510,FL-EURIA,Fonds,214.80,214.80,214.80,214.80,0,0
20170509,FL-EURIA,Fonds,214.55,214.55,214.55,214.55,0,0
20170508,FL-EURIA,Fonds,213.44,213.44,213.44,213.44,0,0
20170505,FL-EURIA,Fonds,213.23,213.23,213.23,213.23,0,0
20170504,FL-EURIA,Fonds,211.79,211.79,211.79,211.79,0,0
20170503,FL-EURIA,Fonds,210.68,210.68,210.68,210.68,0,0
20170502,FL-EURIA,Fonds,210.91,210.91,210.91,210.91,0,0
20170428,FL-EURIA,Fonds,209.64,209.64,209.64,209.64,0,0
20170427,FL-EURIA,Fonds,209.69,209.69,209.69,209.69,0,0
20170426,FL-EURIA,Fonds,209.82,209.82,209.82,209.82,0,0
20170425,FL-EURIA,Fonds,209.93,209.93,209.93,209.93,0,0
20170424,FL-EURIA,Fonds,208.78,208.78,208.78,208.78,0,0
20170421,FL-EURIA,Fonds,204.85,204.85,204.85,204.85,0,0
20170420,FL-EURIA,Fonds,204.05,204.05,204.05,204.05,0,0
20170419,FL-EURIA,Fonds,204.26,204.26,204.26,204.26,0,0
20170418,FL-EURIA,Fonds,203.60,203.60,203.60,203.60,0,0
20170412,FL-EURIA,Fonds,206.06,206.06,206.06,206.06,0,0
20170411,FL-EURIA,Fonds,206.18,206.18,206.18,206.18,0,0
20170410,FL-EURIA,Fonds,205.72,205.72,205.72,205.72,0,0
20170407,FL-EURIA,Fonds,205.03,205.03,205.03,205.03,0,0
20170406,FL-EURIA,Fonds,205.09,205.09,205.09,205.09,0,0
20170405,FL-EURIA,Fonds,205.45,205.45,205.45,205.45,0,0
20170404,FL-EURIA,Fonds,204.23,204.23,204.23,204.23,0,0
20170403,FL-EURIA,Fonds,204.62,204.62,204.62,204.62,0,0
20170331,FL-EURIA,Fonds,204.79,204.79,204.79,204.79,0,0
20170330,FL-EURIA,Fonds,204.48,204.48,204.48,204.48,0,0
20170329,FL-EURIA,Fonds,203.32,203.32,203.32,203.32,0,0
20170328,FL-EURIA,Fonds,202.38,202.38,202.38,202.38,0,0
