quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-GAHUS,Fonds,16.88,16.88,16.88,16.88,0,0
20171108,FL-GAHUS,Fonds,16.91,16.91,16.91,16.91,0,0
20171107,FL-GAHUS,Fonds,16.89,16.89,16.89,16.89,0,0
20171106,FL-GAHUS,Fonds,16.88,16.88,16.88,16.88,0,0
20171103,FL-GAHUS,Fonds,16.85,16.85,16.85,16.85,0,0
20171102,FL-GAHUS,Fonds,16.84,16.84,16.84,16.84,0,0
20171101,FL-GAHUS,Fonds,16.83,16.83,16.83,16.83,0,0
20171031,FL-GAHUS,Fonds,16.82,16.82,16.82,16.82,0,0
20171030,FL-GAHUS,Fonds,16.80,16.80,16.80,16.80,0,0
20171027,FL-GAHUS,Fonds,16.75,16.75,16.75,16.75,0,0
20171026,FL-GAHUS,Fonds,16.75,16.75,16.75,16.75,0,0
20171025,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20171024,FL-GAHUS,Fonds,16.75,16.75,16.75,16.75,0,0
20171023,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20171020,FL-GAHUS,Fonds,16.76,16.76,16.76,16.76,0,0
20171019,FL-GAHUS,Fonds,16.80,16.80,16.80,16.80,0,0
20171018,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20171017,FL-GAHUS,Fonds,16.80,16.80,16.80,16.80,0,0
20171016,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20171013,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20171012,FL-GAHUS,Fonds,16.75,16.75,16.75,16.75,0,0
20171011,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20171010,FL-GAHUS,Fonds,16.74,16.74,16.74,16.74,0,0
20171006,FL-GAHUS,Fonds,16.70,16.70,16.70,16.70,0,0
20171005,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20171004,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20171003,FL-GAHUS,Fonds,16.72,16.72,16.72,16.72,0,0
20171002,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20170929,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20170928,FL-GAHUS,Fonds,16.72,16.72,16.72,16.72,0,0
20170927,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20170926,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170925,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170922,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170921,FL-GAHUS,Fonds,16.76,16.76,16.76,16.76,0,0
20170920,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170919,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170918,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170915,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170914,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170913,FL-GAHUS,Fonds,16.80,16.80,16.80,16.80,0,0
20170912,FL-GAHUS,Fonds,16.82,16.82,16.82,16.82,0,0
20170911,FL-GAHUS,Fonds,16.87,16.87,16.87,16.87,0,0
20170908,FL-GAHUS,Fonds,16.90,16.90,16.90,16.90,0,0
20170907,FL-GAHUS,Fonds,16.89,16.89,16.89,16.89,0,0
20170906,FL-GAHUS,Fonds,16.88,16.88,16.88,16.88,0,0
20170905,FL-GAHUS,Fonds,16.85,16.85,16.85,16.85,0,0
20170901,FL-GAHUS,Fonds,16.82,16.82,16.82,16.82,0,0
20170831,FL-GAHUS,Fonds,16.84,16.84,16.84,16.84,0,0
20170830,FL-GAHUS,Fonds,16.82,16.82,16.82,16.82,0,0
20170829,FL-GAHUS,Fonds,16.85,16.85,16.85,16.85,0,0
20170828,FL-GAHUS,Fonds,16.81,16.81,16.81,16.81,0,0
20170825,FL-GAHUS,Fonds,16.80,16.80,16.80,16.80,0,0
20170824,FL-GAHUS,Fonds,16.81,16.81,16.81,16.81,0,0
20170823,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20170822,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20170821,FL-GAHUS,Fonds,16.80,16.80,16.80,16.80,0,0
20170818,FL-GAHUS,Fonds,16.81,16.81,16.81,16.81,0,0
20170817,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170816,FL-GAHUS,Fonds,16.74,16.74,16.74,16.74,0,0
20170815,FL-GAHUS,Fonds,16.76,16.76,16.76,16.76,0,0
20170814,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20170811,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20170810,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170809,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170808,FL-GAHUS,Fonds,16.75,16.75,16.75,16.75,0,0
20170807,FL-GAHUS,Fonds,16.74,16.74,16.74,16.74,0,0
20170804,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20170803,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
20170802,FL-GAHUS,Fonds,16.71,16.71,16.71,16.71,0,0
20170801,FL-GAHUS,Fonds,16.68,16.68,16.68,16.68,0,0
20170731,FL-GAHUS,Fonds,16.67,16.67,16.67,16.67,0,0
20170728,FL-GAHUS,Fonds,16.66,16.66,16.66,16.66,0,0
20170727,FL-GAHUS,Fonds,16.67,16.67,16.67,16.67,0,0
20170726,FL-GAHUS,Fonds,16.65,16.65,16.65,16.65,0,0
20170725,FL-GAHUS,Fonds,16.67,16.67,16.67,16.67,0,0
20170724,FL-GAHUS,Fonds,16.70,16.70,16.70,16.70,0,0
20170721,FL-GAHUS,Fonds,16.70,16.70,16.70,16.70,0,0
20170720,FL-GAHUS,Fonds,16.68,16.68,16.68,16.68,0,0
20170719,FL-GAHUS,Fonds,16.67,16.67,16.67,16.67,0,0
20170718,FL-GAHUS,Fonds,16.65,16.65,16.65,16.65,0,0
20170717,FL-GAHUS,Fonds,16.62,16.62,16.62,16.62,0,0
20170714,FL-GAHUS,Fonds,16.62,16.62,16.62,16.62,0,0
20170713,FL-GAHUS,Fonds,16.61,16.61,16.61,16.61,0,0
20170712,FL-GAHUS,Fonds,16.60,16.60,16.60,16.60,0,0
20170711,FL-GAHUS,Fonds,16.57,16.57,16.57,16.57,0,0
20170710,FL-GAHUS,Fonds,16.57,16.57,16.57,16.57,0,0
20170707,FL-GAHUS,Fonds,16.57,16.57,16.57,16.57,0,0
20170706,FL-GAHUS,Fonds,16.59,16.59,16.59,16.59,0,0
20170705,FL-GAHUS,Fonds,16.63,16.63,16.63,16.63,0,0
20170703,FL-GAHUS,Fonds,16.66,16.66,16.66,16.66,0,0
20170630,FL-GAHUS,Fonds,16.66,16.66,16.66,16.66,0,0
20170629,FL-GAHUS,Fonds,16.68,16.68,16.68,16.68,0,0
20170628,FL-GAHUS,Fonds,16.72,16.72,16.72,16.72,0,0
20170627,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170626,FL-GAHUS,Fonds,16.82,16.82,16.82,16.82,0,0
20170623,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20170622,FL-GAHUS,Fonds,16.81,16.81,16.81,16.81,0,0
20170621,FL-GAHUS,Fonds,16.79,16.79,16.79,16.79,0,0
20170620,FL-GAHUS,Fonds,16.78,16.78,16.78,16.78,0,0
20170619,FL-GAHUS,Fonds,16.76,16.76,16.76,16.76,0,0
20170616,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170615,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170614,FL-GAHUS,Fonds,16.77,16.77,16.77,16.77,0,0
20170613,FL-GAHUS,Fonds,16.74,16.74,16.74,16.74,0,0
20170612,FL-GAHUS,Fonds,16.73,16.73,16.73,16.73,0,0
