quote_date,paper,exch,open,high,low,close,volume,value
20171121,FL-GCBAN,Fonds,673.75,673.75,673.75,673.75,0,0
20171120,FL-GCBAN,Fonds,672.34,672.34,672.34,672.34,0,0
20171117,FL-GCBAN,Fonds,672.16,672.16,672.16,672.16,0,0
20171116,FL-GCBAN,Fonds,671.69,671.69,671.69,671.69,0,0
20171115,FL-GCBAN,Fonds,671.64,671.64,671.64,671.64,0,0
20171114,FL-GCBAN,Fonds,671.36,671.36,671.36,671.36,0,0
20171113,FL-GCBAN,Fonds,671.42,671.42,671.42,671.42,0,0
20171110,FL-GCBAN,Fonds,671.98,671.98,671.98,671.98,0,0
20171109,FL-GCBAN,Fonds,674.20,674.20,674.20,674.20,0,0
20171108,FL-GCBAN,Fonds,675.96,675.96,675.96,675.96,0,0
20171107,FL-GCBAN,Fonds,675.85,675.85,675.85,675.85,0,0
20171106,FL-GCBAN,Fonds,676.28,676.28,676.28,676.28,0,0
20171103,FL-GCBAN,Fonds,675.27,675.27,675.27,675.27,0,0
20171102,FL-GCBAN,Fonds,675.19,675.19,675.19,675.19,0,0
20171101,FL-GCBAN,Fonds,675.25,675.25,675.25,675.25,0,0
20171031,FL-GCBAN,Fonds,674.53,674.53,674.53,674.53,0,0
20171030,FL-GCBAN,Fonds,673.68,673.68,673.68,673.68,0,0
20171027,FL-GCBAN,Fonds,671.77,671.77,671.77,671.77,0,0
20171026,FL-GCBAN,Fonds,671.24,671.24,671.24,671.24,0,0
20171025,FL-GCBAN,Fonds,670.53,670.53,670.53,670.53,0,0
20171024,FL-GCBAN,Fonds,671.92,671.92,671.92,671.92,0,0
20171023,FL-GCBAN,Fonds,672.81,672.81,672.81,672.81,0,0
20171020,FL-GCBAN,Fonds,671.72,671.72,671.72,671.72,0,0
20171019,FL-GCBAN,Fonds,673.88,673.88,673.88,673.88,0,0
20171018,FL-GCBAN,Fonds,672.45,672.45,672.45,672.45,0,0
20171017,FL-GCBAN,Fonds,673.28,673.28,673.28,673.28,0,0
20171016,FL-GCBAN,Fonds,673.14,673.14,673.14,673.14,0,0
20171013,FL-GCBAN,Fonds,672.81,672.81,672.81,672.81,0,0
20171012,FL-GCBAN,Fonds,671.32,671.32,671.32,671.32,0,0
20171011,FL-GCBAN,Fonds,671.55,671.55,671.55,671.55,0,0
20171010,FL-GCBAN,Fonds,671.48,671.48,671.48,671.48,0,0
20171009,FL-GCBAN,Fonds,670.91,670.91,670.91,670.91,0,0
20171006,FL-GCBAN,Fonds,669.24,669.24,669.24,669.24,0,0
20171005,FL-GCBAN,Fonds,670.91,670.91,670.91,670.91,0,0
20171004,FL-GCBAN,Fonds,671.18,671.18,671.18,671.18,0,0
20171003,FL-GCBAN,Fonds,670.62,670.62,670.62,670.62,0,0
20171002,FL-GCBAN,Fonds,670.54,670.54,670.54,670.54,0,0
20170929,FL-GCBAN,Fonds,669.27,669.27,669.27,669.27,0,0
20170928,FL-GCBAN,Fonds,668.69,668.69,668.69,668.69,0,0
20170927,FL-GCBAN,Fonds,668.90,668.90,668.90,668.90,0,0
