quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-GLCBA,Fonds,189.32,189.32,189.32,189.32,0,0
20171108,FL-GLCBA,Fonds,189.47,189.47,189.47,189.47,0,0
20171107,FL-GLCBA,Fonds,190.18,190.18,190.18,190.18,0,0
20171106,FL-GLCBA,Fonds,189.66,189.66,189.66,189.66,0,0
20171103,FL-GLCBA,Fonds,189.46,189.46,189.46,189.46,0,0
20171102,FL-GLCBA,Fonds,190.12,190.12,190.12,190.12,0,0
20171101,FL-GLCBA,Fonds,189.53,189.53,189.53,189.53,0,0
20171031,FL-GLCBA,Fonds,188.41,188.41,188.41,188.41,0,0
20171030,FL-GLCBA,Fonds,188.13,188.13,188.13,188.13,0,0
20171027,FL-GLCBA,Fonds,187.53,187.53,187.53,187.53,0,0
20171026,FL-GLCBA,Fonds,187.17,187.17,187.17,187.17,0,0
20171025,FL-GLCBA,Fonds,187.27,187.27,187.27,187.27,0,0
20171024,FL-GLCBA,Fonds,187.24,187.24,187.24,187.24,0,0
20171023,FL-GLCBA,Fonds,187.18,187.18,187.18,187.18,0,0
20171020,FL-GLCBA,Fonds,186.89,186.89,186.89,186.89,0,0
20171019,FL-GLCBA,Fonds,186.98,186.98,186.98,186.98,0,0
20171018,FL-GLCBA,Fonds,187.16,187.16,187.16,187.16,0,0
20171017,FL-GLCBA,Fonds,187.21,187.21,187.21,187.21,0,0
20171016,FL-GLCBA,Fonds,187.25,187.25,187.25,187.25,0,0
20171013,FL-GLCBA,Fonds,187.04,187.04,187.04,187.04,0,0
20171012,FL-GLCBA,Fonds,186.81,186.81,186.81,186.81,0,0
20171011,FL-GLCBA,Fonds,187.31,187.31,187.31,187.31,0,0
20171010,FL-GLCBA,Fonds,186.76,186.76,186.76,186.76,0,0
20171009,FL-GLCBA,Fonds,186.68,186.68,186.68,186.68,0,0
20171006,FL-GLCBA,Fonds,186.59,186.59,186.59,186.59,0,0
20171005,FL-GLCBA,Fonds,186.62,186.62,186.62,186.62,0,0
20171004,FL-GLCBA,Fonds,186.60,186.60,186.60,186.60,0,0
20171003,FL-GLCBA,Fonds,186.17,186.17,186.17,186.17,0,0
20171002,FL-GLCBA,Fonds,185.89,185.89,185.89,185.89,0,0
20170929,FL-GLCBA,Fonds,185.31,185.31,185.31,185.31,0,0
20170928,FL-GLCBA,Fonds,185.04,185.04,185.04,185.04,0,0
20170927,FL-GLCBA,Fonds,184.38,184.38,184.38,184.38,0,0
20170926,FL-GLCBA,Fonds,184.48,184.48,184.48,184.48,0,0
20170925,FL-GLCBA,Fonds,184.88,184.88,184.88,184.88,0,0
20170922,FL-GLCBA,Fonds,185.07,185.07,185.07,185.07,0,0
20170921,FL-GLCBA,Fonds,185.16,185.16,185.16,185.16,0,0
20170920,FL-GLCBA,Fonds,185.19,185.19,185.19,185.19,0,0
20170919,FL-GLCBA,Fonds,185.09,185.09,185.09,185.09,0,0
20170918,FL-GLCBA,Fonds,184.83,184.83,184.83,184.83,0,0
20170915,FL-GLCBA,Fonds,184.33,184.33,184.33,184.33,0,0
20170914,FL-GLCBA,Fonds,184.25,184.25,184.25,184.25,0,0
20170913,FL-GLCBA,Fonds,184.14,184.14,184.14,184.14,0,0
20170912,FL-GLCBA,Fonds,183.78,183.78,183.78,183.78,0,0
20170911,FL-GLCBA,Fonds,183.11,183.11,183.11,183.11,0,0
20170908,FL-GLCBA,Fonds,182.80,182.80,182.80,182.80,0,0
20170907,FL-GLCBA,Fonds,182.55,182.55,182.55,182.55,0,0
20170906,FL-GLCBA,Fonds,182.36,182.36,182.36,182.36,0,0
20170905,FL-GLCBA,Fonds,182.59,182.59,182.59,182.59,0,0
20170904,FL-GLCBA,Fonds,182.44,182.44,182.44,182.44,0,0
