quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-GLFAD,Fonds,80.73,80.73,80.73,80.73,0,0
20171108,FL-GLFAD,Fonds,80.71,80.71,80.71,80.71,0,0
20171107,FL-GLFAD,Fonds,81.29,81.29,81.29,81.29,0,0
20171106,FL-GLFAD,Fonds,81.06,81.06,81.06,81.06,0,0
20171103,FL-GLFAD,Fonds,81.13,81.13,81.13,81.13,0,0
20171102,FL-GLFAD,Fonds,81.25,81.25,81.25,81.25,0,0
20171101,FL-GLFAD,Fonds,81.24,81.24,81.24,81.24,0,0
20171031,FL-GLFAD,Fonds,80.93,80.93,80.93,80.93,0,0
20171030,FL-GLFAD,Fonds,80.89,80.89,80.89,80.89,0,0
20171027,FL-GLFAD,Fonds,80.71,80.71,80.71,80.71,0,0
20171026,FL-GLFAD,Fonds,81.06,81.06,81.06,81.06,0,0
20171025,FL-GLFAD,Fonds,80.96,80.96,80.96,80.96,0,0
20171024,FL-GLFAD,Fonds,80.65,80.65,80.65,80.65,0,0
20171023,FL-GLFAD,Fonds,80.58,80.58,80.58,80.58,0,0
20171020,FL-GLFAD,Fonds,80.58,80.58,80.58,80.58,0,0
20171019,FL-GLFAD,Fonds,79.91,79.91,79.91,79.91,0,0
20171018,FL-GLFAD,Fonds,80.09,80.09,80.09,80.09,0,0
20171017,FL-GLFAD,Fonds,80.06,80.06,80.06,80.06,0,0
20171016,FL-GLFAD,Fonds,80.14,80.14,80.14,80.14,0,0
20171013,FL-GLFAD,Fonds,79.92,79.92,79.92,79.92,0,0
20171012,FL-GLFAD,Fonds,80.31,80.31,80.31,80.31,0,0
20171011,FL-GLFAD,Fonds,80.15,80.15,80.15,80.15,0,0
20171010,FL-GLFAD,Fonds,80.12,80.12,80.12,80.12,0,0
20171009,FL-GLFAD,Fonds,80.05,80.05,80.05,80.05,0,0
20171006,FL-GLFAD,Fonds,80.15,80.15,80.15,80.15,0,0
20171005,FL-GLFAD,Fonds,79.59,79.59,79.59,79.59,0,0
20171004,FL-GLFAD,Fonds,79.50,79.50,79.50,79.50,0,0
20171003,FL-GLFAD,Fonds,79.47,79.47,79.47,79.47,0,0
20171002,FL-GLFAD,Fonds,79.03,79.03,79.03,79.03,0,0
