quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-GLMAA,Fonds,104.71,104.71,104.71,104.71,0,0
20171108,FL-GLMAA,Fonds,105.19,105.19,105.19,105.19,0,0
20171107,FL-GLMAA,Fonds,105.30,105.30,105.30,105.30,0,0
20171106,FL-GLMAA,Fonds,105.37,105.37,105.37,105.37,0,0
20171103,FL-GLMAA,Fonds,105.56,105.56,105.56,105.56,0,0
20171102,FL-GLMAA,Fonds,105.53,105.53,105.53,105.53,0,0
20171101,FL-GLMAA,Fonds,105.44,105.44,105.44,105.44,0,0
20171031,FL-GLMAA,Fonds,105.28,105.28,105.28,105.28,0,0
20171030,FL-GLMAA,Fonds,105.29,105.29,105.29,105.29,0,0
20171027,FL-GLMAA,Fonds,105.26,105.26,105.26,105.26,0,0
20171026,FL-GLMAA,Fonds,105.36,105.36,105.36,105.36,0,0
20171025,FL-GLMAA,Fonds,105.35,105.35,105.35,105.35,0,0
20171024,FL-GLMAA,Fonds,105.40,105.40,105.40,105.40,0,0
20171023,FL-GLMAA,Fonds,105.44,105.44,105.44,105.44,0,0
20171020,FL-GLMAA,Fonds,105.43,105.43,105.43,105.43,0,0
20171019,FL-GLMAA,Fonds,105.33,105.33,105.33,105.33,0,0
20171018,FL-GLMAA,Fonds,105.30,105.30,105.30,105.30,0,0
20171017,FL-GLMAA,Fonds,105.30,105.30,105.30,105.30,0,0
20171016,FL-GLMAA,Fonds,105.41,105.41,105.41,105.41,0,0
20171013,FL-GLMAA,Fonds,105.38,105.38,105.38,105.38,0,0
20171012,FL-GLMAA,Fonds,105.28,105.28,105.28,105.28,0,0
20171011,FL-GLMAA,Fonds,105.34,105.34,105.34,105.34,0,0
20171010,FL-GLMAA,Fonds,105.33,105.33,105.33,105.33,0,0
20171009,FL-GLMAA,Fonds,105.21,105.21,105.21,105.21,0,0
20171006,FL-GLMAA,Fonds,105.14,105.14,105.14,105.14,0,0
20171005,FL-GLMAA,Fonds,105.17,105.17,105.17,105.17,0,0
20171004,FL-GLMAA,Fonds,105.11,105.11,105.11,105.11,0,0
20171003,FL-GLMAA,Fonds,105.13,105.13,105.13,105.13,0,0
20171002,FL-GLMAA,Fonds,105.05,105.05,105.05,105.05,0,0
20170929,FL-GLMAA,Fonds,105.02,105.02,105.02,105.02,0,0
20170928,FL-GLMAA,Fonds,105.00,105.00,105.00,105.00,0,0
