quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-GLOEQ,Fonds,32.57,32.57,32.57,32.57,0,0
20171108,FL-GLOEQ,Fonds,32.59,32.59,32.59,32.59,0,0
20171107,FL-GLOEQ,Fonds,32.68,32.68,32.68,32.68,0,0
20171106,FL-GLOEQ,Fonds,32.43,32.43,32.43,32.43,0,0
20171103,FL-GLOEQ,Fonds,32.29,32.29,32.29,32.29,0,0
20171102,FL-GLOEQ,Fonds,32.45,32.45,32.45,32.45,0,0
20171101,FL-GLOEQ,Fonds,32.60,32.60,32.60,32.60,0,0
20171031,FL-GLOEQ,Fonds,32.38,32.38,32.38,32.38,0,0
20171030,FL-GLOEQ,Fonds,32.34,32.34,32.34,32.34,0,0
20171027,FL-GLOEQ,Fonds,31.99,31.99,31.99,31.99,0,0
20171026,FL-GLOEQ,Fonds,31.89,31.89,31.89,31.89,0,0
20171025,FL-GLOEQ,Fonds,32.17,32.17,32.17,32.17,0,0
20171024,FL-GLOEQ,Fonds,32.11,32.11,32.11,32.11,0,0
20171023,FL-GLOEQ,Fonds,32.30,32.30,32.30,32.30,0,0
20171020,FL-GLOEQ,Fonds,32.29,32.29,32.29,32.29,0,0
20171019,FL-GLOEQ,Fonds,32.16,32.16,32.16,32.16,0,0
20171018,FL-GLOEQ,Fonds,32.37,32.37,32.37,32.37,0,0
20171017,FL-GLOEQ,Fonds,32.38,32.38,32.38,32.38,0,0
20171016,FL-GLOEQ,Fonds,32.42,32.42,32.42,32.42,0,0
20171013,FL-GLOEQ,Fonds,32.34,32.34,32.34,32.34,0,0
20171012,FL-GLOEQ,Fonds,32.32,32.32,32.32,32.32,0,0
20171011,FL-GLOEQ,Fonds,32.32,32.32,32.32,32.32,0,0
20171010,FL-GLOEQ,Fonds,32.31,32.31,32.31,32.31,0,0
20171009,FL-GLOEQ,Fonds,32.24,32.24,32.24,32.24,0,0
20171006,FL-GLOEQ,Fonds,32.23,32.23,32.23,32.23,0,0
20171005,FL-GLOEQ,Fonds,32.17,32.17,32.17,32.17,0,0
20171004,FL-GLOEQ,Fonds,32.16,32.16,32.16,32.16,0,0
20171003,FL-GLOEQ,Fonds,32.21,32.21,32.21,32.21,0,0
20171002,FL-GLOEQ,Fonds,32.07,32.07,32.07,32.07,0,0
20170929,FL-GLOEQ,Fonds,31.82,31.82,31.82,31.82,0,0
20170928,FL-GLOEQ,Fonds,31.82,31.82,31.82,31.82,0,0
20170927,FL-GLOEQ,Fonds,31.79,31.79,31.79,31.79,0,0
20170926,FL-GLOEQ,Fonds,31.71,31.71,31.71,31.71,0,0
20170925,FL-GLOEQ,Fonds,31.81,31.81,31.81,31.81,0,0
20170922,FL-GLOEQ,Fonds,31.93,31.93,31.93,31.93,0,0
20170921,FL-GLOEQ,Fonds,31.91,31.91,31.91,31.91,0,0
20170920,FL-GLOEQ,Fonds,32.06,32.06,32.06,32.06,0,0
20170919,FL-GLOEQ,Fonds,31.97,31.97,31.97,31.97,0,0
20170918,FL-GLOEQ,Fonds,32.06,32.06,32.06,32.06,0,0
20170915,FL-GLOEQ,Fonds,31.89,31.89,31.89,31.89,0,0
20170914,FL-GLOEQ,Fonds,31.96,31.96,31.96,31.96,0,0
20170913,FL-GLOEQ,Fonds,32.02,32.02,32.02,32.02,0,0
20170912,FL-GLOEQ,Fonds,31.91,31.91,31.91,31.91,0,0
20170911,FL-GLOEQ,Fonds,31.81,31.81,31.81,31.81,0,0
20170908,FL-GLOEQ,Fonds,31.62,31.62,31.62,31.62,0,0
20170907,FL-GLOEQ,Fonds,31.68,31.68,31.68,31.68,0,0
20170906,FL-GLOEQ,Fonds,31.62,31.62,31.62,31.62,0,0
20170905,FL-GLOEQ,Fonds,31.73,31.73,31.73,31.73,0,0
20170901,FL-GLOEQ,Fonds,31.85,31.85,31.85,31.85,0,0
20170831,FL-GLOEQ,Fonds,31.64,31.64,31.64,31.64,0,0
20170830,FL-GLOEQ,Fonds,31.36,31.36,31.36,31.36,0,0
20170829,FL-GLOEQ,Fonds,31.22,31.22,31.22,31.22,0,0
20170828,FL-GLOEQ,Fonds,31.43,31.43,31.43,31.43,0,0
20170825,FL-GLOEQ,Fonds,31.51,31.51,31.51,31.51,0,0
20170824,FL-GLOEQ,Fonds,31.39,31.39,31.39,31.39,0,0
20170823,FL-GLOEQ,Fonds,31.40,31.40,31.40,31.40,0,0
20170822,FL-GLOEQ,Fonds,31.32,31.32,31.32,31.32,0,0
20170821,FL-GLOEQ,Fonds,31.17,31.17,31.17,31.17,0,0
20170818,FL-GLOEQ,Fonds,31.14,31.14,31.14,31.14,0,0
20170817,FL-GLOEQ,Fonds,31.55,31.55,31.55,31.55,0,0
20170816,FL-GLOEQ,Fonds,31.66,31.66,31.66,31.66,0,0
20170815,FL-GLOEQ,Fonds,31.57,31.57,31.57,31.57,0,0
20170814,FL-GLOEQ,Fonds,31.61,31.61,31.61,31.61,0,0
20170811,FL-GLOEQ,Fonds,31.44,31.44,31.44,31.44,0,0
20170810,FL-GLOEQ,Fonds,31.78,31.78,31.78,31.78,0,0
20170809,FL-GLOEQ,Fonds,31.94,31.94,31.94,31.94,0,0
20170808,FL-GLOEQ,Fonds,32.17,32.17,32.17,32.17,0,0
20170807,FL-GLOEQ,Fonds,32.26,32.26,32.26,32.26,0,0
20170804,FL-GLOEQ,Fonds,32.12,32.12,32.12,32.12,0,0
20170803,FL-GLOEQ,Fonds,32.26,32.26,32.26,32.26,0,0
20170802,FL-GLOEQ,Fonds,32.32,32.32,32.32,32.32,0,0
20170801,FL-GLOEQ,Fonds,32.34,32.34,32.34,32.34,0,0
20170731,FL-GLOEQ,Fonds,32.23,32.23,32.23,32.23,0,0
20170728,FL-GLOEQ,Fonds,32.16,32.16,32.16,32.16,0,0
20170727,FL-GLOEQ,Fonds,32.36,32.36,32.36,32.36,0,0
20170726,FL-GLOEQ,Fonds,32.17,32.17,32.17,32.17,0,0
20170725,FL-GLOEQ,Fonds,32.15,32.15,32.15,32.15,0,0
20170724,FL-GLOEQ,Fonds,32.00,32.00,32.00,32.00,0,0
20170721,FL-GLOEQ,Fonds,31.95,31.95,31.95,31.95,0,0
20170720,FL-GLOEQ,Fonds,32.09,32.09,32.09,32.09,0,0
20170719,FL-GLOEQ,Fonds,31.85,31.85,31.85,31.85,0,0
20170718,FL-GLOEQ,Fonds,31.64,31.64,31.64,31.64,0,0
20170717,FL-GLOEQ,Fonds,31.74,31.74,31.74,31.74,0,0
20170714,FL-GLOEQ,Fonds,31.61,31.61,31.61,31.61,0,0
20170713,FL-GLOEQ,Fonds,31.49,31.49,31.49,31.49,0,0
20170712,FL-GLOEQ,Fonds,31.36,31.36,31.36,31.36,0,0
20170711,FL-GLOEQ,Fonds,31.07,31.07,31.07,31.07,0,0
20170710,FL-GLOEQ,Fonds,31.01,31.01,31.01,31.01,0,0
