quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-GMAAH,Fonds,72.98,72.98,72.98,72.98,0,0
20171108,FL-GMAAH,Fonds,73.34,73.34,73.34,73.34,0,0
20171107,FL-GMAAH,Fonds,73.42,73.42,73.42,73.42,0,0
20171106,FL-GMAAH,Fonds,73.48,73.48,73.48,73.48,0,0
20171103,FL-GMAAH,Fonds,73.62,73.62,73.62,73.62,0,0
20171102,FL-GMAAH,Fonds,73.59,73.59,73.59,73.59,0,0
20171101,FL-GMAAH,Fonds,73.55,73.55,73.55,73.55,0,0
20171031,FL-GMAAH,Fonds,73.44,73.44,73.44,73.44,0,0
20171030,FL-GMAAH,Fonds,73.44,73.44,73.44,73.44,0,0
20171027,FL-GMAAH,Fonds,73.43,73.43,73.43,73.43,0,0
20171026,FL-GMAAH,Fonds,73.50,73.50,73.50,73.50,0,0
20171025,FL-GMAAH,Fonds,73.52,73.52,73.52,73.52,0,0
20171024,FL-GMAAH,Fonds,73.56,73.56,73.56,73.56,0,0
20171023,FL-GMAAH,Fonds,73.59,73.59,73.59,73.59,0,0
20171020,FL-GMAAH,Fonds,73.58,73.58,73.58,73.58,0,0
20171019,FL-GMAAH,Fonds,73.52,73.52,73.52,73.52,0,0
20171018,FL-GMAAH,Fonds,73.50,73.50,73.50,73.50,0,0
20171017,FL-GMAAH,Fonds,73.51,73.51,73.51,73.51,0,0
20171016,FL-GMAAH,Fonds,73.59,73.59,73.59,73.59,0,0
20171013,FL-GMAAH,Fonds,73.57,73.57,73.57,73.57,0,0
20171012,FL-GMAAH,Fonds,73.50,73.50,73.50,73.50,0,0
20171011,FL-GMAAH,Fonds,73.56,73.56,73.56,73.56,0,0
20171010,FL-GMAAH,Fonds,73.55,73.55,73.55,73.55,0,0
20171009,FL-GMAAH,Fonds,73.47,73.47,73.47,73.47,0,0
20171006,FL-GMAAH,Fonds,73.42,73.42,73.42,73.42,0,0
20171005,FL-GMAAH,Fonds,73.45,73.45,73.45,73.45,0,0
20171004,FL-GMAAH,Fonds,73.42,73.42,73.42,73.42,0,0
20171003,FL-GMAAH,Fonds,73.44,73.44,73.44,73.44,0,0
20171002,FL-GMAAH,Fonds,73.39,73.39,73.39,73.39,0,0
20170929,FL-GMAAH,Fonds,73.37,73.37,73.37,73.37,0,0
20170928,FL-GMAAH,Fonds,73.36,73.36,73.36,73.36,0,0
20170927,FL-GMAAH,Fonds,73.41,73.41,73.41,73.41,0,0
20170926,FL-GMAAH,Fonds,73.38,73.38,73.38,73.38,0,0
20170925,FL-GMAAH,Fonds,73.45,73.45,73.45,73.45,0,0
20170922,FL-GMAAH,Fonds,73.45,73.45,73.45,73.45,0,0
20170921,FL-GMAAH,Fonds,73.43,73.43,73.43,73.43,0,0
20170920,FL-GMAAH,Fonds,73.58,73.58,73.58,73.58,0,0
20170919,FL-GMAAH,Fonds,73.65,73.65,73.65,73.65,0,0
