quote_date,paper,exch,open,high,low,close,volume,value
20171121,FL-GSAER,Fonds,11.24,11.24,11.24,11.24,0,0
20171120,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171117,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171116,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171115,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171114,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171113,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171110,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171109,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171108,FL-GSAER,Fonds,11.24,11.24,11.24,11.24,0,0
20171107,FL-GSAER,Fonds,11.24,11.24,11.24,11.24,0,0
20171106,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171103,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171102,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171101,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171031,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171030,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171027,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171026,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20171025,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171024,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171023,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171020,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171019,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171018,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171017,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171016,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171013,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171012,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171011,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171010,FL-GSAER,Fonds,11.21,11.21,11.21,11.21,0,0
20171009,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171006,FL-GSAER,Fonds,11.21,11.21,11.21,11.21,0,0
20171005,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171004,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171003,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20171002,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170929,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170928,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170927,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170926,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170925,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170922,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170921,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170920,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170919,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170918,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170915,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170914,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170913,FL-GSAER,Fonds,11.22,11.22,11.22,11.22,0,0
20170912,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20170911,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
20170908,FL-GSAER,Fonds,11.23,11.23,11.23,11.23,0,0
