quote_date,paper,exch,open,high,low,close,volume,value
20171121,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171120,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171117,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171116,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171115,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171114,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171113,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171110,FL-GSAUS,Fonds,13.80,13.80,13.80,13.80,0,0
20171109,FL-GSAUS,Fonds,13.80,13.80,13.80,13.80,0,0
20171108,FL-GSAUS,Fonds,13.80,13.80,13.80,13.80,0,0
20171107,FL-GSAUS,Fonds,13.80,13.80,13.80,13.80,0,0
20171106,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171103,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171102,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171101,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171031,FL-GSAUS,Fonds,13.79,13.79,13.79,13.79,0,0
20171030,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171027,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171026,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171025,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171024,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171023,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171020,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171019,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171018,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
20171017,FL-GSAUS,Fonds,13.78,13.78,13.78,13.78,0,0
