quote_date,paper,exch,open,high,low,close,volume,value
20171121,FL-HUSEU,Fonds,17.53,17.53,17.53,17.53,0,0
20171120,FL-HUSEU,Fonds,17.41,17.41,17.41,17.41,0,0
20171117,FL-HUSEU,Fonds,17.36,17.36,17.36,17.36,0,0
20171116,FL-HUSEU,Fonds,17.26,17.26,17.26,17.26,0,0
20171115,FL-HUSEU,Fonds,17.08,17.08,17.08,17.08,0,0
20171114,FL-HUSEU,Fonds,17.34,17.34,17.34,17.34,0,0
20171113,FL-HUSEU,Fonds,17.46,17.46,17.46,17.46,0,0
20171110,FL-HUSEU,Fonds,17.48,17.48,17.48,17.48,0,0
20171109,FL-HUSEU,Fonds,17.51,17.51,17.51,17.51,0,0
20171108,FL-HUSEU,Fonds,17.63,17.63,17.63,17.63,0,0
20171107,FL-HUSEU,Fonds,17.75,17.75,17.75,17.75,0,0
20171106,FL-HUSEU,Fonds,17.63,17.63,17.63,17.63,0,0
20171103,FL-HUSEU,Fonds,17.55,17.55,17.55,17.55,0,0
20171102,FL-HUSEU,Fonds,17.48,17.48,17.48,17.48,0,0
20171101,FL-HUSEU,Fonds,17.61,17.61,17.61,17.61,0,0
20171031,FL-HUSEU,Fonds,17.52,17.52,17.52,17.52,0,0
20171030,FL-HUSEU,Fonds,17.58,17.58,17.58,17.58,0,0
20171027,FL-HUSEU,Fonds,17.57,17.57,17.57,17.57,0,0
20171026,FL-HUSEU,Fonds,17.42,17.42,17.42,17.42,0,0
20171025,FL-HUSEU,Fonds,17.36,17.36,17.36,17.36,0,0
20171024,FL-HUSEU,Fonds,17.52,17.52,17.52,17.52,0,0
20171023,FL-HUSEU,Fonds,17.66,17.66,17.66,17.66,0,0
20171020,FL-HUSEU,Fonds,17.54,17.54,17.54,17.54,0,0
20171019,FL-HUSEU,Fonds,17.28,17.28,17.28,17.28,0,0
20171018,FL-HUSEU,Fonds,17.50,17.50,17.50,17.50,0,0
20171017,FL-HUSEU,Fonds,17.47,17.47,17.47,17.47,0,0
20171016,FL-HUSEU,Fonds,17.43,17.43,17.43,17.43,0,0
20171013,FL-HUSEU,Fonds,17.32,17.32,17.32,17.32,0,0
20171012,FL-HUSEU,Fonds,17.28,17.28,17.28,17.28,0,0
20171011,FL-HUSEU,Fonds,17.28,17.28,17.28,17.28,0,0
20171010,FL-HUSEU,Fonds,17.40,17.40,17.40,17.40,0,0
20171009,FL-HUSEU,Fonds,17.47,17.47,17.47,17.47,0,0
20171006,FL-HUSEU,Fonds,17.54,17.54,17.54,17.54,0,0
20171005,FL-HUSEU,Fonds,17.50,17.50,17.50,17.50,0,0
20171004,FL-HUSEU,Fonds,17.38,17.38,17.38,17.38,0,0
20171003,FL-HUSEU,Fonds,17.37,17.37,17.37,17.37,0,0
20171002,FL-HUSEU,Fonds,17.30,17.30,17.30,17.30,0,0
20170929,FL-HUSEU,Fonds,17.17,17.17,17.17,17.17,0,0
20170928,FL-HUSEU,Fonds,17.13,17.13,17.13,17.13,0,0
20170927,FL-HUSEU,Fonds,17.23,17.23,17.23,17.23,0,0
20170926,FL-HUSEU,Fonds,17.14,17.14,17.14,17.14,0,0
20170925,FL-HUSEU,Fonds,16.97,16.97,16.97,16.97,0,0
20170922,FL-HUSEU,Fonds,16.80,16.80,16.80,16.80,0,0
20170921,FL-HUSEU,Fonds,16.86,16.86,16.86,16.86,0,0
20170920,FL-HUSEU,Fonds,16.82,16.82,16.82,16.82,0,0
20170919,FL-HUSEU,Fonds,16.84,16.84,16.84,16.84,0,0
20170918,FL-HUSEU,Fonds,16.92,16.92,16.92,16.92,0,0
20170915,FL-HUSEU,Fonds,16.82,16.82,16.82,16.82,0,0
20170914,FL-HUSEU,Fonds,16.92,16.92,16.92,16.92,0,0
20170913,FL-HUSEU,Fonds,16.85,16.85,16.85,16.85,0,0
20170912,FL-HUSEU,Fonds,16.79,16.79,16.79,16.79,0,0
20170911,FL-HUSEU,Fonds,16.60,16.60,16.60,16.60,0,0
20170908,FL-HUSEU,Fonds,16.41,16.41,16.41,16.41,0,0
