quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-INDA,Fonds,34.92,34.92,34.92,34.92,0,0
20171108,FL-INDA,Fonds,35.06,35.06,35.06,35.06,0,0
20171107,FL-INDA,Fonds,35.11,35.11,35.11,35.11,0,0
20171106,FL-INDA,Fonds,35.62,35.62,35.62,35.62,0,0
20171103,FL-INDA,Fonds,35.62,35.62,35.62,35.62,0,0
20171102,FL-INDA,Fonds,35.48,35.48,35.48,35.48,0,0
20171101,FL-INDA,Fonds,35.60,35.60,35.60,35.60,0,0
20171031,FL-INDA,Fonds,35.30,35.30,35.30,35.30,0,0
20171030,FL-INDA,Fonds,35.18,35.18,35.18,35.18,0,0
20171027,FL-INDA,Fonds,34.80,34.80,34.80,34.80,0,0
20171026,FL-INDA,Fonds,34.90,34.90,34.90,34.90,0,0
20171025,FL-INDA,Fonds,34.57,34.57,34.57,34.57,0,0
20171024,FL-INDA,Fonds,34.60,34.60,34.60,34.60,0,0
20171023,FL-INDA,Fonds,34.71,34.71,34.71,34.71,0,0
20171018,FL-INDA,Fonds,34.84,34.84,34.84,34.84,0,0
20171017,FL-INDA,Fonds,35.05,35.05,35.05,35.05,0,0
20171016,FL-INDA,Fonds,35.17,35.17,35.17,35.17,0,0
20171013,FL-INDA,Fonds,34.84,34.84,34.84,34.84,0,0
20171012,FL-INDA,Fonds,34.56,34.56,34.56,34.56,0,0
20171011,FL-INDA,Fonds,34.13,34.13,34.13,34.13,0,0
20171010,FL-INDA,Fonds,34.25,34.25,34.25,34.25,0,0
20171009,FL-INDA,Fonds,34.07,34.07,34.07,34.07,0,0
20171006,FL-INDA,Fonds,34.03,34.03,34.03,34.03,0,0
20171005,FL-INDA,Fonds,33.95,33.95,33.95,33.95,0,0
20171004,FL-INDA,Fonds,34.00,34.00,34.00,34.00,0,0
20171003,FL-INDA,Fonds,33.63,33.63,33.63,33.63,0,0
20170929,FL-INDA,Fonds,33.53,33.53,33.53,33.53,0,0
20170928,FL-INDA,Fonds,33.26,33.26,33.26,33.26,0,0
20170927,FL-INDA,Fonds,32.76,32.76,32.76,32.76,0,0
20170926,FL-INDA,Fonds,33.18,33.18,33.18,33.18,0,0
20170925,FL-INDA,Fonds,33.41,33.41,33.41,33.41,0,0
20170922,FL-INDA,Fonds,33.99,33.99,33.99,33.99,0,0
20170921,FL-INDA,Fonds,34.63,34.63,34.63,34.63,0,0
20170920,FL-INDA,Fonds,34.98,34.98,34.98,34.98,0,0
20170919,FL-INDA,Fonds,35.18,35.18,35.18,35.18,0,0
20170918,FL-INDA,Fonds,35.31,35.31,35.31,35.31,0,0
20170915,FL-INDA,Fonds,35.04,35.04,35.04,35.04,0,0
20170914,FL-INDA,Fonds,35.07,35.07,35.07,35.07,0,0
20170913,FL-INDA,Fonds,35.05,35.05,35.05,35.05,0,0
20170912,FL-INDA,Fonds,35.16,35.16,35.16,35.16,0,0
20170911,FL-INDA,Fonds,34.93,34.93,34.93,34.93,0,0
20170908,FL-INDA,Fonds,34.62,34.62,34.62,34.62,0,0
20170907,FL-INDA,Fonds,34.46,34.46,34.46,34.46,0,0
20170906,FL-INDA,Fonds,34.35,34.35,34.35,34.35,0,0
20170905,FL-INDA,Fonds,34.39,34.39,34.39,34.39,0,0
20170904,FL-INDA,Fonds,34.21,34.21,34.21,34.21,0,0
20170901,FL-INDA,Fonds,34.45,34.45,34.45,34.45,0,0
20170831,FL-INDA,Fonds,34.12,34.12,34.12,34.12,0,0
20170830,FL-INDA,Fonds,34.00,34.00,34.00,34.00,0,0
20170829,FL-INDA,Fonds,33.59,33.59,33.59,33.59,0,0
20170828,FL-INDA,Fonds,34.08,34.08,34.08,34.08,0,0
20170824,FL-INDA,Fonds,33.78,33.78,33.78,33.78,0,0
20170823,FL-INDA,Fonds,33.69,33.69,33.69,33.69,0,0
20170822,FL-INDA,Fonds,33.40,33.40,33.40,33.40,0,0
20170821,FL-INDA,Fonds,33.39,33.39,33.39,33.39,0,0
20170818,FL-INDA,Fonds,33.71,33.71,33.71,33.71,0,0
20170817,FL-INDA,Fonds,33.95,33.95,33.95,33.95,0,0
20170816,FL-INDA,Fonds,33.99,33.99,33.99,33.99,0,0
20170814,FL-INDA,Fonds,33.62,33.62,33.62,33.62,0,0
20170811,FL-INDA,Fonds,33.24,33.24,33.24,33.24,0,0
20170810,FL-INDA,Fonds,33.64,33.64,33.64,33.64,0,0
20170809,FL-INDA,Fonds,34.13,34.13,34.13,34.13,0,0
20170808,FL-INDA,Fonds,34.66,34.66,34.66,34.66,0,0
20170807,FL-INDA,Fonds,34.71,34.71,34.71,34.71,0,0
20170804,FL-INDA,Fonds,34.87,34.87,34.87,34.87,0,0
20170803,FL-INDA,Fonds,34.58,34.58,34.58,34.58,0,0
20170802,FL-INDA,Fonds,34.83,34.83,34.83,34.83,0,0
20170801,FL-INDA,Fonds,34.79,34.79,34.79,34.79,0,0
20170731,FL-INDA,Fonds,34.66,34.66,34.66,34.66,0,0
20170728,FL-INDA,Fonds,34.54,34.54,34.54,34.54,0,0
20170727,FL-INDA,Fonds,34.38,34.38,34.38,34.38,0,0
20170726,FL-INDA,Fonds,34.14,34.14,34.14,34.14,0,0
20170725,FL-INDA,Fonds,34.15,34.15,34.15,34.15,0,0
20170724,FL-INDA,Fonds,33.99,33.99,33.99,33.99,0,0
20170721,FL-INDA,Fonds,33.89,33.89,33.89,33.89,0,0
20170720,FL-INDA,Fonds,33.89,33.89,33.89,33.89,0,0
20170719,FL-INDA,Fonds,34.03,34.03,34.03,34.03,0,0
20170718,FL-INDA,Fonds,33.90,33.90,33.90,33.90,0,0
20170717,FL-INDA,Fonds,33.96,33.96,33.96,33.96,0,0
20170714,FL-INDA,Fonds,33.74,33.74,33.74,33.74,0,0
20170713,FL-INDA,Fonds,33.60,33.60,33.60,33.60,0,0
20170712,FL-INDA,Fonds,33.47,33.47,33.47,33.47,0,0
20170711,FL-INDA,Fonds,33.31,33.31,33.31,33.31,0,0
20170710,FL-INDA,Fonds,33.19,33.19,33.19,33.19,0,0
20170707,FL-INDA,Fonds,32.78,32.78,32.78,32.78,0,0
20170706,FL-INDA,Fonds,32.76,32.76,32.76,32.76,0,0
20170705,FL-INDA,Fonds,32.51,32.51,32.51,32.51,0,0
20170704,FL-INDA,Fonds,32.31,32.31,32.31,32.31,0,0
20170703,FL-INDA,Fonds,32.28,32.28,32.28,32.28,0,0
20170630,FL-INDA,Fonds,32.04,32.04,32.04,32.04,0,0
20170629,FL-INDA,Fonds,31.96,31.96,31.96,31.96,0,0
20170628,FL-INDA,Fonds,31.99,31.99,31.99,31.99,0,0
20170627,FL-INDA,Fonds,31.95,31.95,31.95,31.95,0,0
20170623,FL-INDA,Fonds,32.18,32.18,32.18,32.18,0,0
20170622,FL-INDA,Fonds,32.41,32.41,32.41,32.41,0,0
20170621,FL-INDA,Fonds,32.42,32.42,32.42,32.42,0,0
20170620,FL-INDA,Fonds,32.49,32.49,32.49,32.49,0,0
20170619,FL-INDA,Fonds,32.58,32.58,32.58,32.58,0,0
20170616,FL-INDA,Fonds,32.40,32.40,32.40,32.40,0,0
20170615,FL-INDA,Fonds,32.32,32.32,32.32,32.32,0,0
20170614,FL-INDA,Fonds,32.69,32.69,32.69,32.69,0,0
20170613,FL-INDA,Fonds,32.48,32.48,32.48,32.48,0,0
20170612,FL-INDA,Fonds,32.40,32.40,32.40,32.40,0,0
20170609,FL-INDA,Fonds,32.78,32.78,32.78,32.78,0,0
20170608,FL-INDA,Fonds,32.66,32.66,32.66,32.66,0,0
20170607,FL-INDA,Fonds,32.53,32.53,32.53,32.53,0,0
20170606,FL-INDA,Fonds,32.46,32.46,32.46,32.46,0,0
20170602,FL-INDA,Fonds,32.59,32.59,32.59,32.59,0,0
20170601,FL-INDA,Fonds,32.41,32.41,32.41,32.41,0,0
20170531,FL-INDA,Fonds,32.43,32.43,32.43,32.43,0,0
20170530,FL-INDA,Fonds,32.27,32.27,32.27,32.27,0,0
20170529,FL-INDA,Fonds,32.25,32.25,32.25,32.25,0,0
20170526,FL-INDA,Fonds,32.27,32.27,32.27,32.27,0,0
20170524,FL-INDA,Fonds,31.41,31.41,31.41,31.41,0,0
20170523,FL-INDA,Fonds,31.52,31.52,31.52,31.52,0,0
20170522,FL-INDA,Fonds,31.94,31.94,31.94,31.94,0,0
20170519,FL-INDA,Fonds,32.10,32.10,32.10,32.10,0,0
20170518,FL-INDA,Fonds,31.98,31.98,31.98,31.98,0,0
20170516,FL-INDA,Fonds,32.93,32.93,32.93,32.93,0,0
20170515,FL-INDA,Fonds,32.65,32.65,32.65,32.65,0,0
20170512,FL-INDA,Fonds,32.45,32.45,32.45,32.45,0,0
20170511,FL-INDA,Fonds,32.36,32.36,32.36,32.36,0,0
20170510,FL-INDA,Fonds,32.16,32.16,32.16,32.16,0,0
20170509,FL-INDA,Fonds,31.85,31.85,31.85,31.85,0,0
20170508,FL-INDA,Fonds,32.00,32.00,32.00,32.00,0,0
20170505,FL-INDA,Fonds,31.74,31.74,31.74,31.74,0,0
20170504,FL-INDA,Fonds,32.04,32.04,32.04,32.04,0,0
20170503,FL-INDA,Fonds,32.03,32.03,32.03,32.03,0,0
20170502,FL-INDA,Fonds,32.00,32.00,32.00,32.00,0,0
20170428,FL-INDA,Fonds,31.91,31.91,31.91,31.91,0,0
20170427,FL-INDA,Fonds,32.10,32.10,32.10,32.10,0,0
20170426,FL-INDA,Fonds,32.13,32.13,32.13,32.13,0,0
20170425,FL-INDA,Fonds,31.91,31.91,31.91,31.91,0,0
20170424,FL-INDA,Fonds,31.65,31.65,31.65,31.65,0,0
20170421,FL-INDA,Fonds,31.11,31.11,31.11,31.11,0,0
20170420,FL-INDA,Fonds,31.11,31.11,31.11,31.11,0,0
20170419,FL-INDA,Fonds,30.97,30.97,30.97,30.97,0,0
20170418,FL-INDA,Fonds,30.89,30.89,30.89,30.89,0,0
20170412,FL-INDA,Fonds,31.28,31.28,31.28,31.28,0,0
20170411,FL-INDA,Fonds,31.40,31.40,31.40,31.40,0,0
20170410,FL-INDA,Fonds,31.22,31.22,31.22,31.22,0,0
20170407,FL-INDA,Fonds,31.43,31.43,31.43,31.43,0,0
20170406,FL-INDA,Fonds,31.48,31.48,31.48,31.48,0,0
20170405,FL-INDA,Fonds,31.27,31.27,31.27,31.27,0,0
20170403,FL-INDA,Fonds,31.17,31.17,31.17,31.17,0,0
20170331,FL-INDA,Fonds,31.05,31.05,31.05,31.05,0,0
20170330,FL-INDA,Fonds,30.99,30.99,30.99,30.99,0,0
20170329,FL-INDA,Fonds,30.98,30.98,30.98,30.98,0,0
20170328,FL-INDA,Fonds,30.99,30.99,30.99,30.99,0,0
20170327,FL-INDA,Fonds,30.69,30.69,30.69,30.69,0,0
20170324,FL-INDA,Fonds,30.62,30.62,30.62,30.62,0,0
20170323,FL-INDA,Fonds,30.64,30.64,30.64,30.64,0,0
20170322,FL-INDA,Fonds,30.44,30.44,30.44,30.44,0,0
20170321,FL-INDA,Fonds,30.87,30.87,30.87,30.87,0,0
20170320,FL-INDA,Fonds,30.92,30.92,30.92,30.92,0,0
20170317,FL-INDA,Fonds,30.97,30.97,30.97,30.97,0,0
20170316,FL-INDA,Fonds,31.01,31.01,31.01,31.01,0,0
20170315,FL-INDA,Fonds,30.53,30.53,30.53,30.53,0,0
20170314,FL-INDA,Fonds,30.40,30.40,30.40,30.40,0,0
20170310,FL-INDA,Fonds,29.56,29.56,29.56,29.56,0,0
20170309,FL-INDA,Fonds,29.43,29.43,29.43,29.43,0,0
20170308,FL-INDA,Fonds,29.29,29.29,29.29,29.29,0,0
20170307,FL-INDA,Fonds,29.38,29.38,29.38,29.38,0,0
20170306,FL-INDA,Fonds,29.42,29.42,29.42,29.42,0,0
20170303,FL-INDA,Fonds,29.22,29.22,29.22,29.22,0,0
20170302,FL-INDA,Fonds,29.25,29.25,29.25,29.25,0,0
20170301,FL-INDA,Fonds,29.29,29.29,29.29,29.29,0,0
20170228,FL-INDA,Fonds,29.24,29.24,29.24,29.24,0,0
20170227,FL-INDA,Fonds,29.29,29.29,29.29,29.29,0,0
20170223,FL-INDA,Fonds,29.51,29.51,29.51,29.51,0,0
20170222,FL-INDA,Fonds,29.37,29.37,29.37,29.37,0,0
20170221,FL-INDA,Fonds,29.65,29.65,29.65,29.65,0,0
20170220,FL-INDA,Fonds,29.53,29.53,29.53,29.53,0,0
20170217,FL-INDA,Fonds,29.14,29.14,29.14,29.14,0,0
20170216,FL-INDA,Fonds,29.33,29.33,29.33,29.33,0,0
20170215,FL-INDA,Fonds,29.07,29.07,29.07,29.07,0,0
20170214,FL-INDA,Fonds,29.35,29.35,29.35,29.35,0,0
20170213,FL-INDA,Fonds,29.59,29.59,29.59,29.59,0,0
20170210,FL-INDA,Fonds,29.68,29.68,29.68,29.68,0,0
20170209,FL-INDA,Fonds,29.71,29.71,29.71,29.71,0,0
20170208,FL-INDA,Fonds,29.56,29.56,29.56,29.56,0,0
20170207,FL-INDA,Fonds,29.38,29.38,29.38,29.38,0,0
20170206,FL-INDA,Fonds,29.59,29.59,29.59,29.59,0,0
20170203,FL-INDA,Fonds,29.19,29.19,29.19,29.19,0,0
20170202,FL-INDA,Fonds,29.11,29.11,29.11,29.11,0,0
20170201,FL-INDA,Fonds,28.86,28.86,28.86,28.86,0,0
20170131,FL-INDA,Fonds,28.30,28.30,28.30,28.30,0,0
20170130,FL-INDA,Fonds,28.42,28.42,28.42,28.42,0,0
20170127,FL-INDA,Fonds,28.47,28.47,28.47,28.47,0,0
20170125,FL-INDA,Fonds,28.14,28.14,28.14,28.14,0,0
20170124,FL-INDA,Fonds,27.62,27.62,27.62,27.62,0,0
20170123,FL-INDA,Fonds,27.26,27.26,27.26,27.26,0,0
20170120,FL-INDA,Fonds,27.06,27.06,27.06,27.06,0,0
20170119,FL-INDA,Fonds,27.31,27.31,27.31,27.31,0,0
20170118,FL-INDA,Fonds,27.44,27.44,27.44,27.44,0,0
20170117,FL-INDA,Fonds,27.34,27.34,27.34,27.34,0,0
20170116,FL-INDA,Fonds,27.30,27.30,27.30,27.30,0,0
20170113,FL-INDA,Fonds,27.13,27.13,27.13,27.13,0,0
20170112,FL-INDA,Fonds,27.28,27.28,27.28,27.28,0,0
20170111,FL-INDA,Fonds,27.11,27.11,27.11,27.11,0,0
20170110,FL-INDA,Fonds,26.82,26.82,26.82,26.82,0,0
20170109,FL-INDA,Fonds,26.70,26.70,26.70,26.70,0,0
20170106,FL-INDA,Fonds,26.79,26.79,26.79,26.79,0,0
20170105,FL-INDA,Fonds,26.87,26.87,26.87,26.87,0,0
20170104,FL-INDA,Fonds,26.60,26.60,26.60,26.60,0,0
20170103,FL-INDA,Fonds,26.47,26.47,26.47,26.47,0,0
20170102,FL-INDA,Fonds,26.61,26.61,26.61,26.61,0,0
20161230,FL-INDA,Fonds,26.56,26.56,26.56,26.56,0,0
20161229,FL-INDA,Fonds,26.37,26.37,26.37,26.37,0,0
20161228,FL-INDA,Fonds,26.02,26.02,26.02,26.02,0,0
20161227,FL-INDA,Fonds,26.02,26.02,26.02,26.02,0,0
20161223,FL-INDA,Fonds,26.06,26.06,26.06,26.06,0,0
20161222,FL-INDA,Fonds,26.14,26.14,26.14,26.14,0,0
20161221,FL-INDA,Fonds,26.36,26.36,26.36,26.36,0,0
20161220,FL-INDA,Fonds,26.37,26.37,26.37,26.37,0,0
20161219,FL-INDA,Fonds,26.55,26.55,26.55,26.55,0,0
20161216,FL-INDA,Fonds,26.78,26.78,26.78,26.78,0,0
20161215,FL-INDA,Fonds,26.82,26.82,26.82,26.82,0,0
20161214,FL-INDA,Fonds,26.96,26.96,26.96,26.96,0,0
20161213,FL-INDA,Fonds,27.04,27.04,27.04,27.04,0,0
20161212,FL-INDA,Fonds,27.10,27.10,27.10,27.10,0,0
