quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-INDIA,Fonds,101.03,101.03,101.03,101.03,0,0
20171108,FL-INDIA,Fonds,101.44,101.44,101.44,101.44,0,0
20171107,FL-INDIA,Fonds,101.59,101.59,101.59,101.59,0,0
20171106,FL-INDIA,Fonds,103.06,103.06,103.06,103.06,0,0
20171103,FL-INDIA,Fonds,103.05,103.05,103.05,103.05,0,0
20171102,FL-INDIA,Fonds,102.66,102.66,102.66,102.66,0,0
20171101,FL-INDIA,Fonds,102.99,102.99,102.99,102.99,0,0
20171031,FL-INDIA,Fonds,102.13,102.13,102.13,102.13,0,0
20171030,FL-INDIA,Fonds,101.79,101.79,101.79,101.79,0,0
20171027,FL-INDIA,Fonds,100.67,100.67,100.67,100.67,0,0
20171026,FL-INDIA,Fonds,100.96,100.96,100.96,100.96,0,0
20171025,FL-INDIA,Fonds,100.02,100.02,100.02,100.02,0,0
20171024,FL-INDIA,Fonds,100.10,100.10,100.10,100.10,0,0
20171023,FL-INDIA,Fonds,100.42,100.42,100.42,100.42,0,0
20171018,FL-INDIA,Fonds,100.79,100.79,100.79,100.79,0,0
20171017,FL-INDIA,Fonds,101.39,101.39,101.39,101.39,0,0
20171016,FL-INDIA,Fonds,101.74,101.74,101.74,101.74,0,0
20171013,FL-INDIA,Fonds,100.80,100.80,100.80,100.80,0,0
20171012,FL-INDIA,Fonds,99.98,99.98,99.98,99.98,0,0
20171011,FL-INDIA,Fonds,98.73,98.73,98.73,98.73,0,0
20171010,FL-INDIA,Fonds,99.09,99.09,99.09,99.09,0,0
20171009,FL-INDIA,Fonds,98.56,98.56,98.56,98.56,0,0
20171006,FL-INDIA,Fonds,98.44,98.44,98.44,98.44,0,0
20171005,FL-INDIA,Fonds,98.22,98.22,98.22,98.22,0,0
20171004,FL-INDIA,Fonds,98.36,98.36,98.36,98.36,0,0
20171003,FL-INDIA,Fonds,97.29,97.29,97.29,97.29,0,0
20170929,FL-INDIA,Fonds,97.01,97.01,97.01,97.01,0,0
20170928,FL-INDIA,Fonds,96.23,96.23,96.23,96.23,0,0
20170927,FL-INDIA,Fonds,94.79,94.79,94.79,94.79,0,0
20170926,FL-INDIA,Fonds,96.00,96.00,96.00,96.00,0,0
20170925,FL-INDIA,Fonds,96.65,96.65,96.65,96.65,0,0
20170922,FL-INDIA,Fonds,98.35,98.35,98.35,98.35,0,0
20170921,FL-INDIA,Fonds,100.19,100.19,100.19,100.19,0,0
20170920,FL-INDIA,Fonds,101.21,101.21,101.21,101.21,0,0
20170919,FL-INDIA,Fonds,101.78,101.78,101.78,101.78,0,0
20170918,FL-INDIA,Fonds,102.16,102.16,102.16,102.16,0,0
20170915,FL-INDIA,Fonds,101.38,101.38,101.38,101.38,0,0
20170914,FL-INDIA,Fonds,101.47,101.47,101.47,101.47,0,0
20170913,FL-INDIA,Fonds,101.40,101.40,101.40,101.40,0,0
20170912,FL-INDIA,Fonds,101.71,101.71,101.71,101.71,0,0
20170911,FL-INDIA,Fonds,101.49,101.49,101.49,101.49,0,0
20170908,FL-INDIA,Fonds,100.60,100.60,100.60,100.60,0,0
20170907,FL-INDIA,Fonds,100.13,100.13,100.13,100.13,0,0
20170906,FL-INDIA,Fonds,99.81,99.81,99.81,99.81,0,0
20170905,FL-INDIA,Fonds,99.94,99.94,99.94,99.94,0,0
20170904,FL-INDIA,Fonds,99.42,99.42,99.42,99.42,0,0
20170901,FL-INDIA,Fonds,100.10,100.10,100.10,100.10,0,0
20170831,FL-INDIA,Fonds,99.16,99.16,99.16,99.16,0,0
20170830,FL-INDIA,Fonds,98.80,98.80,98.80,98.80,0,0
20170829,FL-INDIA,Fonds,97.59,97.59,97.59,97.59,0,0
20170828,FL-INDIA,Fonds,99.03,99.03,99.03,99.03,0,0
20170824,FL-INDIA,Fonds,98.15,98.15,98.15,98.15,0,0
20170823,FL-INDIA,Fonds,97.90,97.90,97.90,97.90,0,0
20170822,FL-INDIA,Fonds,97.07,97.07,97.07,97.07,0,0
20170821,FL-INDIA,Fonds,97.01,97.01,97.01,97.01,0,0
20170818,FL-INDIA,Fonds,97.95,97.95,97.95,97.95,0,0
20170817,FL-INDIA,Fonds,98.65,98.65,98.65,98.65,0,0
20170816,FL-INDIA,Fonds,98.77,98.77,98.77,98.77,0,0
20170814,FL-INDIA,Fonds,97.70,97.70,97.70,97.70,0,0
20170811,FL-INDIA,Fonds,96.58,96.58,96.58,96.58,0,0
20170810,FL-INDIA,Fonds,97.75,97.75,97.75,97.75,0,0
20170809,FL-INDIA,Fonds,99.17,99.17,99.17,99.17,0,0
20170808,FL-INDIA,Fonds,100.73,100.73,100.73,100.73,0,0
20170807,FL-INDIA,Fonds,100.86,100.86,100.86,100.86,0,0
20170804,FL-INDIA,Fonds,101.31,101.31,101.31,101.31,0,0
20170803,FL-INDIA,Fonds,100.48,100.48,100.48,100.48,0,0
20170802,FL-INDIA,Fonds,101.21,101.21,101.21,101.21,0,0
20170801,FL-INDIA,Fonds,101.08,101.08,101.08,101.08,0,0
20170731,FL-INDIA,Fonds,100.71,100.71,100.71,100.71,0,0
20170728,FL-INDIA,Fonds,100.37,100.37,100.37,100.37,0,0
20170727,FL-INDIA,Fonds,99.89,99.89,99.89,99.89,0,0
20170726,FL-INDIA,Fonds,99.20,99.20,99.20,99.20,0,0
20170725,FL-INDIA,Fonds,99.24,99.24,99.24,99.24,0,0
20170724,FL-INDIA,Fonds,98.76,98.76,98.76,98.76,0,0
20170721,FL-INDIA,Fonds,98.49,98.49,98.49,98.49,0,0
20170720,FL-INDIA,Fonds,98.47,98.47,98.47,98.47,0,0
20170719,FL-INDIA,Fonds,98.89,98.89,98.89,98.89,0,0
20170718,FL-INDIA,Fonds,98.52,98.52,98.52,98.52,0,0
20170717,FL-INDIA,Fonds,98.68,98.68,98.68,98.68,0,0
20170714,FL-INDIA,Fonds,98.05,98.05,98.05,98.05,0,0
20170713,FL-INDIA,Fonds,97.63,97.63,97.63,97.63,0,0
20170712,FL-INDIA,Fonds,97.26,97.26,97.26,97.26,0,0
20170711,FL-INDIA,Fonds,96.80,96.80,96.80,96.80,0,0
20170710,FL-INDIA,Fonds,96.46,96.46,96.46,96.46,0,0
20170707,FL-INDIA,Fonds,95.25,95.25,95.25,95.25,0,0
20170706,FL-INDIA,Fonds,95.18,95.18,95.18,95.18,0,0
20170705,FL-INDIA,Fonds,94.45,94.45,94.45,94.45,0,0
20170704,FL-INDIA,Fonds,93.90,93.90,93.90,93.90,0,0
20170703,FL-INDIA,Fonds,93.79,93.79,93.79,93.79,0,0
20170630,FL-INDIA,Fonds,93.10,93.10,93.10,93.10,0,0
20170629,FL-INDIA,Fonds,92.86,92.86,92.86,92.86,0,0
20170628,FL-INDIA,Fonds,92.96,92.96,92.96,92.96,0,0
20170627,FL-INDIA,Fonds,92.83,92.83,92.83,92.83,0,0
20170623,FL-INDIA,Fonds,93.51,93.51,93.51,93.51,0,0
20170622,FL-INDIA,Fonds,94.17,94.17,94.17,94.17,0,0
20170621,FL-INDIA,Fonds,94.21,94.21,94.21,94.21,0,0
20170620,FL-INDIA,Fonds,94.40,94.40,94.40,94.40,0,0
20170619,FL-INDIA,Fonds,94.66,94.66,94.66,94.66,0,0
20170616,FL-INDIA,Fonds,94.14,94.14,94.14,94.14,0,0
20170615,FL-INDIA,Fonds,93.91,93.91,93.91,93.91,0,0
20170614,FL-INDIA,Fonds,95.00,95.00,95.00,95.00,0,0
20170613,FL-INDIA,Fonds,94.38,94.38,94.38,94.38,0,0
20170612,FL-INDIA,Fonds,94.15,94.15,94.15,94.15,0,0
20170609,FL-INDIA,Fonds,95.24,95.24,95.24,95.24,0,0
20170608,FL-INDIA,Fonds,94.90,94.90,94.90,94.90,0,0
20170607,FL-INDIA,Fonds,94.53,94.53,94.53,94.53,0,0
20170606,FL-INDIA,Fonds,94.32,94.32,94.32,94.32,0,0
20170602,FL-INDIA,Fonds,94.71,94.71,94.71,94.71,0,0
20170601,FL-INDIA,Fonds,94.17,94.17,94.17,94.17,0,0
20170531,FL-INDIA,Fonds,94.22,94.22,94.22,94.22,0,0
20170530,FL-INDIA,Fonds,93.78,93.78,93.78,93.78,0,0
20170529,FL-INDIA,Fonds,93.72,93.72,93.72,93.72,0,0
20170526,FL-INDIA,Fonds,93.78,93.78,93.78,93.78,0,0
20170524,FL-INDIA,Fonds,91.28,91.28,91.28,91.28,0,0
20170523,FL-INDIA,Fonds,91.59,91.59,91.59,91.59,0,0
20170522,FL-INDIA,Fonds,92.80,92.80,92.80,92.80,0,0
20170519,FL-INDIA,Fonds,93.27,93.27,93.27,93.27,0,0
20170518,FL-INDIA,Fonds,92.92,92.92,92.92,92.92,0,0
20170516,FL-INDIA,Fonds,95.68,95.68,95.68,95.68,0,0
20170515,FL-INDIA,Fonds,94.86,94.86,94.86,94.86,0,0
