quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-IOAUS,Fonds,189.80,189.80,189.80,189.80,0,0
20171108,FL-IOAUS,Fonds,190.01,190.01,190.01,190.01,0,0
20171107,FL-IOAUS,Fonds,190.12,190.12,190.12,190.12,0,0
20171106,FL-IOAUS,Fonds,190.06,190.06,190.06,190.06,0,0
20171103,FL-IOAUS,Fonds,190.11,190.11,190.11,190.11,0,0
20171102,FL-IOAUS,Fonds,190.13,190.13,190.13,190.13,0,0
20171101,FL-IOAUS,Fonds,190.23,190.23,190.23,190.23,0,0
20171031,FL-IOAUS,Fonds,190.18,190.18,190.18,190.18,0,0
20171030,FL-IOAUS,Fonds,190.24,190.24,190.24,190.24,0,0
20171027,FL-IOAUS,Fonds,190.26,190.26,190.26,190.26,0,0
20171026,FL-IOAUS,Fonds,190.27,190.27,190.27,190.27,0,0
20171025,FL-IOAUS,Fonds,190.38,190.38,190.38,190.38,0,0
20171024,FL-IOAUS,Fonds,190.39,190.39,190.39,190.39,0,0
20171023,FL-IOAUS,Fonds,190.35,190.35,190.35,190.35,0,0
20171020,FL-IOAUS,Fonds,190.34,190.34,190.34,190.34,0,0
20171019,FL-IOAUS,Fonds,190.28,190.28,190.28,190.28,0,0
20171018,FL-IOAUS,Fonds,190.33,190.33,190.33,190.33,0,0
20171017,FL-IOAUS,Fonds,190.29,190.29,190.29,190.29,0,0
20171016,FL-IOAUS,Fonds,190.31,190.31,190.31,190.31,0,0
20171013,FL-IOAUS,Fonds,190.26,190.26,190.26,190.26,0,0
20171012,FL-IOAUS,Fonds,190.27,190.27,190.27,190.27,0,0
20171011,FL-IOAUS,Fonds,190.31,190.31,190.31,190.31,0,0
20171010,FL-IOAUS,Fonds,190.27,190.27,190.27,190.27,0,0
20171009,FL-IOAUS,Fonds,190.22,190.22,190.22,190.22,0,0
20171006,FL-IOAUS,Fonds,190.22,190.22,190.22,190.22,0,0
20171005,FL-IOAUS,Fonds,190.14,190.14,190.14,190.14,0,0
20171004,FL-IOAUS,Fonds,190.08,190.08,190.08,190.08,0,0
20171003,FL-IOAUS,Fonds,190.29,190.29,190.29,190.29,0,0
20171002,FL-IOAUS,Fonds,190.26,190.26,190.26,190.26,0,0
20170929,FL-IOAUS,Fonds,190.24,190.24,190.24,190.24,0,0
20170928,FL-IOAUS,Fonds,190.16,190.16,190.16,190.16,0,0
20170927,FL-IOAUS,Fonds,190.10,190.10,190.10,190.10,0,0
20170926,FL-IOAUS,Fonds,190.04,190.04,190.04,190.04,0,0
20170925,FL-IOAUS,Fonds,190.02,190.02,190.02,190.02,0,0
20170922,FL-IOAUS,Fonds,189.88,189.88,189.88,189.88,0,0
20170921,FL-IOAUS,Fonds,189.84,189.84,189.84,189.84,0,0
20170920,FL-IOAUS,Fonds,189.89,189.89,189.89,189.89,0,0
20170919,FL-IOAUS,Fonds,189.84,189.84,189.84,189.84,0,0
20170918,FL-IOAUS,Fonds,189.85,189.85,189.85,189.85,0,0
20170915,FL-IOAUS,Fonds,189.75,189.75,189.75,189.75,0,0
20170914,FL-IOAUS,Fonds,189.75,189.75,189.75,189.75,0,0
20170913,FL-IOAUS,Fonds,189.67,189.67,189.67,189.67,0,0
20170912,FL-IOAUS,Fonds,189.64,189.64,189.64,189.64,0,0
20170911,FL-IOAUS,Fonds,189.58,189.58,189.58,189.58,0,0
20170908,FL-IOAUS,Fonds,189.51,189.51,189.51,189.51,0,0
20170907,FL-IOAUS,Fonds,189.56,189.56,189.56,189.56,0,0
20170906,FL-IOAUS,Fonds,189.51,189.51,189.51,189.51,0,0
20170905,FL-IOAUS,Fonds,189.50,189.50,189.50,189.50,0,0
20170901,FL-IOAUS,Fonds,189.53,189.53,189.53,189.53,0,0
20170831,FL-IOAUS,Fonds,189.47,189.47,189.47,189.47,0,0
20170830,FL-IOAUS,Fonds,189.41,189.41,189.41,189.41,0,0
20170829,FL-IOAUS,Fonds,189.32,189.32,189.32,189.32,0,0
20170828,FL-IOAUS,Fonds,189.40,189.40,189.40,189.40,0,0
20170825,FL-IOAUS,Fonds,189.40,189.40,189.40,189.40,0,0
20170824,FL-IOAUS,Fonds,189.34,189.34,189.34,189.34,0,0
20170823,FL-IOAUS,Fonds,189.32,189.32,189.32,189.32,0,0
20170822,FL-IOAUS,Fonds,189.25,189.25,189.25,189.25,0,0
20170821,FL-IOAUS,Fonds,189.22,189.22,189.22,189.22,0,0
20170818,FL-IOAUS,Fonds,189.14,189.14,189.14,189.14,0,0
20170817,FL-IOAUS,Fonds,189.32,189.32,189.32,189.32,0,0
20170816,FL-IOAUS,Fonds,189.33,189.33,189.33,189.33,0,0
20170815,FL-IOAUS,Fonds,189.26,189.26,189.26,189.26,0,0
20170814,FL-IOAUS,Fonds,189.37,189.37,189.37,189.37,0,0
20170811,FL-IOAUS,Fonds,188.96,188.96,188.96,188.96,0,0
20170810,FL-IOAUS,Fonds,189.29,189.29,189.29,189.29,0,0
20170809,FL-IOAUS,Fonds,189.51,189.51,189.51,189.51,0,0
20170808,FL-IOAUS,Fonds,189.70,189.70,189.70,189.70,0,0
20170807,FL-IOAUS,Fonds,189.73,189.73,189.73,189.73,0,0
20170804,FL-IOAUS,Fonds,189.71,189.71,189.71,189.71,0,0
20170803,FL-IOAUS,Fonds,189.78,189.78,189.78,189.78,0,0
20170802,FL-IOAUS,Fonds,189.84,189.84,189.84,189.84,0,0
20170801,FL-IOAUS,Fonds,189.85,189.85,189.85,189.85,0,0
20170731,FL-IOAUS,Fonds,189.86,189.86,189.86,189.86,0,0
20170728,FL-IOAUS,Fonds,189.81,189.81,189.81,189.81,0,0
20170727,FL-IOAUS,Fonds,189.83,189.83,189.83,189.83,0,0
20170726,FL-IOAUS,Fonds,189.83,189.83,189.83,189.83,0,0
20170725,FL-IOAUS,Fonds,189.71,189.71,189.71,189.71,0,0
20170724,FL-IOAUS,Fonds,189.66,189.66,189.66,189.66,0,0
20170721,FL-IOAUS,Fonds,189.67,189.67,189.67,189.67,0,0
20170720,FL-IOAUS,Fonds,189.71,189.71,189.71,189.71,0,0
20170719,FL-IOAUS,Fonds,189.57,189.57,189.57,189.57,0,0
20170718,FL-IOAUS,Fonds,189.52,189.52,189.52,189.52,0,0
20170717,FL-IOAUS,Fonds,189.46,189.46,189.46,189.46,0,0
20170714,FL-IOAUS,Fonds,189.33,189.33,189.33,189.33,0,0
20170713,FL-IOAUS,Fonds,189.27,189.27,189.27,189.27,0,0
20170712,FL-IOAUS,Fonds,189.19,189.19,189.19,189.19,0,0
20170711,FL-IOAUS,Fonds,189.12,189.12,189.12,189.12,0,0
20170710,FL-IOAUS,Fonds,189.02,189.02,189.02,189.02,0,0
20170707,FL-IOAUS,Fonds,189.02,189.02,189.02,189.02,0,0
20170706,FL-IOAUS,Fonds,189.12,189.12,189.12,189.12,0,0
20170705,FL-IOAUS,Fonds,189.17,189.17,189.17,189.17,0,0
20170703,FL-IOAUS,Fonds,189.17,189.17,189.17,189.17,0,0
20170630,FL-IOAUS,Fonds,189.02,189.02,189.02,189.02,0,0
20170629,FL-IOAUS,Fonds,188.98,188.98,188.98,188.98,0,0
