quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-JASEA,Fonds,13286.00,13286.00,13286.00,13286.00,0,0
20171108,FL-JASEA,Fonds,13318.00,13318.00,13318.00,13318.00,0,0
20171107,FL-JASEA,Fonds,13295.00,13295.00,13295.00,13295.00,0,0
20171106,FL-JASEA,Fonds,13117.00,13117.00,13117.00,13117.00,0,0
20171102,FL-JASEA,Fonds,13115.00,13115.00,13115.00,13115.00,0,0
20171101,FL-JASEA,Fonds,13038.00,13038.00,13038.00,13038.00,0,0
20171031,FL-JASEA,Fonds,12829.00,12829.00,12829.00,12829.00,0,0
20171030,FL-JASEA,Fonds,12867.00,12867.00,12867.00,12867.00,0,0
20171027,FL-JASEA,Fonds,12864.00,12864.00,12864.00,12864.00,0,0
20171026,FL-JASEA,Fonds,12688.00,12688.00,12688.00,12688.00,0,0
20171025,FL-JASEA,Fonds,12676.00,12676.00,12676.00,12676.00,0,0
20171024,FL-JASEA,Fonds,12693.00,12693.00,12693.00,12693.00,0,0
20171023,FL-JASEA,Fonds,12612.00,12612.00,12612.00,12612.00,0,0
20171020,FL-JASEA,Fonds,12495.00,12495.00,12495.00,12495.00,0,0
20171019,FL-JASEA,Fonds,12478.00,12478.00,12478.00,12478.00,0,0
20171018,FL-JASEA,Fonds,12429.00,12429.00,12429.00,12429.00,0,0
20171017,FL-JASEA,Fonds,12415.00,12415.00,12415.00,12415.00,0,0
20171016,FL-JASEA,Fonds,12388.00,12388.00,12388.00,12388.00,0,0
20171013,FL-JASEA,Fonds,12313.00,12313.00,12313.00,12313.00,0,0
20171012,FL-JASEA,Fonds,12232.00,12232.00,12232.00,12232.00,0,0
20171011,FL-JASEA,Fonds,12237.00,12237.00,12237.00,12237.00,0,0
20171010,FL-JASEA,Fonds,12242.00,12242.00,12242.00,12242.00,0,0
20171006,FL-JASEA,Fonds,12216.00,12216.00,12216.00,12216.00,0,0
20171005,FL-JASEA,Fonds,12168.00,12168.00,12168.00,12168.00,0,0
20171004,FL-JASEA,Fonds,12192.00,12192.00,12192.00,12192.00,0,0
20171003,FL-JASEA,Fonds,12190.00,12190.00,12190.00,12190.00,0,0
20171002,FL-JASEA,Fonds,12099.00,12099.00,12099.00,12099.00,0,0
