quote_date,paper,exch,open,high,low,close,volume,value
20171121,FL-JPMPB,Fonds,135.23,135.23,135.23,135.23,0,0
20171120,FL-JPMPB,Fonds,135.06,135.06,135.06,135.06,0,0
20171117,FL-JPMPB,Fonds,134.96,134.96,134.96,134.96,0,0
20171116,FL-JPMPB,Fonds,134.51,134.51,134.51,134.51,0,0
20171115,FL-JPMPB,Fonds,134.44,134.44,134.44,134.44,0,0
20171114,FL-JPMPB,Fonds,134.89,134.89,134.89,134.89,0,0
20171113,FL-JPMPB,Fonds,135.02,135.02,135.02,135.02,0,0
20171110,FL-JPMPB,Fonds,135.08,135.08,135.08,135.08,0,0
20171109,FL-JPMPB,Fonds,135.42,135.42,135.42,135.42,0,0
20171108,FL-JPMPB,Fonds,135.90,135.90,135.90,135.90,0,0
20171107,FL-JPMPB,Fonds,136.24,136.24,136.24,136.24,0,0
20171106,FL-JPMPB,Fonds,136.19,136.19,136.19,136.19,0,0
20171103,FL-JPMPB,Fonds,136.23,136.23,136.23,136.23,0,0
20171102,FL-JPMPB,Fonds,136.21,136.21,136.21,136.21,0,0
20171101,FL-JPMPB,Fonds,136.35,136.35,136.35,136.35,0,0
20171031,FL-JPMPB,Fonds,135.49,135.49,135.49,135.49,0,0
20171030,FL-JPMPB,Fonds,136.24,136.24,136.24,136.24,0,0
20171027,FL-JPMPB,Fonds,136.23,136.23,136.23,136.23,0,0
20171026,FL-JPMPB,Fonds,136.28,136.28,136.28,136.28,0,0
20171025,FL-JPMPB,Fonds,136.37,136.37,136.37,136.37,0,0
20171024,FL-JPMPB,Fonds,136.47,136.47,136.47,136.47,0,0
20171023,FL-JPMPB,Fonds,136.40,136.40,136.40,136.40,0,0
20171020,FL-JPMPB,Fonds,136.34,136.34,136.34,136.34,0,0
20171019,FL-JPMPB,Fonds,136.33,136.33,136.33,136.33,0,0
20171018,FL-JPMPB,Fonds,136.32,136.32,136.32,136.32,0,0
20171017,FL-JPMPB,Fonds,136.20,136.20,136.20,136.20,0,0
20171016,FL-JPMPB,Fonds,136.14,136.14,136.14,136.14,0,0
20171013,FL-JPMPB,Fonds,136.07,136.07,136.07,136.07,0,0
20171012,FL-JPMPB,Fonds,136.13,136.13,136.13,136.13,0,0
20171011,FL-JPMPB,Fonds,135.48,135.48,135.48,135.48,0,0
20171010,FL-JPMPB,Fonds,136.12,136.12,136.12,136.12,0,0
20171006,FL-JPMPB,Fonds,136.04,136.04,136.04,136.04,0,0
20171005,FL-JPMPB,Fonds,136.02,136.02,136.02,136.02,0,0
20171004,FL-JPMPB,Fonds,135.99,135.99,135.99,135.99,0,0
20171003,FL-JPMPB,Fonds,135.90,135.90,135.90,135.90,0,0
20171002,FL-JPMPB,Fonds,135.84,135.84,135.84,135.84,0,0
20170929,FL-JPMPB,Fonds,135.70,135.70,135.70,135.70,0,0
20170928,FL-JPMPB,Fonds,135.63,135.63,135.63,135.63,0,0
20170927,FL-JPMPB,Fonds,134.88,134.88,134.88,134.88,0,0
20170926,FL-JPMPB,Fonds,135.64,135.64,135.64,135.64,0,0
20170925,FL-JPMPB,Fonds,135.56,135.56,135.56,135.56,0,0
20170922,FL-JPMPB,Fonds,135.39,135.39,135.39,135.39,0,0
20170921,FL-JPMPB,Fonds,135.49,135.49,135.49,135.49,0,0
20170920,FL-JPMPB,Fonds,135.49,135.49,135.49,135.49,0,0
20170919,FL-JPMPB,Fonds,135.38,135.38,135.38,135.38,0,0
20170918,FL-JPMPB,Fonds,135.28,135.28,135.28,135.28,0,0
20170915,FL-JPMPB,Fonds,135.09,135.09,135.09,135.09,0,0
20170914,FL-JPMPB,Fonds,135.14,135.14,135.14,135.14,0,0
20170913,FL-JPMPB,Fonds,135.12,135.12,135.12,135.12,0,0
20170912,FL-JPMPB,Fonds,135.11,135.11,135.11,135.11,0,0
20170911,FL-JPMPB,Fonds,135.06,135.06,135.06,135.06,0,0
20170908,FL-JPMPB,Fonds,135.09,135.09,135.09,135.09,0,0
20170907,FL-JPMPB,Fonds,135.13,135.13,135.13,135.13,0,0
20170906,FL-JPMPB,Fonds,135.02,135.02,135.02,135.02,0,0
20170905,FL-JPMPB,Fonds,135.00,135.00,135.00,135.00,0,0
20170901,FL-JPMPB,Fonds,134.85,134.85,134.85,134.85,0,0
20170831,FL-JPMPB,Fonds,134.69,134.69,134.69,134.69,0,0
20170830,FL-JPMPB,Fonds,134.50,134.50,134.50,134.50,0,0
20170829,FL-JPMPB,Fonds,134.43,134.43,134.43,134.43,0,0
20170828,FL-JPMPB,Fonds,134.42,134.42,134.42,134.42,0,0
20170825,FL-JPMPB,Fonds,134.28,134.28,134.28,134.28,0,0
20170824,FL-JPMPB,Fonds,134.21,134.21,134.21,134.21,0,0
20170823,FL-JPMPB,Fonds,134.08,134.08,134.08,134.08,0,0
20170822,FL-JPMPB,Fonds,134.06,134.06,134.06,134.06,0,0
20170821,FL-JPMPB,Fonds,134.02,134.02,134.02,134.02,0,0
20170818,FL-JPMPB,Fonds,134.04,134.04,134.04,134.04,0,0
20170817,FL-JPMPB,Fonds,134.19,134.19,134.19,134.19,0,0
20170816,FL-JPMPB,Fonds,134.15,134.15,134.15,134.15,0,0
20170815,FL-JPMPB,Fonds,134.04,134.04,134.04,134.04,0,0
20170814,FL-JPMPB,Fonds,134.08,134.08,134.08,134.08,0,0
20170811,FL-JPMPB,Fonds,133.85,133.85,133.85,133.85,0,0
20170810,FL-JPMPB,Fonds,134.23,134.23,134.23,134.23,0,0
20170809,FL-JPMPB,Fonds,134.65,134.65,134.65,134.65,0,0
20170808,FL-JPMPB,Fonds,134.92,134.92,134.92,134.92,0,0
20170807,FL-JPMPB,Fonds,134.93,134.93,134.93,134.93,0,0
20170804,FL-JPMPB,Fonds,134.89,134.89,134.89,134.89,0,0
20170803,FL-JPMPB,Fonds,135.02,135.02,135.02,135.02,0,0
20170802,FL-JPMPB,Fonds,135.05,135.05,135.05,135.05,0,0
20170801,FL-JPMPB,Fonds,134.96,134.96,134.96,134.96,0,0
20170731,FL-JPMPB,Fonds,134.98,134.98,134.98,134.98,0,0
20170728,FL-JPMPB,Fonds,134.90,134.90,134.90,134.90,0,0
20170727,FL-JPMPB,Fonds,134.89,134.89,134.89,134.89,0,0
20170726,FL-JPMPB,Fonds,134.81,134.81,134.81,134.81,0,0
20170725,FL-JPMPB,Fonds,134.63,134.63,134.63,134.63,0,0
20170724,FL-JPMPB,Fonds,134.57,134.57,134.57,134.57,0,0
20170721,FL-JPMPB,Fonds,134.58,134.58,134.58,134.58,0,0
20170720,FL-JPMPB,Fonds,134.48,134.48,134.48,134.48,0,0
20170719,FL-JPMPB,Fonds,134.24,134.24,134.24,134.24,0,0
20170718,FL-JPMPB,Fonds,134.09,134.09,134.09,134.09,0,0
20170717,FL-JPMPB,Fonds,133.87,133.87,133.87,133.87,0,0
20170714,FL-JPMPB,Fonds,133.59,133.59,133.59,133.59,0,0
20170713,FL-JPMPB,Fonds,133.42,133.42,133.42,133.42,0,0
20170712,FL-JPMPB,Fonds,133.28,133.28,133.28,133.28,0,0
20170711,FL-JPMPB,Fonds,133.09,133.09,133.09,133.09,0,0
20170710,FL-JPMPB,Fonds,133.07,133.07,133.07,133.07,0,0
20170707,FL-JPMPB,Fonds,133.14,133.14,133.14,133.14,0,0
20170706,FL-JPMPB,Fonds,133.32,133.32,133.32,133.32,0,0
20170705,FL-JPMPB,Fonds,133.39,133.39,133.39,133.39,0,0
20170703,FL-JPMPB,Fonds,133.35,133.35,133.35,133.35,0,0
20170630,FL-JPMPB,Fonds,133.28,133.28,133.28,133.28,0,0
20170629,FL-JPMPB,Fonds,133.32,133.32,133.32,133.32,0,0
20170628,FL-JPMPB,Fonds,133.25,133.25,133.25,133.25,0,0
20170627,FL-JPMPB,Fonds,133.15,133.15,133.15,133.15,0,0
20170626,FL-JPMPB,Fonds,133.09,133.09,133.09,133.09,0,0
20170623,FL-JPMPB,Fonds,132.92,132.92,132.92,132.92,0,0
20170622,FL-JPMPB,Fonds,132.90,132.90,132.90,132.90,0,0
20170621,FL-JPMPB,Fonds,133.30,133.30,133.30,133.30,0,0
20170620,FL-JPMPB,Fonds,133.58,133.58,133.58,133.58,0,0
20170619,FL-JPMPB,Fonds,133.63,133.63,133.63,133.63,0,0
20170616,FL-JPMPB,Fonds,133.72,133.72,133.72,133.72,0,0
20170615,FL-JPMPB,Fonds,133.83,133.83,133.83,133.83,0,0
20170614,FL-JPMPB,Fonds,133.92,133.92,133.92,133.92,0,0
20170613,FL-JPMPB,Fonds,133.77,133.77,133.77,133.77,0,0
20170612,FL-JPMPB,Fonds,133.76,133.76,133.76,133.76,0,0
20170609,FL-JPMPB,Fonds,133.62,133.62,133.62,133.62,0,0
20170608,FL-JPMPB,Fonds,133.67,133.67,133.67,133.67,0,0
20170607,FL-JPMPB,Fonds,133.92,133.92,133.92,133.92,0,0
20170606,FL-JPMPB,Fonds,133.92,133.92,133.92,133.92,0,0
20170602,FL-JPMPB,Fonds,133.78,133.78,133.78,133.78,0,0
20170601,FL-JPMPB,Fonds,133.59,133.59,133.59,133.59,0,0
20170531,FL-JPMPB,Fonds,133.59,133.59,133.59,133.59,0,0
20170530,FL-JPMPB,Fonds,133.57,133.57,133.57,133.57,0,0
20170526,FL-JPMPB,Fonds,133.48,133.48,133.48,133.48,0,0
20170524,FL-JPMPB,Fonds,133.34,133.34,133.34,133.34,0,0
20170523,FL-JPMPB,Fonds,133.27,133.27,133.27,133.27,0,0
20170522,FL-JPMPB,Fonds,133.19,133.19,133.19,133.19,0,0
20170519,FL-JPMPB,Fonds,132.89,132.89,132.89,132.89,0,0
20170518,FL-JPMPB,Fonds,132.76,132.76,132.76,132.76,0,0
20170516,FL-JPMPB,Fonds,133.07,133.07,133.07,133.07,0,0
20170515,FL-JPMPB,Fonds,132.92,132.92,132.92,132.92,0,0
20170512,FL-JPMPB,Fonds,132.81,132.81,132.81,132.81,0,0
20170511,FL-JPMPB,Fonds,132.65,132.65,132.65,132.65,0,0
20170510,FL-JPMPB,Fonds,132.51,132.51,132.51,132.51,0,0
20170509,FL-JPMPB,Fonds,132.40,132.40,132.40,132.40,0,0
20170508,FL-JPMPB,Fonds,132.33,132.33,132.33,132.33,0,0
20170505,FL-JPMPB,Fonds,132.28,132.28,132.28,132.28,0,0
20170504,FL-JPMPB,Fonds,132.58,132.58,132.58,132.58,0,0
20170503,FL-JPMPB,Fonds,132.72,132.72,132.72,132.72,0,0
20170502,FL-JPMPB,Fonds,132.66,132.66,132.66,132.66,0,0
20170428,FL-JPMPB,Fonds,132.45,132.45,132.45,132.45,0,0
20170427,FL-JPMPB,Fonds,132.45,132.45,132.45,132.45,0,0
20170426,FL-JPMPB,Fonds,132.27,132.27,132.27,132.27,0,0
20170425,FL-JPMPB,Fonds,132.07,132.07,132.07,132.07,0,0
20170424,FL-JPMPB,Fonds,131.89,131.89,131.89,131.89,0,0
20170421,FL-JPMPB,Fonds,131.69,131.69,131.69,131.69,0,0
20170420,FL-JPMPB,Fonds,131.60,131.60,131.60,131.60,0,0
20170419,FL-JPMPB,Fonds,131.56,131.56,131.56,131.56,0,0
20170418,FL-JPMPB,Fonds,131.59,131.59,131.59,131.59,0,0
20170412,FL-JPMPB,Fonds,131.73,131.73,131.73,131.73,0,0
20170411,FL-JPMPB,Fonds,131.71,131.71,131.71,131.71,0,0
20170410,FL-JPMPB,Fonds,131.64,131.64,131.64,131.64,0,0
20170407,FL-JPMPB,Fonds,131.49,131.49,131.49,131.49,0,0
20170406,FL-JPMPB,Fonds,131.42,131.42,131.42,131.42,0,0
20170405,FL-JPMPB,Fonds,131.26,131.26,131.26,131.26,0,0
20170404,FL-JPMPB,Fonds,131.19,131.19,131.19,131.19,0,0
20170403,FL-JPMPB,Fonds,131.21,131.21,131.21,131.21,0,0
20170331,FL-JPMPB,Fonds,131.03,131.03,131.03,131.03,0,0
20170330,FL-JPMPB,Fonds,130.71,130.71,130.71,130.71,0,0
20170329,FL-JPMPB,Fonds,130.18,130.18,130.18,130.18,0,0
20170328,FL-JPMPB,Fonds,129.80,129.80,129.80,129.80,0,0
20170327,FL-JPMPB,Fonds,130.41,130.41,130.41,130.41,0,0
20170324,FL-JPMPB,Fonds,129.65,129.65,129.65,129.65,0,0
20170323,FL-JPMPB,Fonds,129.43,129.43,129.43,129.43,0,0
20170322,FL-JPMPB,Fonds,129.62,129.62,129.62,129.62,0,0
20170321,FL-JPMPB,Fonds,130.04,130.04,130.04,130.04,0,0
20170320,FL-JPMPB,Fonds,130.16,130.16,130.16,130.16,0,0
20170317,FL-JPMPB,Fonds,130.91,130.91,130.91,130.91,0,0
20170316,FL-JPMPB,Fonds,129.99,129.99,129.99,129.99,0,0
20170315,FL-JPMPB,Fonds,129.28,129.28,129.28,129.28,0,0
20170314,FL-JPMPB,Fonds,129.45,129.45,129.45,129.45,0,0
20170313,FL-JPMPB,Fonds,129.90,129.90,129.90,129.90,0,0
20170310,FL-JPMPB,Fonds,129.98,129.98,129.98,129.98,0,0
20170309,FL-JPMPB,Fonds,130.25,130.25,130.25,130.25,0,0
20170308,FL-JPMPB,Fonds,130.92,130.92,130.92,130.92,0,0
20170307,FL-JPMPB,Fonds,131.46,131.46,131.46,131.46,0,0
20170306,FL-JPMPB,Fonds,131.79,131.79,131.79,131.79,0,0
