quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-JSEAE,Fonds,181.84,181.84,181.84,181.84,0,0
20171108,FL-JSEAE,Fonds,182.71,182.71,182.71,182.71,0,0
20171107,FL-JSEAE,Fonds,181.54,181.54,181.54,181.54,0,0
20171106,FL-JSEAE,Fonds,179.17,179.17,179.17,179.17,0,0
20171102,FL-JSEAE,Fonds,178.39,178.39,178.39,178.39,0,0
20171101,FL-JSEAE,Fonds,177.61,177.61,177.61,177.61,0,0
20171031,FL-JSEAE,Fonds,175.50,175.50,175.50,175.50,0,0
20171030,FL-JSEAE,Fonds,176.35,176.35,176.35,176.35,0,0
20171027,FL-JSEAE,Fonds,175.81,175.81,175.81,175.81,0,0
20171026,FL-JSEAE,Fonds,171.76,171.76,171.76,171.76,0,0
20171025,FL-JSEAE,Fonds,170.38,170.38,170.38,170.38,0,0
20171024,FL-JSEAE,Fonds,171.31,171.31,171.31,171.31,0,0
20171023,FL-JSEAE,Fonds,170.45,170.45,170.45,170.45,0,0
20171020,FL-JSEAE,Fonds,168.69,168.69,168.69,168.69,0,0
20171019,FL-JSEAE,Fonds,169.25,169.25,169.25,169.25,0,0
20171018,FL-JSEAE,Fonds,168.91,168.91,168.91,168.91,0,0
20171017,FL-JSEAE,Fonds,169.80,169.80,169.80,169.80,0,0
20171016,FL-JSEAE,Fonds,169.55,169.55,169.55,169.55,0,0
20171013,FL-JSEAE,Fonds,167.64,167.64,167.64,167.64,0,0
20171012,FL-JSEAE,Fonds,166.11,166.11,166.11,166.11,0,0
20171011,FL-JSEAE,Fonds,166.18,166.18,166.18,166.18,0,0
20171010,FL-JSEAE,Fonds,166.96,166.96,166.96,166.96,0,0
20171006,FL-JSEAE,Fonds,166.34,166.34,166.34,166.34,0,0
20171005,FL-JSEAE,Fonds,166.49,166.49,166.49,166.49,0,0
20171004,FL-JSEAE,Fonds,166.03,166.03,166.03,166.03,0,0
20171003,FL-JSEAE,Fonds,165.99,165.99,165.99,165.99,0,0
20171002,FL-JSEAE,Fonds,164.92,164.92,164.92,164.92,0,0
20170929,FL-JSEAE,Fonds,164.37,164.37,164.37,164.37,0,0
20170928,FL-JSEAE,Fonds,164.55,164.55,164.55,164.55,0,0
20170927,FL-JSEAE,Fonds,163.49,163.49,163.49,163.49,0,0
20170926,FL-JSEAE,Fonds,163.69,163.69,163.69,163.69,0,0
20170925,FL-JSEAE,Fonds,162.76,162.76,162.76,162.76,0,0
20170922,FL-JSEAE,Fonds,161.24,161.24,161.24,161.24,0,0
20170921,FL-JSEAE,Fonds,161.68,161.68,161.68,161.68,0,0
20170920,FL-JSEAE,Fonds,162.00,162.00,162.00,162.00,0,0
20170919,FL-JSEAE,Fonds,162.55,162.55,162.55,162.55,0,0
20170915,FL-JSEAE,Fonds,160.41,160.41,160.41,160.41,0,0
20170914,FL-JSEAE,Fonds,161.34,161.34,161.34,161.34,0,0
20170913,FL-JSEAE,Fonds,161.48,161.48,161.48,161.48,0,0
20170912,FL-JSEAE,Fonds,160.74,160.74,160.74,160.74,0,0
20170911,FL-JSEAE,Fonds,160.20,160.20,160.20,160.20,0,0
20170908,FL-JSEAE,Fonds,158.86,158.86,158.86,158.86,0,0
20170907,FL-JSEAE,Fonds,158.41,158.41,158.41,158.41,0,0
20170906,FL-JSEAE,Fonds,158.59,158.59,158.59,158.59,0,0
20170905,FL-JSEAE,Fonds,159.14,159.14,159.14,159.14,0,0
20170904,FL-JSEAE,Fonds,159.34,159.34,159.34,159.34,0,0
20170901,FL-JSEAE,Fonds,160.29,160.29,160.29,160.29,0,0
20170831,FL-JSEAE,Fonds,160.72,160.72,160.72,160.72,0,0
20170830,FL-JSEAE,Fonds,158.85,158.85,158.85,158.85,0,0
20170829,FL-JSEAE,Fonds,158.97,158.97,158.97,158.97,0,0
