quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-MIDEE,Fonds,17.24,17.24,17.24,17.24,0,0
20171108,FL-MIDEE,Fonds,17.18,17.18,17.18,17.18,0,0
20171107,FL-MIDEE,Fonds,17.20,17.20,17.20,17.20,0,0
20171106,FL-MIDEE,Fonds,17.42,17.42,17.42,17.42,0,0
20171102,FL-MIDEE,Fonds,17.49,17.49,17.49,17.49,0,0
20171101,FL-MIDEE,Fonds,17.41,17.41,17.41,17.41,0,0
20171031,FL-MIDEE,Fonds,17.39,17.39,17.39,17.39,0,0
20171030,FL-MIDEE,Fonds,17.41,17.41,17.41,17.41,0,0
20171026,FL-MIDEE,Fonds,17.39,17.39,17.39,17.39,0,0
20171025,FL-MIDEE,Fonds,17.44,17.44,17.44,17.44,0,0
20171024,FL-MIDEE,Fonds,17.45,17.45,17.45,17.45,0,0
20171023,FL-MIDEE,Fonds,17.33,17.33,17.33,17.33,0,0
20171019,FL-MIDEE,Fonds,17.58,17.58,17.58,17.58,0,0
20171018,FL-MIDEE,Fonds,17.51,17.51,17.51,17.51,0,0
20171017,FL-MIDEE,Fonds,17.59,17.59,17.59,17.59,0,0
20171016,FL-MIDEE,Fonds,17.58,17.58,17.58,17.58,0,0
20171012,FL-MIDEE,Fonds,17.60,17.60,17.60,17.60,0,0
20171011,FL-MIDEE,Fonds,17.42,17.42,17.42,17.42,0,0
20171010,FL-MIDEE,Fonds,17.54,17.54,17.54,17.54,0,0
20171009,FL-MIDEE,Fonds,17.66,17.66,17.66,17.66,0,0
20171005,FL-MIDEE,Fonds,17.79,17.79,17.79,17.79,0,0
20171004,FL-MIDEE,Fonds,17.86,17.86,17.86,17.86,0,0
20171003,FL-MIDEE,Fonds,17.81,17.81,17.81,17.81,0,0
20171002,FL-MIDEE,Fonds,17.78,17.78,17.78,17.78,0,0
20170928,FL-MIDEE,Fonds,17.81,17.81,17.81,17.81,0,0
20170927,FL-MIDEE,Fonds,17.75,17.75,17.75,17.75,0,0
20170926,FL-MIDEE,Fonds,17.80,17.80,17.80,17.80,0,0
20170925,FL-MIDEE,Fonds,17.75,17.75,17.75,17.75,0,0
20170921,FL-MIDEE,Fonds,18.03,18.03,18.03,18.03,0,0
20170920,FL-MIDEE,Fonds,18.04,18.04,18.04,18.04,0,0
20170919,FL-MIDEE,Fonds,18.10,18.10,18.10,18.10,0,0
20170918,FL-MIDEE,Fonds,18.18,18.18,18.18,18.18,0,0
20170914,FL-MIDEE,Fonds,18.18,18.18,18.18,18.18,0,0
20170913,FL-MIDEE,Fonds,18.18,18.18,18.18,18.18,0,0
20170912,FL-MIDEE,Fonds,18.26,18.26,18.26,18.26,0,0
20170911,FL-MIDEE,Fonds,18.26,18.26,18.26,18.26,0,0
20170907,FL-MIDEE,Fonds,18.20,18.20,18.20,18.20,0,0
20170906,FL-MIDEE,Fonds,18.11,18.11,18.11,18.11,0,0
20170829,FL-MIDEE,Fonds,17.98,17.98,17.98,17.98,0,0
20170828,FL-MIDEE,Fonds,18.06,18.06,18.06,18.06,0,0
20170824,FL-MIDEE,Fonds,18.05,18.05,18.05,18.05,0,0
20170823,FL-MIDEE,Fonds,18.09,18.09,18.09,18.09,0,0
20170822,FL-MIDEE,Fonds,18.03,18.03,18.03,18.03,0,0
20170821,FL-MIDEE,Fonds,17.94,17.94,17.94,17.94,0,0
