quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20171108,FL-SAAAE,Fonds,11.43,11.43,11.43,11.43,0,0
20171107,FL-SAAAE,Fonds,11.46,11.46,11.46,11.46,0,0
20171106,FL-SAAAE,Fonds,11.45,11.45,11.45,11.45,0,0
20171103,FL-SAAAE,Fonds,11.48,11.48,11.48,11.48,0,0
20171102,FL-SAAAE,Fonds,11.45,11.45,11.45,11.45,0,0
20171101,FL-SAAAE,Fonds,11.45,11.45,11.45,11.45,0,0
20171031,FL-SAAAE,Fonds,11.42,11.42,11.42,11.42,0,0
20171030,FL-SAAAE,Fonds,11.44,11.44,11.44,11.44,0,0
20171027,FL-SAAAE,Fonds,11.43,11.43,11.43,11.43,0,0
20171026,FL-SAAAE,Fonds,11.48,11.48,11.48,11.48,0,0
20171025,FL-SAAAE,Fonds,11.47,11.47,11.47,11.47,0,0
20171024,FL-SAAAE,Fonds,11.48,11.48,11.48,11.48,0,0
20171023,FL-SAAAE,Fonds,11.47,11.47,11.47,11.47,0,0
20171020,FL-SAAAE,Fonds,11.46,11.46,11.46,11.46,0,0
20171019,FL-SAAAE,Fonds,11.43,11.43,11.43,11.43,0,0
20171018,FL-SAAAE,Fonds,11.42,11.42,11.42,11.42,0,0
20171017,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20171016,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20171013,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20171012,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20171011,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20171010,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20171009,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20171006,FL-SAAAE,Fonds,11.42,11.42,11.42,11.42,0,0
20171005,FL-SAAAE,Fonds,11.43,11.43,11.43,11.43,0,0
20171004,FL-SAAAE,Fonds,11.43,11.43,11.43,11.43,0,0
20171003,FL-SAAAE,Fonds,11.42,11.42,11.42,11.42,0,0
20171002,FL-SAAAE,Fonds,11.42,11.42,11.42,11.42,0,0
20170929,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20170928,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20170927,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20170926,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20170925,FL-SAAAE,Fonds,11.39,11.39,11.39,11.39,0,0
20170922,FL-SAAAE,Fonds,11.37,11.37,11.37,11.37,0,0
20170921,FL-SAAAE,Fonds,11.36,11.36,11.36,11.36,0,0
20170920,FL-SAAAE,Fonds,11.38,11.38,11.38,11.38,0,0
20170919,FL-SAAAE,Fonds,11.39,11.39,11.39,11.39,0,0
20170918,FL-SAAAE,Fonds,11.39,11.39,11.39,11.39,0,0
20170915,FL-SAAAE,Fonds,11.39,11.39,11.39,11.39,0,0
20170914,FL-SAAAE,Fonds,11.38,11.38,11.38,11.38,0,0
20170913,FL-SAAAE,Fonds,11.41,11.41,11.41,11.41,0,0
20170912,FL-SAAAE,Fonds,11.40,11.40,11.40,11.40,0,0
20170911,FL-SAAAE,Fonds,11.39,11.39,11.39,11.39,0,0
20170908,FL-SAAAE,Fonds,11.36,11.36,11.36,11.36,0,0
20170907,FL-SAAAE,Fonds,11.37,11.37,11.37,11.37,0,0
20170906,FL-SAAAE,Fonds,11.38,11.38,11.38,11.38,0,0
