quote_date,paper,exch,open,high,low,close,volume,value
20171121,FL-SLSAU,Fonds,120.55,120.55,120.55,120.55,0,0
20171120,FL-SLSAU,Fonds,120.12,120.12,120.12,120.12,0,0
20171117,FL-SLSAU,Fonds,120.22,120.22,120.22,120.22,0,0
20171116,FL-SLSAU,Fonds,120.63,120.63,120.63,120.63,0,0
20171115,FL-SLSAU,Fonds,120.03,120.03,120.03,120.03,0,0
20171114,FL-SLSAU,Fonds,120.11,120.11,120.11,120.11,0,0
20171113,FL-SLSAU,Fonds,120.29,120.29,120.29,120.29,0,0
20171110,FL-SLSAU,Fonds,120.77,120.77,120.77,120.77,0,0
20171109,FL-SLSAU,Fonds,120.81,120.81,120.81,120.81,0,0
20171108,FL-SLSAU,Fonds,121.46,121.46,121.46,121.46,0,0
20171107,FL-SLSAU,Fonds,121.76,121.76,121.76,121.76,0,0
20171106,FL-SLSAU,Fonds,121.77,121.77,121.77,121.77,0,0
20171103,FL-SLSAU,Fonds,121.02,121.02,121.02,121.02,0,0
20171102,FL-SLSAU,Fonds,120.99,120.99,120.99,120.99,0,0
20171101,FL-SLSAU,Fonds,121.42,121.42,121.42,121.42,0,0
20171031,FL-SLSAU,Fonds,120.92,120.92,120.92,120.92,0,0
20171030,FL-SLSAU,Fonds,120.88,120.88,120.88,120.88,0,0
20171027,FL-SLSAU,Fonds,120.25,120.25,120.25,120.25,0,0
20171026,FL-SLSAU,Fonds,118.99,118.99,118.99,118.99,0,0
20171025,FL-SLSAU,Fonds,119.18,119.18,119.18,119.18,0,0
20171024,FL-SLSAU,Fonds,118.76,118.76,118.76,118.76,0,0
20171023,FL-SLSAU,Fonds,118.88,118.88,118.88,118.88,0,0
20171020,FL-SLSAU,Fonds,119.26,119.26,119.26,119.26,0,0
20171019,FL-SLSAU,Fonds,118.39,118.39,118.39,118.39,0,0
20171018,FL-SLSAU,Fonds,119.18,119.18,119.18,119.18,0,0
20171017,FL-SLSAU,Fonds,119.45,119.45,119.45,119.45,0,0
20171016,FL-SLSAU,Fonds,119.46,119.46,119.46,119.46,0,0
20171013,FL-SLSAU,Fonds,119.32,119.32,119.32,119.32,0,0
20171012,FL-SLSAU,Fonds,120.00,120.00,120.00,120.00,0,0
20171011,FL-SLSAU,Fonds,119.26,119.26,119.26,119.26,0,0
20171010,FL-SLSAU,Fonds,119.41,119.41,119.41,119.41,0,0
20171009,FL-SLSAU,Fonds,119.65,119.65,119.65,119.65,0,0
20171006,FL-SLSAU,Fonds,119.34,119.34,119.34,119.34,0,0
20171005,FL-SLSAU,Fonds,118.70,118.70,118.70,118.70,0,0
20171004,FL-SLSAU,Fonds,118.55,118.55,118.55,118.55,0,0
20171003,FL-SLSAU,Fonds,118.34,118.34,118.34,118.34,0,0
20171002,FL-SLSAU,Fonds,118.13,118.13,118.13,118.13,0,0
20170929,FL-SLSAU,Fonds,117.98,117.98,117.98,117.98,0,0
20170928,FL-SLSAU,Fonds,117.81,117.81,117.81,117.81,0,0
20170927,FL-SLSAU,Fonds,117.78,117.78,117.78,117.78,0,0
20170926,FL-SLSAU,Fonds,117.46,117.46,117.46,117.46,0,0
20170925,FL-SLSAU,Fonds,117.28,117.28,117.28,117.28,0,0
20170922,FL-SLSAU,Fonds,117.76,117.76,117.76,117.76,0,0
20170921,FL-SLSAU,Fonds,117.75,117.75,117.75,117.75,0,0
20170920,FL-SLSAU,Fonds,117.88,117.88,117.88,117.88,0,0
20170919,FL-SLSAU,Fonds,117.63,117.63,117.63,117.63,0,0
20170918,FL-SLSAU,Fonds,117.43,117.43,117.43,117.43,0,0
20170915,FL-SLSAU,Fonds,117.18,117.18,117.18,117.18,0,0
20170914,FL-SLSAU,Fonds,117.73,117.73,117.73,117.73,0,0
20170913,FL-SLSAU,Fonds,117.42,117.42,117.42,117.42,0,0
20170912,FL-SLSAU,Fonds,117.48,117.48,117.48,117.48,0,0
20170911,FL-SLSAU,Fonds,117.21,117.21,117.21,117.21,0,0
20170908,FL-SLSAU,Fonds,117.29,117.29,117.29,117.29,0,0
20170907,FL-SLSAU,Fonds,117.00,117.00,117.00,117.00,0,0
20170906,FL-SLSAU,Fonds,117.05,117.05,117.05,117.05,0,0
20170905,FL-SLSAU,Fonds,117.62,117.62,117.62,117.62,0,0
20170901,FL-SLSAU,Fonds,118.09,118.09,118.09,118.09,0,0
20170831,FL-SLSAU,Fonds,118.10,118.10,118.10,118.10,0,0
20170830,FL-SLSAU,Fonds,117.22,117.22,117.22,117.22,0,0
20170829,FL-SLSAU,Fonds,116.28,116.28,116.28,116.28,0,0
20170828,FL-SLSAU,Fonds,116.66,116.66,116.66,116.66,0,0
20170825,FL-SLSAU,Fonds,117.28,117.28,117.28,117.28,0,0
20170824,FL-SLSAU,Fonds,116.92,116.92,116.92,116.92,0,0
20170823,FL-SLSAU,Fonds,117.34,117.34,117.34,117.34,0,0
20170822,FL-SLSAU,Fonds,116.99,116.99,116.99,116.99,0,0
20170821,FL-SLSAU,Fonds,116.72,116.72,116.72,116.72,0,0
20170818,FL-SLSAU,Fonds,116.22,116.22,116.22,116.22,0,0
20170817,FL-SLSAU,Fonds,117.17,117.17,117.17,117.17,0,0
20170816,FL-SLSAU,Fonds,117.33,117.33,117.33,117.33,0,0
20170815,FL-SLSAU,Fonds,117.42,117.42,117.42,117.42,0,0
20170814,FL-SLSAU,Fonds,117.34,117.34,117.34,117.34,0,0
20170811,FL-SLSAU,Fonds,116.32,116.32,116.32,116.32,0,0
20170810,FL-SLSAU,Fonds,116.74,116.74,116.74,116.74,0,0
20170809,FL-SLSAU,Fonds,116.79,116.79,116.79,116.79,0,0
20170808,FL-SLSAU,Fonds,116.80,116.80,116.80,116.80,0,0
20170807,FL-SLSAU,Fonds,116.79,116.79,116.79,116.79,0,0
20170804,FL-SLSAU,Fonds,116.60,116.60,116.60,116.60,0,0
20170803,FL-SLSAU,Fonds,116.48,116.48,116.48,116.48,0,0
20170802,FL-SLSAU,Fonds,116.68,116.68,116.68,116.68,0,0
20170801,FL-SLSAU,Fonds,116.52,116.52,116.52,116.52,0,0
20170731,FL-SLSAU,Fonds,116.68,116.68,116.68,116.68,0,0
20170728,FL-SLSAU,Fonds,116.17,116.17,116.17,116.17,0,0
20170727,FL-SLSAU,Fonds,117.28,117.28,117.28,117.28,0,0
20170726,FL-SLSAU,Fonds,117.56,117.56,117.56,117.56,0,0
20170725,FL-SLSAU,Fonds,117.51,117.51,117.51,117.51,0,0
20170724,FL-SLSAU,Fonds,117.22,117.22,117.22,117.22,0,0
20170721,FL-SLSAU,Fonds,117.12,117.12,117.12,117.12,0,0
20170720,FL-SLSAU,Fonds,117.46,117.46,117.46,117.46,0,0
20170719,FL-SLSAU,Fonds,117.91,117.91,117.91,117.91,0,0
20170718,FL-SLSAU,Fonds,117.39,117.39,117.39,117.39,0,0
20170717,FL-SLSAU,Fonds,117.54,117.54,117.54,117.54,0,0
20170714,FL-SLSAU,Fonds,117.42,117.42,117.42,117.42,0,0
20170713,FL-SLSAU,Fonds,118.09,118.09,118.09,118.09,0,0
20170712,FL-SLSAU,Fonds,117.49,117.49,117.49,117.49,0,0
20170711,FL-SLSAU,Fonds,117.19,117.19,117.19,117.19,0,0
20170710,FL-SLSAU,Fonds,116.93,116.93,116.93,116.93,0,0
20170707,FL-SLSAU,Fonds,116.64,116.64,116.64,116.64,0,0
20170706,FL-SLSAU,Fonds,115.65,115.65,115.65,115.65,0,0
20170705,FL-SLSAU,Fonds,115.35,115.35,115.35,115.35,0,0
20170703,FL-SLSAU,Fonds,115.67,115.67,115.67,115.67,0,0
20170630,FL-SLSAU,Fonds,115.73,115.73,115.73,115.73,0,0
20170629,FL-SLSAU,Fonds,115.61,115.61,115.61,115.61,0,0
20170628,FL-SLSAU,Fonds,114.87,114.87,114.87,114.87,0,0
20170627,FL-SLSAU,Fonds,115.45,115.45,115.45,115.45,0,0
20170626,FL-SLSAU,Fonds,116.07,116.07,116.07,116.07,0,0
20170623,FL-SLSAU,Fonds,115.79,115.79,115.79,115.79,0,0
20170622,FL-SLSAU,Fonds,116.01,116.01,116.01,116.01,0,0
20170621,FL-SLSAU,Fonds,116.31,116.31,116.31,116.31,0,0
20170620,FL-SLSAU,Fonds,116.09,116.09,116.09,116.09,0,0
20170619,FL-SLSAU,Fonds,116.17,116.17,116.17,116.17,0,0
20170616,FL-SLSAU,Fonds,115.90,115.90,115.90,115.90,0,0
20170615,FL-SLSAU,Fonds,115.51,115.51,115.51,115.51,0,0
20170614,FL-SLSAU,Fonds,116.24,116.24,116.24,116.24,0,0
20170613,FL-SLSAU,Fonds,116.41,116.41,116.41,116.41,0,0
20170612,FL-SLSAU,Fonds,114.34,114.34,114.34,114.34,0,0
20170609,FL-SLSAU,Fonds,117.69,117.69,117.69,117.69,0,0
20170608,FL-SLSAU,Fonds,117.31,117.31,117.31,117.31,0,0
20170607,FL-SLSAU,Fonds,117.58,117.58,117.58,117.58,0,0
20170606,FL-SLSAU,Fonds,117.33,117.33,117.33,117.33,0,0
20170602,FL-SLSAU,Fonds,117.28,117.28,117.28,117.28,0,0
20170601,FL-SLSAU,Fonds,117.14,117.14,117.14,117.14,0,0
20170531,FL-SLSAU,Fonds,117.16,117.16,117.16,117.16,0,0
20170530,FL-SLSAU,Fonds,117.59,117.59,117.59,117.59,0,0
20170526,FL-SLSAU,Fonds,117.93,117.93,117.93,117.93,0,0
20170524,FL-SLSAU,Fonds,116.53,116.53,116.53,116.53,0,0
20170523,FL-SLSAU,Fonds,116.35,116.35,116.35,116.35,0,0
20170522,FL-SLSAU,Fonds,116.54,116.54,116.54,116.54,0,0
20170519,FL-SLSAU,Fonds,116.58,116.58,116.58,116.58,0,0
20170518,FL-SLSAU,Fonds,115.77,115.77,115.77,115.77,0,0
20170516,FL-SLSAU,Fonds,117.07,117.07,117.07,117.07,0,0
20170515,FL-SLSAU,Fonds,116.73,116.73,116.73,116.73,0,0
20170512,FL-SLSAU,Fonds,116.15,116.15,116.15,116.15,0,0
20170511,FL-SLSAU,Fonds,115.51,115.51,115.51,115.51,0,0
20170510,FL-SLSAU,Fonds,115.61,115.61,115.61,115.61,0,0
20170509,FL-SLSAU,Fonds,115.97,115.97,115.97,115.97,0,0
20170508,FL-SLSAU,Fonds,115.25,115.25,115.25,115.25,0,0
20170505,FL-SLSAU,Fonds,115.33,115.33,115.33,115.33,0,0
20170504,FL-SLSAU,Fonds,115.35,115.35,115.35,115.35,0,0
20170503,FL-SLSAU,Fonds,115.66,115.66,115.66,115.66,0,0
20170502,FL-SLSAU,Fonds,115.87,115.87,115.87,115.87,0,0
20170428,FL-SLSAU,Fonds,115.54,115.54,115.54,115.54,0,0
20170427,FL-SLSAU,Fonds,115.10,115.10,115.10,115.10,0,0
20170426,FL-SLSAU,Fonds,115.33,115.33,115.33,115.33,0,0
20170425,FL-SLSAU,Fonds,114.94,114.94,114.94,114.94,0,0
20170424,FL-SLSAU,Fonds,114.73,114.73,114.73,114.73,0,0
20170421,FL-SLSAU,Fonds,114.13,114.13,114.13,114.13,0,0
20170420,FL-SLSAU,Fonds,113.89,113.89,113.89,113.89,0,0
20170419,FL-SLSAU,Fonds,114.07,114.07,114.07,114.07,0,0
20170418,FL-SLSAU,Fonds,113.58,113.58,113.58,113.58,0,0
20170412,FL-SLSAU,Fonds,113.35,113.35,113.35,113.35,0,0
20170411,FL-SLSAU,Fonds,113.15,113.15,113.15,113.15,0,0
20170410,FL-SLSAU,Fonds,113.97,113.97,113.97,113.97,0,0
20170407,FL-SLSAU,Fonds,113.75,113.75,113.75,113.75,0,0
20170406,FL-SLSAU,Fonds,113.77,113.77,113.77,113.77,0,0
20170405,FL-SLSAU,Fonds,114.18,114.18,114.18,114.18,0,0
20170404,FL-SLSAU,Fonds,113.77,113.77,113.77,113.77,0,0
20170403,FL-SLSAU,Fonds,113.49,113.49,113.49,113.49,0,0
20170331,FL-SLSAU,Fonds,113.56,113.56,113.56,113.56,0,0
20170330,FL-SLSAU,Fonds,113.78,113.78,113.78,113.78,0,0
20170329,FL-SLSAU,Fonds,113.61,113.61,113.61,113.61,0,0
20170328,FL-SLSAU,Fonds,113.21,113.21,113.21,113.21,0,0
20170327,FL-SLSAU,Fonds,112.37,112.37,112.37,112.37,0,0
20170324,FL-SLSAU,Fonds,113.38,113.38,113.38,113.38,0,0
20170323,FL-SLSAU,Fonds,113.24,113.24,113.24,113.24,0,0
20170322,FL-SLSAU,Fonds,113.14,113.14,113.14,113.14,0,0
20170321,FL-SLSAU,Fonds,113.45,113.45,113.45,113.45,0,0
20170320,FL-SLSAU,Fonds,113.86,113.86,113.86,113.86,0,0
20170317,FL-SLSAU,Fonds,114.13,114.13,114.13,114.13,0,0
20170316,FL-SLSAU,Fonds,113.94,113.94,113.94,113.94,0,0
20170315,FL-SLSAU,Fonds,114.10,114.10,114.10,114.10,0,0
20170314,FL-SLSAU,Fonds,113.72,113.72,113.72,113.72,0,0
20170313,FL-SLSAU,Fonds,114.28,114.28,114.28,114.28,0,0
20170310,FL-SLSAU,Fonds,114.12,114.12,114.12,114.12,0,0
20170309,FL-SLSAU,Fonds,113.72,113.72,113.72,113.72,0,0
20170308,FL-SLSAU,Fonds,114.14,114.14,114.14,114.14,0,0
20170307,FL-SLSAU,Fonds,113.83,113.83,113.83,113.83,0,0
20170306,FL-SLSAU,Fonds,113.46,113.46,113.46,113.46,0,0
20170303,FL-SLSAU,Fonds,113.27,113.27,113.27,113.27,0,0
20170302,FL-SLSAU,Fonds,113.62,113.62,113.62,113.62,0,0
20170301,FL-SLSAU,Fonds,113.53,113.53,113.53,113.53,0,0
20170228,FL-SLSAU,Fonds,112.18,112.18,112.18,112.18,0,0
20170227,FL-SLSAU,Fonds,111.87,111.87,111.87,111.87,0,0
20170224,FL-SLSAU,Fonds,111.69,111.69,111.69,111.69,0,0
20170223,FL-SLSAU,Fonds,112.60,112.60,112.60,112.60,0,0
20170222,FL-SLSAU,Fonds,112.77,112.77,112.77,112.77,0,0
20170221,FL-SLSAU,Fonds,112.84,112.84,112.84,112.84,0,0
20170217,FL-SLSAU,Fonds,112.59,112.59,112.59,112.59,0,0
20170216,FL-SLSAU,Fonds,113.01,113.01,113.01,113.01,0,0
20170215,FL-SLSAU,Fonds,113.37,113.37,113.37,113.37,0,0
20170214,FL-SLSAU,Fonds,112.46,112.46,112.46,112.46,0,0
20170213,FL-SLSAU,Fonds,112.38,112.38,112.38,112.38,0,0
20170210,FL-SLSAU,Fonds,111.98,111.98,111.98,111.98,0,0
20170209,FL-SLSAU,Fonds,111.56,111.56,111.56,111.56,0,0
20170208,FL-SLSAU,Fonds,111.10,111.10,111.10,111.10,0,0
20170207,FL-SLSAU,Fonds,111.64,111.64,111.64,111.64,0,0
20170206,FL-SLSAU,Fonds,111.62,111.62,111.62,111.62,0,0
20170203,FL-SLSAU,Fonds,111.65,111.65,111.65,111.65,0,0
20170202,FL-SLSAU,Fonds,111.69,111.69,111.69,111.69,0,0
20170201,FL-SLSAU,Fonds,111.40,111.40,111.40,111.40,0,0
20170131,FL-SLSAU,Fonds,111.17,111.17,111.17,111.17,0,0
20170130,FL-SLSAU,Fonds,111.07,111.07,111.07,111.07,0,0
20170127,FL-SLSAU,Fonds,111.96,111.96,111.96,111.96,0,0
20170126,FL-SLSAU,Fonds,111.95,111.95,111.95,111.95,0,0
20170125,FL-SLSAU,Fonds,111.07,111.07,111.07,111.07,0,0
20170124,FL-SLSAU,Fonds,110.29,110.29,110.29,110.29,0,0
20170123,FL-SLSAU,Fonds,109.84,109.84,109.84,109.84,0,0
20170120,FL-SLSAU,Fonds,109.55,109.55,109.55,109.55,0,0
20170119,FL-SLSAU,Fonds,109.43,109.43,109.43,109.43,0,0
20170118,FL-SLSAU,Fonds,108.73,108.73,108.73,108.73,0,0
20170117,FL-SLSAU,Fonds,108.59,108.59,108.59,108.59,0,0
20170113,FL-SLSAU,Fonds,109.66,109.66,109.66,109.66,0,0
20170112,FL-SLSAU,Fonds,109.37,109.37,109.37,109.37,0,0
20170111,FL-SLSAU,Fonds,109.40,109.40,109.40,109.40,0,0
20170110,FL-SLSAU,Fonds,108.84,108.84,108.84,108.84,0,0
20170109,FL-SLSAU,Fonds,108.82,108.82,108.82,108.82,0,0
20170106,FL-SLSAU,Fonds,108.37,108.37,108.37,108.37,0,0
20170105,FL-SLSAU,Fonds,108.37,108.37,108.37,108.37,0,0
20170104,FL-SLSAU,Fonds,107.59,107.59,107.59,107.59,0,0
20170103,FL-SLSAU,Fonds,107.87,107.87,107.87,107.87,0,0
20161230,FL-SLSAU,Fonds,107.54,107.54,107.54,107.54,0,0
20161229,FL-SLSAU,Fonds,107.88,107.88,107.88,107.88,0,0
20161228,FL-SLSAU,Fonds,108.35,108.35,108.35,108.35,0,0
20161227,FL-SLSAU,Fonds,108.47,108.47,108.47,108.47,0,0
20161223,FL-SLSAU,Fonds,108.12,108.12,108.12,108.12,0,0
20161222,FL-SLSAU,Fonds,108.04,108.04,108.04,108.04,0,0
20161221,FL-SLSAU,Fonds,107.87,107.87,107.87,107.87,0,0
20161220,FL-SLSAU,Fonds,107.80,107.80,107.80,107.80,0,0
20161219,FL-SLSAU,Fonds,107.81,107.81,107.81,107.81,0,0
20161216,FL-SLSAU,Fonds,108.07,108.07,108.07,108.07,0,0
20161215,FL-SLSAU,Fonds,108.18,108.18,108.18,108.18,0,0
20161214,FL-SLSAU,Fonds,107.72,107.72,107.72,107.72,0,0
20161213,FL-SLSAU,Fonds,107.42,107.42,107.42,107.42,0,0
20161212,FL-SLSAU,Fonds,107.72,107.72,107.72,107.72,0,0
20161209,FL-SLSAU,Fonds,108.23,108.23,108.23,108.23,0,0
20161208,FL-SLSAU,Fonds,107.91,107.91,107.91,107.91,0,0
20161207,FL-SLSAU,Fonds,107.34,107.34,107.34,107.34,0,0
20161206,FL-SLSAU,Fonds,107.23,107.23,107.23,107.23,0,0
20161205,FL-SLSAU,Fonds,107.50,107.50,107.50,107.50,0,0
20161202,FL-SLSAU,Fonds,107.26,107.26,107.26,107.26,0,0
20161201,FL-SLSAU,Fonds,107.86,107.86,107.86,107.86,0,0
20161130,FL-SLSAU,Fonds,108.21,108.21,108.21,108.21,0,0
20161129,FL-SLSAU,Fonds,107.23,107.23,107.23,107.23,0,0
20161128,FL-SLSAU,Fonds,107.68,107.68,107.68,107.68,0,0
20161125,FL-SLSAU,Fonds,108.01,108.01,108.01,108.01,0,0
20161123,FL-SLSAU,Fonds,107.78,107.78,107.78,107.78,0,0
20161122,FL-SLSAU,Fonds,108.13,108.13,108.13,108.13,0,0
20161121,FL-SLSAU,Fonds,107.56,107.56,107.56,107.56,0,0
20161118,FL-SLSAU,Fonds,106.95,106.95,106.95,106.95,0,0
20161117,FL-SLSAU,Fonds,106.20,106.20,106.20,106.20,0,0
20161116,FL-SLSAU,Fonds,105.25,105.25,105.25,105.25,0,0
20161115,FL-SLSAU,Fonds,105.56,105.56,105.56,105.56,0,0
20161114,FL-SLSAU,Fonds,105.88,105.88,105.88,105.88,0,0
20161111,FL-SLSAU,Fonds,105.90,105.90,105.90,105.90,0,0
20161110,FL-SLSAU,Fonds,106.94,106.94,106.94,106.94,0,0
20161109,FL-SLSAU,Fonds,105.95,105.95,105.95,105.95,0,0
20161108,FL-SLSAU,Fonds,104.61,104.61,104.61,104.61,0,0
20161107,FL-SLSAU,Fonds,104.78,104.78,104.78,104.78,0,0
20161104,FL-SLSAU,Fonds,104.14,104.14,104.14,104.14,0,0
20161103,FL-SLSAU,Fonds,104.17,104.17,104.17,104.17,0,0
20161102,FL-SLSAU,Fonds,104.18,104.18,104.18,104.18,0,0
20161101,FL-SLSAU,Fonds,104.43,104.43,104.43,104.43,0,0
20161031,FL-SLSAU,Fonds,104.46,104.46,104.46,104.46,0,0
20161028,FL-SLSAU,Fonds,105.06,105.06,105.06,105.06,0,0
20161027,FL-SLSAU,Fonds,104.83,104.83,104.83,104.83,0,0
20161026,FL-SLSAU,Fonds,104.83,104.83,104.83,104.83,0,0
20161025,FL-SLSAU,Fonds,105.36,105.36,105.36,105.36,0,0
20161024,FL-SLSAU,Fonds,105.36,105.36,105.36,105.36,0,0
20161021,FL-SLSAU,Fonds,105.13,105.13,105.13,105.13,0,0
20161020,FL-SLSAU,Fonds,105.02,105.02,105.02,105.02,0,0
20161019,FL-SLSAU,Fonds,105.17,105.17,105.17,105.17,0,0
20161018,FL-SLSAU,Fonds,105.12,105.12,105.12,105.12,0,0
20161017,FL-SLSAU,Fonds,104.61,104.61,104.61,104.61,0,0
20161014,FL-SLSAU,Fonds,105.39,105.39,105.39,105.39,0,0
20161013,FL-SLSAU,Fonds,104.42,104.42,104.42,104.42,0,0
20161012,FL-SLSAU,Fonds,105.21,105.21,105.21,105.21,0,0
20161011,FL-SLSAU,Fonds,105.28,105.28,105.28,105.28,0,0
20161010,FL-SLSAU,Fonds,105.39,105.39,105.39,105.39,0,0
20161007,FL-SLSAU,Fonds,104.97,104.97,104.97,104.97,0,0
20161006,FL-SLSAU,Fonds,105.27,105.27,105.27,105.27,0,0
20161005,FL-SLSAU,Fonds,105.28,105.28,105.28,105.28,0,0
20161004,FL-SLSAU,Fonds,104.94,104.94,104.94,104.94,0,0
20161003,FL-SLSAU,Fonds,104.82,104.82,104.82,104.82,0,0
20160930,FL-SLSAU,Fonds,104.49,104.49,104.49,104.49,0,0
20160929,FL-SLSAU,Fonds,104.41,104.41,104.41,104.41,0,0
20160928,FL-SLSAU,Fonds,104.01,104.01,104.01,104.01,0,0
20160927,FL-SLSAU,Fonds,103.51,103.51,103.51,103.51,0,0
20160926,FL-SLSAU,Fonds,103.18,103.18,103.18,103.18,0,0
20160923,FL-SLSAU,Fonds,103.42,103.42,103.42,103.42,0,0
20160922,FL-SLSAU,Fonds,103.46,103.46,103.46,103.46,0,0
20160921,FL-SLSAU,Fonds,103.07,103.07,103.07,103.07,0,0
20160920,FL-SLSAU,Fonds,102.72,102.72,102.72,102.72,0,0
20160919,FL-SLSAU,Fonds,102.75,102.75,102.75,102.75,0,0
20160916,FL-SLSAU,Fonds,102.71,102.71,102.71,102.71,0,0
20160915,FL-SLSAU,Fonds,102.81,102.81,102.81,102.81,0,0
20160914,FL-SLSAU,Fonds,102.89,102.89,102.89,102.89,0,0
20160913,FL-SLSAU,Fonds,102.77,102.77,102.77,102.77,0,0
20160912,FL-SLSAU,Fonds,102.93,102.93,102.93,102.93,0,0
