quote_date,paper,exch,open,high,low,close,volume,value
20171109,FL-USEQE,Fonds,230.27,230.27,230.27,230.27,0,0
20171108,FL-USEQE,Fonds,230.60,230.60,230.60,230.60,0,0
20171107,FL-USEQE,Fonds,232.02,232.02,232.02,232.02,0,0
20171106,FL-USEQE,Fonds,231.18,231.18,231.18,231.18,0,0
20171103,FL-USEQE,Fonds,230.03,230.03,230.03,230.03,0,0
20171102,FL-USEQE,Fonds,229.43,229.43,229.43,229.43,0,0
20171101,FL-USEQE,Fonds,230.40,230.40,230.40,230.40,0,0
20171031,FL-USEQE,Fonds,229.66,229.66,229.66,229.66,0,0
20171030,FL-USEQE,Fonds,229.96,229.96,229.96,229.96,0,0
20171027,FL-USEQE,Fonds,229.09,229.09,229.09,229.09,0,0
20171026,FL-USEQE,Fonds,227.86,227.86,227.86,227.86,0,0
20171025,FL-USEQE,Fonds,227.75,227.75,227.75,227.75,0,0
20171024,FL-USEQE,Fonds,227.76,227.76,227.76,227.76,0,0
20171023,FL-USEQE,Fonds,228.72,228.72,228.72,228.72,0,0
20171020,FL-USEQE,Fonds,228.12,228.12,228.12,228.12,0,0
20171019,FL-USEQE,Fonds,226.07,226.07,226.07,226.07,0,0
20171018,FL-USEQE,Fonds,227.51,227.51,227.51,227.51,0,0
20171017,FL-USEQE,Fonds,226.88,226.88,226.88,226.88,0,0
20171016,FL-USEQE,Fonds,226.86,226.86,226.86,226.86,0,0
20171013,FL-USEQE,Fonds,226.51,226.51,226.51,226.51,0,0
20171012,FL-USEQE,Fonds,226.48,226.48,226.48,226.48,0,0
20171011,FL-USEQE,Fonds,226.47,226.47,226.47,226.47,0,0
20171010,FL-USEQE,Fonds,226.90,226.90,226.90,226.90,0,0
20171009,FL-USEQE,Fonds,226.79,226.79,226.79,226.79,0,0
20171006,FL-USEQE,Fonds,226.75,226.75,226.75,226.75,0,0
20171005,FL-USEQE,Fonds,225.85,225.85,225.85,225.85,0,0
20171004,FL-USEQE,Fonds,225.34,225.34,225.34,225.34,0,0
20171003,FL-USEQE,Fonds,225.22,225.22,225.22,225.22,0,0
20171002,FL-USEQE,Fonds,224.41,224.41,224.41,224.41,0,0
20170929,FL-USEQE,Fonds,223.12,223.12,223.12,223.12,0,0
20170928,FL-USEQE,Fonds,222.78,222.78,222.78,222.78,0,0
20170927,FL-USEQE,Fonds,222.65,222.65,222.65,222.65,0,0
20170926,FL-USEQE,Fonds,222.12,222.12,222.12,222.12,0,0
20170925,FL-USEQE,Fonds,221.75,221.75,221.75,221.75,0,0
20170922,FL-USEQE,Fonds,221.69,221.69,221.69,221.69,0,0
20170921,FL-USEQE,Fonds,221.69,221.69,221.69,221.69,0,0
