quote_date,paper,exch,open,high,low,close,volume,value
20171109,FO-LIKII,Fonds,1018.46,1018.46,1018.46,1018.46,0,0
20171108,FO-LIKII,Fonds,1018.43,1018.43,1018.43,1018.43,0,0
20171107,FO-LIKII,Fonds,1018.39,1018.39,1018.39,1018.39,0,0
20171106,FO-LIKII,Fonds,1018.35,1018.35,1018.35,1018.35,0,0
20171103,FO-LIKII,Fonds,1018.23,1018.23,1018.23,1018.23,0,0
20171102,FO-LIKII,Fonds,1018.20,1018.20,1018.20,1018.20,0,0
20171101,FO-LIKII,Fonds,1018.15,1018.15,1018.15,1018.15,0,0
20171031,FO-LIKII,Fonds,1018.11,1018.11,1018.11,1018.11,0,0
20171030,FO-LIKII,Fonds,1018.06,1018.06,1018.06,1018.06,0,0
20171027,FO-LIKII,Fonds,1017.94,1017.94,1017.94,1017.94,0,0
20171026,FO-LIKII,Fonds,1017.90,1017.90,1017.90,1017.90,0,0
20171025,FO-LIKII,Fonds,1017.85,1017.85,1017.85,1017.85,0,0
20171024,FO-LIKII,Fonds,1017.80,1017.80,1017.80,1017.80,0,0
20171023,FO-LIKII,Fonds,1017.76,1017.76,1017.76,1017.76,0,0
20171020,FO-LIKII,Fonds,1017.64,1017.64,1017.64,1017.64,0,0
20171019,FO-LIKII,Fonds,1017.54,1017.54,1017.54,1017.54,0,0
20171018,FO-LIKII,Fonds,1017.53,1017.53,1017.53,1017.53,0,0
20171017,FO-LIKII,Fonds,1017.49,1017.49,1017.49,1017.49,0,0
20171016,FO-LIKII,Fonds,1017.44,1017.44,1017.44,1017.44,0,0
20171013,FO-LIKII,Fonds,1017.32,1017.32,1017.32,1017.32,0,0
20171012,FO-LIKII,Fonds,1017.28,1017.28,1017.28,1017.28,0,0
20171011,FO-LIKII,Fonds,1017.17,1017.17,1017.17,1017.17,0,0
20171010,FO-LIKII,Fonds,1017.34,1017.34,1017.34,1017.34,0,0
20171009,FO-LIKII,Fonds,1017.30,1017.30,1017.30,1017.30,0,0
20171006,FO-LIKII,Fonds,1017.17,1017.17,1017.17,1017.17,0,0
20171005,FO-LIKII,Fonds,1017.34,1017.34,1017.34,1017.34,0,0
20171004,FO-LIKII,Fonds,1017.31,1017.31,1017.31,1017.31,0,0
20171003,FO-LIKII,Fonds,1017.27,1017.27,1017.27,1017.27,0,0
20171002,FO-LIKII,Fonds,1017.23,1017.23,1017.23,1017.23,0,0
20170928,FO-LIKII,Fonds,1017.08,1017.08,1017.08,1017.08,0,0
20170927,FO-LIKII,Fonds,1017.11,1017.11,1017.11,1017.11,0,0
20170926,FO-LIKII,Fonds,1017.09,1017.09,1017.09,1017.09,0,0
20170925,FO-LIKII,Fonds,1017.04,1017.04,1017.04,1017.04,0,0
20170922,FO-LIKII,Fonds,1016.92,1016.92,1016.92,1016.92,0,0
20170921,FO-LIKII,Fonds,1016.88,1016.88,1016.88,1016.88,0,0
20170920,FO-LIKII,Fonds,1016.91,1016.91,1016.91,1016.91,0,0
20170919,FO-LIKII,Fonds,1016.87,1016.87,1016.87,1016.87,0,0
20170918,FO-LIKII,Fonds,1016.82,1016.82,1016.82,1016.82,0,0
20170915,FO-LIKII,Fonds,1016.70,1016.70,1016.70,1016.70,0,0
20170914,FO-LIKII,Fonds,1016.66,1016.66,1016.66,1016.66,0,0
20170913,FO-LIKII,Fonds,1016.63,1016.63,1016.63,1016.63,0,0
20170912,FO-LIKII,Fonds,1016.58,1016.58,1016.58,1016.58,0,0
20170911,FO-LIKII,Fonds,1016.54,1016.54,1016.54,1016.54,0,0
20170908,FO-LIKII,Fonds,1016.44,1016.44,1016.44,1016.44,0,0
20170907,FO-LIKII,Fonds,1016.40,1016.40,1016.40,1016.40,0,0
20170906,FO-LIKII,Fonds,1016.36,1016.36,1016.36,1016.36,0,0
20170905,FO-LIKII,Fonds,1016.31,1016.31,1016.31,1016.31,0,0
20170904,FO-LIKII,Fonds,1016.24,1016.24,1016.24,1016.24,0,0
20170901,FO-LIKII,Fonds,1016.12,1016.12,1016.12,1016.12,0,0
20170831,FO-LIKII,Fonds,1016.07,1016.07,1016.07,1016.07,0,0
20170830,FO-LIKII,Fonds,1016.02,1016.02,1016.02,1016.02,0,0
20170829,FO-LIKII,Fonds,1015.98,1015.98,1015.98,1015.98,0,0
20170828,FO-LIKII,Fonds,1015.93,1015.93,1015.93,1015.93,0,0
20170825,FO-LIKII,Fonds,1015.80,1015.80,1015.80,1015.80,0,0
20170824,FO-LIKII,Fonds,1015.76,1015.76,1015.76,1015.76,0,0
20170823,FO-LIKII,Fonds,1015.68,1015.68,1015.68,1015.68,0,0
20170822,FO-LIKII,Fonds,1015.64,1015.64,1015.64,1015.64,0,0
20170821,FO-LIKII,Fonds,1015.60,1015.60,1015.60,1015.60,0,0
20170818,FO-LIKII,Fonds,1015.48,1015.48,1015.48,1015.48,0,0
20170817,FO-LIKII,Fonds,1015.43,1015.43,1015.43,1015.43,0,0
20170816,FO-LIKII,Fonds,1015.49,1015.49,1015.49,1015.49,0,0
20170815,FO-LIKII,Fonds,1015.45,1015.45,1015.45,1015.45,0,0
20170814,FO-LIKII,Fonds,1015.35,1015.35,1015.35,1015.35,0,0
20170811,FO-LIKII,Fonds,1015.37,1015.37,1015.37,1015.37,0,0
20170810,FO-LIKII,Fonds,1015.32,1015.32,1015.32,1015.32,0,0
20170809,FO-LIKII,Fonds,1015.36,1015.36,1015.36,1015.36,0,0
20170808,FO-LIKII,Fonds,1015.31,1015.31,1015.31,1015.31,0,0
20170807,FO-LIKII,Fonds,1015.27,1015.27,1015.27,1015.27,0,0
20170804,FO-LIKII,Fonds,1015.14,1015.14,1015.14,1015.14,0,0
20170803,FO-LIKII,Fonds,1014.80,1014.80,1014.80,1014.80,0,0
20170802,FO-LIKII,Fonds,1014.76,1014.76,1014.76,1014.76,0,0
20170801,FO-LIKII,Fonds,1014.71,1014.71,1014.71,1014.71,0,0
20170731,FO-LIKII,Fonds,1014.67,1014.67,1014.67,1014.67,0,0
20170728,FO-LIKII,Fonds,1014.54,1014.54,1014.54,1014.54,0,0
20170727,FO-LIKII,Fonds,1014.50,1014.50,1014.50,1014.50,0,0
20170726,FO-LIKII,Fonds,1014.46,1014.46,1014.46,1014.46,0,0
