quote_date,paper,exch,open,high,low,close,volume,value
20171109,FO-PENSJ,Fonds,977.03,977.03,977.03,977.03,0,0
20171108,FO-PENSJ,Fonds,977.63,977.63,977.63,977.63,0,0
20171107,FO-PENSJ,Fonds,977.49,977.49,977.49,977.49,0,0
20171106,FO-PENSJ,Fonds,977.24,977.24,977.24,977.24,0,0
20171103,FO-PENSJ,Fonds,976.92,976.92,976.92,976.92,0,0
20171102,FO-PENSJ,Fonds,976.73,976.73,976.73,976.73,0,0
20171101,FO-PENSJ,Fonds,976.40,976.40,976.40,976.40,0,0
20171031,FO-PENSJ,Fonds,976.24,976.24,976.24,976.24,0,0
20171030,FO-PENSJ,Fonds,976.16,976.16,976.16,976.16,0,0
20171027,FO-PENSJ,Fonds,975.71,975.71,975.71,975.71,0,0
20171026,FO-PENSJ,Fonds,975.53,975.53,975.53,975.53,0,0
20171025,FO-PENSJ,Fonds,974.99,974.99,974.99,974.99,0,0
20171024,FO-PENSJ,Fonds,975.04,975.04,975.04,975.04,0,0
20171023,FO-PENSJ,Fonds,975.36,975.36,975.36,975.36,0,0
20171020,FO-PENSJ,Fonds,975.30,975.30,975.30,975.30,0,0
20171019,FO-PENSJ,Fonds,975.57,975.57,975.57,975.57,0,0
20171018,FO-PENSJ,Fonds,975.12,975.12,975.12,975.12,0,0
20171017,FO-PENSJ,Fonds,975.34,975.34,975.34,975.34,0,0
20171016,FO-PENSJ,Fonds,975.23,975.23,975.23,975.23,0,0
20171013,FO-PENSJ,Fonds,974.93,974.93,974.93,974.93,0,0
20171012,FO-PENSJ,Fonds,974.58,974.58,974.58,974.58,0,0
20171011,FO-PENSJ,Fonds,974.69,974.69,974.69,974.69,0,0
20171010,FO-PENSJ,Fonds,974.69,974.69,974.69,974.69,0,0
20171009,FO-PENSJ,Fonds,974.67,974.67,974.67,974.67,0,0
20171006,FO-PENSJ,Fonds,974.18,974.18,974.18,974.18,0,0
20171005,FO-PENSJ,Fonds,975.14,975.14,975.14,975.14,0,0
20171004,FO-PENSJ,Fonds,975.27,975.27,975.27,975.27,0,0
20171003,FO-PENSJ,Fonds,974.88,974.88,974.88,974.88,0,0
20171002,FO-PENSJ,Fonds,975.31,975.31,975.31,975.31,0,0
20170928,FO-PENSJ,Fonds,974.99,974.99,974.99,974.99,0,0
20170927,FO-PENSJ,Fonds,975.01,975.01,975.01,975.01,0,0
20170926,FO-PENSJ,Fonds,975.31,975.31,975.31,975.31,0,0
20170925,FO-PENSJ,Fonds,975.38,975.38,975.38,975.38,0,0
20170922,FO-PENSJ,Fonds,975.13,975.13,975.13,975.13,0,0
20170921,FO-PENSJ,Fonds,974.98,974.98,974.98,974.98,0,0
20170920,FO-PENSJ,Fonds,975.50,975.50,975.50,975.50,0,0
20170919,FO-PENSJ,Fonds,975.56,975.56,975.56,975.56,0,0
20170918,FO-PENSJ,Fonds,975.42,975.42,975.42,975.42,0,0
20170915,FO-PENSJ,Fonds,975.47,975.47,975.47,975.47,0,0
20170914,FO-PENSJ,Fonds,975.81,975.81,975.81,975.81,0,0
20170913,FO-PENSJ,Fonds,975.94,975.94,975.94,975.94,0,0
20170912,FO-PENSJ,Fonds,976.00,976.00,976.00,976.00,0,0
20170911,FO-PENSJ,Fonds,976.35,976.35,976.35,976.35,0,0
20170908,FO-PENSJ,Fonds,975.85,975.85,975.85,975.85,0,0
20170907,FO-PENSJ,Fonds,975.62,975.62,975.62,975.62,0,0
20170906,FO-PENSJ,Fonds,975.67,975.67,975.67,975.67,0,0
20170905,FO-PENSJ,Fonds,975.33,975.33,975.33,975.33,0,0
20170904,FO-PENSJ,Fonds,974.97,974.97,974.97,974.97,0,0
20170901,FO-PENSJ,Fonds,974.65,974.65,974.65,974.65,0,0
20170831,FO-PENSJ,Fonds,974.72,974.72,974.72,974.72,0,0
20170830,FO-PENSJ,Fonds,974.58,974.58,974.58,974.58,0,0
20170829,FO-PENSJ,Fonds,974.78,974.78,974.78,974.78,0,0
20170828,FO-PENSJ,Fonds,974.38,974.38,974.38,974.38,0,0
20170825,FO-PENSJ,Fonds,974.18,974.18,974.18,974.18,0,0
20170824,FO-PENSJ,Fonds,974.26,974.26,974.26,974.26,0,0
20170823,FO-PENSJ,Fonds,974.17,974.17,974.17,974.17,0,0
20170822,FO-PENSJ,Fonds,974.06,974.06,974.06,974.06,0,0
20170821,FO-PENSJ,Fonds,973.95,973.95,973.95,973.95,0,0
20170818,FO-PENSJ,Fonds,973.56,973.56,973.56,973.56,0,0
20170817,FO-PENSJ,Fonds,973.38,973.38,973.38,973.38,0,0
20170816,FO-PENSJ,Fonds,973.08,973.08,973.08,973.08,0,0
20170815,FO-PENSJ,Fonds,973.11,973.11,973.11,973.11,0,0
20170814,FO-PENSJ,Fonds,973.57,973.57,973.57,973.57,0,0
20170811,FO-PENSJ,Fonds,974.21,974.21,974.21,974.21,0,0
20170810,FO-PENSJ,Fonds,974.08,974.08,974.08,974.08,0,0
20170809,FO-PENSJ,Fonds,973.74,973.74,973.74,973.74,0,0
20170808,FO-PENSJ,Fonds,973.22,973.22,973.22,973.22,0,0
20170807,FO-PENSJ,Fonds,973.13,973.13,973.13,973.13,0,0
20170804,FO-PENSJ,Fonds,973.25,973.25,973.25,973.25,0,0
20170803,FO-PENSJ,Fonds,972.89,972.89,972.89,972.89,0,0
20170802,FO-PENSJ,Fonds,972.67,972.67,972.67,972.67,0,0
20170801,FO-PENSJ,Fonds,972.41,972.41,972.41,972.41,0,0
20170731,FO-PENSJ,Fonds,972.20,972.20,972.20,972.20,0,0
20170728,FO-PENSJ,Fonds,972.07,972.07,972.07,972.07,0,0
20170727,FO-PENSJ,Fonds,972.38,972.38,972.38,972.38,0,0
20170726,FO-PENSJ,Fonds,972.22,972.22,972.22,972.22,0,0
20170725,FO-PENSJ,Fonds,972.18,972.18,972.18,972.18,0,0
20170724,FO-PENSJ,Fonds,972.38,972.38,972.38,972.38,0,0
20170721,FO-PENSJ,Fonds,972.21,972.21,972.21,972.21,0,0
20170720,FO-PENSJ,Fonds,971.96,971.96,971.96,971.96,0,0
20170719,FO-PENSJ,Fonds,971.87,971.87,971.87,971.87,0,0
20170718,FO-PENSJ,Fonds,971.70,971.70,971.70,971.70,0,0
20170717,FO-PENSJ,Fonds,971.66,971.66,971.66,971.66,0,0
20170714,FO-PENSJ,Fonds,971.66,971.66,971.66,971.66,0,0
20170713,FO-PENSJ,Fonds,971.54,971.54,971.54,971.54,0,0
20170712,FO-PENSJ,Fonds,971.43,971.43,971.43,971.43,0,0
20170711,FO-PENSJ,Fonds,971.32,971.32,971.32,971.32,0,0
20170710,FO-PENSJ,Fonds,971.30,971.30,971.30,971.30,0,0
20170707,FO-PENSJ,Fonds,971.03,971.03,971.03,971.03,0,0
