quote_date,paper,exch,open,high,low,close,volume,value
20171121,FO-RENTE,Fonds,1067.59,1067.59,1067.59,1067.59,0,0
20171120,FO-RENTE,Fonds,1067.57,1067.57,1067.57,1067.57,0,0
20171117,FO-RENTE,Fonds,1067.43,1067.43,1067.43,1067.43,0,0
20171116,FO-RENTE,Fonds,1067.38,1067.38,1067.38,1067.38,0,0
20171115,FO-RENTE,Fonds,1067.33,1067.33,1067.33,1067.33,0,0
20171114,FO-RENTE,Fonds,1067.25,1067.25,1067.25,1067.25,0,0
20171113,FO-RENTE,Fonds,1067.21,1067.21,1067.21,1067.21,0,0
20171110,FO-RENTE,Fonds,1067.12,1067.12,1067.12,1067.12,0,0
20171109,FO-RENTE,Fonds,1067.09,1067.09,1067.09,1067.09,0,0
20171108,FO-RENTE,Fonds,1067.01,1067.01,1067.01,1067.01,0,0
20171107,FO-RENTE,Fonds,1066.97,1066.97,1066.97,1066.97,0,0
20171106,FO-RENTE,Fonds,1066.93,1066.93,1066.93,1066.93,0,0
20171103,FO-RENTE,Fonds,1066.81,1066.81,1066.81,1066.81,0,0
20171102,FO-RENTE,Fonds,1066.76,1066.76,1066.76,1066.76,0,0
20171101,FO-RENTE,Fonds,1066.64,1066.64,1066.64,1066.64,0,0
20171031,FO-RENTE,Fonds,1066.59,1066.59,1066.59,1066.59,0,0
20171030,FO-RENTE,Fonds,1066.56,1066.56,1066.56,1066.56,0,0
20171027,FO-RENTE,Fonds,1066.43,1066.43,1066.43,1066.43,0,0
20171026,FO-RENTE,Fonds,1066.39,1066.39,1066.39,1066.39,0,0
20171025,FO-RENTE,Fonds,1066.31,1066.31,1066.31,1066.31,0,0
20171024,FO-RENTE,Fonds,1066.27,1066.27,1066.27,1066.27,0,0
20171023,FO-RENTE,Fonds,1066.27,1066.27,1066.27,1066.27,0,0
20171020,FO-RENTE,Fonds,1066.17,1066.17,1066.17,1066.17,0,0
20171019,FO-RENTE,Fonds,1065.86,1065.86,1065.86,1065.86,0,0
20171018,FO-RENTE,Fonds,1065.53,1065.53,1065.53,1065.53,0,0
20171017,FO-RENTE,Fonds,1065.51,1065.51,1065.51,1065.51,0,0
20171016,FO-RENTE,Fonds,1065.47,1065.47,1065.47,1065.47,0,0
20171013,FO-RENTE,Fonds,1065.35,1065.35,1065.35,1065.35,0,0
20171012,FO-RENTE,Fonds,1065.30,1065.30,1065.30,1065.30,0,0
20171011,FO-RENTE,Fonds,1065.33,1065.33,1065.33,1065.33,0,0
20171010,FO-RENTE,Fonds,1066.20,1066.20,1066.20,1066.20,0,0
20171009,FO-RENTE,Fonds,1066.17,1066.17,1066.17,1066.17,0,0
20171006,FO-RENTE,Fonds,1066.04,1066.04,1066.04,1066.04,0,0
20171005,FO-RENTE,Fonds,1066.97,1066.97,1066.97,1066.97,0,0
20171004,FO-RENTE,Fonds,1067.03,1067.03,1067.03,1067.03,0,0
20171003,FO-RENTE,Fonds,1066.97,1066.97,1066.97,1066.97,0,0
20171002,FO-RENTE,Fonds,1066.96,1066.96,1066.96,1066.96,0,0
20170928,FO-RENTE,Fonds,1066.83,1066.83,1066.83,1066.83,0,0
20170927,FO-RENTE,Fonds,1067.01,1067.01,1067.01,1067.01,0,0
20170926,FO-RENTE,Fonds,1067.20,1067.20,1067.20,1067.20,0,0
20170925,FO-RENTE,Fonds,1067.18,1067.18,1067.18,1067.18,0,0
20170922,FO-RENTE,Fonds,1067.07,1067.07,1067.07,1067.07,0,0
20170921,FO-RENTE,Fonds,1067.03,1067.03,1067.03,1067.03,0,0
20170920,FO-RENTE,Fonds,1067.32,1067.32,1067.32,1067.32,0,0
20170919,FO-RENTE,Fonds,1067.30,1067.30,1067.30,1067.30,0,0
20170918,FO-RENTE,Fonds,1067.25,1067.25,1067.25,1067.25,0,0
20170915,FO-RENTE,Fonds,1067.16,1067.16,1067.16,1067.16,0,0
20170914,FO-RENTE,Fonds,1067.14,1067.14,1067.14,1067.14,0,0
20170913,FO-RENTE,Fonds,1067.03,1067.03,1067.03,1067.03,0,0
20170912,FO-RENTE,Fonds,1067.00,1067.00,1067.00,1067.00,0,0
20170911,FO-RENTE,Fonds,1066.99,1066.99,1066.99,1066.99,0,0
20170908,FO-RENTE,Fonds,1066.86,1066.86,1066.86,1066.86,0,0
20170907,FO-RENTE,Fonds,1066.81,1066.81,1066.81,1066.81,0,0
20170906,FO-RENTE,Fonds,1066.79,1066.79,1066.79,1066.79,0,0
20170905,FO-RENTE,Fonds,1066.73,1066.73,1066.73,1066.73,0,0
20170904,FO-RENTE,Fonds,1066.63,1066.63,1066.63,1066.63,0,0
20170901,FO-RENTE,Fonds,1066.51,1066.51,1066.51,1066.51,0,0
20170831,FO-RENTE,Fonds,1066.48,1066.48,1066.48,1066.48,0,0
20170830,FO-RENTE,Fonds,1066.20,1066.20,1066.20,1066.20,0,0
