quote_date,paper,exch,open,high,low,close,volume,value
20171108,FR-GLOBA,Fonds,199.0056,199.0056,199.0056,199.0056,0,0
20171107,FR-GLOBA,Fonds,198.5725,198.5725,198.5725,198.5725,0,0
20171106,FR-GLOBA,Fonds,197.1721,197.1721,197.1721,197.1721,0,0
20171103,FR-GLOBA,Fonds,196.4784,196.4784,196.4784,196.4784,0,0
20171102,FR-GLOBA,Fonds,196.3145,196.3145,196.3145,196.3145,0,0
20171101,FR-GLOBA,Fonds,196.2647,196.2647,196.2647,196.2647,0,0
20171031,FR-GLOBA,Fonds,194.8417,194.8417,194.8417,194.8417,0,0
20171030,FR-GLOBA,Fonds,194.0034,194.0034,194.0034,194.0034,0,0
20171027,FR-GLOBA,Fonds,194.7327,194.7327,194.7327,194.7327,0,0
20171026,FR-GLOBA,Fonds,191.3041,191.3041,191.3041,191.3041,0,0
20171025,FR-GLOBA,Fonds,190.6745,190.6745,190.6745,190.6745,0,0
20171024,FR-GLOBA,Fonds,189.462,189.462,189.462,189.462,0,0
20171020,FR-GLOBA,Fonds,190.3857,190.3857,190.3857,190.3857,0,0
20171019,FR-GLOBA,Fonds,189.2014,189.2014,189.2014,189.2014,0,0
20171018,FR-GLOBA,Fonds,190.2906,190.2906,190.2906,190.2906,0,0
20171016,FR-GLOBA,Fonds,190.1155,190.1155,190.1155,190.1155,0,0
20171013,FR-GLOBA,Fonds,190.1233,190.1233,190.1233,190.1233,0,0
20171012,FR-GLOBA,Fonds,189.6581,189.6581,189.6581,189.6581,0,0
20171011,FR-GLOBA,Fonds,189.6767,189.6767,189.6767,189.6767,0,0
20171010,FR-GLOBA,Fonds,189.3738,189.3738,189.3738,189.3738,0,0
20171009,FR-GLOBA,Fonds,188.8705,188.8705,188.8705,188.8705,0,0
20171006,FR-GLOBA,Fonds,189.6996,189.6996,189.6996,189.6996,0,0
20171005,FR-GLOBA,Fonds,188.6637,188.6637,188.6637,188.6637,0,0
20171002,FR-GLOBA,Fonds,185.7784,185.7784,185.7784,185.7784,0,0
20170929,FR-GLOBA,Fonds,185.4353,185.4353,185.4353,185.4353,0,0
