quote_date,paper,exch,open,high,low,close,volume,value
20171109,FT-FGFTR,Fonds,1053.0234,1053.0234,1053.0234,1053.0234,0,0
20171108,FT-FGFTR,Fonds,1056.5855,1056.5855,1056.5855,1056.5855,0,0
20171107,FT-FGFTR,Fonds,1051.1135,1051.1135,1051.1135,1051.1135,0,0
20171106,FT-FGFTR,Fonds,1051.1932,1051.1932,1051.1932,1051.1932,0,0
20171103,FT-FGFTR,Fonds,1033.0997,1033.0997,1033.0997,1033.0997,0,0
20171102,FT-FGFTR,Fonds,1036.8104,1036.8104,1036.8104,1036.8104,0,0
20171101,FT-FGFTR,Fonds,1039.7434,1039.7434,1039.7434,1039.7434,0,0
20171031,FT-FGFTR,Fonds,1036.8365,1036.8365,1036.8365,1036.8365,0,0
20171030,FT-FGFTR,Fonds,1031.5626,1031.5626,1031.5626,1031.5626,0,0
20171027,FT-FGFTR,Fonds,1032.6645,1032.6645,1032.6645,1032.6645,0,0
20171026,FT-FGFTR,Fonds,1010.2479,1010.2479,1010.2479,1010.2479,0,0
20171025,FT-FGFTR,Fonds,1009.9872,1009.9872,1009.9872,1009.9872,0,0
20171024,FT-FGFTR,Fonds,1009.7114,1009.7114,1009.7114,1009.7114,0,0
20171023,FT-FGFTR,Fonds,1010.1589,1010.1589,1010.1589,1010.1589,0,0
20171020,FT-FGFTR,Fonds,1014.8237,1014.8237,1014.8237,1014.8237,0,0
20171019,FT-FGFTR,Fonds,1008.1039,1008.1039,1008.1039,1008.1039,0,0
20171018,FT-FGFTR,Fonds,1013.0753,1013.0753,1013.0753,1013.0753,0,0
20171016,FT-FGFTR,Fonds,1021.0221,1021.0221,1021.0221,1021.0221,0,0
20171013,FT-FGFTR,Fonds,1025.8014,1025.8014,1025.8014,1025.8014,0,0
20171012,FT-FGFTR,Fonds,1015.658,1015.658,1015.658,1015.658,0,0
20171011,FT-FGFTR,Fonds,1025.2221,1025.2221,1025.2221,1025.2221,0,0
20171010,FT-FGFTR,Fonds,1026.5844,1026.5844,1026.5844,1026.5844,0,0
20171009,FT-FGFTR,Fonds,1023.7764,1023.7764,1023.7764,1023.7764,0,0
20171006,FT-FGFTR,Fonds,1031.4912,1031.4912,1031.4912,1031.4912,0,0
20171005,FT-FGFTR,Fonds,1033.4727,1033.4727,1033.4727,1033.4727,0,0
20171004,FT-FGFTR,Fonds,1023.517,1023.517,1023.517,1023.517,0,0
20171003,FT-FGFTR,Fonds,1036.8622,1036.8622,1036.8622,1036.8622,0,0
20171002,FT-FGFTR,Fonds,1031.849,1031.849,1031.849,1031.849,0,0
20170929,FT-FGFTR,Fonds,1038.6599,1038.6599,1038.6599,1038.6599,0,0
20170928,FT-FGFTR,Fonds,1040.2359,1040.2359,1040.2359,1040.2359,0,0
20170927,FT-FGFTR,Fonds,1035.6101,1035.6101,1035.6101,1035.6101,0,0
20170926,FT-FGFTR,Fonds,1019.4431,1019.4431,1019.4431,1019.4431,0,0
20170925,FT-FGFTR,Fonds,1018.1788,1018.1788,1018.1788,1018.1788,0,0
20170922,FT-FGFTR,Fonds,1012.0651,1012.0651,1012.0651,1012.0651,0,0
20170921,FT-FGFTR,Fonds,1006.0152,1006.0152,1006.0152,1006.0152,0,0
20170920,FT-FGFTR,Fonds,1007.4943,1007.4943,1007.4943,1007.4943,0,0
20170919,FT-FGFTR,Fonds,1002.1544,1002.1544,1002.1544,1002.1544,0,0
20170918,FT-FGFTR,Fonds,1002.3075,1002.3075,1002.3075,1002.3075,0,0
20170915,FT-FGFTR,Fonds,1000.00,1000.00,1000.00,1000.00,0,0
