quote_date,paper,exch,open,high,low,close,volume,value
20171120,FV-KRDTT,Fonds,99.5393,99.5393,99.5393,99.5393,0,0
20171117,FV-KRDTT,Fonds,99.6744,99.6744,99.6744,99.6744,0,0
20171116,FV-KRDTT,Fonds,99.7035,99.7035,99.7035,99.7035,0,0
20171115,FV-KRDTT,Fonds,99.8163,99.8163,99.8163,99.8163,0,0
20171114,FV-KRDTT,Fonds,100.3427,100.3427,100.3427,100.3427,0,0
20171113,FV-KRDTT,Fonds,100.6693,100.6693,100.6693,100.6693,0,0
20171110,FV-KRDTT,Fonds,100.5561,100.5561,100.5561,100.5561,0,0
20171109,FV-KRDTT,Fonds,100.5887,100.5887,100.5887,100.5887,0,0
20171108,FV-KRDTT,Fonds,100.6766,100.6766,100.6766,100.6766,0,0
20171107,FV-KRDTT,Fonds,100.6857,100.6857,100.6857,100.6857,0,0
20171106,FV-KRDTT,Fonds,100.7218,100.7218,100.7218,100.7218,0,0
20171103,FV-KRDTT,Fonds,100.3822,100.3822,100.3822,100.3822,0,0
20171102,FV-KRDTT,Fonds,100.3056,100.3056,100.3056,100.3056,0,0
20171101,FV-KRDTT,Fonds,100.2149,100.2149,100.2149,100.2149,0,0
20171031,FV-KRDTT,Fonds,100.0611,100.0611,100.0611,100.0611,0,0
20171030,FV-KRDTT,Fonds,100.1058,100.1058,100.1058,100.1058,0,0
20171027,FV-KRDTT,Fonds,100.038,100.038,100.038,100.038,0,0
20171026,FV-KRDTT,Fonds,100.0871,100.0871,100.0871,100.0871,0,0
20171025,FV-KRDTT,Fonds,99.9828,99.9828,99.9828,99.9828,0,0
20171024,FV-KRDTT,Fonds,99.9218,99.9218,99.9218,99.9218,0,0
20171023,FV-KRDTT,Fonds,99.9548,99.9548,99.9548,99.9548,0,0
20171020,FV-KRDTT,Fonds,99.8784,99.8784,99.8784,99.8784,0,0
20171019,FV-KRDTT,Fonds,99.8703,99.8703,99.8703,99.8703,0,0
20171018,FV-KRDTT,Fonds,99.8287,99.8287,99.8287,99.8287,0,0
20171017,FV-KRDTT,Fonds,100.0558,100.0558,100.0558,100.0558,0,0
20171016,FV-KRDTT,Fonds,99.9482,99.9482,99.9482,99.9482,0,0
20171013,FV-KRDTT,Fonds,100.1774,100.1774,100.1774,100.1774,0,0
20171012,FV-KRDTT,Fonds,100.0843,100.0843,100.0843,100.0843,0,0
20171011,FV-KRDTT,Fonds,100.0293,100.0293,100.0293,100.0293,0,0
20171010,FV-KRDTT,Fonds,100.0868,100.0868,100.0868,100.0868,0,0
