quote_date,paper,exch,open,high,low,close,volume,value
20171109,HF-ASIA,Fonds,622.56,622.56,622.56,622.56,0,0
20171108,HF-ASIA,Fonds,625.19,625.19,625.19,625.19,0,0
20171107,HF-ASIA,Fonds,627.97,627.97,627.97,627.97,0,0
20171106,HF-ASIA,Fonds,621.37,621.37,621.37,621.37,0,0
20171103,HF-ASIA,Fonds,615.16,615.16,615.16,615.16,0,0
20171102,HF-ASIA,Fonds,613.14,613.14,613.14,613.14,0,0
20171101,HF-ASIA,Fonds,614.61,614.61,614.61,614.61,0,0
20171031,HF-ASIA,Fonds,609.77,609.77,609.77,609.77,0,0
20171030,HF-ASIA,Fonds,605.08,605.08,605.08,605.08,0,0
20171027,HF-ASIA,Fonds,602.78,602.78,602.78,602.78,0,0
20171026,HF-ASIA,Fonds,594.07,594.07,594.07,594.07,0,0
20171025,HF-ASIA,Fonds,592.03,592.03,592.03,592.03,0,0
20171024,HF-ASIA,Fonds,588.69,588.69,588.69,588.69,0,0
20171023,HF-ASIA,Fonds,590.59,590.59,590.59,590.59,0,0
20171020,HF-ASIA,Fonds,593.03,593.03,593.03,593.03,0,0
20171019,HF-ASIA,Fonds,584.91,584.91,584.91,584.91,0,0
20171018,HF-ASIA,Fonds,593.04,593.04,593.04,593.04,0,0
20171017,HF-ASIA,Fonds,593.35,593.35,593.35,593.35,0,0
20171016,HF-ASIA,Fonds,589.55,589.55,589.55,589.55,0,0
20171013,HF-ASIA,Fonds,584.99,584.99,584.99,584.99,0,0
20171012,HF-ASIA,Fonds,587.75,587.75,587.75,587.75,0,0
20171011,HF-ASIA,Fonds,584.82,584.82,584.82,584.82,0,0
20171010,HF-ASIA,Fonds,584.22,584.22,584.22,584.22,0,0
20171009,HF-ASIA,Fonds,581.27,581.27,581.27,581.27,0,0
20171006,HF-ASIA,Fonds,585.07,585.07,585.07,585.07,0,0
20170929,HF-ASIA,Fonds,568.93,568.93,568.93,568.93,0,0
20170928,HF-ASIA,Fonds,563.19,563.19,563.19,563.19,0,0
20170927,HF-ASIA,Fonds,567.96,567.96,567.96,567.96,0,0
20170926,HF-ASIA,Fonds,561.47,561.47,561.47,561.47,0,0
20170925,HF-ASIA,Fonds,562.42,562.42,562.42,562.42,0,0
20170922,HF-ASIA,Fonds,566.20,566.20,566.20,566.20,0,0
20170921,HF-ASIA,Fonds,571.22,571.22,571.22,571.22,0,0
20170920,HF-ASIA,Fonds,572.34,572.34,572.34,572.34,0,0
20170919,HF-ASIA,Fonds,571.61,571.61,571.61,571.61,0,0
20170918,HF-ASIA,Fonds,574.19,574.19,574.19,574.19,0,0
20170915,HF-ASIA,Fonds,564.70,564.70,564.70,564.70,0,0
20170914,HF-ASIA,Fonds,573.11,573.11,573.11,573.11,0,0
20170913,HF-ASIA,Fonds,568.71,568.71,568.71,568.71,0,0
20170912,HF-ASIA,Fonds,565.05,565.05,565.05,565.05,0,0
20170911,HF-ASIA,Fonds,562.11,562.11,562.11,562.11,0,0
20170908,HF-ASIA,Fonds,550.93,550.93,550.93,550.93,0,0
20170907,HF-ASIA,Fonds,549.05,549.05,549.05,549.05,0,0
20170906,HF-ASIA,Fonds,549.19,549.19,549.19,549.19,0,0
20170905,HF-ASIA,Fonds,549.78,549.78,549.78,549.78,0,0
20170904,HF-ASIA,Fonds,550.09,550.09,550.09,550.09,0,0
20170901,HF-ASIA,Fonds,552.77,552.77,552.77,552.77,0,0
20170831,HF-ASIA,Fonds,551.71,551.71,551.71,551.71,0,0
20170830,HF-ASIA,Fonds,548.79,548.79,548.79,548.79,0,0
20170829,HF-ASIA,Fonds,539.65,539.65,539.65,539.65,0,0
20170828,HF-ASIA,Fonds,543.29,543.29,543.29,543.29,0,0
20170825,HF-ASIA,Fonds,552.48,552.48,552.48,552.48,0,0
20170824,HF-ASIA,Fonds,552.72,552.72,552.72,552.72,0,0
20170823,HF-ASIA,Fonds,553.11,553.11,553.11,553.11,0,0
20170822,HF-ASIA,Fonds,551.42,551.42,551.42,551.42,0,0
20170821,HF-ASIA,Fonds,547.18,547.18,547.18,547.18,0,0
20170818,HF-ASIA,Fonds,547.95,547.95,547.95,547.95,0,0
20170817,HF-ASIA,Fonds,553.14,553.14,553.14,553.14,0,0
20170816,HF-ASIA,Fonds,551.21,551.21,551.21,551.21,0,0
20170815,HF-ASIA,Fonds,547.92,547.92,547.92,547.92,0,0
20170814,HF-ASIA,Fonds,543.51,543.51,543.51,543.51,0,0
20170811,HF-ASIA,Fonds,538.94,538.94,538.94,538.94,0,0
20170810,HF-ASIA,Fonds,550.34,550.34,550.34,550.34,0,0
20170809,HF-ASIA,Fonds,557.28,557.28,557.28,557.28,0,0
20170808,HF-ASIA,Fonds,557.88,557.88,557.88,557.88,0,0
20170807,HF-ASIA,Fonds,556.61,556.61,556.61,556.61,0,0
20170804,HF-ASIA,Fonds,551.57,551.57,551.57,551.57,0,0
20170803,HF-ASIA,Fonds,547.16,547.16,547.16,547.16,0,0
20170802,HF-ASIA,Fonds,552.16,552.16,552.16,552.16,0,0
20170801,HF-ASIA,Fonds,551.18,551.18,551.18,551.18,0,0
20170731,HF-ASIA,Fonds,554.35,554.35,554.35,554.35,0,0
20170728,HF-ASIA,Fonds,548.71,548.71,548.71,548.71,0,0
20170727,HF-ASIA,Fonds,554.81,554.81,554.81,554.81,0,0
20170726,HF-ASIA,Fonds,552.51,552.51,552.51,552.51,0,0
20170725,HF-ASIA,Fonds,549.09,549.09,549.09,549.09,0,0
20170724,HF-ASIA,Fonds,555.83,555.83,555.83,555.83,0,0
20170721,HF-ASIA,Fonds,552.34,552.34,552.34,552.34,0,0
20170720,HF-ASIA,Fonds,555.87,555.87,555.87,555.87,0,0
20170719,HF-ASIA,Fonds,554.53,554.53,554.53,554.53,0,0
20170718,HF-ASIA,Fonds,548.32,548.32,548.32,548.32,0,0
20170717,HF-ASIA,Fonds,552.37,552.37,552.37,552.37,0,0
20170714,HF-ASIA,Fonds,553.68,553.68,553.68,553.68,0,0
20170713,HF-ASIA,Fonds,558.22,558.22,558.22,558.22,0,0
20170712,HF-ASIA,Fonds,554.43,554.43,554.43,554.43,0,0
20170711,HF-ASIA,Fonds,552.56,552.56,552.56,552.56,0,0
20170710,HF-ASIA,Fonds,546.12,546.12,546.12,546.12,0,0
20170707,HF-ASIA,Fonds,544.14,544.14,544.14,544.14,0,0
20170706,HF-ASIA,Fonds,544.70,544.70,544.70,544.70,0,0
20170705,HF-ASIA,Fonds,545.62,545.62,545.62,545.62,0,0
20170704,HF-ASIA,Fonds,540.60,540.60,540.60,540.60,0,0
20170703,HF-ASIA,Fonds,547.82,547.82,547.82,547.82,0,0
20170630,HF-ASIA,Fonds,550.16,550.16,550.16,550.16,0,0
20170629,HF-ASIA,Fonds,555.72,555.72,555.72,555.72,0,0
20170628,HF-ASIA,Fonds,555.30,555.30,555.30,555.30,0,0
