quote_date,paper,exch,open,high,low,close,volume,value
20171121,HF-EUROP,Fonds,375.1534,375.1534,375.1534,375.1534,0,0
20171120,HF-EUROP,Fonds,376.1332,376.1332,376.1332,376.1332,0,0
20171117,HF-EUROP,Fonds,373.4345,373.4345,373.4345,373.4345,0,0
20171116,HF-EUROP,Fonds,372.2531,372.2531,372.2531,372.2531,0,0
20171115,HF-EUROP,Fonds,369.0499,369.0499,369.0499,369.0499,0,0
20171114,HF-EUROP,Fonds,369.6835,369.6835,369.6835,369.6835,0,0
20171113,HF-EUROP,Fonds,365.2808,365.2808,365.2808,365.2808,0,0
20171110,HF-EUROP,Fonds,367.0213,367.0213,367.0213,367.0213,0,0
20171109,HF-EUROP,Fonds,366.8018,366.8018,366.8018,366.8018,0,0
20171108,HF-EUROP,Fonds,370.8228,370.8228,370.8228,370.8228,0,0
20171107,HF-EUROP,Fonds,374.7884,374.7884,374.7884,374.7884,0,0
20171106,HF-EUROP,Fonds,374.8086,374.8086,374.8086,374.8086,0,0
20171103,HF-EUROP,Fonds,374.7156,374.7156,374.7156,374.7156,0,0
20171102,HF-EUROP,Fonds,374.7431,374.7431,374.7431,374.7431,0,0
20171101,HF-EUROP,Fonds,376.7319,376.7319,376.7319,376.7319,0,0
20171031,HF-EUROP,Fonds,377.5315,377.5315,377.5315,377.5315,0,0
20171030,HF-EUROP,Fonds,375.0494,375.0494,375.0494,375.0494,0,0
20171027,HF-EUROP,Fonds,374.6552,374.6552,374.6552,374.6552,0,0
20171026,HF-EUROP,Fonds,373.3603,373.3603,373.3603,373.3603,0,0
20171025,HF-EUROP,Fonds,368.9832,368.9832,368.9832,368.9832,0,0
20171024,HF-EUROP,Fonds,364.7456,364.7456,364.7456,364.7456,0,0
20171023,HF-EUROP,Fonds,366.5107,366.5107,366.5107,366.5107,0,0
20171020,HF-EUROP,Fonds,367.01,367.01,367.01,367.01,0,0
20171019,HF-EUROP,Fonds,365.4776,365.4776,365.4776,365.4776,0,0
20171018,HF-EUROP,Fonds,367.6166,367.6166,367.6166,367.6166,0,0
20171017,HF-EUROP,Fonds,366.2161,366.2161,366.2161,366.2161,0,0
20171016,HF-EUROP,Fonds,365.8313,365.8313,365.8313,365.8313,0,0
20171013,HF-EUROP,Fonds,366.4343,366.4343,366.4343,366.4343,0,0
20171012,HF-EUROP,Fonds,366.9666,366.9666,366.9666,366.9666,0,0
20171011,HF-EUROP,Fonds,367.2106,367.2106,367.2106,367.2106,0,0
20171010,HF-EUROP,Fonds,366.8015,366.8015,366.8015,366.8015,0,0
20171009,HF-EUROP,Fonds,367.1173,367.1173,367.1173,367.1173,0,0
20171006,HF-EUROP,Fonds,368.0202,368.0202,368.0202,368.0202,0,0
20170929,HF-EUROP,Fonds,364.7273,364.7273,364.7273,364.7273,0,0
20170928,HF-EUROP,Fonds,361.5413,361.5413,361.5413,361.5413,0,0
20170927,HF-EUROP,Fonds,361.0735,361.0735,361.0735,361.0735,0,0
20170926,HF-EUROP,Fonds,357.3826,357.3826,357.3826,357.3826,0,0
20170925,HF-EUROP,Fonds,357.7949,357.7949,357.7949,357.7949,0,0
20170922,HF-EUROP,Fonds,358.3237,358.3237,358.3237,358.3237,0,0
20170921,HF-EUROP,Fonds,358.1594,358.1594,358.1594,358.1594,0,0
20170920,HF-EUROP,Fonds,358.6987,358.6987,358.6987,358.6987,0,0
20170919,HF-EUROP,Fonds,360.2346,360.2346,360.2346,360.2346,0,0
20170918,HF-EUROP,Fonds,359.9858,359.9858,359.9858,359.9858,0,0
20170915,HF-EUROP,Fonds,358.7866,358.7866,358.7866,358.7866,0,0
20170914,HF-EUROP,Fonds,362.8077,362.8077,362.8077,362.8077,0,0
20170913,HF-EUROP,Fonds,362.0424,362.0424,362.0424,362.0424,0,0
20170912,HF-EUROP,Fonds,360.4329,360.4329,360.4329,360.4329,0,0
20170911,HF-EUROP,Fonds,359.9117,359.9117,359.9117,359.9117,0,0
20170908,HF-EUROP,Fonds,352.1973,352.1973,352.1973,352.1973,0,0
20170907,HF-EUROP,Fonds,351.4853,351.4853,351.4853,351.4853,0,0
20170906,HF-EUROP,Fonds,349.6638,349.6638,349.6638,349.6638,0,0
20170905,HF-EUROP,Fonds,350.1326,350.1326,350.1326,350.1326,0,0
20170904,HF-EUROP,Fonds,350.4288,350.4288,350.4288,350.4288,0,0
20170901,HF-EUROP,Fonds,352.3497,352.3497,352.3497,352.3497,0,0
20170831,HF-EUROP,Fonds,349.4254,349.4254,349.4254,349.4254,0,0
20170830,HF-EUROP,Fonds,346.3391,346.3391,346.3391,346.3391,0,0
20170829,HF-EUROP,Fonds,343.8154,343.8154,343.8154,343.8154,0,0
20170828,HF-EUROP,Fonds,347.6176,347.6176,347.6176,347.6176,0,0
20170825,HF-EUROP,Fonds,348.5578,348.5578,348.5578,348.5578,0,0
20170824,HF-EUROP,Fonds,348.7439,348.7439,348.7439,348.7439,0,0
20170823,HF-EUROP,Fonds,351.2405,351.2405,351.2405,351.2405,0,0
20170822,HF-EUROP,Fonds,350.662,350.662,350.662,350.662,0,0
20170821,HF-EUROP,Fonds,348.0289,348.0289,348.0289,348.0289,0,0
20170818,HF-EUROP,Fonds,349.4683,349.4683,349.4683,349.4683,0,0
20170817,HF-EUROP,Fonds,354.3746,354.3746,354.3746,354.3746,0,0
20170816,HF-EUROP,Fonds,354.1988,354.1988,354.1988,354.1988,0,0
20170815,HF-EUROP,Fonds,353.6511,353.6511,353.6511,353.6511,0,0
20170814,HF-EUROP,Fonds,352.2124,352.2124,352.2124,352.2124,0,0
20170811,HF-EUROP,Fonds,350.0245,350.0245,350.0245,350.0245,0,0
20170810,HF-EUROP,Fonds,352.3809,352.3809,352.3809,352.3809,0,0
20170809,HF-EUROP,Fonds,356.0547,356.0547,356.0547,356.0547,0,0
20170808,HF-EUROP,Fonds,358.2289,358.2289,358.2289,358.2289,0,0
20170807,HF-EUROP,Fonds,359.2528,359.2528,359.2528,359.2528,0,0
20170804,HF-EUROP,Fonds,357.8199,357.8199,357.8199,357.8199,0,0
