quote_date,paper,exch,open,high,low,close,volume,value
20150522,HF-INTL,Fonds,1042.77,1042.77,1042.77,1042.77,0,0
20150521,HF-INTL,Fonds,1034.97,1034.97,1034.97,1034.97,0,0
20150520,HF-INTL,Fonds,1030.81,1030.81,1030.81,1030.81,0,0
20150519,HF-INTL,Fonds,1031.12,1031.12,1031.12,1031.12,0,0
20150518,HF-INTL,Fonds,1004.01,1004.01,1004.01,1004.01,0,0
20150515,HF-INTL,Fonds,1000.92,1000.92,1000.92,1000.92,0,0
20150513,HF-INTL,Fonds,991.43,991.43,991.43,991.43,0,0
20150512,HF-INTL,Fonds,998.70,998.70,998.70,998.70,0,0
20150511,HF-INTL,Fonds,1018.15,1018.15,1018.15,1018.15,0,0
20150508,HF-INTL,Fonds,1008.49,1008.49,1008.49,1008.49,0,0
20150507,HF-INTL,Fonds,987.85,987.85,987.85,987.85,0,0
20150506,HF-INTL,Fonds,987.90,987.90,987.90,987.90,0,0
20150505,HF-INTL,Fonds,1016.55,1016.55,1016.55,1016.55,0,0
20150504,HF-INTL,Fonds,1022.18,1022.18,1022.18,1022.18,0,0
20150430,HF-INTL,Fonds,1007.32,1007.32,1007.32,1007.32,0,0
20150429,HF-INTL,Fonds,1029.06,1029.06,1029.06,1029.06,0,0
20150428,HF-INTL,Fonds,1047.38,1047.38,1047.38,1047.38,0,0
20150427,HF-INTL,Fonds,1063.90,1063.90,1063.90,1063.90,0,0
20150424,HF-INTL,Fonds,1068.26,1068.26,1068.26,1068.26,0,0
20150423,HF-INTL,Fonds,1073.79,1073.79,1073.79,1073.79,0,0
20150422,HF-INTL,Fonds,1069.45,1069.45,1069.45,1069.45,0,0
20150421,HF-INTL,Fonds,1069.13,1069.13,1069.13,1069.13,0,0
20150420,HF-INTL,Fonds,1057.49,1057.49,1057.49,1057.49,0,0
20150417,HF-INTL,Fonds,1049.64,1049.64,1049.64,1049.64,0,0
20150416,HF-INTL,Fonds,1057.91,1057.91,1057.91,1057.91,0,0
20150415,HF-INTL,Fonds,1070.82,1070.82,1070.82,1070.82,0,0
20150414,HF-INTL,Fonds,1072.56,1072.56,1072.56,1072.56,0,0
20150413,HF-INTL,Fonds,1097.12,1097.12,1097.12,1097.12,0,0
20150410,HF-INTL,Fonds,1099.65,1099.65,1099.65,1099.65,0,0
20150409,HF-INTL,Fonds,1093.32,1093.32,1093.32,1093.32,0,0
20150408,HF-INTL,Fonds,1083.85,1083.85,1083.85,1083.85,0,0
20150407,HF-INTL,Fonds,1082.95,1082.95,1082.95,1082.95,0,0
20150401,HF-INTL,Fonds,1064.21,1064.21,1064.21,1064.21,0,0
20150331,HF-INTL,Fonds,1069.23,1069.23,1069.23,1069.23,0,0
20150330,HF-INTL,Fonds,1061.71,1061.71,1061.71,1061.71,0,0
20150327,HF-INTL,Fonds,1045.06,1045.06,1045.06,1045.06,0,0
20150326,HF-INTL,Fonds,1029.98,1029.98,1029.98,1029.98,0,0
20150325,HF-INTL,Fonds,1042.94,1042.94,1042.94,1042.94,0,0
20150324,HF-INTL,Fonds,1051.75,1051.75,1051.75,1051.75,0,0
20150323,HF-INTL,Fonds,1053.24,1053.24,1053.24,1053.24,0,0
20150320,HF-INTL,Fonds,1071.56,1071.56,1071.56,1071.56,0,0
20150319,HF-INTL,Fonds,1065.16,1065.16,1065.16,1065.16,0,0
20150318,HF-INTL,Fonds,1097.85,1097.85,1097.85,1097.85,0,0
20150317,HF-INTL,Fonds,1086.75,1086.75,1086.75,1086.75,0,0
20150316,HF-INTL,Fonds,1083.97,1083.97,1083.97,1083.97,0,0
20150313,HF-INTL,Fonds,1065.77,1065.77,1065.77,1065.77,0,0
20150312,HF-INTL,Fonds,1055.07,1055.07,1055.07,1055.07,0,0
20150311,HF-INTL,Fonds,1059.96,1059.96,1059.96,1059.96,0,0
20150310,HF-INTL,Fonds,1047.20,1047.20,1047.20,1047.20,0,0
20150309,HF-INTL,Fonds,1038.11,1038.11,1038.11,1038.11,0,0
20150306,HF-INTL,Fonds,1039.86,1039.86,1039.86,1039.86,0,0
20150305,HF-INTL,Fonds,1024.84,1024.84,1024.84,1024.84,0,0
20150304,HF-INTL,Fonds,1026.30,1026.30,1026.30,1026.30,0,0
20150303,HF-INTL,Fonds,1021.86,1021.86,1021.86,1021.86,0,0
20150302,HF-INTL,Fonds,1019.17,1019.17,1019.17,1019.17,0,0
20150227,HF-INTL,Fonds,1013.39,1013.39,1013.39,1013.39,0,0
20150226,HF-INTL,Fonds,1010.21,1010.21,1010.21,1010.21,0,0
20150225,HF-INTL,Fonds,1005.39,1005.39,1005.39,1005.39,0,0
20150224,HF-INTL,Fonds,1006.90,1006.90,1006.90,1006.90,0,0
20150223,HF-INTL,Fonds,1007.33,1007.33,1007.33,1007.33,0,0
20150220,HF-INTL,Fonds,996.52,996.52,996.52,996.52,0,0
20150219,HF-INTL,Fonds,998.03,998.03,998.03,998.03,0,0
20150218,HF-INTL,Fonds,988.57,988.57,988.57,988.57,0,0
20150217,HF-INTL,Fonds,987.21,987.21,987.21,987.21,0,0
20150213,HF-INTL,Fonds,994.79,994.79,994.79,994.79,0,0
20150212,HF-INTL,Fonds,1003.47,1003.47,1003.47,1003.47,0,0
20150211,HF-INTL,Fonds,987.08,987.08,987.08,987.08,0,0
20150210,HF-INTL,Fonds,976.91,976.91,976.91,976.91,0,0
20150209,HF-INTL,Fonds,977.41,977.41,977.41,977.41,0,0
20150206,HF-INTL,Fonds,977.30,977.30,977.30,977.30,0,0
20150205,HF-INTL,Fonds,974.50,974.50,974.50,974.50,0,0
20150204,HF-INTL,Fonds,975.17,975.17,975.17,975.17,0,0
20150203,HF-INTL,Fonds,975.04,975.04,975.04,975.04,0,0
20150202,HF-INTL,Fonds,968.45,968.45,968.45,968.45,0,0
20150130,HF-INTL,Fonds,989.94,989.94,989.94,989.94,0,0
20150129,HF-INTL,Fonds,990.52,990.52,990.52,990.52,0,0
20150128,HF-INTL,Fonds,1002.45,1002.45,1002.45,1002.45,0,0
20150127,HF-INTL,Fonds,990.51,990.51,990.51,990.51,0,0
20150126,HF-INTL,Fonds,994.33,994.33,994.33,994.33,0,0
20150123,HF-INTL,Fonds,992.80,992.80,992.80,992.80,0,0
20150122,HF-INTL,Fonds,971.04,971.04,971.04,971.04,0,0
20150121,HF-INTL,Fonds,963.31,963.31,963.31,963.31,0,0
20150119,HF-INTL,Fonds,957.86,957.86,957.86,957.86,0,0
20150116,HF-INTL,Fonds,951.22,951.22,951.22,951.22,0,0
20150115,HF-INTL,Fonds,962.20,962.20,962.20,962.20,0,0
20150114,HF-INTL,Fonds,958.38,958.38,958.38,958.38,0,0
20150113,HF-INTL,Fonds,987.08,987.08,987.08,987.08,0,0
20150112,HF-INTL,Fonds,973.32,973.32,973.32,973.32,0,0
20150109,HF-INTL,Fonds,976.93,976.93,976.93,976.93,0,0
20150108,HF-INTL,Fonds,971.88,971.88,971.88,971.88,0,0
20150107,HF-INTL,Fonds,967.00,967.00,967.00,967.00,0,0
20150106,HF-INTL,Fonds,966.67,966.67,966.67,966.67,0,0
20150105,HF-INTL,Fonds,964.08,964.08,964.08,964.08,0,0
20150102,HF-INTL,Fonds,974.47,974.47,974.47,974.47,0,0
20141230,HF-INTL,Fonds,967.71,967.71,967.71,967.71,0,0
20141223,HF-INTL,Fonds,967.47,967.47,967.47,967.47,0,0
20141222,HF-INTL,Fonds,959.26,959.26,959.26,959.26,0,0
20141219,HF-INTL,Fonds,951.50,951.50,951.50,951.50,0,0
20141218,HF-INTL,Fonds,948.00,948.00,948.00,948.00,0,0
20141217,HF-INTL,Fonds,931.58,931.58,931.58,931.58,0,0
20141216,HF-INTL,Fonds,944.84,944.84,944.84,944.84,0,0
20141215,HF-INTL,Fonds,941.93,941.93,941.93,941.93,0,0
20141212,HF-INTL,Fonds,941.54,941.54,941.54,941.54,0,0
20141211,HF-INTL,Fonds,937.21,937.21,937.21,937.21,0,0
20141210,HF-INTL,Fonds,929.81,929.81,929.81,929.81,0,0
20141209,HF-INTL,Fonds,916.90,916.90,916.90,916.90,0,0
20141205,HF-INTL,Fonds,937.80,937.80,937.80,937.80,0,0
20141204,HF-INTL,Fonds,925.13,925.13,925.13,925.13,0,0
20141203,HF-INTL,Fonds,922.51,922.51,922.51,922.51,0,0
20141202,HF-INTL,Fonds,914.97,914.97,914.97,914.97,0,0
20141201,HF-INTL,Fonds,903.90,903.90,903.90,903.90,0,0
20141128,HF-INTL,Fonds,917.64,917.64,917.64,917.64,0,0
20141126,HF-INTL,Fonds,898.77,898.77,898.77,898.77,0,0
20141125,HF-INTL,Fonds,896.85,896.85,896.85,896.85,0,0
20141124,HF-INTL,Fonds,892.10,892.10,892.10,892.10,0,0
20141121,HF-INTL,Fonds,892.78,892.78,892.78,892.78,0,0
20141120,HF-INTL,Fonds,879.62,879.62,879.62,879.62,0,0
20141119,HF-INTL,Fonds,881.66,881.66,881.66,881.66,0,0
20141118,HF-INTL,Fonds,879.05,879.05,879.05,879.05,0,0
20141117,HF-INTL,Fonds,879.31,879.31,879.31,879.31,0,0
20141114,HF-INTL,Fonds,880.94,880.94,880.94,880.94,0,0
20141113,HF-INTL,Fonds,882.41,882.41,882.41,882.41,0,0
20141112,HF-INTL,Fonds,879.20,879.20,879.20,879.20,0,0
20141111,HF-INTL,Fonds,887.31,887.31,887.31,887.31,0,0
20141110,HF-INTL,Fonds,881.50,881.50,881.50,881.50,0,0
20141107,HF-INTL,Fonds,886.41,886.41,886.41,886.41,0,0
20141106,HF-INTL,Fonds,886.05,886.05,886.05,886.05,0,0
20141105,HF-INTL,Fonds,886.57,886.57,886.57,886.57,0,0
20141104,HF-INTL,Fonds,893.52,893.52,893.52,893.52,0,0
20141103,HF-INTL,Fonds,883.16,883.16,883.16,883.16,0,0
20141031,HF-INTL,Fonds,882.10,882.10,882.10,882.10,0,0
20141030,HF-INTL,Fonds,862.26,862.26,862.26,862.26,0,0
20141029,HF-INTL,Fonds,855.22,855.22,855.22,855.22,0,0
20141028,HF-INTL,Fonds,844.61,844.61,844.61,844.61,0,0
20141027,HF-INTL,Fonds,835.93,835.93,835.93,835.93,0,0
20141024,HF-INTL,Fonds,832.67,832.67,832.67,832.67,0,0
20141023,HF-INTL,Fonds,828.43,828.43,828.43,828.43,0,0
20141022,HF-INTL,Fonds,836.92,836.92,836.92,836.92,0,0
20141021,HF-INTL,Fonds,824.60,824.60,824.60,824.60,0,0
20141020,HF-INTL,Fonds,814.12,814.12,814.12,814.12,0,0
20141017,HF-INTL,Fonds,808.25,808.25,808.25,808.25,0,0
20141016,HF-INTL,Fonds,800.36,800.36,800.36,800.36,0,0
20141015,HF-INTL,Fonds,800.46,800.46,800.46,800.46,0,0
20141014,HF-INTL,Fonds,805.39,805.39,805.39,805.39,0,0
20141013,HF-INTL,Fonds,805.89,805.89,805.89,805.89,0,0
20141010,HF-INTL,Fonds,817.11,817.11,817.11,817.11,0,0
20141009,HF-INTL,Fonds,819.36,819.36,819.36,819.36,0,0
20141008,HF-INTL,Fonds,817.70,817.70,817.70,817.70,0,0
20141007,HF-INTL,Fonds,825.28,825.28,825.28,825.28,0,0
20141006,HF-INTL,Fonds,836.77,836.77,836.77,836.77,0,0
20141003,HF-INTL,Fonds,832.85,832.85,832.85,832.85,0,0
20141002,HF-INTL,Fonds,820.68,820.68,820.68,820.68,0,0
20141001,HF-INTL,Fonds,825.69,825.69,825.69,825.69,0,0
20140930,HF-INTL,Fonds,826.66,826.66,826.66,826.66,0,0
20140929,HF-INTL,Fonds,830.17,830.17,830.17,830.17,0,0
20140926,HF-INTL,Fonds,832.24,832.24,832.24,832.24,0,0
20140925,HF-INTL,Fonds,833.07,833.07,833.07,833.07,0,0
20140924,HF-INTL,Fonds,831.75,831.75,831.75,831.75,0,0
20140923,HF-INTL,Fonds,829.16,829.16,829.16,829.16,0,0
20140922,HF-INTL,Fonds,835.16,835.16,835.16,835.16,0,0
20140919,HF-INTL,Fonds,841.85,841.85,841.85,841.85,0,0
20140918,HF-INTL,Fonds,839.77,839.77,839.77,839.77,0,0
20140917,HF-INTL,Fonds,846.07,846.07,846.07,846.07,0,0
20140916,HF-INTL,Fonds,838.91,838.91,838.91,838.91,0,0
20140915,HF-INTL,Fonds,839.11,839.11,839.11,839.11,0,0
20140912,HF-INTL,Fonds,839.47,839.47,839.47,839.47,0,0
20140911,HF-INTL,Fonds,842.92,842.92,842.92,842.92,0,0
20140910,HF-INTL,Fonds,835.30,835.30,835.30,835.30,0,0
20140909,HF-INTL,Fonds,840.44,840.44,840.44,840.44,0,0
20140908,HF-INTL,Fonds,841.48,841.48,841.48,841.48,0,0
20140905,HF-INTL,Fonds,835.50,835.50,835.50,835.50,0,0
20140904,HF-INTL,Fonds,835.06,835.06,835.06,835.06,0,0
20140903,HF-INTL,Fonds,830.72,830.72,830.72,830.72,0,0
20140902,HF-INTL,Fonds,823.46,823.46,823.46,823.46,0,0
20140829,HF-INTL,Fonds,817.98,817.98,817.98,817.98,0,0
20140828,HF-INTL,Fonds,818.92,818.92,818.92,818.92,0,0
20140827,HF-INTL,Fonds,821.38,821.38,821.38,821.38,0,0
20140826,HF-INTL,Fonds,821.27,821.27,821.27,821.27,0,0
20140825,HF-INTL,Fonds,820.31,820.31,820.31,820.31,0,0
20140822,HF-INTL,Fonds,813.34,813.34,813.34,813.34,0,0
20140821,HF-INTL,Fonds,813.55,813.55,813.55,813.55,0,0
20140820,HF-INTL,Fonds,814.20,814.20,814.20,814.20,0,0
20140819,HF-INTL,Fonds,812.28,812.28,812.28,812.28,0,0
20140818,HF-INTL,Fonds,808.32,808.32,808.32,808.32,0,0
20140814,HF-INTL,Fonds,801.75,801.75,801.75,801.75,0,0
20140813,HF-INTL,Fonds,799.70,799.70,799.70,799.70,0,0
20140812,HF-INTL,Fonds,801.37,801.37,801.37,801.37,0,0
20140811,HF-INTL,Fonds,802.61,802.61,802.61,802.61,0,0
20140808,HF-INTL,Fonds,798.13,798.13,798.13,798.13,0,0
20140807,HF-INTL,Fonds,806.85,806.85,806.85,806.85,0,0
20140806,HF-INTL,Fonds,809.86,809.86,809.86,809.86,0,0
20140805,HF-INTL,Fonds,811.48,811.48,811.48,811.48,0,0
20140804,HF-INTL,Fonds,813.52,813.52,813.52,813.52,0,0
20140801,HF-INTL,Fonds,812.57,812.57,812.57,812.57,0,0
20140731,HF-INTL,Fonds,820.81,820.81,820.81,820.81,0,0
20140730,HF-INTL,Fonds,825.47,825.47,825.47,825.47,0,0
20140729,HF-INTL,Fonds,829.33,829.33,829.33,829.33,0,0
20140728,HF-INTL,Fonds,822.54,822.54,822.54,822.54,0,0
20140725,HF-INTL,Fonds,824.99,824.99,824.99,824.99,0,0
20140724,HF-INTL,Fonds,824.70,824.70,824.70,824.70,0,0
20140723,HF-INTL,Fonds,820.10,820.10,820.10,820.10,0,0
20140722,HF-INTL,Fonds,819.38,819.38,819.38,819.38,0,0
20140721,HF-INTL,Fonds,818.78,818.78,818.78,818.78,0,0
20140718,HF-INTL,Fonds,812.71,812.71,812.71,812.71,0,0
20140717,HF-INTL,Fonds,819.49,819.49,819.49,819.49,0,0
20140716,HF-INTL,Fonds,823.90,823.90,823.90,823.90,0,0
20140715,HF-INTL,Fonds,824.22,824.22,824.22,824.22,0,0
20140714,HF-INTL,Fonds,819.48,819.48,819.48,819.48,0,0
20140711,HF-INTL,Fonds,813.96,813.96,813.96,813.96,0,0
20140710,HF-INTL,Fonds,812.83,812.83,812.83,812.83,0,0
