quote_date,paper,exch,open,high,low,close,volume,value
20171109,HF-LIKVI,Fonds,98.95,98.95,98.95,98.95,0,0
20171108,HF-LIKVI,Fonds,98.96,98.96,98.96,98.96,0,0
20171107,HF-LIKVI,Fonds,98.96,98.96,98.96,98.96,0,0
20171106,HF-LIKVI,Fonds,98.96,98.96,98.96,98.96,0,0
20171103,HF-LIKVI,Fonds,98.94,98.94,98.94,98.94,0,0
20171102,HF-LIKVI,Fonds,98.94,98.94,98.94,98.94,0,0
20171101,HF-LIKVI,Fonds,98.94,98.94,98.94,98.94,0,0
20171031,HF-LIKVI,Fonds,98.94,98.94,98.94,98.94,0,0
20171030,HF-LIKVI,Fonds,98.93,98.93,98.93,98.93,0,0
20171027,HF-LIKVI,Fonds,98.92,98.92,98.92,98.92,0,0
20171026,HF-LIKVI,Fonds,98.92,98.92,98.92,98.92,0,0
20171025,HF-LIKVI,Fonds,98.92,98.92,98.92,98.92,0,0
20171024,HF-LIKVI,Fonds,98.92,98.92,98.92,98.92,0,0
20171023,HF-LIKVI,Fonds,98.91,98.91,98.91,98.91,0,0
20171020,HF-LIKVI,Fonds,98.91,98.91,98.91,98.91,0,0
20171019,HF-LIKVI,Fonds,98.90,98.90,98.90,98.90,0,0
20171018,HF-LIKVI,Fonds,98.90,98.90,98.90,98.90,0,0
20171017,HF-LIKVI,Fonds,98.90,98.90,98.90,98.90,0,0
20171016,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20171013,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20171012,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20171011,HF-LIKVI,Fonds,98.90,98.90,98.90,98.90,0,0
20171010,HF-LIKVI,Fonds,98.91,98.91,98.91,98.91,0,0
20171009,HF-LIKVI,Fonds,98.91,98.91,98.91,98.91,0,0
20171006,HF-LIKVI,Fonds,98.90,98.90,98.90,98.90,0,0
20170929,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20170928,HF-LIKVI,Fonds,98.88,98.88,98.88,98.88,0,0
20170927,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20170926,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20170925,HF-LIKVI,Fonds,98.89,98.89,98.89,98.89,0,0
20170922,HF-LIKVI,Fonds,98.87,98.87,98.87,98.87,0,0
20170921,HF-LIKVI,Fonds,98.87,98.87,98.87,98.87,0,0
20170920,HF-LIKVI,Fonds,98.88,98.88,98.88,98.88,0,0
20170919,HF-LIKVI,Fonds,98.88,98.88,98.88,98.88,0,0
20170918,HF-LIKVI,Fonds,98.87,98.87,98.87,98.87,0,0
20170915,HF-LIKVI,Fonds,98.87,98.87,98.87,98.87,0,0
20170914,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170913,HF-LIKVI,Fonds,98.87,98.87,98.87,98.87,0,0
20170912,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170911,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170908,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170907,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170906,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170905,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170904,HF-LIKVI,Fonds,98.86,98.86,98.86,98.86,0,0
20170901,HF-LIKVI,Fonds,98.85,98.85,98.85,98.85,0,0
20170831,HF-LIKVI,Fonds,98.84,98.84,98.84,98.84,0,0
20170830,HF-LIKVI,Fonds,98.8467,98.8467,98.8467,98.8467,0,0
20170829,HF-LIKVI,Fonds,98.8474,98.8474,98.8474,98.8474,0,0
20170828,HF-LIKVI,Fonds,98.8418,98.8418,98.8418,98.8418,0,0
20170823,HF-LIKVI,Fonds,99.4356,99.4356,99.4356,99.4356,0,0
