quote_date,paper,exch,open,high,low,close,volume,value
20171109,HF-OBLIG,Fonds,126.27,126.27,126.27,126.27,0,0
20171108,HF-OBLIG,Fonds,126.45,126.45,126.45,126.45,0,0
20171107,HF-OBLIG,Fonds,126.34,126.34,126.34,126.34,0,0
20171106,HF-OBLIG,Fonds,126.34,126.34,126.34,126.34,0,0
20171103,HF-OBLIG,Fonds,126.21,126.21,126.21,126.21,0,0
20171102,HF-OBLIG,Fonds,126.09,126.09,126.09,126.09,0,0
20171101,HF-OBLIG,Fonds,125.97,125.97,125.97,125.97,0,0
20171031,HF-OBLIG,Fonds,125.94,125.94,125.94,125.94,0,0
20171030,HF-OBLIG,Fonds,125.92,125.92,125.92,125.92,0,0
20171027,HF-OBLIG,Fonds,125.72,125.72,125.72,125.72,0,0
20171026,HF-OBLIG,Fonds,125.69,125.69,125.69,125.69,0,0
20171025,HF-OBLIG,Fonds,125.51,125.51,125.51,125.51,0,0
20171024,HF-OBLIG,Fonds,125.64,125.64,125.64,125.64,0,0
20171023,HF-OBLIG,Fonds,125.73,125.73,125.73,125.73,0,0
20171020,HF-OBLIG,Fonds,125.70,125.70,125.70,125.70,0,0
20171019,HF-OBLIG,Fonds,125.90,125.90,125.90,125.90,0,0
20171018,HF-OBLIG,Fonds,125.85,125.85,125.85,125.85,0,0
20171017,HF-OBLIG,Fonds,125.95,125.95,125.95,125.95,0,0
20171016,HF-OBLIG,Fonds,125.86,125.86,125.86,125.86,0,0
20171013,HF-OBLIG,Fonds,125.75,125.75,125.75,125.75,0,0
20171012,HF-OBLIG,Fonds,125.57,125.57,125.57,125.57,0,0
20171011,HF-OBLIG,Fonds,125.62,125.62,125.62,125.62,0,0
20171010,HF-OBLIG,Fonds,125.63,125.63,125.63,125.63,0,0
20171009,HF-OBLIG,Fonds,125.68,125.68,125.68,125.68,0,0
20171006,HF-OBLIG,Fonds,125.50,125.50,125.50,125.50,0,0
20170929,HF-OBLIG,Fonds,125.88,125.88,125.88,125.88,0,0
20170928,HF-OBLIG,Fonds,125.77,125.77,125.77,125.77,0,0
20170927,HF-OBLIG,Fonds,125.84,125.84,125.84,125.84,0,0
20170926,HF-OBLIG,Fonds,126.05,126.05,126.05,126.05,0,0
20170925,HF-OBLIG,Fonds,126.02,126.02,126.02,126.02,0,0
20170922,HF-OBLIG,Fonds,125.87,125.87,125.87,125.87,0,0
20170921,HF-OBLIG,Fonds,125.86,125.86,125.86,125.86,0,0
20170920,HF-OBLIG,Fonds,126.08,126.08,126.08,126.08,0,0
20170919,HF-OBLIG,Fonds,126.10,126.10,126.10,126.10,0,0
20170918,HF-OBLIG,Fonds,126.05,126.05,126.05,126.05,0,0
20170915,HF-OBLIG,Fonds,126.17,126.17,126.17,126.17,0,0
20170914,HF-OBLIG,Fonds,126.27,126.27,126.27,126.27,0,0
20170913,HF-OBLIG,Fonds,126.36,126.36,126.36,126.36,0,0
20170912,HF-OBLIG,Fonds,126.44,126.44,126.44,126.44,0,0
20170911,HF-OBLIG,Fonds,126.57,126.57,126.57,126.57,0,0
20170908,HF-OBLIG,Fonds,126.51,126.51,126.51,126.51,0,0
20170907,HF-OBLIG,Fonds,126.39,126.39,126.39,126.39,0,0
20170823,HF-OBLIG,Fonds,127.6792,127.6792,127.6792,127.6792,0,0
20170822,HF-OBLIG,Fonds,127.5964,127.5964,127.5964,127.5964,0,0
20170821,HF-OBLIG,Fonds,127.5641,127.5641,127.5641,127.5641,0,0
20170818,HF-OBLIG,Fonds,127.5321,127.5321,127.5321,127.5321,0,0
20170817,HF-OBLIG,Fonds,127.4104,127.4104,127.4104,127.4104,0,0
20170816,HF-OBLIG,Fonds,127.2873,127.2873,127.2873,127.2873,0,0
20170815,HF-OBLIG,Fonds,127.3953,127.3953,127.3953,127.3953,0,0
20170814,HF-OBLIG,Fonds,127.6791,127.6791,127.6791,127.6791,0,0
20170811,HF-OBLIG,Fonds,127.8286,127.8286,127.8286,127.8286,0,0
20170810,HF-OBLIG,Fonds,127.6973,127.6973,127.6973,127.6973,0,0
20170809,HF-OBLIG,Fonds,127.6317,127.6317,127.6317,127.6317,0,0
20170808,HF-OBLIG,Fonds,127.4077,127.4077,127.4077,127.4077,0,0
20170807,HF-OBLIG,Fonds,127.3437,127.3437,127.3437,127.3437,0,0
20170804,HF-OBLIG,Fonds,127.2481,127.2481,127.2481,127.2481,0,0
20170803,HF-OBLIG,Fonds,127.2048,127.2048,127.2048,127.2048,0,0
20170802,HF-OBLIG,Fonds,127.1071,127.1071,127.1071,127.1071,0,0
20170801,HF-OBLIG,Fonds,126.9598,126.9598,126.9598,126.9598,0,0
20170731,HF-OBLIG,Fonds,126.9063,126.9063,126.9063,126.9063,0,0
20170728,HF-OBLIG,Fonds,126.8934,126.8934,126.8934,126.8934,0,0
20170727,HF-OBLIG,Fonds,127.0241,127.0241,127.0241,127.0241,0,0
20170726,HF-OBLIG,Fonds,126.9719,126.9719,126.9719,126.9719,0,0
20170725,HF-OBLIG,Fonds,126.8991,126.8991,126.8991,126.8991,0,0
20170724,HF-OBLIG,Fonds,127.0636,127.0636,127.0636,127.0636,0,0
20170721,HF-OBLIG,Fonds,126.9892,126.9892,126.9892,126.9892,0,0
20170720,HF-OBLIG,Fonds,126.9319,126.9319,126.9319,126.9319,0,0
20170719,HF-OBLIG,Fonds,126.8742,126.8742,126.8742,126.8742,0,0
20170718,HF-OBLIG,Fonds,126.8746,126.8746,126.8746,126.8746,0,0
20170717,HF-OBLIG,Fonds,126.8449,126.8449,126.8449,126.8449,0,0
20170714,HF-OBLIG,Fonds,126.8045,126.8045,126.8045,126.8045,0,0
20170713,HF-OBLIG,Fonds,126.773,126.773,126.773,126.773,0,0
20170712,HF-OBLIG,Fonds,126.7654,126.7654,126.7654,126.7654,0,0
20170711,HF-OBLIG,Fonds,126.7117,126.7117,126.7117,126.7117,0,0
20170710,HF-OBLIG,Fonds,126.7425,126.7425,126.7425,126.7425,0,0
20170707,HF-OBLIG,Fonds,126.6383,126.6383,126.6383,126.6383,0,0
20170706,HF-OBLIG,Fonds,126.7095,126.7095,126.7095,126.7095,0,0
20170705,HF-OBLIG,Fonds,126.9083,126.9083,126.9083,126.9083,0,0
20170704,HF-OBLIG,Fonds,126.9476,126.9476,126.9476,126.9476,0,0
20170703,HF-OBLIG,Fonds,126.88,126.88,126.88,126.88,0,0
20170630,HF-OBLIG,Fonds,126.7836,126.7836,126.7836,126.7836,0,0
20170629,HF-OBLIG,Fonds,126.8932,126.8932,126.8932,126.8932,0,0
20170628,HF-OBLIG,Fonds,127.1309,127.1309,127.1309,127.1309,0,0
20170627,HF-OBLIG,Fonds,127.2243,127.2243,127.2243,127.2243,0,0
20170626,HF-OBLIG,Fonds,127.423,127.423,127.423,127.423,0,0
20170623,HF-OBLIG,Fonds,127.3536,127.3536,127.3536,127.3536,0,0
20170622,HF-OBLIG,Fonds,127.3649,127.3649,127.3649,127.3649,0,0
20170621,HF-OBLIG,Fonds,127.3016,127.3016,127.3016,127.3016,0,0
20170620,HF-OBLIG,Fonds,127.2315,127.2315,127.2315,127.2315,0,0
