quote_date,paper,exch,open,high,low,close,volume,value
20171109,HF-VEKST,Fonds,304.4858,304.4858,304.4858,304.4858,0,0
20171108,HF-VEKST,Fonds,305.7552,305.7552,305.7552,305.7552,0,0
20171107,HF-VEKST,Fonds,306.9373,306.9373,306.9373,306.9373,0,0
20171106,HF-VEKST,Fonds,303.6966,303.6966,303.6966,303.6966,0,0
20171103,HF-VEKST,Fonds,299.8693,299.8693,299.8693,299.8693,0,0
20171102,HF-VEKST,Fonds,300.6249,300.6249,300.6249,300.6249,0,0
20171101,HF-VEKST,Fonds,301.2492,301.2492,301.2492,301.2492,0,0
20171031,HF-VEKST,Fonds,299.7424,299.7424,299.7424,299.7424,0,0
20171030,HF-VEKST,Fonds,299.0884,299.0884,299.0884,299.0884,0,0
20171027,HF-VEKST,Fonds,297.682,297.682,297.682,297.682,0,0
20171026,HF-VEKST,Fonds,294.6787,294.6787,294.6787,294.6787,0,0
20171025,HF-VEKST,Fonds,292.8848,292.8848,292.8848,292.8848,0,0
20171024,HF-VEKST,Fonds,290.8856,290.8856,290.8856,290.8856,0,0
20171023,HF-VEKST,Fonds,292.7042,292.7042,292.7042,292.7042,0,0
20171020,HF-VEKST,Fonds,293.8926,293.8926,293.8926,293.8926,0,0
20171019,HF-VEKST,Fonds,291.3195,291.3195,291.3195,291.3195,0,0
20171018,HF-VEKST,Fonds,294.5694,294.5694,294.5694,294.5694,0,0
20171017,HF-VEKST,Fonds,295.2457,295.2457,295.2457,295.2457,0,0
20171016,HF-VEKST,Fonds,294.7618,294.7618,294.7618,294.7618,0,0
20171013,HF-VEKST,Fonds,292.9579,292.9579,292.9579,292.9579,0,0
20171012,HF-VEKST,Fonds,293.6218,293.6218,293.6218,293.6218,0,0
20171011,HF-VEKST,Fonds,292.5934,292.5934,292.5934,292.5934,0,0
20171010,HF-VEKST,Fonds,292.3024,292.3024,292.3024,292.3024,0,0
20171009,HF-VEKST,Fonds,291.2132,291.2132,291.2132,291.2132,0,0
20171006,HF-VEKST,Fonds,292.7243,292.7243,292.7243,292.7243,0,0
20170929,HF-VEKST,Fonds,286.1801,286.1801,286.1801,286.1801,0,0
20170928,HF-VEKST,Fonds,282.5097,282.5097,282.5097,282.5097,0,0
20170927,HF-VEKST,Fonds,284.5357,284.5357,284.5357,284.5357,0,0
20170926,HF-VEKST,Fonds,283.0682,283.0682,283.0682,283.0682,0,0
20170925,HF-VEKST,Fonds,283.0982,283.0982,283.0982,283.0982,0,0
20170922,HF-VEKST,Fonds,284.356,284.356,284.356,284.356,0,0
20170921,HF-VEKST,Fonds,286.4793,286.4793,286.4793,286.4793,0,0
20170920,HF-VEKST,Fonds,286.4516,286.4516,286.4516,286.4516,0,0
20170919,HF-VEKST,Fonds,286.0735,286.0735,286.0735,286.0735,0,0
20170918,HF-VEKST,Fonds,287.5842,287.5842,287.5842,287.5842,0,0
20170915,HF-VEKST,Fonds,284.4127,284.4127,284.4127,284.4127,0,0
20170914,HF-VEKST,Fonds,287.2941,287.2941,287.2941,287.2941,0,0
20170913,HF-VEKST,Fonds,285.4583,285.4583,285.4583,285.4583,0,0
20170912,HF-VEKST,Fonds,284.5277,284.5277,284.5277,284.5277,0,0
20170911,HF-VEKST,Fonds,284.0398,284.0398,284.0398,284.0398,0,0
20170908,HF-VEKST,Fonds,278.4288,278.4288,278.4288,278.4288,0,0
20170907,HF-VEKST,Fonds,277.6174,277.6174,277.6174,277.6174,0,0
20170906,HF-VEKST,Fonds,278.1965,278.1965,278.1965,278.1965,0,0
20170905,HF-VEKST,Fonds,278.7451,278.7451,278.7451,278.7451,0,0
20170904,HF-VEKST,Fonds,278.021,278.021,278.021,278.021,0,0
20170901,HF-VEKST,Fonds,279.5037,279.5037,279.5037,279.5037,0,0
20170831,HF-VEKST,Fonds,278.6407,278.6407,278.6407,278.6407,0,0
20170830,HF-VEKST,Fonds,276.7666,276.7666,276.7666,276.7666,0,0
20170829,HF-VEKST,Fonds,272.2894,272.2894,272.2894,272.2894,0,0
20170828,HF-VEKST,Fonds,275.3817,275.3817,275.3817,275.3817,0,0
20170825,HF-VEKST,Fonds,278.7948,278.7948,278.7948,278.7948,0,0
20170824,HF-VEKST,Fonds,279.0343,279.0343,279.0343,279.0343,0,0
20170823,HF-VEKST,Fonds,278.8454,278.8454,278.8454,278.8454,0,0
20170822,HF-VEKST,Fonds,278.2785,278.2785,278.2785,278.2785,0,0
20170821,HF-VEKST,Fonds,275.6453,275.6453,275.6453,275.6453,0,0
20170818,HF-VEKST,Fonds,275.2925,275.2925,275.2925,275.2925,0,0
20170817,HF-VEKST,Fonds,278.0212,278.0212,278.0212,278.0212,0,0
20170816,HF-VEKST,Fonds,276.7683,276.7683,276.7683,276.7683,0,0
20170815,HF-VEKST,Fonds,274.412,274.412,274.412,274.412,0,0
20170814,HF-VEKST,Fonds,272.3899,272.3899,272.3899,272.3899,0,0
20170811,HF-VEKST,Fonds,269.5386,269.5386,269.5386,269.5386,0,0
20170810,HF-VEKST,Fonds,273.9658,273.9658,273.9658,273.9658,0,0
20170809,HF-VEKST,Fonds,276.6761,276.6761,276.6761,276.6761,0,0
20170808,HF-VEKST,Fonds,276.636,276.636,276.636,276.636,0,0
20170807,HF-VEKST,Fonds,276.2314,276.2314,276.2314,276.2314,0,0
20170804,HF-VEKST,Fonds,274.182,274.182,274.182,274.182,0,0
20170803,HF-VEKST,Fonds,271.8239,271.8239,271.8239,271.8239,0,0
20170802,HF-VEKST,Fonds,273.4531,273.4531,273.4531,273.4531,0,0
20170801,HF-VEKST,Fonds,273.0583,273.0583,273.0583,273.0583,0,0
20170731,HF-VEKST,Fonds,274.2747,274.2747,274.2747,274.2747,0,0
20170728,HF-VEKST,Fonds,272.5716,272.5716,272.5716,272.5716,0,0
20170727,HF-VEKST,Fonds,274.7802,274.7802,274.7802,274.7802,0,0
20170726,HF-VEKST,Fonds,273.953,273.953,273.953,273.953,0,0
20170725,HF-VEKST,Fonds,272.8927,272.8927,272.8927,272.8927,0,0
20170724,HF-VEKST,Fonds,275.8109,275.8109,275.8109,275.8109,0,0
20170721,HF-VEKST,Fonds,275.1833,275.1833,275.1833,275.1833,0,0
20170720,HF-VEKST,Fonds,276.627,276.627,276.627,276.627,0,0
20170719,HF-VEKST,Fonds,276.3361,276.3361,276.3361,276.3361,0,0
20170718,HF-VEKST,Fonds,273.75,273.75,273.75,273.75,0,0
20170717,HF-VEKST,Fonds,276.1633,276.1633,276.1633,276.1633,0,0
20170714,HF-VEKST,Fonds,276.876,276.876,276.876,276.876,0,0
20170713,HF-VEKST,Fonds,277.7511,277.7511,277.7511,277.7511,0,0
20170712,HF-VEKST,Fonds,275.9914,275.9914,275.9914,275.9914,0,0
20170711,HF-VEKST,Fonds,273.9106,273.9106,273.9106,273.9106,0,0
20170710,HF-VEKST,Fonds,271.9406,271.9406,271.9406,271.9406,0,0
20170707,HF-VEKST,Fonds,270.9715,270.9715,270.9715,270.9715,0,0
20170706,HF-VEKST,Fonds,271.4176,271.4176,271.4176,271.4176,0,0
20170705,HF-VEKST,Fonds,271.0156,271.0156,271.0156,271.0156,0,0
20170704,HF-VEKST,Fonds,270.5342,270.5342,270.5342,270.5342,0,0
20170703,HF-VEKST,Fonds,272.7548,272.7548,272.7548,272.7548,0,0
20170630,HF-VEKST,Fonds,273.3351,273.3351,273.3351,273.3351,0,0
20170629,HF-VEKST,Fonds,274.9613,274.9613,274.9613,274.9613,0,0
20170628,HF-VEKST,Fonds,274.6872,274.6872,274.6872,274.6872,0,0
20170627,HF-VEKST,Fonds,276.3457,276.3457,276.3457,276.3457,0,0
20170626,HF-VEKST,Fonds,278.8853,278.8853,278.8853,278.8853,0,0
20170622,HF-VEKST,Fonds,275.7738,275.7738,275.7738,275.7738,0,0
20170621,HF-VEKST,Fonds,276.3901,276.3901,276.3901,276.3901,0,0
20170620,HF-VEKST,Fonds,277.1516,277.1516,277.1516,277.1516,0,0
20170619,HF-VEKST,Fonds,273.9837,273.9837,273.9837,273.9837,0,0
20170616,HF-VEKST,Fonds,271.3282,271.3282,271.3282,271.3282,0,0
20170615,HF-VEKST,Fonds,271.9371,271.9371,271.9371,271.9371,0,0
20170614,HF-VEKST,Fonds,271.0894,271.0894,271.0894,271.0894,0,0
20170613,HF-VEKST,Fonds,272.2083,272.2083,272.2083,272.2083,0,0
20170612,HF-VEKST,Fonds,272.1027,272.1027,272.1027,272.1027,0,0
20170609,HF-VEKST,Fonds,277.6603,277.6603,277.6603,277.6603,0,0
20170608,HF-VEKST,Fonds,275.8866,275.8866,275.8866,275.8866,0,0
20170607,HF-VEKST,Fonds,273.2361,273.2361,273.2361,273.2361,0,0
20170602,HF-VEKST,Fonds,271.101,271.101,271.101,271.101,0,0
20170601,HF-VEKST,Fonds,270.7241,270.7241,270.7241,270.7241,0,0
