quote_date,paper,exch,open,high,low,close,volume,value
20171121,HF-XBULL,Fonds,164.9574,164.9574,164.9574,164.9574,0,0
20171120,HF-XBULL,Fonds,161.6778,161.6778,161.6778,161.6778,0,0
20171117,HF-XBULL,Fonds,160.0717,160.0717,160.0717,160.0717,0,0
20171116,HF-XBULL,Fonds,162.8306,162.8306,162.8306,162.8306,0,0
20171115,HF-XBULL,Fonds,159.9957,159.9957,159.9957,159.9957,0,0
20171114,HF-XBULL,Fonds,162.2343,162.2343,162.2343,162.2343,0,0
20171113,HF-XBULL,Fonds,163.95,163.95,163.95,163.95,0,0
20171110,HF-XBULL,Fonds,164.4324,164.4324,164.4324,164.4324,0,0
20171109,HF-XBULL,Fonds,165.3678,165.3678,165.3678,165.3678,0,0
20171108,HF-XBULL,Fonds,170.0828,170.0828,170.0828,170.0828,0,0
20171107,HF-XBULL,Fonds,169.3639,169.3639,169.3639,169.3639,0,0
20171106,HF-XBULL,Fonds,168.7618,168.7618,168.7618,168.7618,0,0
20171103,HF-XBULL,Fonds,167.7796,167.7796,167.7796,167.7796,0,0
20171102,HF-XBULL,Fonds,166.1297,166.1297,166.1297,166.1297,0,0
20171101,HF-XBULL,Fonds,168.9962,168.9962,168.9962,168.9962,0,0
20171031,HF-XBULL,Fonds,165.3451,165.3451,165.3451,165.3451,0,0
20171030,HF-XBULL,Fonds,166.7837,166.7837,166.7837,166.7837,0,0
20171027,HF-XBULL,Fonds,163.1064,163.1064,163.1064,163.1064,0,0
20171026,HF-XBULL,Fonds,160.6351,160.6351,160.6351,160.6351,0,0
20171025,HF-XBULL,Fonds,162.0199,162.0199,162.0199,162.0199,0,0
20171024,HF-XBULL,Fonds,158.8038,158.8038,158.8038,158.8038,0,0
20171023,HF-XBULL,Fonds,159.5078,159.5078,159.5078,159.5078,0,0
20171020,HF-XBULL,Fonds,160.135,160.135,160.135,160.135,0,0
20171019,HF-XBULL,Fonds,156.8557,156.8557,156.8557,156.8557,0,0
20171018,HF-XBULL,Fonds,157.0327,157.0327,157.0327,157.0327,0,0
20171017,HF-XBULL,Fonds,156.883,156.883,156.883,156.883,0,0
20171016,HF-XBULL,Fonds,158.0161,158.0161,158.0161,158.0161,0,0
20171013,HF-XBULL,Fonds,158.488,158.488,158.488,158.488,0,0
20171012,HF-XBULL,Fonds,157.3698,157.3698,157.3698,157.3698,0,0
20171011,HF-XBULL,Fonds,156.435,156.435,156.435,156.435,0,0
