quote_date,paper,exch,open,high,low,close,volume,value
20171109,HO-KRDTT,Fonds,115.7008,115.7008,115.7008,115.7008,0,0
20171108,HO-KRDTT,Fonds,115.6824,115.6824,115.6824,115.6824,0,0
20171107,HO-KRDTT,Fonds,115.6747,115.6747,115.6747,115.6747,0,0
20171106,HO-KRDTT,Fonds,115.6355,115.6355,115.6355,115.6355,0,0
20171103,HO-KRDTT,Fonds,115.5945,115.5945,115.5945,115.5945,0,0
20171102,HO-KRDTT,Fonds,115.5733,115.5733,115.5733,115.5733,0,0
20171101,HO-KRDTT,Fonds,115.5831,115.5831,115.5831,115.5831,0,0
20171031,HO-KRDTT,Fonds,115.6015,115.6015,115.6015,115.6015,0,0
20171030,HO-KRDTT,Fonds,115.5192,115.5192,115.5192,115.5192,0,0
20171027,HO-KRDTT,Fonds,115.4486,115.4486,115.4486,115.4486,0,0
20171026,HO-KRDTT,Fonds,115.4197,115.4197,115.4197,115.4197,0,0
20171025,HO-KRDTT,Fonds,115.3321,115.3321,115.3321,115.3321,0,0
20171024,HO-KRDTT,Fonds,115.3252,115.3252,115.3252,115.3252,0,0
20171023,HO-KRDTT,Fonds,115.3059,115.3059,115.3059,115.3059,0,0
20171020,HO-KRDTT,Fonds,115.2471,115.2471,115.2471,115.2471,0,0
20171019,HO-KRDTT,Fonds,115.2092,115.2092,115.2092,115.2092,0,0
20171018,HO-KRDTT,Fonds,115.1958,115.1958,115.1958,115.1958,0,0
20171017,HO-KRDTT,Fonds,115.18,115.18,115.18,115.18,0,0
20171016,HO-KRDTT,Fonds,115.1758,115.1758,115.1758,115.1758,0,0
20171013,HO-KRDTT,Fonds,115.1661,115.1661,115.1661,115.1661,0,0
20171012,HO-KRDTT,Fonds,115.1546,115.1546,115.1546,115.1546,0,0
20171011,HO-KRDTT,Fonds,115.1596,115.1596,115.1596,115.1596,0,0
20171010,HO-KRDTT,Fonds,115.1561,115.1561,115.1561,115.1561,0,0
20171009,HO-KRDTT,Fonds,115.142,115.142,115.142,115.142,0,0
20171006,HO-KRDTT,Fonds,115.1407,115.1407,115.1407,115.1407,0,0
20171005,HO-KRDTT,Fonds,115.1013,115.1013,115.1013,115.1013,0,0
20171004,HO-KRDTT,Fonds,115.0567,115.0567,115.0567,115.0567,0,0
20171003,HO-KRDTT,Fonds,115.0192,115.0192,115.0192,115.0192,0,0
20171002,HO-KRDTT,Fonds,115.0117,115.0117,115.0117,115.0117,0,0
20170929,HO-KRDTT,Fonds,114.9628,114.9628,114.9628,114.9628,0,0
20170928,HO-KRDTT,Fonds,114.9427,114.9427,114.9427,114.9427,0,0
20170927,HO-KRDTT,Fonds,114.9949,114.9949,114.9949,114.9949,0,0
20170926,HO-KRDTT,Fonds,114.9185,114.9185,114.9185,114.9185,0,0
20170925,HO-KRDTT,Fonds,114.894,114.894,114.894,114.894,0,0
20170922,HO-KRDTT,Fonds,114.9062,114.9062,114.9062,114.9062,0,0
20170921,HO-KRDTT,Fonds,114.9109,114.9109,114.9109,114.9109,0,0
20170920,HO-KRDTT,Fonds,114.9222,114.9222,114.9222,114.9222,0,0
20170919,HO-KRDTT,Fonds,114.9116,114.9116,114.9116,114.9116,0,0
20170918,HO-KRDTT,Fonds,114.9015,114.9015,114.9015,114.9015,0,0
20170915,HO-KRDTT,Fonds,114.8719,114.8719,114.8719,114.8719,0,0
20170914,HO-KRDTT,Fonds,114.8655,114.8655,114.8655,114.8655,0,0
20170913,HO-KRDTT,Fonds,114.8453,114.8453,114.8453,114.8453,0,0
20170912,HO-KRDTT,Fonds,114.8474,114.8474,114.8474,114.8474,0,0
