quote_date,paper,exch,open,high,low,close,volume,value
20171120,HO-RURIK,Fonds,229.1596,229.1596,229.1596,229.1596,0,0
20171117,HO-RURIK,Fonds,226.0146,226.0146,226.0146,226.0146,0,0
20171116,HO-RURIK,Fonds,222.5292,222.5292,222.5292,222.5292,0,0
20171115,HO-RURIK,Fonds,220.3307,220.3307,220.3307,220.3307,0,0
20171114,HO-RURIK,Fonds,218.3285,218.3285,218.3285,218.3285,0,0
20171113,HO-RURIK,Fonds,217.7902,217.7902,217.7902,217.7902,0,0
20171110,HO-RURIK,Fonds,216.7715,216.7715,216.7715,216.7715,0,0
20171109,HO-RURIK,Fonds,217.5987,217.5987,217.5987,217.5987,0,0
20171108,HO-RURIK,Fonds,218.2538,218.2538,218.2538,218.2538,0,0
20171107,HO-RURIK,Fonds,218.1742,218.1742,218.1742,218.1742,0,0
20171106,HO-RURIK,Fonds,216.7737,216.7737,216.7737,216.7737,0,0
20171103,HO-RURIK,Fonds,215.7958,215.7958,215.7958,215.7958,0,0
20171102,HO-RURIK,Fonds,214.8658,214.8658,214.8658,214.8658,0,0
20171101,HO-RURIK,Fonds,214.6233,214.6233,214.6233,214.6233,0,0
20171031,HO-RURIK,Fonds,212.903,212.903,212.903,212.903,0,0
20171030,HO-RURIK,Fonds,211.5088,211.5088,211.5088,211.5088,0,0
20171027,HO-RURIK,Fonds,211.1983,211.1983,211.1983,211.1983,0,0
20171026,HO-RURIK,Fonds,211.3153,211.3153,211.3153,211.3153,0,0
20171025,HO-RURIK,Fonds,209.391,209.391,209.391,209.391,0,0
20171024,HO-RURIK,Fonds,209.8717,209.8717,209.8717,209.8717,0,0
20171023,HO-RURIK,Fonds,209.2683,209.2683,209.2683,209.2683,0,0
20171020,HO-RURIK,Fonds,209.6583,209.6583,209.6583,209.6583,0,0
20171019,HO-RURIK,Fonds,209.0724,209.0724,209.0724,209.0724,0,0
20171018,HO-RURIK,Fonds,210.5868,210.5868,210.5868,210.5868,0,0
20171017,HO-RURIK,Fonds,210.388,210.388,210.388,210.388,0,0
20171016,HO-RURIK,Fonds,210.126,210.126,210.126,210.126,0,0
20171013,HO-RURIK,Fonds,209.422,209.422,209.422,209.422,0,0
20171012,HO-RURIK,Fonds,208.775,208.775,208.775,208.775,0,0
20171011,HO-RURIK,Fonds,209.1663,209.1663,209.1663,209.1663,0,0
20171010,HO-RURIK,Fonds,209.7444,209.7444,209.7444,209.7444,0,0
20171009,HO-RURIK,Fonds,209.7346,209.7346,209.7346,209.7346,0,0
20171006,HO-RURIK,Fonds,209.7294,209.7294,209.7294,209.7294,0,0
20171005,HO-RURIK,Fonds,209.3061,209.3061,209.3061,209.3061,0,0
20171004,HO-RURIK,Fonds,208.4702,208.4702,208.4702,208.4702,0,0
20171003,HO-RURIK,Fonds,208.4137,208.4137,208.4137,208.4137,0,0
20171002,HO-RURIK,Fonds,207.414,207.414,207.414,207.414,0,0
20170929,HO-RURIK,Fonds,206.1651,206.1651,206.1651,206.1651,0,0
20170928,HO-RURIK,Fonds,203.8799,203.8799,203.8799,203.8799,0,0
20170927,HO-RURIK,Fonds,204.2703,204.2703,204.2703,204.2703,0,0
20170926,HO-RURIK,Fonds,204.3979,204.3979,204.3979,204.3979,0,0
20170925,HO-RURIK,Fonds,204.2729,204.2729,204.2729,204.2729,0,0
20170922,HO-RURIK,Fonds,205.32,205.32,205.32,205.32,0,0
20170921,HO-RURIK,Fonds,205.4389,205.4389,205.4389,205.4389,0,0
20170920,HO-RURIK,Fonds,206.5386,206.5386,206.5386,206.5386,0,0
20170919,HO-RURIK,Fonds,204.7656,204.7656,204.7656,204.7656,0,0
20170918,HO-RURIK,Fonds,205.2036,205.2036,205.2036,205.2036,0,0
20170915,HO-RURIK,Fonds,205.3436,205.3436,205.3436,205.3436,0,0
20170914,HO-RURIK,Fonds,206.1982,206.1982,206.1982,206.1982,0,0
20170913,HO-RURIK,Fonds,205.2528,205.2528,205.2528,205.2528,0,0
20170912,HO-RURIK,Fonds,204.1604,204.1604,204.1604,204.1604,0,0
20170911,HO-RURIK,Fonds,204.4581,204.4581,204.4581,204.4581,0,0
20170908,HO-RURIK,Fonds,201.3745,201.3745,201.3745,201.3745,0,0
20170907,HO-RURIK,Fonds,201.2024,201.2024,201.2024,201.2024,0,0
20170906,HO-RURIK,Fonds,200.9657,200.9657,200.9657,200.9657,0,0
20170905,HO-RURIK,Fonds,200.0054,200.0054,200.0054,200.0054,0,0
20170904,HO-RURIK,Fonds,200.2478,200.2478,200.2478,200.2478,0,0
20170831,HO-RURIK,Fonds,200.8766,200.8766,200.8766,200.8766,0,0
20170830,HO-RURIK,Fonds,202.04,202.04,202.04,202.04,0,0
20170829,HO-RURIK,Fonds,199.8739,199.8739,199.8739,199.8739,0,0
20170828,HO-RURIK,Fonds,200.5313,200.5313,200.5313,200.5313,0,0
20170825,HO-RURIK,Fonds,201.5949,201.5949,201.5949,201.5949,0,0
20170824,HO-RURIK,Fonds,203.275,203.275,203.275,203.275,0,0
20170823,HO-RURIK,Fonds,203.5182,203.5182,203.5182,203.5182,0,0
20170822,HO-RURIK,Fonds,203.1926,203.1926,203.1926,203.1926,0,0
20170821,HO-RURIK,Fonds,201.8022,201.8022,201.8022,201.8022,0,0
20170818,HO-RURIK,Fonds,201.5896,201.5896,201.5896,201.5896,0,0
20170817,HO-RURIK,Fonds,201.9487,201.9487,201.9487,201.9487,0,0
20170816,HO-RURIK,Fonds,200.9751,200.9751,200.9751,200.9751,0,0
20170815,HO-RURIK,Fonds,201.5196,201.5196,201.5196,201.5196,0,0
20170814,HO-RURIK,Fonds,201.904,201.904,201.904,201.904,0,0
20170811,HO-RURIK,Fonds,198.7922,198.7922,198.7922,198.7922,0,0
20170810,HO-RURIK,Fonds,200.0748,200.0748,200.0748,200.0748,0,0
20170809,HO-RURIK,Fonds,201.6057,201.6057,201.6057,201.6057,0,0
20170808,HO-RURIK,Fonds,202.2055,202.2055,202.2055,202.2055,0,0
20170807,HO-RURIK,Fonds,201.4716,201.4716,201.4716,201.4716,0,0
20170804,HO-RURIK,Fonds,200.9526,200.9526,200.9526,200.9526,0,0
20170803,HO-RURIK,Fonds,199.1445,199.1445,199.1445,199.1445,0,0
20170802,HO-RURIK,Fonds,198.083,198.083,198.083,198.083,0,0
20170801,HO-RURIK,Fonds,199.4072,199.4072,199.4072,199.4072,0,0
20170731,HO-RURIK,Fonds,199.4832,199.4832,199.4832,199.4832,0,0
20170728,HO-RURIK,Fonds,201.4719,201.4719,201.4719,201.4719,0,0
20170727,HO-RURIK,Fonds,204.0312,204.0312,204.0312,204.0312,0,0
20170726,HO-RURIK,Fonds,201.7299,201.7299,201.7299,201.7299,0,0
20170725,HO-RURIK,Fonds,201.1106,201.1106,201.1106,201.1106,0,0
20170724,HO-RURIK,Fonds,201.3056,201.3056,201.3056,201.3056,0,0
20170721,HO-RURIK,Fonds,200.827,200.827,200.827,200.827,0,0
20170720,HO-RURIK,Fonds,201.2244,201.2244,201.2244,201.2244,0,0
20170719,HO-RURIK,Fonds,201.5613,201.5613,201.5613,201.5613,0,0
20170718,HO-RURIK,Fonds,201.5496,201.5496,201.5496,201.5496,0,0
20170714,HO-RURIK,Fonds,203.0897,203.0897,203.0897,203.0897,0,0
20170712,HO-RURIK,Fonds,202.4284,202.4284,202.4284,202.4284,0,0
20170711,HO-RURIK,Fonds,200.1742,200.1742,200.1742,200.1742,0,0
20170710,HO-RURIK,Fonds,200.1585,200.1585,200.1585,200.1585,0,0
20170707,HO-RURIK,Fonds,200.7147,200.7147,200.7147,200.7147,0,0
20170706,HO-RURIK,Fonds,200.4869,200.4869,200.4869,200.4869,0,0
20170705,HO-RURIK,Fonds,201.7092,201.7092,201.7092,201.7092,0,0
20170704,HO-RURIK,Fonds,201.1317,201.1317,201.1317,201.1317,0,0
20170703,HO-RURIK,Fonds,202.5987,202.5987,202.5987,202.5987,0,0
20170630,HO-RURIK,Fonds,202.7973,202.7973,202.7973,202.7973,0,0
20170629,HO-RURIK,Fonds,203.1623,203.1623,203.1623,203.1623,0,0
20170628,HO-RURIK,Fonds,204.9215,204.9215,204.9215,204.9215,0,0
20170627,HO-RURIK,Fonds,203.9039,203.9039,203.9039,203.9039,0,0
20170623,HO-RURIK,Fonds,205.4838,205.4838,205.4838,205.4838,0,0
20170622,HO-RURIK,Fonds,205.11,205.11,205.11,205.11,0,0
20170621,HO-RURIK,Fonds,205.6586,205.6586,205.6586,205.6586,0,0
20170620,HO-RURIK,Fonds,206.157,206.157,206.157,206.157,0,0
20170619,HO-RURIK,Fonds,205.2252,205.2252,205.2252,205.2252,0,0
20170616,HO-RURIK,Fonds,203.2055,203.2055,203.2055,203.2055,0,0
20170615,HO-RURIK,Fonds,204.3946,204.3946,204.3946,204.3946,0,0
20170614,HO-RURIK,Fonds,203.0182,203.0182,203.0182,203.0182,0,0
20170613,HO-RURIK,Fonds,202.3612,202.3612,202.3612,202.3612,0,0
20170612,HO-RURIK,Fonds,203.2793,203.2793,203.2793,203.2793,0,0
20170609,HO-RURIK,Fonds,205.0617,205.0617,205.0617,205.0617,0,0
20170608,HO-RURIK,Fonds,204.2573,204.2573,204.2573,204.2573,0,0
20170607,HO-RURIK,Fonds,203.518,203.518,203.518,203.518,0,0
20170606,HO-RURIK,Fonds,202.2357,202.2357,202.2357,202.2357,0,0
20170602,HO-RURIK,Fonds,201.6077,201.6077,201.6077,201.6077,0,0
20170601,HO-RURIK,Fonds,200.599,200.599,200.599,200.599,0,0
20170531,HO-RURIK,Fonds,200.1187,200.1187,200.1187,200.1187,0,0
20170530,HO-RURIK,Fonds,199.7918,199.7918,199.7918,199.7918,0,0
20170526,HO-RURIK,Fonds,200.2145,200.2145,200.2145,200.2145,0,0
20170524,HO-RURIK,Fonds,196.9557,196.9557,196.9557,196.9557,0,0
20170523,HO-RURIK,Fonds,196.9485,196.9485,196.9485,196.9485,0,0
20170522,HO-RURIK,Fonds,195.9534,195.9534,195.9534,195.9534,0,0
20170519,HO-RURIK,Fonds,195.1902,195.1902,195.1902,195.1902,0,0
20170518,HO-RURIK,Fonds,195.7287,195.7287,195.7287,195.7287,0,0
20170516,HO-RURIK,Fonds,199.8674,199.8674,199.8674,199.8674,0,0
20170515,HO-RURIK,Fonds,200.8563,200.8563,200.8563,200.8563,0,0
20170512,HO-RURIK,Fonds,199.3351,199.3351,199.3351,199.3351,0,0
20170511,HO-RURIK,Fonds,199.5103,199.5103,199.5103,199.5103,0,0
20170510,HO-RURIK,Fonds,199.0288,199.0288,199.0288,199.0288,0,0
20170509,HO-RURIK,Fonds,200.1219,200.1219,200.1219,200.1219,0,0
20170508,HO-RURIK,Fonds,198.5559,198.5559,198.5559,198.5559,0,0
20170505,HO-RURIK,Fonds,197.1412,197.1412,197.1412,197.1412,0,0
20170504,HO-RURIK,Fonds,196.0149,196.0149,196.0149,196.0149,0,0
20170503,HO-RURIK,Fonds,195.5954,195.5954,195.5954,195.5954,0,0
20170502,HO-RURIK,Fonds,196.4543,196.4543,196.4543,196.4543,0,0
20170428,HO-RURIK,Fonds,194.6746,194.6746,194.6746,194.6746,0,0
20170427,HO-RURIK,Fonds,194.5492,194.5492,194.5492,194.5492,0,0
20170426,HO-RURIK,Fonds,193.1206,193.1206,193.1206,193.1206,0,0
20170425,HO-RURIK,Fonds,192.7089,192.7089,192.7089,192.7089,0,0
20170424,HO-RURIK,Fonds,191.0725,191.0725,191.0725,191.0725,0,0
20170421,HO-RURIK,Fonds,192.4009,192.4009,192.4009,192.4009,0,0
20170420,HO-RURIK,Fonds,191.1079,191.1079,191.1079,191.1079,0,0
20170419,HO-RURIK,Fonds,189.3681,189.3681,189.3681,189.3681,0,0
20170418,HO-RURIK,Fonds,187.3226,187.3226,187.3226,187.3226,0,0
20170412,HO-RURIK,Fonds,188.8728,188.8728,188.8728,188.8728,0,0
20170411,HO-RURIK,Fonds,187.714,187.714,187.714,187.714,0,0
20170410,HO-RURIK,Fonds,188.3988,188.3988,188.3988,188.3988,0,0
20170407,HO-RURIK,Fonds,188.6027,188.6027,188.6027,188.6027,0,0
20170406,HO-RURIK,Fonds,188.2645,188.2645,188.2645,188.2645,0,0
20170405,HO-RURIK,Fonds,187.0774,187.0774,187.0774,187.0774,0,0
20170404,HO-RURIK,Fonds,186.0902,186.0902,186.0902,186.0902,0,0
20170403,HO-RURIK,Fonds,185.5585,185.5585,185.5585,185.5585,0,0
20170331,HO-RURIK,Fonds,186.0246,186.0246,186.0246,186.0246,0,0
20170330,HO-RURIK,Fonds,185.8579,185.8579,185.8579,185.8579,0,0
20170329,HO-RURIK,Fonds,184.6255,184.6255,184.6255,184.6255,0,0
20170328,HO-RURIK,Fonds,184.7054,184.7054,184.7054,184.7054,0,0
20170327,HO-RURIK,Fonds,183.847,183.847,183.847,183.847,0,0
20170324,HO-RURIK,Fonds,184.8257,184.8257,184.8257,184.8257,0,0
20170323,HO-RURIK,Fonds,184.3623,184.3623,184.3623,184.3623,0,0
20170322,HO-RURIK,Fonds,183.1278,183.1278,183.1278,183.1278,0,0
20170321,HO-RURIK,Fonds,183.4458,183.4458,183.4458,183.4458,0,0
20170320,HO-RURIK,Fonds,183.8102,183.8102,183.8102,183.8102,0,0
