quote_date,paper,exch,open,high,low,close,volume,value
20171120,HO-TRITO,Fonds,128.0884,128.0884,128.0884,128.0884,0,0
20171117,HO-TRITO,Fonds,127.3954,127.3954,127.3954,127.3954,0,0
20171116,HO-TRITO,Fonds,128.0285,128.0285,128.0285,128.0285,0,0
20171115,HO-TRITO,Fonds,128.2149,128.2149,128.2149,128.2149,0,0
20171114,HO-TRITO,Fonds,126.9543,126.9543,126.9543,126.9543,0,0
20171113,HO-TRITO,Fonds,128.4331,128.4331,128.4331,128.4331,0,0
20171110,HO-TRITO,Fonds,128.3893,128.3893,128.3893,128.3893,0,0
20171109,HO-TRITO,Fonds,128.2981,128.2981,128.2981,128.2981,0,0
20171108,HO-TRITO,Fonds,131.3488,131.3488,131.3488,131.3488,0,0
20171107,HO-TRITO,Fonds,130.4494,130.4494,130.4494,130.4494,0,0
20171106,HO-TRITO,Fonds,131.7156,131.7156,131.7156,131.7156,0,0
20171102,HO-TRITO,Fonds,129.7241,129.7241,129.7241,129.7241,0,0
20171101,HO-TRITO,Fonds,131.497,131.497,131.497,131.497,0,0
20171031,HO-TRITO,Fonds,131.0902,131.0902,131.0902,131.0902,0,0
20171030,HO-TRITO,Fonds,131.4653,131.4653,131.4653,131.4653,0,0
20171027,HO-TRITO,Fonds,130.7613,130.7613,130.7613,130.7613,0,0
20171026,HO-TRITO,Fonds,131.2393,131.2393,131.2393,131.2393,0,0
20171025,HO-TRITO,Fonds,130.1215,130.1215,130.1215,130.1215,0,0
20171024,HO-TRITO,Fonds,130.6126,130.6126,130.6126,130.6126,0,0
20171023,HO-TRITO,Fonds,131.4619,131.4619,131.4619,131.4619,0,0
20171020,HO-TRITO,Fonds,131.1664,131.1664,131.1664,131.1664,0,0
20171019,HO-TRITO,Fonds,130.9924,130.9924,130.9924,130.9924,0,0
20171018,HO-TRITO,Fonds,131.5423,131.5423,131.5423,131.5423,0,0
20171017,HO-TRITO,Fonds,131.3949,131.3949,131.3949,131.3949,0,0
