quote_date,paper,exch,open,high,low,close,volume,value
20171120,HO-U2040,Fonds,119.7295,119.7295,119.7295,119.7295,0,0
20171117,HO-U2040,Fonds,119.2285,119.2285,119.2285,119.2285,0,0
20171116,HO-U2040,Fonds,118.6682,118.6682,118.6682,118.6682,0,0
20171115,HO-U2040,Fonds,117.6216,117.6216,117.6216,117.6216,0,0
20171114,HO-U2040,Fonds,117.6193,117.6193,117.6193,117.6193,0,0
20171113,HO-U2040,Fonds,117.7803,117.7803,117.7803,117.7803,0,0
20171110,HO-U2040,Fonds,117.9847,117.9847,117.9847,117.9847,0,0
20171109,HO-U2040,Fonds,118.2542,118.2542,118.2542,118.2542,0,0
20171108,HO-U2040,Fonds,120.1445,120.1445,120.1445,120.1445,0,0
20171107,HO-U2040,Fonds,119.7202,119.7202,119.7202,119.7202,0,0
20171106,HO-U2040,Fonds,119.6736,119.6736,119.6736,119.6736,0,0
20171103,HO-U2040,Fonds,119.3361,119.3361,119.3361,119.3361,0,0
20171102,HO-U2040,Fonds,118.8648,118.8648,118.8648,118.8648,0,0
20171101,HO-U2040,Fonds,119.3392,119.3392,119.3392,119.3392,0,0
20171031,HO-U2040,Fonds,119.0809,119.0809,119.0809,119.0809,0,0
20171030,HO-U2040,Fonds,118.4817,118.4817,118.4817,118.4817,0,0
20171027,HO-U2040,Fonds,118.0003,118.0003,118.0003,118.0003,0,0
20171026,HO-U2040,Fonds,117.4293,117.4293,117.4293,117.4293,0,0
20171025,HO-U2040,Fonds,116.56,116.56,116.56,116.56,0,0
20171024,HO-U2040,Fonds,116.5426,116.5426,116.5426,116.5426,0,0
20171023,HO-U2040,Fonds,116.5503,116.5503,116.5503,116.5503,0,0
20171020,HO-U2040,Fonds,116.9184,116.9184,116.9184,116.9184,0,0
20171019,HO-U2040,Fonds,116.5666,116.5666,116.5666,116.5666,0,0
20171018,HO-U2040,Fonds,117.1138,117.1138,117.1138,117.1138,0,0
20171017,HO-U2040,Fonds,116.8312,116.8312,116.8312,116.8312,0,0
20171016,HO-U2040,Fonds,116.5874,116.5874,116.5874,116.5874,0,0
20171013,HO-U2040,Fonds,116.4375,116.4375,116.4375,116.4375,0,0
20171012,HO-U2040,Fonds,116.271,116.271,116.271,116.271,0,0
20171011,HO-U2040,Fonds,116.4315,116.4315,116.4315,116.4315,0,0
20171010,HO-U2040,Fonds,116.495,116.495,116.495,116.495,0,0
20171009,HO-U2040,Fonds,116.3924,116.3924,116.3924,116.3924,0,0
20171006,HO-U2040,Fonds,116.7267,116.7267,116.7267,116.7267,0,0
20171005,HO-U2040,Fonds,116.8175,116.8175,116.8175,116.8175,0,0
20171004,HO-U2040,Fonds,116.312,116.312,116.312,116.312,0,0
20171003,HO-U2040,Fonds,116.5262,116.5262,116.5262,116.5262,0,0
20171002,HO-U2040,Fonds,116.2919,116.2919,116.2919,116.2919,0,0
20170929,HO-U2040,Fonds,115.6362,115.6362,115.6362,115.6362,0,0
20170928,HO-U2040,Fonds,114.9228,114.9228,114.9228,114.9228,0,0
20170927,HO-U2040,Fonds,114.5217,114.5217,114.5217,114.5217,0,0
20170926,HO-U2040,Fonds,113.7812,113.7812,113.7812,113.7812,0,0
20170925,HO-U2040,Fonds,113.5119,113.5119,113.5119,113.5119,0,0
20170922,HO-U2040,Fonds,113.6643,113.6643,113.6643,113.6643,0,0
20170921,HO-U2040,Fonds,113.82,113.82,113.82,113.82,0,0
20170920,HO-U2040,Fonds,114.1387,114.1387,114.1387,114.1387,0,0
20170919,HO-U2040,Fonds,113.8445,113.8445,113.8445,113.8445,0,0
20170918,HO-U2040,Fonds,113.9023,113.9023,113.9023,113.9023,0,0
20170915,HO-U2040,Fonds,113.7725,113.7725,113.7725,113.7725,0,0
20170914,HO-U2040,Fonds,114.2087,114.2087,114.2087,114.2087,0,0
20170913,HO-U2040,Fonds,114.0661,114.0661,114.0661,114.0661,0,0
20170912,HO-U2040,Fonds,113.6841,113.6841,113.6841,113.6841,0,0
