quote_date,paper,exch,open,high,low,close,volume,value
20171109,II-ASINF,Fonds,16.84,16.84,16.84,16.84,0,0
20171108,II-ASINF,Fonds,16.84,16.84,16.84,16.84,0,0
20171107,II-ASINF,Fonds,16.85,16.85,16.85,16.85,0,0
20171106,II-ASINF,Fonds,16.80,16.80,16.80,16.80,0,0
20171103,II-ASINF,Fonds,16.81,16.81,16.81,16.81,0,0
20171102,II-ASINF,Fonds,16.85,16.85,16.85,16.85,0,0
20171101,II-ASINF,Fonds,16.72,16.72,16.72,16.72,0,0
20171031,II-ASINF,Fonds,16.72,16.72,16.72,16.72,0,0
20171030,II-ASINF,Fonds,16.63,16.63,16.63,16.63,0,0
20171027,II-ASINF,Fonds,16.51,16.51,16.51,16.51,0,0
20171026,II-ASINF,Fonds,16.53,16.53,16.53,16.53,0,0
20171025,II-ASINF,Fonds,16.64,16.64,16.64,16.64,0,0
20171024,II-ASINF,Fonds,16.58,16.58,16.58,16.58,0,0
20171023,II-ASINF,Fonds,16.65,16.65,16.65,16.65,0,0
20171020,II-ASINF,Fonds,16.69,16.69,16.69,16.69,0,0
20171019,II-ASINF,Fonds,16.66,16.66,16.66,16.66,0,0
20171018,II-ASINF,Fonds,16.69,16.69,16.69,16.69,0,0
20171017,II-ASINF,Fonds,16.69,16.69,16.69,16.69,0,0
20171016,II-ASINF,Fonds,16.66,16.66,16.66,16.66,0,0
20171013,II-ASINF,Fonds,16.56,16.56,16.56,16.56,0,0
20171012,II-ASINF,Fonds,16.56,16.56,16.56,16.56,0,0
20171011,II-ASINF,Fonds,16.50,16.50,16.50,16.50,0,0
20171010,II-ASINF,Fonds,16.42,16.42,16.42,16.42,0,0
20171009,II-ASINF,Fonds,16.30,16.30,16.30,16.30,0,0
20171006,II-ASINF,Fonds,16.41,16.41,16.41,16.41,0,0
20171005,II-ASINF,Fonds,16.24,16.24,16.24,16.24,0,0
20171004,II-ASINF,Fonds,16.23,16.23,16.23,16.23,0,0
20171003,II-ASINF,Fonds,16.14,16.14,16.14,16.14,0,0
20171002,II-ASINF,Fonds,16.08,16.08,16.08,16.08,0,0
20170929,II-ASINF,Fonds,16.07,16.07,16.07,16.07,0,0
20170928,II-ASINF,Fonds,15.98,15.98,15.98,15.98,0,0
20170927,II-ASINF,Fonds,16.04,16.04,16.04,16.04,0,0
20170926,II-ASINF,Fonds,16.08,16.08,16.08,16.08,0,0
20170925,II-ASINF,Fonds,16.19,16.19,16.19,16.19,0,0
20170922,II-ASINF,Fonds,16.30,16.30,16.30,16.30,0,0
20170921,II-ASINF,Fonds,16.39,16.39,16.39,16.39,0,0
20170920,II-ASINF,Fonds,16.48,16.48,16.48,16.48,0,0
20170919,II-ASINF,Fonds,16.49,16.49,16.49,16.49,0,0
20170918,II-ASINF,Fonds,16.50,16.50,16.50,16.50,0,0
20170915,II-ASINF,Fonds,16.38,16.38,16.38,16.38,0,0
20170914,II-ASINF,Fonds,16.39,16.39,16.39,16.39,0,0
20170913,II-ASINF,Fonds,16.36,16.36,16.36,16.36,0,0
20170912,II-ASINF,Fonds,16.37,16.37,16.37,16.37,0,0
20170911,II-ASINF,Fonds,16.33,16.33,16.33,16.33,0,0
20170908,II-ASINF,Fonds,16.31,16.31,16.31,16.31,0,0
20170907,II-ASINF,Fonds,16.22,16.22,16.22,16.22,0,0
20170906,II-ASINF,Fonds,16.13,16.13,16.13,16.13,0,0
20170905,II-ASINF,Fonds,16.14,16.14,16.14,16.14,0,0
20170904,II-ASINF,Fonds,16.04,16.04,16.04,16.04,0,0
