quote_date,paper,exch,open,high,low,close,volume,value
20171109,II-CHINA,Fonds,65.86,65.86,65.86,65.86,0,0
20171108,II-CHINA,Fonds,65.98,65.98,65.98,65.98,0,0
20171107,II-CHINA,Fonds,65.78,65.78,65.78,65.78,0,0
20171106,II-CHINA,Fonds,65.17,65.17,65.17,65.17,0,0
20171103,II-CHINA,Fonds,65.00,65.00,65.00,65.00,0,0
20171102,II-CHINA,Fonds,64.89,64.89,64.89,64.89,0,0
20171101,II-CHINA,Fonds,64.24,64.24,64.24,64.24,0,0
20171031,II-CHINA,Fonds,64.24,64.24,64.24,64.24,0,0
20171030,II-CHINA,Fonds,63.70,63.70,63.70,63.70,0,0
20171027,II-CHINA,Fonds,63.42,63.42,63.42,63.42,0,0
20171026,II-CHINA,Fonds,63.60,63.60,63.60,63.60,0,0
20171025,II-CHINA,Fonds,64.08,64.08,64.08,64.08,0,0
20171024,II-CHINA,Fonds,63.85,63.85,63.85,63.85,0,0
20171023,II-CHINA,Fonds,64.21,64.21,64.21,64.21,0,0
20171020,II-CHINA,Fonds,64.35,64.35,64.35,64.35,0,0
20171019,II-CHINA,Fonds,64.23,64.23,64.23,64.23,0,0
20171018,II-CHINA,Fonds,64.26,64.26,64.26,64.26,0,0
20171017,II-CHINA,Fonds,64.61,64.61,64.61,64.61,0,0
20171016,II-CHINA,Fonds,64.48,64.48,64.48,64.48,0,0
20171013,II-CHINA,Fonds,64.12,64.12,64.12,64.12,0,0
20171012,II-CHINA,Fonds,64.27,64.27,64.27,64.27,0,0
20171011,II-CHINA,Fonds,64.24,64.24,64.24,64.24,0,0
20171010,II-CHINA,Fonds,64.00,64.00,64.00,64.00,0,0
20171009,II-CHINA,Fonds,63.76,63.76,63.76,63.76,0,0
20171006,II-CHINA,Fonds,63.64,63.64,63.64,63.64,0,0
20171005,II-CHINA,Fonds,63.46,63.46,63.46,63.46,0,0
20171004,II-CHINA,Fonds,63.35,63.35,63.35,63.35,0,0
20171003,II-CHINA,Fonds,62.94,62.94,62.94,62.94,0,0
20171002,II-CHINA,Fonds,62.39,62.39,62.39,62.39,0,0
20170929,II-CHINA,Fonds,62.21,62.21,62.21,62.21,0,0
20170928,II-CHINA,Fonds,62.06,62.06,62.06,62.06,0,0
20170927,II-CHINA,Fonds,62.13,62.13,62.13,62.13,0,0
20170926,II-CHINA,Fonds,61.84,61.84,61.84,61.84,0,0
20170925,II-CHINA,Fonds,62.38,62.38,62.38,62.38,0,0
20170922,II-CHINA,Fonds,63.02,63.02,63.02,63.02,0,0
20170921,II-CHINA,Fonds,63.50,63.50,63.50,63.50,0,0
20170920,II-CHINA,Fonds,63.48,63.48,63.48,63.48,0,0
20170919,II-CHINA,Fonds,63.39,63.39,63.39,63.39,0,0
20170918,II-CHINA,Fonds,63.17,63.17,63.17,63.17,0,0
20170915,II-CHINA,Fonds,62.79,62.79,62.79,62.79,0,0
20170914,II-CHINA,Fonds,62.79,62.79,62.79,62.79,0,0
20170913,II-CHINA,Fonds,62.33,62.33,62.33,62.33,0,0
20170912,II-CHINA,Fonds,62.08,62.08,62.08,62.08,0,0
20170911,II-CHINA,Fonds,61.86,61.86,61.86,61.86,0,0
20170908,II-CHINA,Fonds,61.91,61.91,61.91,61.91,0,0
20170907,II-CHINA,Fonds,61.44,61.44,61.44,61.44,0,0
20170906,II-CHINA,Fonds,61.46,61.46,61.46,61.46,0,0
20170905,II-CHINA,Fonds,61.46,61.46,61.46,61.46,0,0
20170904,II-CHINA,Fonds,61.27,61.27,61.27,61.27,0,0
20170901,II-CHINA,Fonds,61.37,61.37,61.37,61.37,0,0
20170831,II-CHINA,Fonds,61.12,61.12,61.12,61.12,0,0
20170830,II-CHINA,Fonds,60.69,60.69,60.69,60.69,0,0
20170829,II-CHINA,Fonds,60.49,60.49,60.49,60.49,0,0
20170828,II-CHINA,Fonds,60.88,60.88,60.88,60.88,0,0
20170825,II-CHINA,Fonds,61.31,61.31,61.31,61.31,0,0
20170824,II-CHINA,Fonds,61.51,61.51,61.51,61.51,0,0
20170823,II-CHINA,Fonds,61.03,61.03,61.03,61.03,0,0
20170822,II-CHINA,Fonds,60.68,60.68,60.68,60.68,0,0
20170821,II-CHINA,Fonds,60.36,60.36,60.36,60.36,0,0
20170818,II-CHINA,Fonds,60.08,60.08,60.08,60.08,0,0
20170817,II-CHINA,Fonds,60.31,60.31,60.31,60.31,0,0
20170816,II-CHINA,Fonds,60.16,60.16,60.16,60.16,0,0
20170815,II-CHINA,Fonds,59.91,59.91,59.91,59.91,0,0
20170814,II-CHINA,Fonds,59.91,59.91,59.91,59.91,0,0
20170811,II-CHINA,Fonds,59.46,59.46,59.46,59.46,0,0
20170810,II-CHINA,Fonds,60.44,60.44,60.44,60.44,0,0
20170809,II-CHINA,Fonds,60.60,60.60,60.60,60.60,0,0
20170808,II-CHINA,Fonds,60.53,60.53,60.53,60.53,0,0
20170807,II-CHINA,Fonds,59.94,59.94,59.94,59.94,0,0
20170804,II-CHINA,Fonds,59.56,59.56,59.56,59.56,0,0
20170803,II-CHINA,Fonds,59.37,59.37,59.37,59.37,0,0
20170802,II-CHINA,Fonds,59.89,59.89,59.89,59.89,0,0
20170801,II-CHINA,Fonds,59.82,59.82,59.82,59.82,0,0
20170731,II-CHINA,Fonds,59.79,59.79,59.79,59.79,0,0
20170728,II-CHINA,Fonds,59.29,59.29,59.29,59.29,0,0
20170727,II-CHINA,Fonds,59.79,59.79,59.79,59.79,0,0
20170726,II-CHINA,Fonds,59.14,59.14,59.14,59.14,0,0
20170725,II-CHINA,Fonds,59.24,59.24,59.24,59.24,0,0
20170724,II-CHINA,Fonds,59.06,59.06,59.06,59.06,0,0
20170721,II-CHINA,Fonds,58.71,58.71,58.71,58.71,0,0
20170720,II-CHINA,Fonds,58.69,58.69,58.69,58.69,0,0
20170719,II-CHINA,Fonds,58.84,58.84,58.84,58.84,0,0
20170718,II-CHINA,Fonds,58.25,58.25,58.25,58.25,0,0
20170717,II-CHINA,Fonds,58.16,58.16,58.16,58.16,0,0
20170714,II-CHINA,Fonds,57.94,57.94,57.94,57.94,0,0
20170713,II-CHINA,Fonds,57.98,57.98,57.98,57.98,0,0
20170712,II-CHINA,Fonds,57.22,57.22,57.22,57.22,0,0
20170711,II-CHINA,Fonds,56.91,56.91,56.91,56.91,0,0
20170710,II-CHINA,Fonds,56.23,56.23,56.23,56.23,0,0
20170707,II-CHINA,Fonds,56.26,56.26,56.26,56.26,0,0
20170706,II-CHINA,Fonds,56.51,56.51,56.51,56.51,0,0
20170705,II-CHINA,Fonds,56.18,56.18,56.18,56.18,0,0
20170704,II-CHINA,Fonds,55.93,55.93,55.93,55.93,0,0
20170703,II-CHINA,Fonds,56.31,56.31,56.31,56.31,0,0
20170630,II-CHINA,Fonds,56.26,56.26,56.26,56.26,0,0
20170629,II-CHINA,Fonds,56.74,56.74,56.74,56.74,0,0
20170628,II-CHINA,Fonds,56.41,56.41,56.41,56.41,0,0
20170627,II-CHINA,Fonds,57.04,57.04,57.04,57.04,0,0
20170626,II-CHINA,Fonds,57.12,57.12,57.12,57.12,0,0
20170623,II-CHINA,Fonds,56.87,56.87,56.87,56.87,0,0
20170622,II-CHINA,Fonds,56.87,56.87,56.87,56.87,0,0
20170621,II-CHINA,Fonds,56.29,56.29,56.29,56.29,0,0
20170620,II-CHINA,Fonds,56.45,56.45,56.45,56.45,0,0
20170619,II-CHINA,Fonds,56.01,56.01,56.01,56.01,0,0
20170616,II-CHINA,Fonds,55.56,55.56,55.56,55.56,0,0
20170615,II-CHINA,Fonds,55.68,55.68,55.68,55.68,0,0
20170614,II-CHINA,Fonds,56.04,56.04,56.04,56.04,0,0
20170613,II-CHINA,Fonds,56.09,56.09,56.09,56.09,0,0
20170612,II-CHINA,Fonds,56.04,56.04,56.04,56.04,0,0
20170609,II-CHINA,Fonds,56.95,56.95,56.95,56.95,0,0
20170608,II-CHINA,Fonds,56.51,56.51,56.51,56.51,0,0
20170607,II-CHINA,Fonds,56.02,56.02,56.02,56.02,0,0
20170606,II-CHINA,Fonds,55.88,55.88,55.88,55.88,0,0
20170602,II-CHINA,Fonds,55.62,55.62,55.62,55.62,0,0
20170601,II-CHINA,Fonds,55.29,55.29,55.29,55.29,0,0
20170531,II-CHINA,Fonds,55.20,55.20,55.20,55.20,0,0
20170530,II-CHINA,Fonds,55.53,55.53,55.53,55.53,0,0
20170529,II-CHINA,Fonds,55.52,55.52,55.52,55.52,0,0
20170526,II-CHINA,Fonds,55.63,55.63,55.63,55.63,0,0
20170524,II-CHINA,Fonds,55.44,55.44,55.44,55.44,0,0
20170523,II-CHINA,Fonds,55.43,55.43,55.43,55.43,0,0
20170522,II-CHINA,Fonds,55.22,55.22,55.22,55.22,0,0
20170519,II-CHINA,Fonds,54.37,54.37,54.37,54.37,0,0
20170518,II-CHINA,Fonds,54.22,54.22,54.22,54.22,0,0
20170516,II-CHINA,Fonds,54.36,54.36,54.36,54.36,0,0
20170515,II-CHINA,Fonds,54.19,54.19,54.19,54.19,0,0
20170512,II-CHINA,Fonds,54.13,54.13,54.13,54.13,0,0
20170511,II-CHINA,Fonds,54.20,54.20,54.20,54.20,0,0
20170510,II-CHINA,Fonds,53.82,53.82,53.82,53.82,0,0
20170509,II-CHINA,Fonds,53.34,53.34,53.34,53.34,0,0
20170508,II-CHINA,Fonds,52.90,52.90,52.90,52.90,0,0
20170505,II-CHINA,Fonds,52.65,52.65,52.65,52.65,0,0
20170504,II-CHINA,Fonds,52.90,52.90,52.90,52.90,0,0
20170503,II-CHINA,Fonds,53.12,53.12,53.12,53.12,0,0
20170502,II-CHINA,Fonds,53.06,53.06,53.06,53.06,0,0
20170428,II-CHINA,Fonds,53.21,53.21,53.21,53.21,0,0
20170427,II-CHINA,Fonds,53.07,53.07,53.07,53.07,0,0
20170426,II-CHINA,Fonds,53.31,53.31,53.31,53.31,0,0
20170425,II-CHINA,Fonds,52.94,52.94,52.94,52.94,0,0
20170424,II-CHINA,Fonds,52.59,52.59,52.59,52.59,0,0
