quote_date,paper,exch,open,high,low,close,volume,value
20171121,II-ENERG,Fonds,16.59,16.59,16.59,16.59,0,0
20171120,II-ENERG,Fonds,16.80,16.80,16.80,16.80,0,0
20171117,II-ENERG,Fonds,16.62,16.62,16.62,16.62,0,0
20171116,II-ENERG,Fonds,16.67,16.67,16.67,16.67,0,0
20171115,II-ENERG,Fonds,16.86,16.86,16.86,16.86,0,0
20171114,II-ENERG,Fonds,17.37,17.37,17.37,17.37,0,0
20171113,II-ENERG,Fonds,17.58,17.58,17.58,17.58,0,0
20171110,II-ENERG,Fonds,17.71,17.71,17.71,17.71,0,0
20171109,II-ENERG,Fonds,17.61,17.61,17.61,17.61,0,0
20171108,II-ENERG,Fonds,17.75,17.75,17.75,17.75,0,0
20171107,II-ENERG,Fonds,17.82,17.82,17.82,17.82,0,0
20171106,II-ENERG,Fonds,17.26,17.26,17.26,17.26,0,0
20171103,II-ENERG,Fonds,17.06,17.06,17.06,17.06,0,0
20171102,II-ENERG,Fonds,17.07,17.07,17.07,17.07,0,0
20171101,II-ENERG,Fonds,16.69,16.69,16.69,16.69,0,0
20171031,II-ENERG,Fonds,16.69,16.69,16.69,16.69,0,0
20171030,II-ENERG,Fonds,16.53,16.53,16.53,16.53,0,0
20171027,II-ENERG,Fonds,16.17,16.17,16.17,16.17,0,0
20171026,II-ENERG,Fonds,16.20,16.20,16.20,16.20,0,0
20171025,II-ENERG,Fonds,16.35,16.35,16.35,16.35,0,0
20171024,II-ENERG,Fonds,16.35,16.35,16.35,16.35,0,0
20171023,II-ENERG,Fonds,16.54,16.54,16.54,16.54,0,0
20171020,II-ENERG,Fonds,16.56,16.56,16.56,16.56,0,0
20171019,II-ENERG,Fonds,16.65,16.65,16.65,16.65,0,0
20171018,II-ENERG,Fonds,16.79,16.79,16.79,16.79,0,0
20171017,II-ENERG,Fonds,16.81,16.81,16.81,16.81,0,0
20171016,II-ENERG,Fonds,16.78,16.78,16.78,16.78,0,0
20171013,II-ENERG,Fonds,16.72,16.72,16.72,16.72,0,0
20171012,II-ENERG,Fonds,16.87,16.87,16.87,16.87,0,0
20171011,II-ENERG,Fonds,16.83,16.83,16.83,16.83,0,0
20171010,II-ENERG,Fonds,16.86,16.86,16.86,16.86,0,0
20171009,II-ENERG,Fonds,16.82,16.82,16.82,16.82,0,0
20171006,II-ENERG,Fonds,17.07,17.07,17.07,17.07,0,0
20171005,II-ENERG,Fonds,17.00,17.00,17.00,17.00,0,0
20171004,II-ENERG,Fonds,17.03,17.03,17.03,17.03,0,0
20171003,II-ENERG,Fonds,17.07,17.07,17.07,17.07,0,0
20171002,II-ENERG,Fonds,17.08,17.08,17.08,17.08,0,0
20170929,II-ENERG,Fonds,17.12,17.12,17.12,17.12,0,0
20170928,II-ENERG,Fonds,17.16,17.16,17.16,17.16,0,0
20170927,II-ENERG,Fonds,17.10,17.10,17.10,17.10,0,0
20170926,II-ENERG,Fonds,17.09,17.09,17.09,17.09,0,0
20170925,II-ENERG,Fonds,16.80,16.80,16.80,16.80,0,0
20170922,II-ENERG,Fonds,16.72,16.72,16.72,16.72,0,0
20170921,II-ENERG,Fonds,16.64,16.64,16.64,16.64,0,0
20170920,II-ENERG,Fonds,16.42,16.42,16.42,16.42,0,0
20170919,II-ENERG,Fonds,16.39,16.39,16.39,16.39,0,0
20170918,II-ENERG,Fonds,16.30,16.30,16.30,16.30,0,0
20170915,II-ENERG,Fonds,16.31,16.31,16.31,16.31,0,0
20170914,II-ENERG,Fonds,16.16,16.16,16.16,16.16,0,0
20170913,II-ENERG,Fonds,15.84,15.84,15.84,15.84,0,0
20170912,II-ENERG,Fonds,15.65,15.65,15.65,15.65,0,0
20170911,II-ENERG,Fonds,15.51,15.51,15.51,15.51,0,0
20170908,II-ENERG,Fonds,15.77,15.77,15.77,15.77,0,0
20170907,II-ENERG,Fonds,15.77,15.77,15.77,15.77,0,0
20170906,II-ENERG,Fonds,15.48,15.48,15.48,15.48,0,0
20170905,II-ENERG,Fonds,15.35,15.35,15.35,15.35,0,0
20170904,II-ENERG,Fonds,15.34,15.34,15.34,15.34,0,0
20170901,II-ENERG,Fonds,15.15,15.15,15.15,15.15,0,0
20170831,II-ENERG,Fonds,14.99,14.99,14.99,14.99,0,0
20170830,II-ENERG,Fonds,15.08,15.08,15.08,15.08,0,0
20170829,II-ENERG,Fonds,15.06,15.06,15.06,15.06,0,0
20170828,II-ENERG,Fonds,15.20,15.20,15.20,15.20,0,0
20170825,II-ENERG,Fonds,15.14,15.14,15.14,15.14,0,0
20170824,II-ENERG,Fonds,15.17,15.17,15.17,15.17,0,0
20170823,II-ENERG,Fonds,15.03,15.03,15.03,15.03,0,0
20170822,II-ENERG,Fonds,14.93,14.93,14.93,14.93,0,0
20170821,II-ENERG,Fonds,15.04,15.04,15.04,15.04,0,0
20170818,II-ENERG,Fonds,14.94,14.94,14.94,14.94,0,0
20170817,II-ENERG,Fonds,15.12,15.12,15.12,15.12,0,0
20170816,II-ENERG,Fonds,15.30,15.30,15.30,15.30,0,0
20170815,II-ENERG,Fonds,15.47,15.47,15.47,15.47,0,0
20170814,II-ENERG,Fonds,15.47,15.47,15.47,15.47,0,0
20170811,II-ENERG,Fonds,15.57,15.57,15.57,15.57,0,0
20170810,II-ENERG,Fonds,15.79,15.79,15.79,15.79,0,0
20170809,II-ENERG,Fonds,15.84,15.84,15.84,15.84,0,0
20170808,II-ENERG,Fonds,15.93,15.93,15.93,15.93,0,0
20170807,II-ENERG,Fonds,16.11,16.11,16.11,16.11,0,0
20170804,II-ENERG,Fonds,15.99,15.99,15.99,15.99,0,0
