quote_date,paper,exch,open,high,low,close,volume,value
20171121,II-EULAN,Fonds,19.28,19.28,19.28,19.28,0,0
20171120,II-EULAN,Fonds,19.13,19.13,19.13,19.13,0,0
20171117,II-EULAN,Fonds,19.10,19.10,19.10,19.10,0,0
20171116,II-EULAN,Fonds,19.08,19.08,19.08,19.08,0,0
20171115,II-EULAN,Fonds,18.89,18.89,18.89,18.89,0,0
20171114,II-EULAN,Fonds,19.16,19.16,19.16,19.16,0,0
20171113,II-EULAN,Fonds,19.16,19.16,19.16,19.16,0,0
20171110,II-EULAN,Fonds,19.33,19.33,19.33,19.33,0,0
20171109,II-EULAN,Fonds,19.42,19.42,19.42,19.42,0,0
20171108,II-EULAN,Fonds,19.57,19.57,19.57,19.57,0,0
20171107,II-EULAN,Fonds,19.71,19.71,19.71,19.71,0,0
20171106,II-EULAN,Fonds,19.73,19.73,19.73,19.73,0,0
20171103,II-EULAN,Fonds,19.62,19.62,19.62,19.62,0,0
20171102,II-EULAN,Fonds,19.56,19.56,19.56,19.56,0,0
20171101,II-EULAN,Fonds,19.54,19.54,19.54,19.54,0,0
20171031,II-EULAN,Fonds,19.54,19.54,19.54,19.54,0,0
20171030,II-EULAN,Fonds,19.49,19.49,19.49,19.49,0,0
20171027,II-EULAN,Fonds,19.43,19.43,19.43,19.43,0,0
20171026,II-EULAN,Fonds,19.13,19.13,19.13,19.13,0,0
20171025,II-EULAN,Fonds,19.21,19.21,19.21,19.21,0,0
20171024,II-EULAN,Fonds,19.23,19.23,19.23,19.23,0,0
20171023,II-EULAN,Fonds,19.27,19.27,19.27,19.27,0,0
20171020,II-EULAN,Fonds,19.24,19.24,19.24,19.24,0,0
20171019,II-EULAN,Fonds,19.13,19.13,19.13,19.13,0,0
20171018,II-EULAN,Fonds,19.34,19.34,19.34,19.34,0,0
20171017,II-EULAN,Fonds,19.27,19.27,19.27,19.27,0,0
20171016,II-EULAN,Fonds,19.31,19.31,19.31,19.31,0,0
20171013,II-EULAN,Fonds,19.30,19.30,19.30,19.30,0,0
20171012,II-EULAN,Fonds,19.20,19.20,19.20,19.20,0,0
20171011,II-EULAN,Fonds,19.20,19.20,19.20,19.20,0,0
20171010,II-EULAN,Fonds,19.19,19.19,19.19,19.19,0,0
20171009,II-EULAN,Fonds,19.13,19.13,19.13,19.13,0,0
20171006,II-EULAN,Fonds,19.13,19.13,19.13,19.13,0,0
20171005,II-EULAN,Fonds,19.15,19.15,19.15,19.15,0,0
20171004,II-EULAN,Fonds,19.14,19.14,19.14,19.14,0,0
20171003,II-EULAN,Fonds,19.15,19.15,19.15,19.15,0,0
20171002,II-EULAN,Fonds,19.10,19.10,19.10,19.10,0,0
20170929,II-EULAN,Fonds,18.93,18.93,18.93,18.93,0,0
20170928,II-EULAN,Fonds,18.84,18.84,18.84,18.84,0,0
20170927,II-EULAN,Fonds,18.81,18.81,18.81,18.81,0,0
20170926,II-EULAN,Fonds,18.83,18.83,18.83,18.83,0,0
20170925,II-EULAN,Fonds,18.84,18.84,18.84,18.84,0,0
20170922,II-EULAN,Fonds,18.80,18.80,18.80,18.80,0,0
20170921,II-EULAN,Fonds,18.75,18.75,18.75,18.75,0,0
20170920,II-EULAN,Fonds,18.77,18.77,18.77,18.77,0,0
20170919,II-EULAN,Fonds,18.69,18.69,18.69,18.69,0,0
20170918,II-EULAN,Fonds,18.70,18.70,18.70,18.70,0,0
20170915,II-EULAN,Fonds,18.65,18.65,18.65,18.65,0,0
20170914,II-EULAN,Fonds,18.69,18.69,18.69,18.69,0,0
20170913,II-EULAN,Fonds,18.64,18.64,18.64,18.64,0,0
20170912,II-EULAN,Fonds,18.72,18.72,18.72,18.72,0,0
20170911,II-EULAN,Fonds,18.63,18.63,18.63,18.63,0,0
20170908,II-EULAN,Fonds,18.41,18.41,18.41,18.41,0,0
20170907,II-EULAN,Fonds,18.48,18.48,18.48,18.48,0,0
20170906,II-EULAN,Fonds,18.36,18.36,18.36,18.36,0,0
20170905,II-EULAN,Fonds,18.48,18.48,18.48,18.48,0,0
20170904,II-EULAN,Fonds,18.48,18.48,18.48,18.48,0,0
20170901,II-EULAN,Fonds,18.57,18.57,18.57,18.57,0,0
20170831,II-EULAN,Fonds,18.44,18.44,18.44,18.44,0,0
20170830,II-EULAN,Fonds,18.26,18.26,18.26,18.26,0,0
