quote_date,paper,exch,open,high,low,close,volume,value
20171109,II-GVIAU,Fonds,70.78,70.78,70.78,70.78,0,0
20171108,II-GVIAU,Fonds,70.70,70.70,70.70,70.70,0,0
20171107,II-GVIAU,Fonds,70.91,70.91,70.91,70.91,0,0
20171106,II-GVIAU,Fonds,70.78,70.78,70.78,70.78,0,0
20171103,II-GVIAU,Fonds,70.85,70.85,70.85,70.85,0,0
20171102,II-GVIAU,Fonds,70.86,70.86,70.86,70.86,0,0
20171101,II-GVIAU,Fonds,70.79,70.79,70.79,70.79,0,0
20171031,II-GVIAU,Fonds,70.79,70.79,70.79,70.79,0,0
20171030,II-GVIAU,Fonds,70.52,70.52,70.52,70.52,0,0
20171027,II-GVIAU,Fonds,70.37,70.37,70.37,70.37,0,0
20171026,II-GVIAU,Fonds,70.52,70.52,70.52,70.52,0,0
20171025,II-GVIAU,Fonds,70.75,70.75,70.75,70.75,0,0
20171024,II-GVIAU,Fonds,70.52,70.52,70.52,70.52,0,0
20171023,II-GVIAU,Fonds,70.67,70.67,70.67,70.67,0,0
20171020,II-GVIAU,Fonds,70.56,70.56,70.56,70.56,0,0
20171019,II-GVIAU,Fonds,70.43,70.43,70.43,70.43,0,0
20171018,II-GVIAU,Fonds,70.45,70.45,70.45,70.45,0,0
20171017,II-GVIAU,Fonds,70.36,70.36,70.36,70.36,0,0
20171016,II-GVIAU,Fonds,70.48,70.48,70.48,70.48,0,0
20171013,II-GVIAU,Fonds,70.53,70.53,70.53,70.53,0,0
20171012,II-GVIAU,Fonds,70.68,70.68,70.68,70.68,0,0
20171011,II-GVIAU,Fonds,70.54,70.54,70.54,70.54,0,0
20171010,II-GVIAU,Fonds,70.31,70.31,70.31,70.31,0,0
20171009,II-GVIAU,Fonds,70.16,70.16,70.16,70.16,0,0
20171006,II-GVIAU,Fonds,70.24,70.24,70.24,70.24,0,0
20171005,II-GVIAU,Fonds,70.09,70.09,70.09,70.09,0,0
20171004,II-GVIAU,Fonds,70.28,70.28,70.28,70.28,0,0
20171003,II-GVIAU,Fonds,70.35,70.35,70.35,70.35,0,0
20171002,II-GVIAU,Fonds,70.29,70.29,70.29,70.29,0,0
20170929,II-GVIAU,Fonds,70.29,70.29,70.29,70.29,0,0
20170928,II-GVIAU,Fonds,70.14,70.14,70.14,70.14,0,0
20170927,II-GVIAU,Fonds,69.82,69.82,69.82,69.82,0,0
20170926,II-GVIAU,Fonds,69.80,69.80,69.80,69.80,0,0
20170925,II-GVIAU,Fonds,69.99,69.99,69.99,69.99,0,0
20170922,II-GVIAU,Fonds,70.29,70.29,70.29,70.29,0,0
20170921,II-GVIAU,Fonds,69.97,69.97,69.97,69.97,0,0
20170920,II-GVIAU,Fonds,70.03,70.03,70.03,70.03,0,0
20170919,II-GVIAU,Fonds,69.83,69.83,69.83,69.83,0,0
20170918,II-GVIAU,Fonds,69.56,69.56,69.56,69.56,0,0
20170915,II-GVIAU,Fonds,69.18,69.18,69.18,69.18,0,0
20170914,II-GVIAU,Fonds,69.02,69.02,69.02,69.02,0,0
20170913,II-GVIAU,Fonds,69.07,69.07,69.07,69.07,0,0
20170912,II-GVIAU,Fonds,68.71,68.71,68.71,68.71,0,0
20170911,II-GVIAU,Fonds,68.49,68.49,68.49,68.49,0,0
20170908,II-GVIAU,Fonds,68.22,68.22,68.22,68.22,0,0
20170907,II-GVIAU,Fonds,68.11,68.11,68.11,68.11,0,0
20170906,II-GVIAU,Fonds,67.41,67.41,67.41,67.41,0,0
20170905,II-GVIAU,Fonds,67.86,67.86,67.86,67.86,0,0
20170904,II-GVIAU,Fonds,68.02,68.02,68.02,68.02,0,0
20170901,II-GVIAU,Fonds,68.12,68.12,68.12,68.12,0,0
20170831,II-GVIAU,Fonds,67.55,67.55,67.55,67.55,0,0
20170830,II-GVIAU,Fonds,67.51,67.51,67.51,67.51,0,0
20170829,II-GVIAU,Fonds,67.37,67.37,67.37,67.37,0,0
20170828,II-GVIAU,Fonds,67.64,67.64,67.64,67.64,0,0
20170825,II-GVIAU,Fonds,67.55,67.55,67.55,67.55,0,0
20170824,II-GVIAU,Fonds,67.56,67.56,67.56,67.56,0,0
20170823,II-GVIAU,Fonds,67.54,67.54,67.54,67.54,0,0
20170822,II-GVIAU,Fonds,67.22,67.22,67.22,67.22,0,0
20170821,II-GVIAU,Fonds,67.22,67.22,67.22,67.22,0,0
20170818,II-GVIAU,Fonds,67.25,67.25,67.25,67.25,0,0
20170817,II-GVIAU,Fonds,67.88,67.88,67.88,67.88,0,0
20170816,II-GVIAU,Fonds,67.99,67.99,67.99,67.99,0,0
20170815,II-GVIAU,Fonds,67.60,67.60,67.60,67.60,0,0
20170814,II-GVIAU,Fonds,67.60,67.60,67.60,67.60,0,0
20170811,II-GVIAU,Fonds,67.10,67.10,67.10,67.10,0,0
20170810,II-GVIAU,Fonds,67.99,67.99,67.99,67.99,0,0
20170809,II-GVIAU,Fonds,68.18,68.18,68.18,68.18,0,0
20170808,II-GVIAU,Fonds,68.75,68.75,68.75,68.75,0,0
20170807,II-GVIAU,Fonds,68.65,68.65,68.65,68.65,0,0
20170804,II-GVIAU,Fonds,68.52,68.52,68.52,68.52,0,0
20170803,II-GVIAU,Fonds,68.40,68.40,68.40,68.40,0,0
20170802,II-GVIAU,Fonds,68.48,68.48,68.48,68.48,0,0
20170801,II-GVIAU,Fonds,68.22,68.22,68.22,68.22,0,0
20170731,II-GVIAU,Fonds,67.79,67.79,67.79,67.79,0,0
20170728,II-GVIAU,Fonds,67.67,67.67,67.67,67.67,0,0
20170727,II-GVIAU,Fonds,67.90,67.90,67.90,67.90,0,0
20170726,II-GVIAU,Fonds,67.72,67.72,67.72,67.72,0,0
20170725,II-GVIAU,Fonds,67.52,67.52,67.52,67.52,0,0
20170724,II-GVIAU,Fonds,67.15,67.15,67.15,67.15,0,0
20170721,II-GVIAU,Fonds,67.55,67.55,67.55,67.55,0,0
20170720,II-GVIAU,Fonds,67.38,67.38,67.38,67.38,0,0
20170719,II-GVIAU,Fonds,67.16,67.16,67.16,67.16,0,0
20170718,II-GVIAU,Fonds,67.42,67.42,67.42,67.42,0,0
20170717,II-GVIAU,Fonds,67.37,67.37,67.37,67.37,0,0
20170714,II-GVIAU,Fonds,67.16,67.16,67.16,67.16,0,0
20170713,II-GVIAU,Fonds,66.91,66.91,66.91,66.91,0,0
20170712,II-GVIAU,Fonds,66.39,66.39,66.39,66.39,0,0
20170711,II-GVIAU,Fonds,66.18,66.18,66.18,66.18,0,0
20170710,II-GVIAU,Fonds,66.23,66.23,66.23,66.23,0,0
20170707,II-GVIAU,Fonds,66.08,66.08,66.08,66.08,0,0
20170706,II-GVIAU,Fonds,66.26,66.26,66.26,66.26,0,0
20170705,II-GVIAU,Fonds,66.41,66.41,66.41,66.41,0,0
20170704,II-GVIAU,Fonds,66.53,66.53,66.53,66.53,0,0
20170703,II-GVIAU,Fonds,66.28,66.28,66.28,66.28,0,0
20170630,II-GVIAU,Fonds,66.37,66.37,66.37,66.37,0,0
20170629,II-GVIAU,Fonds,66.77,66.77,66.77,66.77,0,0
20170628,II-GVIAU,Fonds,66.18,66.18,66.18,66.18,0,0
20170627,II-GVIAU,Fonds,66.06,66.06,66.06,66.06,0,0
20170626,II-GVIAU,Fonds,65.93,65.93,65.93,65.93,0,0
20170623,II-GVIAU,Fonds,65.43,65.43,65.43,65.43,0,0
20170622,II-GVIAU,Fonds,65.43,65.43,65.43,65.43,0,0
20170621,II-GVIAU,Fonds,65.37,65.37,65.37,65.37,0,0
20170620,II-GVIAU,Fonds,65.98,65.98,65.98,65.98,0,0
20170619,II-GVIAU,Fonds,66.06,66.06,66.06,66.06,0,0
