quote_date,paper,exch,open,high,low,close,volume,value
20171109,II-INDEQ,Fonds,71.07,71.07,71.07,71.07,0,0
20171108,II-INDEQ,Fonds,71.22,71.22,71.22,71.22,0,0
20171107,II-INDEQ,Fonds,71.54,71.54,71.54,71.54,0,0
20171106,II-INDEQ,Fonds,72.24,72.24,72.24,72.24,0,0
20171103,II-INDEQ,Fonds,72.42,72.42,72.42,72.42,0,0
20171102,II-INDEQ,Fonds,72.16,72.16,72.16,72.16,0,0
20171101,II-INDEQ,Fonds,71.63,71.63,71.63,71.63,0,0
20171031,II-INDEQ,Fonds,71.63,71.63,71.63,71.63,0,0
20171030,II-INDEQ,Fonds,71.65,71.65,71.65,71.65,0,0
20171027,II-INDEQ,Fonds,70.65,70.65,70.65,70.65,0,0
20171026,II-INDEQ,Fonds,71.09,71.09,71.09,71.09,0,0
20171025,II-INDEQ,Fonds,70.29,70.29,70.29,70.29,0,0
20171024,II-INDEQ,Fonds,71.14,71.14,71.14,71.14,0,0
20171023,II-INDEQ,Fonds,71.65,71.65,71.65,71.65,0,0
20171020,II-INDEQ,Fonds,71.17,71.17,71.17,71.17,0,0
20171019,II-INDEQ,Fonds,71.81,71.81,71.81,71.81,0,0
20171018,II-INDEQ,Fonds,71.67,71.67,71.67,71.67,0,0
20171017,II-INDEQ,Fonds,71.96,71.96,71.96,71.96,0,0
20171016,II-INDEQ,Fonds,72.40,72.40,72.40,72.40,0,0
20171013,II-INDEQ,Fonds,72.01,72.01,72.01,72.01,0,0
20171012,II-INDEQ,Fonds,71.79,71.79,71.79,71.79,0,0
20171011,II-INDEQ,Fonds,70.80,70.80,70.80,70.80,0,0
20171010,II-INDEQ,Fonds,71.28,71.28,71.28,71.28,0,0
20171009,II-INDEQ,Fonds,70.96,70.96,70.96,70.96,0,0
20171006,II-INDEQ,Fonds,71.00,71.00,71.00,71.00,0,0
20171005,II-INDEQ,Fonds,70.58,70.58,70.58,70.58,0,0
20171004,II-INDEQ,Fonds,70.62,70.62,70.62,70.62,0,0
20171003,II-INDEQ,Fonds,70.04,70.04,70.04,70.04,0,0
20171002,II-INDEQ,Fonds,69.72,69.72,69.72,69.72,0,0
20170929,II-INDEQ,Fonds,69.86,69.86,69.86,69.86,0,0
20170928,II-INDEQ,Fonds,69.12,69.12,69.12,69.12,0,0
20170927,II-INDEQ,Fonds,68.47,68.47,68.47,68.47,0,0
20170926,II-INDEQ,Fonds,69.95,69.95,69.95,69.95,0,0
20170925,II-INDEQ,Fonds,70.47,70.47,70.47,70.47,0,0
20170922,II-INDEQ,Fonds,71.65,71.65,71.65,71.65,0,0
20170921,II-INDEQ,Fonds,72.87,72.87,72.87,72.87,0,0
20170920,II-INDEQ,Fonds,73.55,73.55,73.55,73.55,0,0
20170919,II-INDEQ,Fonds,73.68,73.68,73.68,73.68,0,0
20170918,II-INDEQ,Fonds,73.91,73.91,73.91,73.91,0,0
20170915,II-INDEQ,Fonds,73.42,73.42,73.42,73.42,0,0
20170914,II-INDEQ,Fonds,73.55,73.55,73.55,73.55,0,0
20170913,II-INDEQ,Fonds,73.42,73.42,73.42,73.42,0,0
20170912,II-INDEQ,Fonds,73.94,73.94,73.94,73.94,0,0
20170911,II-INDEQ,Fonds,73.81,73.81,73.81,73.81,0,0
20170908,II-INDEQ,Fonds,72.81,72.81,72.81,72.81,0,0
20170907,II-INDEQ,Fonds,72.72,72.72,72.72,72.72,0,0
20170906,II-INDEQ,Fonds,72.24,72.24,72.24,72.24,0,0
20170905,II-INDEQ,Fonds,72.02,72.02,72.02,72.02,0,0
20170904,II-INDEQ,Fonds,71.47,71.47,71.47,71.47,0,0
20170901,II-INDEQ,Fonds,72.09,72.09,72.09,72.09,0,0
20170831,II-INDEQ,Fonds,72.04,72.04,72.04,72.04,0,0
20170830,II-INDEQ,Fonds,71.50,71.50,71.50,71.50,0,0
20170829,II-INDEQ,Fonds,70.47,70.47,70.47,70.47,0,0
20170828,II-INDEQ,Fonds,71.54,71.54,71.54,71.54,0,0
20170825,II-INDEQ,Fonds,70.90,70.90,70.90,70.90,0,0
