quote_date,paper,exch,open,high,low,close,volume,value
20171109,II-JEAAJ,Fonds,4904.00,4904.00,4904.00,4904.00,0,0
20171108,II-JEAAJ,Fonds,4865.00,4865.00,4865.00,4865.00,0,0
20171107,II-JEAAJ,Fonds,4878.00,4878.00,4878.00,4878.00,0,0
20171106,II-JEAAJ,Fonds,4832.00,4832.00,4832.00,4832.00,0,0
20171103,II-JEAAJ,Fonds,4818.00,4818.00,4818.00,4818.00,0,0
20171102,II-JEAAJ,Fonds,4818.00,4818.00,4818.00,4818.00,0,0
20171101,II-JEAAJ,Fonds,4740.00,4740.00,4740.00,4740.00,0,0
20171031,II-JEAAJ,Fonds,4740.00,4740.00,4740.00,4740.00,0,0
20171030,II-JEAAJ,Fonds,4748.00,4748.00,4748.00,4748.00,0,0
20171027,II-JEAAJ,Fonds,4751.00,4751.00,4751.00,4751.00,0,0
20171026,II-JEAAJ,Fonds,4701.00,4701.00,4701.00,4701.00,0,0
20171025,II-JEAAJ,Fonds,4689.00,4689.00,4689.00,4689.00,0,0
20171024,II-JEAAJ,Fonds,4711.00,4711.00,4711.00,4711.00,0,0
20171023,II-JEAAJ,Fonds,4671.00,4671.00,4671.00,4671.00,0,0
20171020,II-JEAAJ,Fonds,4632.00,4632.00,4632.00,4632.00,0,0
20171019,II-JEAAJ,Fonds,4636.00,4636.00,4636.00,4636.00,0,0
20171018,II-JEAAJ,Fonds,4635.00,4635.00,4635.00,4635.00,0,0
20171017,II-JEAAJ,Fonds,4630.00,4630.00,4630.00,4630.00,0,0
20171016,II-JEAAJ,Fonds,4619.00,4619.00,4619.00,4619.00,0,0
20171013,II-JEAAJ,Fonds,4603.00,4603.00,4603.00,4603.00,0,0
20171012,II-JEAAJ,Fonds,4580.00,4580.00,4580.00,4580.00,0,0
20171011,II-JEAAJ,Fonds,4571.00,4571.00,4571.00,4571.00,0,0
20171010,II-JEAAJ,Fonds,4563.00,4563.00,4563.00,4563.00,0,0
20171009,II-JEAAJ,Fonds,4529.00,4529.00,4529.00,4529.00,0,0
20171006,II-JEAAJ,Fonds,4530.00,4530.00,4530.00,4530.00,0,0
20171005,II-JEAAJ,Fonds,4526.00,4526.00,4526.00,4526.00,0,0
20171004,II-JEAAJ,Fonds,4535.00,4535.00,4535.00,4535.00,0,0
20171003,II-JEAAJ,Fonds,4540.00,4540.00,4540.00,4540.00,0,0
20171002,II-JEAAJ,Fonds,4504.00,4504.00,4504.00,4504.00,0,0
20170929,II-JEAAJ,Fonds,4507.00,4507.00,4507.00,4507.00,0,0
20170928,II-JEAAJ,Fonds,4512.00,4512.00,4512.00,4512.00,0,0
20170927,II-JEAAJ,Fonds,4468.00,4468.00,4468.00,4468.00,0,0
20170926,II-JEAAJ,Fonds,4464.00,4464.00,4464.00,4464.00,0,0
20170925,II-JEAAJ,Fonds,4453.00,4453.00,4453.00,4453.00,0,0
20170922,II-JEAAJ,Fonds,4443.00,4443.00,4443.00,4443.00,0,0
20170921,II-JEAAJ,Fonds,4446.00,4446.00,4446.00,4446.00,0,0
20170920,II-JEAAJ,Fonds,4436.00,4436.00,4436.00,4436.00,0,0
20170919,II-JEAAJ,Fonds,4453.00,4453.00,4453.00,4453.00,0,0
20170918,II-JEAAJ,Fonds,4397.00,4397.00,4397.00,4397.00,0,0
20170915,II-JEAAJ,Fonds,4398.00,4398.00,4398.00,4398.00,0,0
20170914,II-JEAAJ,Fonds,4376.00,4376.00,4376.00,4376.00,0,0
20170913,II-JEAAJ,Fonds,4392.00,4392.00,4392.00,4392.00,0,0
20170912,II-JEAAJ,Fonds,4374.00,4374.00,4374.00,4374.00,0,0
20170911,II-JEAAJ,Fonds,4342.00,4342.00,4342.00,4342.00,0,0
20170908,II-JEAAJ,Fonds,4288.00,4288.00,4288.00,4288.00,0,0
20170907,II-JEAAJ,Fonds,4292.00,4292.00,4292.00,4292.00,0,0
20170906,II-JEAAJ,Fonds,4292.00,4292.00,4292.00,4292.00,0,0
20170905,II-JEAAJ,Fonds,4264.00,4264.00,4264.00,4264.00,0,0
20170904,II-JEAAJ,Fonds,4305.00,4305.00,4305.00,4305.00,0,0
20170901,II-JEAAJ,Fonds,4367.00,4367.00,4367.00,4367.00,0,0
20170831,II-JEAAJ,Fonds,4347.00,4347.00,4347.00,4347.00,0,0
20170830,II-JEAAJ,Fonds,4323.00,4323.00,4323.00,4323.00,0,0
20170829,II-JEAAJ,Fonds,4303.00,4303.00,4303.00,4303.00,0,0
20170828,II-JEAAJ,Fonds,4309.00,4309.00,4309.00,4309.00,0,0
20170825,II-JEAAJ,Fonds,4301.00,4301.00,4301.00,4301.00,0,0
20170824,II-JEAAJ,Fonds,4292.00,4292.00,4292.00,4292.00,0,0
20170823,II-JEAAJ,Fonds,4306.00,4306.00,4306.00,4306.00,0,0
20170822,II-JEAAJ,Fonds,4294.00,4294.00,4294.00,4294.00,0,0
20170821,II-JEAAJ,Fonds,4291.00,4291.00,4291.00,4291.00,0,0
20170818,II-JEAAJ,Fonds,4301.00,4301.00,4301.00,4301.00,0,0
20170817,II-JEAAJ,Fonds,4346.00,4346.00,4346.00,4346.00,0,0
20170816,II-JEAAJ,Fonds,4343.00,4343.00,4343.00,4343.00,0,0
20170815,II-JEAAJ,Fonds,4291.00,4291.00,4291.00,4291.00,0,0
20170814,II-JEAAJ,Fonds,4291.00,4291.00,4291.00,4291.00,0,0
20170811,II-JEAAJ,Fonds,4344.00,4344.00,4344.00,4344.00,0,0
20170810,II-JEAAJ,Fonds,4344.00,4344.00,4344.00,4344.00,0,0
20170809,II-JEAAJ,Fonds,4351.00,4351.00,4351.00,4351.00,0,0
20170808,II-JEAAJ,Fonds,4415.00,4415.00,4415.00,4415.00,0,0
20170807,II-JEAAJ,Fonds,4417.00,4417.00,4417.00,4417.00,0,0
20170804,II-JEAAJ,Fonds,4395.00,4395.00,4395.00,4395.00,0,0
20170803,II-JEAAJ,Fonds,4406.00,4406.00,4406.00,4406.00,0,0
20170802,II-JEAAJ,Fonds,4421.00,4421.00,4421.00,4421.00,0,0
20170801,II-JEAAJ,Fonds,4405.00,4405.00,4405.00,4405.00,0,0
20170731,II-JEAAJ,Fonds,4380.00,4380.00,4380.00,4380.00,0,0
20170728,II-JEAAJ,Fonds,4386.00,4386.00,4386.00,4386.00,0,0
20170727,II-JEAAJ,Fonds,4384.00,4384.00,4384.00,4384.00,0,0
20170726,II-JEAAJ,Fonds,4378.00,4378.00,4378.00,4378.00,0,0
20170725,II-JEAAJ,Fonds,4367.00,4367.00,4367.00,4367.00,0,0
20170724,II-JEAAJ,Fonds,4375.00,4375.00,4375.00,4375.00,0,0
20170721,II-JEAAJ,Fonds,4390.00,4390.00,4390.00,4390.00,0,0
20170720,II-JEAAJ,Fonds,4403.00,4403.00,4403.00,4403.00,0,0
20170719,II-JEAAJ,Fonds,4369.00,4369.00,4369.00,4369.00,0,0
20170718,II-JEAAJ,Fonds,4370.00,4370.00,4370.00,4370.00,0,0
20170717,II-JEAAJ,Fonds,4374.00,4374.00,4374.00,4374.00,0,0
20170714,II-JEAAJ,Fonds,4374.00,4374.00,4374.00,4374.00,0,0
20170713,II-JEAAJ,Fonds,4360.00,4360.00,4360.00,4360.00,0,0
