quote_date,paper,exch,open,high,low,close,volume,value
20171121,II-NIPEN,Fonds,1633.00,1633.00,1633.00,1633.00,0,0
20171120,II-NIPEN,Fonds,1613.00,1613.00,1613.00,1613.00,0,0
20171117,II-NIPEN,Fonds,1591.00,1591.00,1591.00,1591.00,0,0
20171116,II-NIPEN,Fonds,1576.00,1576.00,1576.00,1576.00,0,0
20171115,II-NIPEN,Fonds,1548.00,1548.00,1548.00,1548.00,0,0
20171114,II-NIPEN,Fonds,1586.00,1586.00,1586.00,1586.00,0,0
20171113,II-NIPEN,Fonds,1601.00,1601.00,1601.00,1601.00,0,0
20171110,II-NIPEN,Fonds,1624.00,1624.00,1624.00,1624.00,0,0
20171109,II-NIPEN,Fonds,1635.00,1635.00,1635.00,1635.00,0,0
20171108,II-NIPEN,Fonds,1637.00,1637.00,1637.00,1637.00,0,0
20171107,II-NIPEN,Fonds,1631.00,1631.00,1631.00,1631.00,0,0
20171106,II-NIPEN,Fonds,1622.00,1622.00,1622.00,1622.00,0,0
20171103,II-NIPEN,Fonds,1632.00,1632.00,1632.00,1632.00,0,0
20171102,II-NIPEN,Fonds,1632.00,1632.00,1632.00,1632.00,0,0
20171101,II-NIPEN,Fonds,1614.00,1614.00,1614.00,1614.00,0,0
20171031,II-NIPEN,Fonds,1614.00,1614.00,1614.00,1614.00,0,0
20171030,II-NIPEN,Fonds,1602.00,1602.00,1602.00,1602.00,0,0
20171027,II-NIPEN,Fonds,1594.00,1594.00,1594.00,1594.00,0,0
20171026,II-NIPEN,Fonds,1589.00,1589.00,1589.00,1589.00,0,0
20171025,II-NIPEN,Fonds,1578.00,1578.00,1578.00,1578.00,0,0
20171024,II-NIPEN,Fonds,1580.00,1580.00,1580.00,1580.00,0,0
20171023,II-NIPEN,Fonds,1568.00,1568.00,1568.00,1568.00,0,0
20171020,II-NIPEN,Fonds,1559.00,1559.00,1559.00,1559.00,0,0
20171019,II-NIPEN,Fonds,1552.00,1552.00,1552.00,1552.00,0,0
20171018,II-NIPEN,Fonds,1555.00,1555.00,1555.00,1555.00,0,0
20171017,II-NIPEN,Fonds,1567.00,1567.00,1567.00,1567.00,0,0
20171016,II-NIPEN,Fonds,1574.00,1574.00,1574.00,1574.00,0,0
20171013,II-NIPEN,Fonds,1583.00,1583.00,1583.00,1583.00,0,0
20171012,II-NIPEN,Fonds,1570.00,1570.00,1570.00,1570.00,0,0
20171011,II-NIPEN,Fonds,1554.00,1554.00,1554.00,1554.00,0,0
20171010,II-NIPEN,Fonds,1547.00,1547.00,1547.00,1547.00,0,0
20171009,II-NIPEN,Fonds,1529.00,1529.00,1529.00,1529.00,0,0
20171006,II-NIPEN,Fonds,1530.00,1530.00,1530.00,1530.00,0,0
20171005,II-NIPEN,Fonds,1527.00,1527.00,1527.00,1527.00,0,0
20171004,II-NIPEN,Fonds,1542.00,1542.00,1542.00,1542.00,0,0
20171003,II-NIPEN,Fonds,1545.00,1545.00,1545.00,1545.00,0,0
20171002,II-NIPEN,Fonds,1545.00,1545.00,1545.00,1545.00,0,0
20170929,II-NIPEN,Fonds,1539.00,1539.00,1539.00,1539.00,0,0
20170928,II-NIPEN,Fonds,1521.00,1521.00,1521.00,1521.00,0,0
20170927,II-NIPEN,Fonds,1506.00,1506.00,1506.00,1506.00,0,0
20170926,II-NIPEN,Fonds,1494.00,1494.00,1494.00,1494.00,0,0
20170925,II-NIPEN,Fonds,1497.00,1497.00,1497.00,1497.00,0,0
20170922,II-NIPEN,Fonds,1482.00,1482.00,1482.00,1482.00,0,0
20170921,II-NIPEN,Fonds,1494.00,1494.00,1494.00,1494.00,0,0
20170920,II-NIPEN,Fonds,1499.00,1499.00,1499.00,1499.00,0,0
20170919,II-NIPEN,Fonds,1516.00,1516.00,1516.00,1516.00,0,0
20170918,II-NIPEN,Fonds,1504.00,1504.00,1504.00,1504.00,0,0
20170915,II-NIPEN,Fonds,1504.00,1504.00,1504.00,1504.00,0,0
20170914,II-NIPEN,Fonds,1485.00,1485.00,1485.00,1485.00,0,0
20170913,II-NIPEN,Fonds,1489.00,1489.00,1489.00,1489.00,0,0
20170912,II-NIPEN,Fonds,1481.00,1481.00,1481.00,1481.00,0,0
20170911,II-NIPEN,Fonds,1461.00,1461.00,1461.00,1461.00,0,0
20170908,II-NIPEN,Fonds,1438.00,1438.00,1438.00,1438.00,0,0
20170907,II-NIPEN,Fonds,1435.00,1435.00,1435.00,1435.00,0,0
20170906,II-NIPEN,Fonds,1421.00,1421.00,1421.00,1421.00,0,0
20170905,II-NIPEN,Fonds,1402.00,1402.00,1402.00,1402.00,0,0
20170904,II-NIPEN,Fonds,1450.00,1450.00,1450.00,1450.00,0,0
20170901,II-NIPEN,Fonds,1482.00,1482.00,1482.00,1482.00,0,0
20170831,II-NIPEN,Fonds,1487.00,1487.00,1487.00,1487.00,0,0
20170830,II-NIPEN,Fonds,1470.00,1470.00,1470.00,1470.00,0,0
20170829,II-NIPEN,Fonds,1469.00,1469.00,1469.00,1469.00,0,0
20170828,II-NIPEN,Fonds,1460.00,1460.00,1460.00,1460.00,0,0
20170825,II-NIPEN,Fonds,1447.00,1447.00,1447.00,1447.00,0,0
20170824,II-NIPEN,Fonds,1439.00,1439.00,1439.00,1439.00,0,0
20170823,II-NIPEN,Fonds,1435.00,1435.00,1435.00,1435.00,0,0
20170822,II-NIPEN,Fonds,1426.00,1426.00,1426.00,1426.00,0,0
20170821,II-NIPEN,Fonds,1423.00,1423.00,1423.00,1423.00,0,0
20170818,II-NIPEN,Fonds,1427.00,1427.00,1427.00,1427.00,0,0
20170817,II-NIPEN,Fonds,1443.00,1443.00,1443.00,1443.00,0,0
20170816,II-NIPEN,Fonds,1428.00,1428.00,1428.00,1428.00,0,0
20170815,II-NIPEN,Fonds,1399.00,1399.00,1399.00,1399.00,0,0
20170814,II-NIPEN,Fonds,1399.00,1399.00,1399.00,1399.00,0,0
20170811,II-NIPEN,Fonds,1401.00,1401.00,1401.00,1401.00,0,0
20170810,II-NIPEN,Fonds,1402.00,1402.00,1402.00,1402.00,0,0
20170809,II-NIPEN,Fonds,1411.00,1411.00,1411.00,1411.00,0,0
20170808,II-NIPEN,Fonds,1423.00,1423.00,1423.00,1423.00,0,0
20170807,II-NIPEN,Fonds,1414.00,1414.00,1414.00,1414.00,0,0
20170804,II-NIPEN,Fonds,1396.00,1396.00,1396.00,1396.00,0,0
20170803,II-NIPEN,Fonds,1395.00,1395.00,1395.00,1395.00,0,0
20170802,II-NIPEN,Fonds,1406.00,1406.00,1406.00,1406.00,0,0
20170801,II-NIPEN,Fonds,1386.00,1386.00,1386.00,1386.00,0,0
20170731,II-NIPEN,Fonds,1407.00,1407.00,1407.00,1407.00,0,0
20170728,II-NIPEN,Fonds,1419.00,1419.00,1419.00,1419.00,0,0
20170727,II-NIPEN,Fonds,1440.00,1440.00,1440.00,1440.00,0,0
20170726,II-NIPEN,Fonds,1429.00,1429.00,1429.00,1429.00,0,0
20170725,II-NIPEN,Fonds,1428.00,1428.00,1428.00,1428.00,0,0
20170724,II-NIPEN,Fonds,1427.00,1427.00,1427.00,1427.00,0,0
20170721,II-NIPEN,Fonds,1424.00,1424.00,1424.00,1424.00,0,0
20170720,II-NIPEN,Fonds,1408.00,1408.00,1408.00,1408.00,0,0
20170719,II-NIPEN,Fonds,1401.00,1401.00,1401.00,1401.00,0,0
20170718,II-NIPEN,Fonds,1386.00,1386.00,1386.00,1386.00,0,0
20170717,II-NIPEN,Fonds,1380.00,1380.00,1380.00,1380.00,0,0
20170714,II-NIPEN,Fonds,1381.00,1381.00,1381.00,1381.00,0,0
20170713,II-NIPEN,Fonds,1380.00,1380.00,1380.00,1380.00,0,0
20170712,II-NIPEN,Fonds,1375.00,1375.00,1375.00,1375.00,0,0
20170711,II-NIPEN,Fonds,1382.00,1382.00,1382.00,1382.00,0,0
20170710,II-NIPEN,Fonds,1372.00,1372.00,1372.00,1372.00,0,0
20170707,II-NIPEN,Fonds,1362.00,1362.00,1362.00,1362.00,0,0
20170706,II-NIPEN,Fonds,1371.00,1371.00,1371.00,1371.00,0,0
20170705,II-NIPEN,Fonds,1368.00,1368.00,1368.00,1368.00,0,0
20170704,II-NIPEN,Fonds,1355.00,1355.00,1355.00,1355.00,0,0
20170703,II-NIPEN,Fonds,1381.00,1381.00,1381.00,1381.00,0,0
20170630,II-NIPEN,Fonds,1375.00,1375.00,1375.00,1375.00,0,0
20170629,II-NIPEN,Fonds,1380.00,1380.00,1380.00,1380.00,0,0
20170628,II-NIPEN,Fonds,1360.00,1360.00,1360.00,1360.00,0,0
20170627,II-NIPEN,Fonds,1389.00,1389.00,1389.00,1389.00,0,0
20170626,II-NIPEN,Fonds,1384.00,1384.00,1384.00,1384.00,0,0
20170623,II-NIPEN,Fonds,1389.00,1389.00,1389.00,1389.00,0,0
20170622,II-NIPEN,Fonds,1389.00,1389.00,1389.00,1389.00,0,0
20170621,II-NIPEN,Fonds,1382.00,1382.00,1382.00,1382.00,0,0
20170620,II-NIPEN,Fonds,1378.00,1378.00,1378.00,1378.00,0,0
20170619,II-NIPEN,Fonds,1360.00,1360.00,1360.00,1360.00,0,0
20170616,II-NIPEN,Fonds,1339.00,1339.00,1339.00,1339.00,0,0
20170615,II-NIPEN,Fonds,1345.00,1345.00,1345.00,1345.00,0,0
20170614,II-NIPEN,Fonds,1346.00,1346.00,1346.00,1346.00,0,0
20170613,II-NIPEN,Fonds,1345.00,1345.00,1345.00,1345.00,0,0
20170612,II-NIPEN,Fonds,1349.00,1349.00,1349.00,1349.00,0,0
20170609,II-NIPEN,Fonds,1362.00,1362.00,1362.00,1362.00,0,0
20170608,II-NIPEN,Fonds,1373.00,1373.00,1373.00,1373.00,0,0
20170607,II-NIPEN,Fonds,1364.00,1364.00,1364.00,1364.00,0,0
