quote_date,paper,exch,open,high,low,close,volume,value
20171121,II-PACIF,Fonds,66.64,66.64,66.64,66.64,0,0
20171120,II-PACIF,Fonds,66.43,66.43,66.43,66.43,0,0
20171117,II-PACIF,Fonds,66.42,66.42,66.42,66.42,0,0
20171116,II-PACIF,Fonds,65.96,65.96,65.96,65.96,0,0
20171115,II-PACIF,Fonds,65.63,65.63,65.63,65.63,0,0
20171114,II-PACIF,Fonds,66.33,66.33,66.33,66.33,0,0
20171113,II-PACIF,Fonds,66.62,66.62,66.62,66.62,0,0
20171110,II-PACIF,Fonds,66.91,66.91,66.91,66.91,0,0
20171109,II-PACIF,Fonds,67.29,67.29,67.29,67.29,0,0
20171108,II-PACIF,Fonds,67.15,67.15,67.15,67.15,0,0
20171107,II-PACIF,Fonds,66.98,66.98,66.98,66.98,0,0
20171106,II-PACIF,Fonds,66.31,66.31,66.31,66.31,0,0
20171103,II-PACIF,Fonds,66.38,66.38,66.38,66.38,0,0
20171102,II-PACIF,Fonds,66.33,66.33,66.33,66.33,0,0
20171101,II-PACIF,Fonds,66.13,66.13,66.13,66.13,0,0
20171031,II-PACIF,Fonds,65.66,65.66,65.66,65.66,0,0
20171030,II-PACIF,Fonds,65.36,65.36,65.36,65.36,0,0
20171027,II-PACIF,Fonds,65.36,65.36,65.36,65.36,0,0
20171026,II-PACIF,Fonds,65.27,65.27,65.27,65.27,0,0
20171025,II-PACIF,Fonds,65.17,65.17,65.17,65.17,0,0
20171024,II-PACIF,Fonds,65.19,65.19,65.19,65.19,0,0
20171023,II-PACIF,Fonds,65.00,65.00,65.00,65.00,0,0
20171020,II-PACIF,Fonds,64.93,64.93,64.93,64.93,0,0
20171019,II-PACIF,Fonds,65.23,65.23,65.23,65.23,0,0
20171018,II-PACIF,Fonds,65.11,65.11,65.11,65.11,0,0
20171017,II-PACIF,Fonds,65.38,65.38,65.38,65.38,0,0
20171016,II-PACIF,Fonds,65.32,65.32,65.32,65.32,0,0
20171013,II-PACIF,Fonds,64.67,64.67,64.67,64.67,0,0
20171012,II-PACIF,Fonds,64.38,64.38,64.38,64.38,0,0
20171011,II-PACIF,Fonds,64.33,64.33,64.33,64.33,0,0
20171010,II-PACIF,Fonds,64.03,64.03,64.03,64.03,0,0
20171009,II-PACIF,Fonds,63.71,63.71,63.71,63.71,0,0
20171006,II-PACIF,Fonds,63.61,63.61,63.61,63.61,0,0
20171005,II-PACIF,Fonds,63.36,63.36,63.36,63.36,0,0
20171004,II-PACIF,Fonds,63.52,63.52,63.52,63.52,0,0
20171003,II-PACIF,Fonds,63.31,63.31,63.31,63.31,0,0
20171002,II-PACIF,Fonds,63.09,63.09,63.09,63.09,0,0
20170929,II-PACIF,Fonds,63.09,63.09,63.09,63.09,0,0
20170928,II-PACIF,Fonds,62.96,62.96,62.96,62.96,0,0
20170927,II-PACIF,Fonds,62.78,62.78,62.78,62.78,0,0
20170926,II-PACIF,Fonds,63.05,63.05,63.05,63.05,0,0
20170925,II-PACIF,Fonds,63.43,63.43,63.43,63.43,0,0
20170922,II-PACIF,Fonds,63.71,63.71,63.71,63.71,0,0
20170921,II-PACIF,Fonds,63.83,63.83,63.83,63.83,0,0
20170920,II-PACIF,Fonds,64.19,64.19,64.19,64.19,0,0
20170919,II-PACIF,Fonds,64.15,64.15,64.15,64.15,0,0
20170918,II-PACIF,Fonds,63.69,63.69,63.69,63.69,0,0
20170915,II-PACIF,Fonds,63.43,63.43,63.43,63.43,0,0
20170914,II-PACIF,Fonds,63.36,63.36,63.36,63.36,0,0
20170913,II-PACIF,Fonds,63.41,63.41,63.41,63.41,0,0
20170912,II-PACIF,Fonds,63.14,63.14,63.14,63.14,0,0
20170911,II-PACIF,Fonds,62.95,62.95,62.95,62.95,0,0
20170908,II-PACIF,Fonds,62.93,62.93,62.93,62.93,0,0
20170907,II-PACIF,Fonds,62.35,62.35,62.35,62.35,0,0
20170906,II-PACIF,Fonds,61.95,61.95,61.95,61.95,0,0
20170905,II-PACIF,Fonds,62.09,62.09,62.09,62.09,0,0
20170904,II-PACIF,Fonds,62.19,62.19,62.19,62.19,0,0
20170901,II-PACIF,Fonds,62.60,62.60,62.60,62.60,0,0
20170831,II-PACIF,Fonds,62.21,62.21,62.21,62.21,0,0
20170830,II-PACIF,Fonds,62.15,62.15,62.15,62.15,0,0
20170829,II-PACIF,Fonds,62.08,62.08,62.08,62.08,0,0
20170828,II-PACIF,Fonds,62.27,62.27,62.27,62.27,0,0
20170825,II-PACIF,Fonds,62.23,62.23,62.23,62.23,0,0
20170824,II-PACIF,Fonds,62.18,62.18,62.18,62.18,0,0
20170823,II-PACIF,Fonds,62.11,62.11,62.11,62.11,0,0
20170822,II-PACIF,Fonds,62.00,62.00,62.00,62.00,0,0
20170821,II-PACIF,Fonds,61.76,61.76,61.76,61.76,0,0
20170817,II-PACIF,Fonds,62.27,62.27,62.27,62.27,0,0
20170816,II-PACIF,Fonds,61.94,61.94,61.94,61.94,0,0
20170815,II-PACIF,Fonds,61.84,61.84,61.84,61.84,0,0
20170814,II-PACIF,Fonds,61.82,61.82,61.82,61.82,0,0
20170811,II-PACIF,Fonds,61.87,61.87,61.87,61.87,0,0
20170810,II-PACIF,Fonds,62.41,62.41,62.41,62.41,0,0
20170809,II-PACIF,Fonds,62.66,62.66,62.66,62.66,0,0
20170808,II-PACIF,Fonds,63.04,63.04,63.04,63.04,0,0
20170807,II-PACIF,Fonds,62.74,62.74,62.74,62.74,0,0
20170804,II-PACIF,Fonds,62.74,62.74,62.74,62.74,0,0
20170803,II-PACIF,Fonds,62.54,62.54,62.54,62.54,0,0
20170802,II-PACIF,Fonds,63.05,63.05,63.05,63.05,0,0
20170801,II-PACIF,Fonds,62.92,62.92,62.92,62.92,0,0
20170731,II-PACIF,Fonds,62.43,62.43,62.43,62.43,0,0
20170728,II-PACIF,Fonds,61.87,61.87,61.87,61.87,0,0
20170727,II-PACIF,Fonds,62.47,62.47,62.47,62.47,0,0
20170726,II-PACIF,Fonds,61.86,61.86,61.86,61.86,0,0
20170725,II-PACIF,Fonds,61.80,61.80,61.80,61.80,0,0
20170724,II-PACIF,Fonds,61.95,61.95,61.95,61.95,0,0
20170721,II-PACIF,Fonds,61.86,61.86,61.86,61.86,0,0
20170720,II-PACIF,Fonds,61.67,61.67,61.67,61.67,0,0
20170719,II-PACIF,Fonds,61.59,61.59,61.59,61.59,0,0
20170718,II-PACIF,Fonds,61.34,61.34,61.34,61.34,0,0
20170717,II-PACIF,Fonds,61.29,61.29,61.29,61.29,0,0
20170714,II-PACIF,Fonds,60.93,60.93,60.93,60.93,0,0
20170713,II-PACIF,Fonds,60.74,60.74,60.74,60.74,0,0
20170712,II-PACIF,Fonds,60.23,60.23,60.23,60.23,0,0
20170711,II-PACIF,Fonds,60.01,60.01,60.01,60.01,0,0
20170710,II-PACIF,Fonds,59.50,59.50,59.50,59.50,0,0
20170707,II-PACIF,Fonds,59.27,59.27,59.27,59.27,0,0
20170706,II-PACIF,Fonds,59.67,59.67,59.67,59.67,0,0
20170705,II-PACIF,Fonds,59.66,59.66,59.66,59.66,0,0
