quote_date,paper,exch,open,high,low,close,volume,value
20171121,II-PRC,Fonds,80.40,80.40,80.40,80.40,0,0
20171120,II-PRC,Fonds,78.95,78.95,78.95,78.95,0,0
20171117,II-PRC,Fonds,78.65,78.65,78.65,78.65,0,0
20171116,II-PRC,Fonds,78.24,78.24,78.24,78.24,0,0
20171115,II-PRC,Fonds,77.53,77.53,77.53,77.53,0,0
20171114,II-PRC,Fonds,78.74,78.74,78.74,78.74,0,0
20171113,II-PRC,Fonds,79.01,79.01,79.01,79.01,0,0
20171110,II-PRC,Fonds,79.01,79.01,79.01,79.01,0,0
20171109,II-PRC,Fonds,79.08,79.08,79.08,79.08,0,0
20171108,II-PRC,Fonds,78.50,78.50,78.50,78.50,0,0
20171107,II-PRC,Fonds,78.44,78.44,78.44,78.44,0,0
20171106,II-PRC,Fonds,77.59,77.59,77.59,77.59,0,0
20171103,II-PRC,Fonds,77.08,77.08,77.08,77.08,0,0
20171102,II-PRC,Fonds,76.72,76.72,76.72,76.72,0,0
20171101,II-PRC,Fonds,76.96,76.96,76.96,76.96,0,0
20171031,II-PRC,Fonds,75.54,75.54,75.54,75.54,0,0
20171030,II-PRC,Fonds,75.08,75.08,75.08,75.08,0,0
20171027,II-PRC,Fonds,75.08,75.08,75.08,75.08,0,0
20171026,II-PRC,Fonds,75.78,75.78,75.78,75.78,0,0
20171025,II-PRC,Fonds,76.21,76.21,76.21,76.21,0,0
20171024,II-PRC,Fonds,75.59,75.59,75.59,75.59,0,0
20171023,II-PRC,Fonds,76.50,76.50,76.50,76.50,0,0
20171020,II-PRC,Fonds,76.54,76.54,76.54,76.54,0,0
20171019,II-PRC,Fonds,76.13,76.13,76.13,76.13,0,0
20171018,II-PRC,Fonds,76.96,76.96,76.96,76.96,0,0
20171017,II-PRC,Fonds,77.13,77.13,77.13,77.13,0,0
20171016,II-PRC,Fonds,76.68,76.68,76.68,76.68,0,0
20171013,II-PRC,Fonds,76.21,76.21,76.21,76.21,0,0
20171012,II-PRC,Fonds,76.28,76.28,76.28,76.28,0,0
20171011,II-PRC,Fonds,76.28,76.28,76.28,76.28,0,0
20171010,II-PRC,Fonds,76.22,76.22,76.22,76.22,0,0
20171009,II-PRC,Fonds,75.92,75.92,75.92,75.92,0,0
20171006,II-PRC,Fonds,75.64,75.64,75.64,75.64,0,0
20171005,II-PRC,Fonds,74.99,74.99,74.99,74.99,0,0
20171004,II-PRC,Fonds,75.01,75.01,75.01,75.01,0,0
20171003,II-PRC,Fonds,74.62,74.62,74.62,74.62,0,0
20171002,II-PRC,Fonds,73.35,73.35,73.35,73.35,0,0
20170929,II-PRC,Fonds,73.21,73.21,73.21,73.21,0,0
