quote_date,paper,exch,open,high,low,close,volume,value
20171109,II-TECNO,Fonds,21.65,21.65,21.65,21.65,0,0
20171108,II-TECNO,Fonds,21.57,21.57,21.57,21.57,0,0
20171107,II-TECNO,Fonds,21.51,21.51,21.51,21.51,0,0
20171106,II-TECNO,Fonds,21.46,21.46,21.46,21.46,0,0
20171103,II-TECNO,Fonds,21.36,21.36,21.36,21.36,0,0
20171102,II-TECNO,Fonds,21.34,21.34,21.34,21.34,0,0
20171101,II-TECNO,Fonds,21.37,21.37,21.37,21.37,0,0
20171031,II-TECNO,Fonds,21.18,21.18,21.18,21.18,0,0
20171030,II-TECNO,Fonds,20.71,20.71,20.71,20.71,0,0
20171027,II-TECNO,Fonds,20.71,20.71,20.71,20.71,0,0
20171026,II-TECNO,Fonds,20.67,20.67,20.67,20.67,0,0
20171025,II-TECNO,Fonds,20.80,20.80,20.80,20.80,0,0
20171024,II-TECNO,Fonds,20.74,20.74,20.74,20.74,0,0
20171023,II-TECNO,Fonds,20.87,20.87,20.87,20.87,0,0
20171020,II-TECNO,Fonds,20.87,20.87,20.87,20.87,0,0
20171019,II-TECNO,Fonds,20.95,20.95,20.95,20.95,0,0
20171018,II-TECNO,Fonds,21.00,21.00,21.00,21.00,0,0
20171017,II-TECNO,Fonds,21.00,21.00,21.00,21.00,0,0
20171016,II-TECNO,Fonds,20.95,20.95,20.95,20.95,0,0
20171013,II-TECNO,Fonds,20.90,20.90,20.90,20.90,0,0
20171012,II-TECNO,Fonds,20.93,20.93,20.93,20.93,0,0
20171011,II-TECNO,Fonds,20.86,20.86,20.86,20.86,0,0
20171010,II-TECNO,Fonds,20.84,20.84,20.84,20.84,0,0
20171009,II-TECNO,Fonds,20.88,20.88,20.88,20.88,0,0
20171006,II-TECNO,Fonds,20.83,20.83,20.83,20.83,0,0
20171005,II-TECNO,Fonds,20.69,20.69,20.69,20.69,0,0
20171004,II-TECNO,Fonds,20.68,20.68,20.68,20.68,0,0
20171003,II-TECNO,Fonds,20.59,20.59,20.59,20.59,0,0
20171002,II-TECNO,Fonds,20.59,20.59,20.59,20.59,0,0
20170929,II-TECNO,Fonds,20.40,20.40,20.40,20.40,0,0
20170928,II-TECNO,Fonds,20.35,20.35,20.35,20.35,0,0
20170927,II-TECNO,Fonds,20.09,20.09,20.09,20.09,0,0
20170926,II-TECNO,Fonds,20.11,20.11,20.11,20.11,0,0
20170925,II-TECNO,Fonds,20.51,20.51,20.51,20.51,0,0
20170922,II-TECNO,Fonds,20.54,20.54,20.54,20.54,0,0
20170921,II-TECNO,Fonds,20.67,20.67,20.67,20.67,0,0
20170920,II-TECNO,Fonds,20.80,20.80,20.80,20.80,0,0
20170919,II-TECNO,Fonds,20.73,20.73,20.73,20.73,0,0
20170918,II-TECNO,Fonds,20.67,20.67,20.67,20.67,0,0
20170915,II-TECNO,Fonds,20.62,20.62,20.62,20.62,0,0
20170914,II-TECNO,Fonds,20.72,20.72,20.72,20.72,0,0
20170913,II-TECNO,Fonds,20.75,20.75,20.75,20.75,0,0
20170912,II-TECNO,Fonds,20.74,20.74,20.74,20.74,0,0
20170911,II-TECNO,Fonds,20.53,20.53,20.53,20.53,0,0
20170908,II-TECNO,Fonds,20.66,20.66,20.66,20.66,0,0
20170907,II-TECNO,Fonds,20.52,20.52,20.52,20.52,0,0
20170906,II-TECNO,Fonds,20.53,20.53,20.53,20.53,0,0
20170905,II-TECNO,Fonds,20.67,20.67,20.67,20.67,0,0
20170904,II-TECNO,Fonds,20.69,20.69,20.69,20.69,0,0
20170901,II-TECNO,Fonds,20.69,20.69,20.69,20.69,0,0
20170831,II-TECNO,Fonds,20.49,20.49,20.49,20.49,0,0
20170830,II-TECNO,Fonds,20.27,20.27,20.27,20.27,0,0
20170829,II-TECNO,Fonds,20.18,20.18,20.18,20.18,0,0
20170828,II-TECNO,Fonds,20.15,20.15,20.15,20.15,0,0
20170825,II-TECNO,Fonds,20.25,20.25,20.25,20.25,0,0
20170824,II-TECNO,Fonds,20.26,20.26,20.26,20.26,0,0
20170823,II-TECNO,Fonds,20.33,20.33,20.33,20.33,0,0
20170822,II-TECNO,Fonds,20.02,20.02,20.02,20.02,0,0
20170821,II-TECNO,Fonds,20.02,20.02,20.02,20.02,0,0
20170817,II-TECNO,Fonds,20.33,20.33,20.33,20.33,0,0
20170816,II-TECNO,Fonds,20.27,20.27,20.27,20.27,0,0
20170815,II-TECNO,Fonds,20.24,20.24,20.24,20.24,0,0
20170814,II-TECNO,Fonds,19.98,19.98,19.98,19.98,0,0
20170811,II-TECNO,Fonds,19.88,19.88,19.88,19.88,0,0
20170810,II-TECNO,Fonds,20.33,20.33,20.33,20.33,0,0
20170809,II-TECNO,Fonds,20.39,20.39,20.39,20.39,0,0
20170808,II-TECNO,Fonds,20.48,20.48,20.48,20.48,0,0
20170807,II-TECNO,Fonds,20.34,20.34,20.34,20.34,0,0
20170804,II-TECNO,Fonds,20.34,20.34,20.34,20.34,0,0
20170803,II-TECNO,Fonds,20.36,20.36,20.36,20.36,0,0
20170802,II-TECNO,Fonds,20.43,20.43,20.43,20.43,0,0
20170801,II-TECNO,Fonds,20.23,20.23,20.23,20.23,0,0
20170731,II-TECNO,Fonds,20.39,20.39,20.39,20.39,0,0
20170728,II-TECNO,Fonds,20.33,20.33,20.33,20.33,0,0
20170727,II-TECNO,Fonds,20.58,20.58,20.58,20.58,0,0
20170726,II-TECNO,Fonds,20.39,20.39,20.39,20.39,0,0
20170725,II-TECNO,Fonds,20.41,20.41,20.41,20.41,0,0
20170724,II-TECNO,Fonds,20.34,20.34,20.34,20.34,0,0
20170721,II-TECNO,Fonds,20.35,20.35,20.35,20.35,0,0
20170720,II-TECNO,Fonds,20.30,20.30,20.30,20.30,0,0
20170719,II-TECNO,Fonds,20.21,20.21,20.21,20.21,0,0
20170718,II-TECNO,Fonds,20.04,20.04,20.04,20.04,0,0
20170717,II-TECNO,Fonds,20.05,20.05,20.05,20.05,0,0
20170714,II-TECNO,Fonds,19.89,19.89,19.89,19.89,0,0
20170713,II-TECNO,Fonds,19.91,19.91,19.91,19.91,0,0
20170712,II-TECNO,Fonds,19.65,19.65,19.65,19.65,0,0
20170711,II-TECNO,Fonds,19.56,19.56,19.56,19.56,0,0
20170710,II-TECNO,Fonds,19.43,19.43,19.43,19.43,0,0
20170707,II-TECNO,Fonds,19.18,19.18,19.18,19.18,0,0
20170706,II-TECNO,Fonds,19.30,19.30,19.30,19.30,0,0
20170705,II-TECNO,Fonds,19.09,19.09,19.09,19.09,0,0
20170704,II-TECNO,Fonds,19.09,19.09,19.09,19.09,0,0
20170703,II-TECNO,Fonds,19.28,19.28,19.28,19.28,0,0
20170630,II-TECNO,Fonds,19.35,19.35,19.35,19.35,0,0
20170629,II-TECNO,Fonds,19.70,19.70,19.70,19.70,0,0
20170628,II-TECNO,Fonds,19.41,19.41,19.41,19.41,0,0
20170627,II-TECNO,Fonds,19.72,19.72,19.72,19.72,0,0
20170626,II-TECNO,Fonds,19.81,19.81,19.81,19.81,0,0
20170623,II-TECNO,Fonds,19.74,19.74,19.74,19.74,0,0
20170622,II-TECNO,Fonds,19.72,19.72,19.72,19.72,0,0
20170621,II-TECNO,Fonds,19.51,19.51,19.51,19.51,0,0
20170620,II-TECNO,Fonds,19.61,19.61,19.61,19.61,0,0
20170619,II-TECNO,Fonds,19.30,19.30,19.30,19.30,0,0
20170616,II-TECNO,Fonds,19.26,19.26,19.26,19.26,0,0
20170615,II-TECNO,Fonds,19.20,19.20,19.20,19.20,0,0
20170614,II-TECNO,Fonds,19.36,19.36,19.36,19.36,0,0
20170613,II-TECNO,Fonds,19.19,19.19,19.19,19.19,0,0
20170612,II-TECNO,Fonds,19.34,19.34,19.34,19.34,0,0
20170609,II-TECNO,Fonds,19.81,19.81,19.81,19.81,0,0
20170608,II-TECNO,Fonds,19.68,19.68,19.68,19.68,0,0
20170607,II-TECNO,Fonds,19.62,19.62,19.62,19.62,0,0
20170606,II-TECNO,Fonds,19.72,19.72,19.72,19.72,0,0
20170602,II-TECNO,Fonds,19.45,19.45,19.45,19.45,0,0
20170601,II-TECNO,Fonds,19.31,19.31,19.31,19.31,0,0
20170531,II-TECNO,Fonds,19.35,19.35,19.35,19.35,0,0
20170530,II-TECNO,Fonds,19.37,19.37,19.37,19.37,0,0
20170529,II-TECNO,Fonds,19.36,19.36,19.36,19.36,0,0
20170526,II-TECNO,Fonds,19.37,19.37,19.37,19.37,0,0
20170524,II-TECNO,Fonds,19.06,19.06,19.06,19.06,0,0
20170523,II-TECNO,Fonds,19.01,19.01,19.01,19.01,0,0
20170522,II-TECNO,Fonds,18.83,18.83,18.83,18.83,0,0
20170519,II-TECNO,Fonds,18.74,18.74,18.74,18.74,0,0
20170518,II-TECNO,Fonds,18.55,18.55,18.55,18.55,0,0
20170516,II-TECNO,Fonds,18.93,18.93,18.93,18.93,0,0
20170515,II-TECNO,Fonds,18.83,18.83,18.83,18.83,0,0
20170512,II-TECNO,Fonds,18.75,18.75,18.75,18.75,0,0
20170511,II-TECNO,Fonds,18.75,18.75,18.75,18.75,0,0
20170510,II-TECNO,Fonds,18.72,18.72,18.72,18.72,0,0
20170509,II-TECNO,Fonds,18.55,18.55,18.55,18.55,0,0
20170508,II-TECNO,Fonds,18.56,18.56,18.56,18.56,0,0
20170505,II-TECNO,Fonds,18.48,18.48,18.48,18.48,0,0
20170504,II-TECNO,Fonds,18.44,18.44,18.44,18.44,0,0
20170503,II-TECNO,Fonds,18.59,18.59,18.59,18.59,0,0
20170502,II-TECNO,Fonds,18.56,18.56,18.56,18.56,0,0
20170428,II-TECNO,Fonds,18.47,18.47,18.47,18.47,0,0
20170427,II-TECNO,Fonds,18.24,18.24,18.24,18.24,0,0
20170426,II-TECNO,Fonds,18.24,18.24,18.24,18.24,0,0
20170425,II-TECNO,Fonds,18.11,18.11,18.11,18.11,0,0
20170424,II-TECNO,Fonds,18.05,18.05,18.05,18.05,0,0
20170421,II-TECNO,Fonds,17.87,17.87,17.87,17.87,0,0
20170420,II-TECNO,Fonds,17.74,17.74,17.74,17.74,0,0
20170419,II-TECNO,Fonds,17.70,17.70,17.70,17.70,0,0
20170418,II-TECNO,Fonds,17.70,17.70,17.70,17.70,0,0
20170412,II-TECNO,Fonds,17.70,17.70,17.70,17.70,0,0
20170411,II-TECNO,Fonds,17.76,17.76,17.76,17.76,0,0
20170410,II-TECNO,Fonds,17.73,17.73,17.73,17.73,0,0
20170407,II-TECNO,Fonds,17.73,17.73,17.73,17.73,0,0
20170406,II-TECNO,Fonds,17.75,17.75,17.75,17.75,0,0
20170405,II-TECNO,Fonds,17.84,17.84,17.84,17.84,0,0
20170404,II-TECNO,Fonds,17.84,17.84,17.84,17.84,0,0
20170403,II-TECNO,Fonds,17.85,17.85,17.85,17.85,0,0
20170331,II-TECNO,Fonds,17.86,17.86,17.86,17.86,0,0
20170330,II-TECNO,Fonds,17.84,17.84,17.84,17.84,0,0
20170329,II-TECNO,Fonds,17.77,17.77,17.77,17.77,0,0
20170328,II-TECNO,Fonds,17.64,17.64,17.64,17.64,0,0
20170327,II-TECNO,Fonds,17.63,17.63,17.63,17.63,0,0
20170324,II-TECNO,Fonds,17.62,17.62,17.62,17.62,0,0
20170323,II-TECNO,Fonds,17.62,17.62,17.62,17.62,0,0
20170322,II-TECNO,Fonds,17.56,17.56,17.56,17.56,0,0
20170321,II-TECNO,Fonds,17.83,17.83,17.83,17.83,0,0
20170320,II-TECNO,Fonds,17.82,17.82,17.82,17.82,0,0
20170317,II-TECNO,Fonds,17.87,17.87,17.87,17.87,0,0
20170316,II-TECNO,Fonds,17.87,17.87,17.87,17.87,0,0
20170315,II-TECNO,Fonds,17.74,17.74,17.74,17.74,0,0
20170314,II-TECNO,Fonds,17.80,17.80,17.80,17.80,0,0
20170313,II-TECNO,Fonds,17.76,17.76,17.76,17.76,0,0
20170310,II-TECNO,Fonds,17.67,17.67,17.67,17.67,0,0
20170309,II-TECNO,Fonds,17.63,17.63,17.63,17.63,0,0
20170308,II-TECNO,Fonds,17.58,17.58,17.58,17.58,0,0
20170307,II-TECNO,Fonds,17.59,17.59,17.59,17.59,0,0
20170306,II-TECNO,Fonds,17.63,17.63,17.63,17.63,0,0
20170303,II-TECNO,Fonds,17.56,17.56,17.56,17.56,0,0
20170302,II-TECNO,Fonds,17.67,17.67,17.67,17.67,0,0
20170301,II-TECNO,Fonds,17.46,17.46,17.46,17.46,0,0
20170228,II-TECNO,Fonds,17.52,17.52,17.52,17.52,0,0
20170227,II-TECNO,Fonds,17.44,17.44,17.44,17.44,0,0
20170224,II-TECNO,Fonds,17.45,17.45,17.45,17.45,0,0
20170223,II-TECNO,Fonds,17.52,17.52,17.52,17.52,0,0
20170222,II-TECNO,Fonds,17.51,17.51,17.51,17.51,0,0
20170221,II-TECNO,Fonds,17.41,17.41,17.41,17.41,0,0
20170220,II-TECNO,Fonds,17.41,17.41,17.41,17.41,0,0
20170217,II-TECNO,Fonds,17.38,17.38,17.38,17.38,0,0
20170216,II-TECNO,Fonds,17.41,17.41,17.41,17.41,0,0
20170215,II-TECNO,Fonds,17.30,17.30,17.30,17.30,0,0
20170214,II-TECNO,Fonds,17.25,17.25,17.25,17.25,0,0
20170213,II-TECNO,Fonds,17.19,17.19,17.19,17.19,0,0
20170210,II-TECNO,Fonds,17.08,17.08,17.08,17.08,0,0
20170209,II-TECNO,Fonds,17.00,17.00,17.00,17.00,0,0
20170208,II-TECNO,Fonds,16.92,16.92,16.92,16.92,0,0
20170207,II-TECNO,Fonds,16.90,16.90,16.90,16.90,0,0
20170206,II-TECNO,Fonds,16.89,16.89,16.89,16.89,0,0
20170203,II-TECNO,Fonds,16.83,16.83,16.83,16.83,0,0
20170202,II-TECNO,Fonds,16.84,16.84,16.84,16.84,0,0
20170201,II-TECNO,Fonds,16.72,16.72,16.72,16.72,0,0
20170131,II-TECNO,Fonds,16.70,16.70,16.70,16.70,0,0
20170130,II-TECNO,Fonds,16.83,16.83,16.83,16.83,0,0
20170127,II-TECNO,Fonds,16.76,16.76,16.76,16.76,0,0
20170126,II-TECNO,Fonds,16.83,16.83,16.83,16.83,0,0
20170125,II-TECNO,Fonds,16.66,16.66,16.66,16.66,0,0
20170124,II-TECNO,Fonds,16.53,16.53,16.53,16.53,0,0
20170123,II-TECNO,Fonds,16.52,16.52,16.52,16.52,0,0
20170120,II-TECNO,Fonds,16.51,16.51,16.51,16.51,0,0
20170119,II-TECNO,Fonds,16.54,16.54,16.54,16.54,0,0
20170118,II-TECNO,Fonds,16.47,16.47,16.47,16.47,0,0
20170117,II-TECNO,Fonds,16.60,16.60,16.60,16.60,0,0
20170116,II-TECNO,Fonds,16.58,16.58,16.58,16.58,0,0
20170113,II-TECNO,Fonds,16.53,16.53,16.53,16.53,0,0
20170112,II-TECNO,Fonds,16.58,16.58,16.58,16.58,0,0
20170111,II-TECNO,Fonds,16.57,16.57,16.57,16.57,0,0
20170110,II-TECNO,Fonds,16.52,16.52,16.52,16.52,0,0
20170109,II-TECNO,Fonds,16.42,16.42,16.42,16.42,0,0
20170106,II-TECNO,Fonds,16.27,16.27,16.27,16.27,0,0
20170105,II-TECNO,Fonds,16.16,16.16,16.16,16.16,0,0
20170104,II-TECNO,Fonds,16.03,16.03,16.03,16.03,0,0
20170103,II-TECNO,Fonds,15.81,15.81,15.81,15.81,0,0
20161230,II-TECNO,Fonds,15.99,15.99,15.99,15.99,0,0
20161229,II-TECNO,Fonds,16.01,16.01,16.01,16.01,0,0
20161228,II-TECNO,Fonds,16.12,16.12,16.12,16.12,0,0
20161223,II-TECNO,Fonds,15.99,15.99,15.99,15.99,0,0
20161222,II-TECNO,Fonds,16.02,16.02,16.02,16.02,0,0
20161221,II-TECNO,Fonds,16.06,16.06,16.06,16.06,0,0
20161220,II-TECNO,Fonds,15.98,15.98,15.98,15.98,0,0
20161219,II-TECNO,Fonds,15.95,15.95,15.95,15.95,0,0
20161216,II-TECNO,Fonds,16.06,16.06,16.06,16.06,0,0
20161215,II-TECNO,Fonds,16.04,16.04,16.04,16.04,0,0
20161214,II-TECNO,Fonds,16.09,16.09,16.09,16.09,0,0
20161213,II-TECNO,Fonds,15.94,15.94,15.94,15.94,0,0
20161212,II-TECNO,Fonds,16.10,16.10,16.10,16.10,0,0
20161209,II-TECNO,Fonds,16.02,16.02,16.02,16.02,0,0
20161208,II-TECNO,Fonds,15.95,15.95,15.95,15.95,0,0
20161207,II-TECNO,Fonds,15.76,15.76,15.76,15.76,0,0
20161206,II-TECNO,Fonds,15.71,15.71,15.71,15.71,0,0
20161205,II-TECNO,Fonds,15.55,15.55,15.55,15.55,0,0
20161202,II-TECNO,Fonds,15.51,15.51,15.51,15.51,0,0
20161201,II-TECNO,Fonds,15.81,15.81,15.81,15.81,0,0
20161130,II-TECNO,Fonds,16.05,16.05,16.05,16.05,0,0
20161129,II-TECNO,Fonds,15.98,15.98,15.98,15.98,0,0
20161128,II-TECNO,Fonds,16.06,16.06,16.06,16.06,0,0
20161125,II-TECNO,Fonds,16.02,16.02,16.02,16.02,0,0
20161124,II-TECNO,Fonds,16.02,16.02,16.02,16.02,0,0
20161123,II-TECNO,Fonds,16.07,16.07,16.07,16.07,0,0
20161122,II-TECNO,Fonds,16.11,16.11,16.11,16.11,0,0
20161121,II-TECNO,Fonds,15.98,15.98,15.98,15.98,0,0
20161118,II-TECNO,Fonds,16.02,16.02,16.02,16.02,0,0
20161117,II-TECNO,Fonds,15.88,15.88,15.88,15.88,0,0
20161116,II-TECNO,Fonds,15.79,15.79,15.79,15.79,0,0
20161115,II-TECNO,Fonds,15.60,15.60,15.60,15.60,0,0
20161114,II-TECNO,Fonds,15.80,15.80,15.80,15.80,0,0
20161111,II-TECNO,Fonds,15.83,15.83,15.83,15.83,0,0
20161110,II-TECNO,Fonds,16.08,16.08,16.08,16.08,0,0
20161109,II-TECNO,Fonds,15.55,15.55,15.55,15.55,0,0
20161108,II-TECNO,Fonds,15.87,15.87,15.87,15.87,0,0
20161107,II-TECNO,Fonds,15.76,15.76,15.76,15.76,0,0
20161104,II-TECNO,Fonds,15.60,15.60,15.60,15.60,0,0
20161103,II-TECNO,Fonds,15.71,15.71,15.71,15.71,0,0
20161102,II-TECNO,Fonds,15.88,15.88,15.88,15.88,0,0
20161101,II-TECNO,Fonds,15.95,15.95,15.95,15.95,0,0
20161031,II-TECNO,Fonds,16.06,16.06,16.06,16.06,0,0
20161028,II-TECNO,Fonds,16.06,16.06,16.06,16.06,0,0
20161027,II-TECNO,Fonds,16.13,16.13,16.13,16.13,0,0
20161026,II-TECNO,Fonds,16.23,16.23,16.23,16.23,0,0
20161025,II-TECNO,Fonds,16.34,16.34,16.34,16.34,0,0
20161024,II-TECNO,Fonds,16.15,16.15,16.15,16.15,0,0
20161021,II-TECNO,Fonds,16.24,16.24,16.24,16.24,0,0
20161020,II-TECNO,Fonds,16.14,16.14,16.14,16.14,0,0
20161019,II-TECNO,Fonds,16.11,16.11,16.11,16.11,0,0
20161018,II-TECNO,Fonds,16.00,16.00,16.00,16.00,0,0
20161017,II-TECNO,Fonds,16.03,16.03,16.03,16.03,0,0
20161014,II-TECNO,Fonds,16.02,16.02,16.02,16.02,0,0
