quote_date,paper,exch,open,high,low,close,volume,value
20171109,IN-ASEUS,Fonds,30.30,30.30,30.30,30.30,0,0
20171108,IN-ASEUS,Fonds,30.21,30.21,30.21,30.21,0,0
20171107,IN-ASEUS,Fonds,30.31,30.31,30.31,30.31,0,0
20171106,IN-ASEUS,Fonds,30.14,30.14,30.14,30.14,0,0
20171103,IN-ASEUS,Fonds,29.93,29.93,29.93,29.93,0,0
20171102,IN-ASEUS,Fonds,29.94,29.94,29.94,29.94,0,0
20171031,IN-ASEUS,Fonds,29.66,29.66,29.66,29.66,0,0
20171030,IN-ASEUS,Fonds,29.51,29.51,29.51,29.51,0,0
20171027,IN-ASEUS,Fonds,29.51,29.51,29.51,29.51,0,0
20171026,IN-ASEUS,Fonds,29.22,29.22,29.22,29.22,0,0
20171025,IN-ASEUS,Fonds,29.40,29.40,29.40,29.40,0,0
20171024,IN-ASEUS,Fonds,29.36,29.36,29.36,29.36,0,0
20171023,IN-ASEUS,Fonds,29.47,29.47,29.47,29.47,0,0
20171020,IN-ASEUS,Fonds,29.56,29.56,29.56,29.56,0,0
20171019,IN-ASEUS,Fonds,29.38,29.38,29.38,29.38,0,0
20171018,IN-ASEUS,Fonds,29.69,29.69,29.69,29.69,0,0
20171017,IN-ASEUS,Fonds,29.57,29.57,29.57,29.57,0,0
20171016,IN-ASEUS,Fonds,29.67,29.67,29.67,29.67,0,0
20171013,IN-ASEUS,Fonds,29.50,29.50,29.50,29.50,0,0
20171012,IN-ASEUS,Fonds,29.48,29.48,29.48,29.48,0,0
20171011,IN-ASEUS,Fonds,29.40,29.40,29.40,29.40,0,0
20171010,IN-ASEUS,Fonds,29.38,29.38,29.38,29.38,0,0
20171009,IN-ASEUS,Fonds,29.14,29.14,29.14,29.14,0,0
20171006,IN-ASEUS,Fonds,29.16,29.16,29.16,29.16,0,0
20171005,IN-ASEUS,Fonds,29.18,29.18,29.18,29.18,0,0
20171004,IN-ASEUS,Fonds,29.07,29.07,29.07,29.07,0,0
20171003,IN-ASEUS,Fonds,28.96,28.96,28.96,28.96,0,0
20171002,IN-ASEUS,Fonds,28.56,28.56,28.56,28.56,0,0
20170929,IN-ASEUS,Fonds,28.51,28.51,28.51,28.51,0,0
20170928,IN-ASEUS,Fonds,28.34,28.34,28.34,28.34,0,0
20170927,IN-ASEUS,Fonds,28.47,28.47,28.47,28.47,0,0
20170926,IN-ASEUS,Fonds,28.34,28.34,28.34,28.34,0,0
20170925,IN-ASEUS,Fonds,28.54,28.54,28.54,28.54,0,0
20170922,IN-ASEUS,Fonds,28.97,28.97,28.97,28.97,0,0
20170921,IN-ASEUS,Fonds,29.18,29.18,29.18,29.18,0,0
20170920,IN-ASEUS,Fonds,29.18,29.18,29.18,29.18,0,0
20170919,IN-ASEUS,Fonds,29.14,29.14,29.14,29.14,0,0
20170918,IN-ASEUS,Fonds,29.25,29.25,29.25,29.25,0,0
20170915,IN-ASEUS,Fonds,28.92,28.92,28.92,28.92,0,0
20170914,IN-ASEUS,Fonds,28.91,28.91,28.91,28.91,0,0
20170913,IN-ASEUS,Fonds,28.98,28.98,28.98,28.98,0,0
20170912,IN-ASEUS,Fonds,28.93,28.93,28.93,28.93,0,0
20170911,IN-ASEUS,Fonds,28.90,28.90,28.90,28.90,0,0
20170908,IN-ASEUS,Fonds,28.57,28.57,28.57,28.57,0,0
20170907,IN-ASEUS,Fonds,28.47,28.47,28.47,28.47,0,0
20170906,IN-ASEUS,Fonds,28.27,28.27,28.27,28.27,0,0
20170905,IN-ASEUS,Fonds,28.24,28.24,28.24,28.24,0,0
20170904,IN-ASEUS,Fonds,28.38,28.38,28.38,28.38,0,0
20170901,IN-ASEUS,Fonds,28.57,28.57,28.57,28.57,0,0
