quote_date,paper,exch,open,high,low,close,volume,value
20171121,IN-GDRUS,Fonds,8.59,8.59,8.59,8.59,0,0
20171120,IN-GDRUS,Fonds,8.50,8.50,8.50,8.50,0,0
20171117,IN-GDRUS,Fonds,8.52,8.52,8.52,8.52,0,0
20171116,IN-GDRUS,Fonds,8.49,8.49,8.49,8.49,0,0
20171115,IN-GDRUS,Fonds,8.46,8.46,8.46,8.46,0,0
20171114,IN-GDRUS,Fonds,8.54,8.54,8.54,8.54,0,0
20171113,IN-GDRUS,Fonds,8.67,8.67,8.67,8.67,0,0
20171110,IN-GDRUS,Fonds,8.70,8.70,8.70,8.70,0,0
20171109,IN-GDRUS,Fonds,8.73,8.73,8.73,8.73,0,0
20171108,IN-GDRUS,Fonds,8.79,8.79,8.79,8.79,0,0
20171107,IN-GDRUS,Fonds,8.78,8.78,8.78,8.78,0,0
20171106,IN-GDRUS,Fonds,8.81,8.81,8.81,8.81,0,0
20171103,IN-GDRUS,Fonds,8.67,8.67,8.67,8.67,0,0
20171102,IN-GDRUS,Fonds,8.69,8.69,8.69,8.69,0,0
20171031,IN-GDRUS,Fonds,8.54,8.54,8.54,8.54,0,0
20171030,IN-GDRUS,Fonds,8.53,8.53,8.53,8.53,0,0
20171027,IN-GDRUS,Fonds,8.47,8.47,8.47,8.47,0,0
20171026,IN-GDRUS,Fonds,8.46,8.46,8.46,8.46,0,0
20171025,IN-GDRUS,Fonds,8.53,8.53,8.53,8.53,0,0
20171024,IN-GDRUS,Fonds,8.58,8.58,8.58,8.58,0,0
20171023,IN-GDRUS,Fonds,8.56,8.56,8.56,8.56,0,0
20171020,IN-GDRUS,Fonds,8.59,8.59,8.59,8.59,0,0
20171019,IN-GDRUS,Fonds,8.57,8.57,8.57,8.57,0,0
20171018,IN-GDRUS,Fonds,8.57,8.57,8.57,8.57,0,0
20171017,IN-GDRUS,Fonds,8.61,8.61,8.61,8.61,0,0
20171016,IN-GDRUS,Fonds,8.68,8.68,8.68,8.68,0,0
