quote_date,paper,exch,open,high,low,close,volume,value
20171109,IN-GSMUS,Fonds,135.72,135.72,135.72,135.72,0,0
20171108,IN-GSMUS,Fonds,135.98,135.98,135.98,135.98,0,0
20171107,IN-GSMUS,Fonds,135.76,135.76,135.76,135.76,0,0
20171106,IN-GSMUS,Fonds,135.97,135.97,135.97,135.97,0,0
20171103,IN-GSMUS,Fonds,135.30,135.30,135.30,135.30,0,0
20171102,IN-GSMUS,Fonds,135.47,135.47,135.47,135.47,0,0
20171031,IN-GSMUS,Fonds,135.16,135.16,135.16,135.16,0,0
20171030,IN-GSMUS,Fonds,134.98,134.98,134.98,134.98,0,0
20171027,IN-GSMUS,Fonds,134.54,134.54,134.54,134.54,0,0
20171026,IN-GSMUS,Fonds,134.00,134.00,134.00,134.00,0,0
20171025,IN-GSMUS,Fonds,134.27,134.27,134.27,134.27,0,0
20171024,IN-GSMUS,Fonds,134.40,134.40,134.40,134.40,0,0
20171023,IN-GSMUS,Fonds,134.55,134.55,134.55,134.55,0,0
20171020,IN-GSMUS,Fonds,134.94,134.94,134.94,134.94,0,0
20171019,IN-GSMUS,Fonds,135.03,135.03,135.03,135.03,0,0
20171018,IN-GSMUS,Fonds,135.01,135.01,135.01,135.01,0,0
20171017,IN-GSMUS,Fonds,135.04,135.04,135.04,135.04,0,0
20171016,IN-GSMUS,Fonds,135.28,135.28,135.28,135.28,0,0
20171013,IN-GSMUS,Fonds,135.31,135.31,135.31,135.31,0,0
20171012,IN-GSMUS,Fonds,135.01,135.01,135.01,135.01,0,0
20171011,IN-GSMUS,Fonds,134.72,134.72,134.72,134.72,0,0
20171010,IN-GSMUS,Fonds,134.44,134.44,134.44,134.44,0,0
20171009,IN-GSMUS,Fonds,133.94,133.94,133.94,133.94,0,0
20171006,IN-GSMUS,Fonds,133.76,133.76,133.76,133.76,0,0
20171005,IN-GSMUS,Fonds,133.81,133.81,133.81,133.81,0,0
20171004,IN-GSMUS,Fonds,133.60,133.60,133.60,133.60,0,0
20171003,IN-GSMUS,Fonds,133.49,133.49,133.49,133.49,0,0
20171002,IN-GSMUS,Fonds,133.20,133.20,133.20,133.20,0,0
20170929,IN-GSMUS,Fonds,133.18,133.18,133.18,133.18,0,0
20170928,IN-GSMUS,Fonds,132.70,132.70,132.70,132.70,0,0
20170927,IN-GSMUS,Fonds,132.54,132.54,132.54,132.54,0,0
20170926,IN-GSMUS,Fonds,132.80,132.80,132.80,132.80,0,0
20170925,IN-GSMUS,Fonds,133.01,133.01,133.01,133.01,0,0
20170922,IN-GSMUS,Fonds,133.57,133.57,133.57,133.57,0,0
20170921,IN-GSMUS,Fonds,133.53,133.53,133.53,133.53,0,0
20170920,IN-GSMUS,Fonds,133.97,133.97,133.97,133.97,0,0
20170919,IN-GSMUS,Fonds,133.82,133.82,133.82,133.82,0,0
20170918,IN-GSMUS,Fonds,133.66,133.66,133.66,133.66,0,0
20170915,IN-GSMUS,Fonds,133.70,133.70,133.70,133.70,0,0
20170914,IN-GSMUS,Fonds,133.67,133.67,133.67,133.67,0,0
20170913,IN-GSMUS,Fonds,133.60,133.60,133.60,133.60,0,0
20170912,IN-GSMUS,Fonds,134.04,134.04,134.04,134.04,0,0
20170911,IN-GSMUS,Fonds,134.12,134.12,134.12,134.12,0,0
20170908,IN-GSMUS,Fonds,133.96,133.96,133.96,133.96,0,0
20170907,IN-GSMUS,Fonds,133.76,133.76,133.76,133.76,0,0
20170906,IN-GSMUS,Fonds,132.98,132.98,132.98,132.98,0,0
20170905,IN-GSMUS,Fonds,132.91,132.91,132.91,132.91,0,0
20170904,IN-GSMUS,Fonds,133.08,133.08,133.08,133.08,0,0
20170901,IN-GSMUS,Fonds,133.14,133.14,133.14,133.14,0,0
20170831,IN-GSMUS,Fonds,133.23,133.23,133.23,133.23,0,0
20170830,IN-GSMUS,Fonds,132.57,132.57,132.57,132.57,0,0
20170829,IN-GSMUS,Fonds,132.49,132.49,132.49,132.49,0,0
20170825,IN-GSMUS,Fonds,132.29,132.29,132.29,132.29,0,0
20170824,IN-GSMUS,Fonds,131.85,131.85,131.85,131.85,0,0
20170823,IN-GSMUS,Fonds,132.00,132.00,132.00,132.00,0,0
20170822,IN-GSMUS,Fonds,131.83,131.83,131.83,131.83,0,0
20170818,IN-GSMUS,Fonds,130.96,130.96,130.96,130.96,0,0
20170817,IN-GSMUS,Fonds,130.65,130.65,130.65,130.65,0,0
20170816,IN-GSMUS,Fonds,131.57,131.57,131.57,131.57,0,0
20170814,IN-GSMUS,Fonds,131.59,131.59,131.59,131.59,0,0
20170811,IN-GSMUS,Fonds,131.20,131.20,131.20,131.20,0,0
20170810,IN-GSMUS,Fonds,130.86,130.86,130.86,130.86,0,0
20170809,IN-GSMUS,Fonds,131.86,131.86,131.86,131.86,0,0
20170808,IN-GSMUS,Fonds,131.99,131.99,131.99,131.99,0,0
20170807,IN-GSMUS,Fonds,132.19,132.19,132.19,132.19,0,0
20170804,IN-GSMUS,Fonds,131.74,131.74,131.74,131.74,0,0
20170803,IN-GSMUS,Fonds,132.12,132.12,132.12,132.12,0,0
20170802,IN-GSMUS,Fonds,132.05,132.05,132.05,132.05,0,0
20170801,IN-GSMUS,Fonds,132.01,132.01,132.01,132.01,0,0
20170731,IN-GSMUS,Fonds,131.39,131.39,131.39,131.39,0,0
20170728,IN-GSMUS,Fonds,131.09,131.09,131.09,131.09,0,0
20170727,IN-GSMUS,Fonds,131.02,131.02,131.02,131.02,0,0
20170726,IN-GSMUS,Fonds,130.89,130.89,130.89,130.89,0,0
20170725,IN-GSMUS,Fonds,130.77,130.77,130.77,130.77,0,0
20170724,IN-GSMUS,Fonds,130.88,130.88,130.88,130.88,0,0
20170721,IN-GSMUS,Fonds,131.05,131.05,131.05,131.05,0,0
20170720,IN-GSMUS,Fonds,130.86,130.86,130.86,130.86,0,0
20170719,IN-GSMUS,Fonds,130.65,130.65,130.65,130.65,0,0
20170718,IN-GSMUS,Fonds,130.24,130.24,130.24,130.24,0,0
20170717,IN-GSMUS,Fonds,129.69,129.69,129.69,129.69,0,0
20170714,IN-GSMUS,Fonds,129.55,129.55,129.55,129.55,0,0
20170713,IN-GSMUS,Fonds,128.88,128.88,128.88,128.88,0,0
20170712,IN-GSMUS,Fonds,128.80,128.80,128.80,128.80,0,0
20170711,IN-GSMUS,Fonds,128.00,128.00,128.00,128.00,0,0
20170710,IN-GSMUS,Fonds,127.80,127.80,127.80,127.80,0,0
20170707,IN-GSMUS,Fonds,127.63,127.63,127.63,127.63,0,0
20170706,IN-GSMUS,Fonds,127.60,127.60,127.60,127.60,0,0
20170705,IN-GSMUS,Fonds,128.03,128.03,128.03,128.03,0,0
20170704,IN-GSMUS,Fonds,127.82,127.82,127.82,127.82,0,0
20170703,IN-GSMUS,Fonds,128.06,128.06,128.06,128.06,0,0
20170630,IN-GSMUS,Fonds,128.23,128.23,128.23,128.23,0,0
20170629,IN-GSMUS,Fonds,128.29,128.29,128.29,128.29,0,0
20170628,IN-GSMUS,Fonds,129.01,129.01,129.01,129.01,0,0
20170627,IN-GSMUS,Fonds,128.28,128.28,128.28,128.28,0,0
20170626,IN-GSMUS,Fonds,128.73,128.73,128.73,128.73,0,0
20170622,IN-GSMUS,Fonds,128.28,128.28,128.28,128.28,0,0
20170621,IN-GSMUS,Fonds,128.27,128.27,128.27,128.27,0,0
20170620,IN-GSMUS,Fonds,128.16,128.16,128.16,128.16,0,0
20170619,IN-GSMUS,Fonds,128.70,128.70,128.70,128.70,0,0
20170616,IN-GSMUS,Fonds,128.23,128.23,128.23,128.23,0,0
