quote_date,paper,exch,open,high,low,close,volume,value
20171109,IN-SMFGB,Fonds,56.5443,56.5443,56.5443,56.5443,0,0
20171108,IN-SMFGB,Fonds,56.5426,56.5426,56.5426,56.5426,0,0
20171107,IN-SMFGB,Fonds,56.5457,56.5457,56.5457,56.5457,0,0
20171106,IN-SMFGB,Fonds,56.5455,56.5455,56.5455,56.5455,0,0
20171103,IN-SMFGB,Fonds,56.5442,56.5442,56.5442,56.5442,0,0
20171102,IN-SMFGB,Fonds,56.5448,56.5448,56.5448,56.5448,0,0
20171031,IN-SMFGB,Fonds,56.5452,56.5452,56.5452,56.5452,0,0
20171030,IN-SMFGB,Fonds,56.5454,56.5454,56.5454,56.5454,0,0
20171027,IN-SMFGB,Fonds,56.5457,56.5457,56.5457,56.5457,0,0
20171026,IN-SMFGB,Fonds,56.5459,56.5459,56.5459,56.5459,0,0
20171025,IN-SMFGB,Fonds,56.5457,56.5457,56.5457,56.5457,0,0
20171024,IN-SMFGB,Fonds,56.546,56.546,56.546,56.546,0,0
20171023,IN-SMFGB,Fonds,56.5505,56.5505,56.5505,56.5505,0,0
20171020,IN-SMFGB,Fonds,56.5461,56.5461,56.5461,56.5461,0,0
20171019,IN-SMFGB,Fonds,56.546,56.546,56.546,56.546,0,0
20171018,IN-SMFGB,Fonds,56.546,56.546,56.546,56.546,0,0
20171017,IN-SMFGB,Fonds,56.5469,56.5469,56.5469,56.5469,0,0
20171016,IN-SMFGB,Fonds,56.5458,56.5458,56.5458,56.5458,0,0
20171013,IN-SMFGB,Fonds,56.5471,56.5471,56.5471,56.5471,0,0
20171012,IN-SMFGB,Fonds,56.5472,56.5472,56.5472,56.5472,0,0
20171011,IN-SMFGB,Fonds,56.5462,56.5462,56.5462,56.5462,0,0
20171010,IN-SMFGB,Fonds,56.547,56.547,56.547,56.547,0,0
20171009,IN-SMFGB,Fonds,56.5459,56.5459,56.5459,56.5459,0,0
20171006,IN-SMFGB,Fonds,56.5456,56.5456,56.5456,56.5456,0,0
20171005,IN-SMFGB,Fonds,56.5457,56.5457,56.5457,56.5457,0,0
20171004,IN-SMFGB,Fonds,56.5447,56.5447,56.5447,56.5447,0,0
20171003,IN-SMFGB,Fonds,56.5461,56.5461,56.5461,56.5461,0,0
20171002,IN-SMFGB,Fonds,56.5518,56.5518,56.5518,56.5518,0,0
20170929,IN-SMFGB,Fonds,56.547,56.547,56.547,56.547,0,0
20170928,IN-SMFGB,Fonds,56.5474,56.5474,56.5474,56.5474,0,0
20170927,IN-SMFGB,Fonds,56.5435,56.5435,56.5435,56.5435,0,0
20170926,IN-SMFGB,Fonds,56.5441,56.5441,56.5441,56.5441,0,0
20170925,IN-SMFGB,Fonds,56.5432,56.5432,56.5432,56.5432,0,0
20170922,IN-SMFGB,Fonds,56.5433,56.5433,56.5433,56.5433,0,0
20170921,IN-SMFGB,Fonds,56.5432,56.5432,56.5432,56.5432,0,0
20170920,IN-SMFGB,Fonds,56.5433,56.5433,56.5433,56.5433,0,0
20170919,IN-SMFGB,Fonds,56.5427,56.5427,56.5427,56.5427,0,0
20170918,IN-SMFGB,Fonds,56.542,56.542,56.542,56.542,0,0
20170915,IN-SMFGB,Fonds,56.5429,56.5429,56.5429,56.5429,0,0
20170914,IN-SMFGB,Fonds,56.5475,56.5475,56.5475,56.5475,0,0
20170913,IN-SMFGB,Fonds,56.5426,56.5426,56.5426,56.5426,0,0
20170912,IN-SMFGB,Fonds,56.542,56.542,56.542,56.542,0,0
20170911,IN-SMFGB,Fonds,56.5437,56.5437,56.5437,56.5437,0,0
20170908,IN-SMFGB,Fonds,56.5437,56.5437,56.5437,56.5437,0,0
20170907,IN-SMFGB,Fonds,56.544,56.544,56.544,56.544,0,0
20170906,IN-SMFGB,Fonds,56.5441,56.5441,56.5441,56.5441,0,0
20170905,IN-SMFGB,Fonds,56.5447,56.5447,56.5447,56.5447,0,0
20170904,IN-SMFGB,Fonds,56.5456,56.5456,56.5456,56.5456,0,0
20170901,IN-SMFGB,Fonds,56.5449,56.5449,56.5449,56.5449,0,0
20170831,IN-SMFGB,Fonds,56.5451,56.5451,56.5451,56.5451,0,0
20170830,IN-SMFGB,Fonds,56.5461,56.5461,56.5461,56.5461,0,0
20170829,IN-SMFGB,Fonds,56.5465,56.5465,56.5465,56.5465,0,0
20170825,IN-SMFGB,Fonds,56.5464,56.5464,56.5464,56.5464,0,0
20170824,IN-SMFGB,Fonds,56.5449,56.5449,56.5449,56.5449,0,0
20170823,IN-SMFGB,Fonds,56.5463,56.5463,56.5463,56.5463,0,0
20170822,IN-SMFGB,Fonds,56.5466,56.5466,56.5466,56.5466,0,0
20170818,IN-SMFGB,Fonds,56.5463,56.5463,56.5463,56.5463,0,0
20170817,IN-SMFGB,Fonds,56.5469,56.5469,56.5469,56.5469,0,0
20170816,IN-SMFGB,Fonds,56.5467,56.5467,56.5467,56.5467,0,0
20170814,IN-SMFGB,Fonds,56.5446,56.5446,56.5446,56.5446,0,0
20170811,IN-SMFGB,Fonds,56.5444,56.5444,56.5444,56.5444,0,0
20170810,IN-SMFGB,Fonds,56.5445,56.5445,56.5445,56.5445,0,0
20170809,IN-SMFGB,Fonds,56.5442,56.5442,56.5442,56.5442,0,0
20170808,IN-SMFGB,Fonds,56.5443,56.5443,56.5443,56.5443,0,0
20170807,IN-SMFGB,Fonds,56.5453,56.5453,56.5453,56.5453,0,0
20170804,IN-SMFGB,Fonds,56.545,56.545,56.545,56.545,0,0
20170803,IN-SMFGB,Fonds,56.5468,56.5468,56.5468,56.5468,0,0
20170802,IN-SMFGB,Fonds,56.5472,56.5472,56.5472,56.5472,0,0
20170801,IN-SMFGB,Fonds,56.5476,56.5476,56.5476,56.5476,0,0
20170731,IN-SMFGB,Fonds,56.5479,56.5479,56.5479,56.5479,0,0
20170728,IN-SMFGB,Fonds,56.5497,56.5497,56.5497,56.5497,0,0
20170727,IN-SMFGB,Fonds,56.5496,56.5496,56.5496,56.5496,0,0
20170726,IN-SMFGB,Fonds,56.5492,56.5492,56.5492,56.5492,0,0
20170725,IN-SMFGB,Fonds,56.5491,56.5491,56.5491,56.5491,0,0
20170724,IN-SMFGB,Fonds,56.548,56.548,56.548,56.548,0,0
20170721,IN-SMFGB,Fonds,56.5464,56.5464,56.5464,56.5464,0,0
20170720,IN-SMFGB,Fonds,56.5465,56.5465,56.5465,56.5465,0,0
20170719,IN-SMFGB,Fonds,56.5466,56.5466,56.5466,56.5466,0,0
20170718,IN-SMFGB,Fonds,56.5478,56.5478,56.5478,56.5478,0,0
20170717,IN-SMFGB,Fonds,56.5477,56.5477,56.5477,56.5477,0,0
20170714,IN-SMFGB,Fonds,56.5455,56.5455,56.5455,56.5455,0,0
20170713,IN-SMFGB,Fonds,56.5478,56.5478,56.5478,56.5478,0,0
20170712,IN-SMFGB,Fonds,56.5468,56.5468,56.5468,56.5468,0,0
20170711,IN-SMFGB,Fonds,56.5445,56.5445,56.5445,56.5445,0,0
20170710,IN-SMFGB,Fonds,56.5463,56.5463,56.5463,56.5463,0,0
20170707,IN-SMFGB,Fonds,56.5445,56.5445,56.5445,56.5445,0,0
20170706,IN-SMFGB,Fonds,56.5447,56.5447,56.5447,56.5447,0,0
20170705,IN-SMFGB,Fonds,56.5461,56.5461,56.5461,56.5461,0,0
20170704,IN-SMFGB,Fonds,56.547,56.547,56.547,56.547,0,0
20170703,IN-SMFGB,Fonds,56.5479,56.5479,56.5479,56.5479,0,0
20170630,IN-SMFGB,Fonds,56.5452,56.5452,56.5452,56.5452,0,0
20170629,IN-SMFGB,Fonds,56.5449,56.5449,56.5449,56.5449,0,0
20170628,IN-SMFGB,Fonds,56.5445,56.5445,56.5445,56.5445,0,0
20170627,IN-SMFGB,Fonds,56.5486,56.5486,56.5486,56.5486,0,0
20170626,IN-SMFGB,Fonds,56.5441,56.5441,56.5441,56.5441,0,0
20170622,IN-SMFGB,Fonds,56.5505,56.5505,56.5505,56.5505,0,0
20170621,IN-SMFGB,Fonds,56.55,56.55,56.55,56.55,0,0
20170620,IN-SMFGB,Fonds,56.5496,56.5496,56.5496,56.5496,0,0
20170619,IN-SMFGB,Fonds,56.5515,56.5515,56.5515,56.5515,0,0
20170616,IN-SMFGB,Fonds,56.5525,56.5525,56.5525,56.5525,0,0
20170615,IN-SMFGB,Fonds,56.5518,56.5518,56.5518,56.5518,0,0
20170614,IN-SMFGB,Fonds,56.5526,56.5526,56.5526,56.5526,0,0
20170613,IN-SMFGB,Fonds,56.5437,56.5437,56.5437,56.5437,0,0
20170612,IN-SMFGB,Fonds,56.5452,56.5452,56.5452,56.5452,0,0
20170609,IN-SMFGB,Fonds,56.5422,56.5422,56.5422,56.5422,0,0
20170608,IN-SMFGB,Fonds,56.5417,56.5417,56.5417,56.5417,0,0
20170607,IN-SMFGB,Fonds,56.5418,56.5418,56.5418,56.5418,0,0
20170606,IN-SMFGB,Fonds,56.5425,56.5425,56.5425,56.5425,0,0
20170602,IN-SMFGB,Fonds,56.5381,56.5381,56.5381,56.5381,0,0
20170601,IN-SMFGB,Fonds,56.5383,56.5383,56.5383,56.5383,0,0
20170531,IN-SMFGB,Fonds,56.5386,56.5386,56.5386,56.5386,0,0
20170530,IN-SMFGB,Fonds,56.5387,56.5387,56.5387,56.5387,0,0
20170526,IN-SMFGB,Fonds,56.5397,56.5397,56.5397,56.5397,0,0
20170524,IN-SMFGB,Fonds,56.5402,56.5402,56.5402,56.5402,0,0
20170523,IN-SMFGB,Fonds,56.5418,56.5418,56.5418,56.5418,0,0
20170522,IN-SMFGB,Fonds,56.5422,56.5422,56.5422,56.5422,0,0
20170519,IN-SMFGB,Fonds,56.5429,56.5429,56.5429,56.5429,0,0
20170518,IN-SMFGB,Fonds,56.5432,56.5432,56.5432,56.5432,0,0
20170516,IN-SMFGB,Fonds,56.5444,56.5444,56.5444,56.5444,0,0
20170515,IN-SMFGB,Fonds,56.5449,56.5449,56.5449,56.5449,0,0
20170512,IN-SMFGB,Fonds,56.5433,56.5433,56.5433,56.5433,0,0
20170511,IN-SMFGB,Fonds,56.5443,56.5443,56.5443,56.5443,0,0
20170510,IN-SMFGB,Fonds,56.5446,56.5446,56.5446,56.5446,0,0
20170509,IN-SMFGB,Fonds,56.5447,56.5447,56.5447,56.5447,0,0
20170508,IN-SMFGB,Fonds,56.546,56.546,56.546,56.546,0,0
20170505,IN-SMFGB,Fonds,56.5457,56.5457,56.5457,56.5457,0,0
20170504,IN-SMFGB,Fonds,56.546,56.546,56.546,56.546,0,0
