quote_date,paper,exch,open,high,low,close,volume,value
20171109,IP-ALFRU,Fonds,77.31,77.31,77.31,77.31,0,0
20171108,IP-ALFRU,Fonds,76.64,76.64,76.64,76.64,0,0
20171107,IP-ALFRU,Fonds,76.73,76.73,76.73,76.73,0,0
20171106,IP-ALFRU,Fonds,76.71,76.71,76.71,76.71,0,0
20171103,IP-ALFRU,Fonds,76.91,76.91,76.91,76.91,0,0
20171102,IP-ALFRU,Fonds,76.72,76.72,76.72,76.72,0,0
20171031,IP-ALFRU,Fonds,75.99,75.99,75.99,75.99,0,0
20171030,IP-ALFRU,Fonds,75.66,75.66,75.66,75.66,0,0
20171027,IP-ALFRU,Fonds,75.57,75.57,75.57,75.57,0,0
20171026,IP-ALFRU,Fonds,75.85,75.85,75.85,75.85,0,0
20171025,IP-ALFRU,Fonds,75.91,75.91,75.91,75.91,0,0
20171024,IP-ALFRU,Fonds,75.28,75.28,75.28,75.28,0,0
20171023,IP-ALFRU,Fonds,75.37,75.37,75.37,75.37,0,0
20171020,IP-ALFRU,Fonds,75.76,75.76,75.76,75.76,0,0
20171019,IP-ALFRU,Fonds,75.36,75.36,75.36,75.36,0,0
20171017,IP-ALFRU,Fonds,75.38,75.38,75.38,75.38,0,0
20171016,IP-ALFRU,Fonds,75.97,75.97,75.97,75.97,0,0
20171013,IP-ALFRU,Fonds,75.54,75.54,75.54,75.54,0,0
20171012,IP-ALFRU,Fonds,75.17,75.17,75.17,75.17,0,0
20171011,IP-ALFRU,Fonds,75.49,75.49,75.49,75.49,0,0
20171010,IP-ALFRU,Fonds,75.53,75.53,75.53,75.53,0,0
20171009,IP-ALFRU,Fonds,75.47,75.47,75.47,75.47,0,0
20171006,IP-ALFRU,Fonds,74.97,74.97,74.97,74.97,0,0
20171005,IP-ALFRU,Fonds,74.69,74.69,74.69,74.69,0,0
20171004,IP-ALFRU,Fonds,74.35,74.35,74.35,74.35,0,0
20171003,IP-ALFRU,Fonds,74.85,74.85,74.85,74.85,0,0
20171002,IP-ALFRU,Fonds,74.85,74.85,74.85,74.85,0,0
20170929,IP-ALFRU,Fonds,74.57,74.57,74.57,74.57,0,0
20170928,IP-ALFRU,Fonds,74.18,74.18,74.18,74.18,0,0
20170927,IP-ALFRU,Fonds,74.45,74.45,74.45,74.45,0,0
20170926,IP-ALFRU,Fonds,74.81,74.81,74.81,74.81,0,0
20170925,IP-ALFRU,Fonds,74.99,74.99,74.99,74.99,0,0
20170922,IP-ALFRU,Fonds,74.74,74.74,74.74,74.74,0,0
20170921,IP-ALFRU,Fonds,74.60,74.60,74.60,74.60,0,0
20170920,IP-ALFRU,Fonds,74.56,74.56,74.56,74.56,0,0
20170919,IP-ALFRU,Fonds,74.35,74.35,74.35,74.35,0,0
20170918,IP-ALFRU,Fonds,74.15,74.15,74.15,74.15,0,0
20170915,IP-ALFRU,Fonds,74.36,74.36,74.36,74.36,0,0
20170914,IP-ALFRU,Fonds,74.21,74.21,74.21,74.21,0,0
20170913,IP-ALFRU,Fonds,74.25,74.25,74.25,74.25,0,0
20170912,IP-ALFRU,Fonds,74.82,74.82,74.82,74.82,0,0
20170911,IP-ALFRU,Fonds,74.78,74.78,74.78,74.78,0,0
20170908,IP-ALFRU,Fonds,75.00,75.00,75.00,75.00,0,0
20170907,IP-ALFRU,Fonds,74.26,74.26,74.26,74.26,0,0
20170906,IP-ALFRU,Fonds,74.51,74.51,74.51,74.51,0,0
20170905,IP-ALFRU,Fonds,74.16,74.16,74.16,74.16,0,0
20170904,IP-ALFRU,Fonds,74.55,74.55,74.55,74.55,0,0
20170901,IP-ALFRU,Fonds,75.11,75.11,75.11,75.11,0,0
20170831,IP-ALFRU,Fonds,75.13,75.13,75.13,75.13,0,0
20170830,IP-ALFRU,Fonds,75.36,75.36,75.36,75.36,0,0
20170829,IP-ALFRU,Fonds,75.13,75.13,75.13,75.13,0,0
20170828,IP-ALFRU,Fonds,75.05,75.05,75.05,75.05,0,0
20170825,IP-ALFRU,Fonds,74.65,74.65,74.65,74.65,0,0
20170824,IP-ALFRU,Fonds,74.76,74.76,74.76,74.76,0,0
20170823,IP-ALFRU,Fonds,74.79,74.79,74.79,74.79,0,0
20170822,IP-ALFRU,Fonds,74.89,74.89,74.89,74.89,0,0
20170821,IP-ALFRU,Fonds,74.58,74.58,74.58,74.58,0,0
20170818,IP-ALFRU,Fonds,74.40,74.40,74.40,74.40,0,0
20170817,IP-ALFRU,Fonds,74.35,74.35,74.35,74.35,0,0
20170816,IP-ALFRU,Fonds,74.52,74.52,74.52,74.52,0,0
20170814,IP-ALFRU,Fonds,74.70,74.70,74.70,74.70,0,0
20170811,IP-ALFRU,Fonds,74.61,74.61,74.61,74.61,0,0
20170810,IP-ALFRU,Fonds,74.61,74.61,74.61,74.61,0,0
20170809,IP-ALFRU,Fonds,74.34,74.34,74.34,74.34,0,0
20170808,IP-ALFRU,Fonds,74.23,74.23,74.23,74.23,0,0
20170807,IP-ALFRU,Fonds,73.81,73.81,73.81,73.81,0,0
20170804,IP-ALFRU,Fonds,73.89,73.89,73.89,73.89,0,0
20170803,IP-ALFRU,Fonds,73.61,73.61,73.61,73.61,0,0
20170802,IP-ALFRU,Fonds,76.22,76.22,76.22,76.22,0,0
20170801,IP-ALFRU,Fonds,76.22,76.22,76.22,76.22,0,0
20170731,IP-ALFRU,Fonds,77.69,77.69,77.69,77.69,0,0
20170728,IP-ALFRU,Fonds,77.48,77.48,77.48,77.48,0,0
20170727,IP-ALFRU,Fonds,77.37,77.37,77.37,77.37,0,0
20170726,IP-ALFRU,Fonds,76.39,76.39,76.39,76.39,0,0
20170725,IP-ALFRU,Fonds,76.03,76.03,76.03,76.03,0,0
20170724,IP-ALFRU,Fonds,75.58,75.58,75.58,75.58,0,0
20170721,IP-ALFRU,Fonds,74.92,74.92,74.92,74.92,0,0
20170720,IP-ALFRU,Fonds,74.54,74.54,74.54,74.54,0,0
20170719,IP-ALFRU,Fonds,74.39,74.39,74.39,74.39,0,0
20170718,IP-ALFRU,Fonds,74.57,74.57,74.57,74.57,0,0
20170717,IP-ALFRU,Fonds,74.17,74.17,74.17,74.17,0,0
20170714,IP-ALFRU,Fonds,73.97,73.97,73.97,73.97,0,0
20170713,IP-ALFRU,Fonds,73.51,73.51,73.51,73.51,0,0
20170712,IP-ALFRU,Fonds,72.89,72.89,72.89,72.89,0,0
20170711,IP-ALFRU,Fonds,72.46,72.46,72.46,72.46,0,0
20170710,IP-ALFRU,Fonds,72.47,72.47,72.47,72.47,0,0
20170707,IP-ALFRU,Fonds,72.51,72.51,72.51,72.51,0,0
20170706,IP-ALFRU,Fonds,72.27,72.27,72.27,72.27,0,0
20170705,IP-ALFRU,Fonds,72.47,72.47,72.47,72.47,0,0
20170704,IP-ALFRU,Fonds,72.69,72.69,72.69,72.69,0,0
20170703,IP-ALFRU,Fonds,72.69,72.69,72.69,72.69,0,0
20170630,IP-ALFRU,Fonds,72.91,72.91,72.91,72.91,0,0
20170629,IP-ALFRU,Fonds,72.71,72.71,72.71,72.71,0,0
20170628,IP-ALFRU,Fonds,72.11,72.11,72.11,72.11,0,0
20170627,IP-ALFRU,Fonds,72.07,72.07,72.07,72.07,0,0
20170626,IP-ALFRU,Fonds,71.96,71.96,71.96,71.96,0,0
20170622,IP-ALFRU,Fonds,72.51,72.51,72.51,72.51,0,0
20170621,IP-ALFRU,Fonds,72.82,72.82,72.82,72.82,0,0
20170620,IP-ALFRU,Fonds,72.94,72.94,72.94,72.94,0,0
20170619,IP-ALFRU,Fonds,73.03,73.03,73.03,73.03,0,0
20170616,IP-ALFRU,Fonds,73.10,73.10,73.10,73.10,0,0
20170615,IP-ALFRU,Fonds,73.42,73.42,73.42,73.42,0,0
20170614,IP-ALFRU,Fonds,72.94,72.94,72.94,72.94,0,0
20170613,IP-ALFRU,Fonds,72.87,72.87,72.87,72.87,0,0
20170612,IP-ALFRU,Fonds,73.20,73.20,73.20,73.20,0,0
20170609,IP-ALFRU,Fonds,73.21,73.21,73.21,73.21,0,0
20170608,IP-ALFRU,Fonds,73.21,73.21,73.21,73.21,0,0
20170607,IP-ALFRU,Fonds,73.16,73.16,73.16,73.16,0,0
20170606,IP-ALFRU,Fonds,73.45,73.45,73.45,73.45,0,0
20170602,IP-ALFRU,Fonds,71.96,71.96,71.96,71.96,0,0
20170601,IP-ALFRU,Fonds,71.86,71.86,71.86,71.86,0,0
20170531,IP-ALFRU,Fonds,71.74,71.74,71.74,71.74,0,0
20170530,IP-ALFRU,Fonds,71.50,71.50,71.50,71.50,0,0
20170529,IP-ALFRU,Fonds,71.90,71.90,71.90,71.90,0,0
20170526,IP-ALFRU,Fonds,71.73,71.73,71.73,71.73,0,0
20170524,IP-ALFRU,Fonds,70.39,70.39,70.39,70.39,0,0
20170523,IP-ALFRU,Fonds,69.89,69.89,69.89,69.89,0,0
20170522,IP-ALFRU,Fonds,70.16,70.16,70.16,70.16,0,0
20170519,IP-ALFRU,Fonds,69.49,69.49,69.49,69.49,0,0
